target	mode	n	pooled_rho	sample_centered_rho	sample_centered_p	median_sample_rho	samples_rho_gt_0_2	class
null_random_matched_065	raw_smoothed	15489	0.4534174897089987	0.4877670322103334	0.0	0.4020990820914908	3	random_matched
null_random_matched_066	raw_smoothed	15489	0.5546466979678115	0.47936470887349103	0.0	0.2901611941567759	3	random_matched
null_random_matched_067	raw_smoothed	15489	0.5689690101586978	0.5857861685451895	0.0	0.5441531920912073	4	random_matched
null_random_matched_068	raw_smoothed	15489	0.19827394383063196	0.3463587183978993	0.0	0.2756646314462824	3	random_matched
null_random_matched_069	raw_smoothed	15489	0.5099819725388831	0.4554646155826688	0.0	0.4538661118819671	4	random_matched
null_random_matched_070	raw_smoothed	15489	0.6255757464044471	0.6182591862318517	0.0	0.5352509995670243	4	random_matched
null_random_matched_071	raw_smoothed	15489	0.5381869426343091	0.5571728831084264	0.0	0.3968912273194426	4	random_matched
null_random_matched_072	raw_smoothed	15489	0.5424479867441916	0.5703098544246802	0.0	0.4764253700107587	4	random_matched
null_random_matched_073	raw_smoothed	15489	0.5658730213155088	0.5486707015914736	0.0	0.41099473967372435	3	random_matched
null_random_matched_074	raw_smoothed	15489	0.6459136217681063	0.6166613327639675	0.0	0.5480359017566956	4	random_matched
null_random_matched_075	raw_smoothed	15489	0.5954865773596819	0.5758997930811163	0.0	0.4916831029184626	4	random_matched
null_random_matched_076	raw_smoothed	15489	0.6060571924112707	0.4959369059182246	0.0	0.44877312612327924	4	random_matched
null_random_matched_077	raw_smoothed	15489	0.5862345138999944	0.5915599307311156	0.0	0.49001305339033546	4	random_matched
null_random_matched_078	raw_smoothed	15489	0.6151719429271305	0.5657522010564369	0.0	0.45561233025700887	4	random_matched
null_random_matched_079	raw_smoothed	15489	0.6449984642501004	0.6142037955699335	0.0	0.49847263487032417	4	random_matched
null_random_matched_080	raw_smoothed	15489	0.659210008788643	0.6060172141565382	0.0	0.5153184960536539	4	random_matched
null_random_matched_081	raw_smoothed	15489	0.5319732663267001	0.5353093062321784	0.0	0.45043889136999343	3	random_matched
null_random_matched_082	raw_smoothed	15489	0.4327301054395167	0.5059918414574666	0.0	0.4003683154362233	4	random_matched
null_random_matched_083	raw_smoothed	15489	0.41439325408099265	0.4677813341006403	0.0	0.38674481878366607	3	random_matched
null_random_matched_084	raw_smoothed	15489	0.5427976432453271	0.5326265672104721	0.0	0.46324352997751556	4	random_matched
null_random_matched_085	raw_smoothed	15489	0.652292996542523	0.5702404017091564	0.0	0.4889664935161817	4	random_matched
null_random_matched_086	raw_smoothed	15489	0.5779685694079643	0.5584844730429345	0.0	0.48800189493352486	4	random_matched
null_random_matched_087	raw_smoothed	15489	0.6569618527745764	0.6316714090366528	0.0	0.541755693640634	4	random_matched
null_random_matched_088	raw_smoothed	15489	0.6578394109011926	0.6044427485233453	0.0	0.5186236502503261	4	random_matched
null_random_matched_089	raw_smoothed	15489	0.5655460173291292	0.5088843705583711	0.0	0.37266414872379927	4	random_matched
null_random_matched_090	raw_smoothed	15489	0.5654462624889368	0.535588461636763	0.0	0.4273793139049633	4	random_matched
null_random_matched_091	raw_smoothed	15489	0.5598993749298191	0.5918574590431269	0.0	0.45533847934293603	4	random_matched
null_random_matched_092	raw_smoothed	15489	0.578703189342731	0.5555115901288956	0.0	0.3986270998481963	4	random_matched
null_random_matched_093	raw_smoothed	15489	0.5040093212469494	0.5459975550640094	0.0	0.43731246359148335	4	random_matched
null_random_matched_094	raw_smoothed	15489	0.6288664940693653	0.6079586819875146	0.0	0.5236109737561979	4	random_matched
null_random_matched_095	raw_smoothed	15489	0.6103303300337165	0.586243676974228	0.0	0.5058737112836956	4	random_matched
null_random_matched_096	raw_smoothed	15489	0.6813689559897641	0.6314227222654198	0.0	0.5505384601943528	4	random_matched
null_random_matched_097	raw_smoothed	15489	0.18373644731686845	0.3597577501336974	0.0	0.34249414717696514	3	random_matched
null_random_matched_098	raw_smoothed	15489	0.37594097220849104	0.3992251994429896	0.0	0.31994625220626005	3	random_matched
null_random_matched_099	raw_smoothed	15489	0.5508801547654288	0.5328280633175455	0.0	0.4172478378652609	4	random_matched
null_random_matched_100	raw_smoothed	15489	0.6177520929792679	0.49018533956466614	0.0	0.35858723549525007	4	random_matched
null_random_matched_101	raw_smoothed	15489	0.4821179856204743	0.4529839934080156	0.0	0.3128862458901517	3	random_matched
null_random_matched_102	raw_smoothed	15489	0.6102530843745442	0.5439558216871672	0.0	0.4191901749817095	4	random_matched
null_random_matched_103	raw_smoothed	15489	0.6186967097941112	0.5678790627323209	0.0	0.4717713937785186	4	random_matched
null_random_matched_104	raw_smoothed	15489	0.2778063812084737	0.37055227181713546	0.0	0.3703973338945157	3	random_matched
null_random_matched_105	raw_smoothed	15489	0.6645052852139843	0.6374880919395557	0.0	0.5001575844384625	4	random_matched
null_random_matched_106	raw_smoothed	15489	0.6011831817666492	0.6045980129745013	0.0	0.4850696579426322	4	random_matched
null_random_matched_107	raw_smoothed	15489	0.5561983203603829	0.5221269964550779	0.0	0.3983507446097519	4	random_matched
null_random_matched_108	raw_smoothed	15489	0.6370491542997493	0.6060431587376027	0.0	0.5223358449611801	4	random_matched
null_random_matched_109	raw_smoothed	15489	0.5581353590478945	0.5851452881599191	0.0	0.5019896405143822	4	random_matched
null_random_matched_110	raw_smoothed	15489	0.2968231207313519	0.41918514391310624	0.0	0.2921261310145556	3	random_matched
null_random_matched_111	raw_smoothed	15489	0.5915547536594816	0.5963349903495514	0.0	0.5268082164072239	4	random_matched
null_random_matched_112	raw_smoothed	15489	0.5868412733802799	0.5649877276132269	0.0	0.494051423894287	4	random_matched
null_random_matched_113	raw_smoothed	15489	0.6188077109728226	0.5784639527389478	0.0	0.4936147155320808	4	random_matched
null_random_matched_114	raw_smoothed	15489	0.6173194524054471	0.5932591565508871	0.0	0.4954768091173768	4	random_matched
null_random_matched_115	raw_smoothed	15489	0.6375053158776952	0.6200457076319082	0.0	0.5521678571782803	4	random_matched
null_random_matched_116	raw_smoothed	15489	0.6021850510017035	0.4934303054679053	0.0	0.3528702819708657	4	random_matched
null_random_matched_117	raw_smoothed	15489	0.5294230282939787	0.5553029483410205	0.0	0.453975722908313	4	random_matched
null_random_matched_118	raw_smoothed	15489	0.5124397613818787	0.5326457402569206	0.0	0.42303411191200785	3	random_matched
null_random_matched_119	raw_smoothed	15489	0.6215135757775224	0.5838650033798173	0.0	0.47229793183881186	4	random_matched
null_random_matched_120	raw_smoothed	15489	0.4194891785945612	0.44689006826493355	0.0	0.358023419303352	3	random_matched
null_random_matched_121	raw_smoothed	15489	0.5332628205704346	0.5461054341919775	0.0	0.45061385713903235	3	random_matched
null_random_matched_122	raw_smoothed	15489	0.6063806034431197	0.5969172649948411	0.0	0.4592095783619748	4	random_matched
null_random_matched_123	raw_smoothed	15489	0.45801421126975655	0.35274861351823644	0.0	0.3167726602482838	3	random_matched
null_random_matched_124	raw_smoothed	15489	0.6841042863830487	0.650938107950163	0.0	0.5922752982158401	4	random_matched
null_random_matched_125	raw_smoothed	15489	0.5963034365941373	0.5531259940157454	0.0	0.44478962130428373	4	random_matched
null_random_matched_126	raw_smoothed	15489	0.46621545362742234	0.4858538692683269	0.0	0.33545574306202003	3	random_matched
null_random_matched_127	raw_smoothed	15489	0.6017728205397055	0.457364458096134	0.0	0.3862699691691361	4	random_matched
null_random_matched_128	raw_smoothed	15489	0.5657847586574456	0.4866550915317986	0.0	0.4077025410586844	4	random_matched
null_random_matched_129	raw_smoothed	15489	0.5392673714258939	0.5755379646011844	0.0	0.4886730210286738	4	random_matched
null_random_matched_130	raw_smoothed	15489	0.6116959714688368	0.6159276625520795	0.0	0.514663543606754	4	random_matched
null_random_matched_131	raw_smoothed	15489	0.5857677546467195	0.4956832691028959	0.0	0.42732383444721544	4	random_matched
null_random_matched_132	raw_smoothed	15489	0.640209765171034	0.5697385662075845	0.0	0.48623055111253977	4	random_matched
null_random_matched_133	raw_smoothed	15489	0.4525027540940255	0.45076593597951436	0.0	0.39558567099923814	3	random_matched
null_random_matched_134	raw_smoothed	15489	0.49798933734516804	0.5322147087124163	0.0	0.45527660061122555	3	random_matched
null_random_matched_135	raw_smoothed	15489	0.4722359168496694	0.49461192860761605	0.0	0.3779816443373405	3	random_matched
null_random_matched_136	raw_smoothed	15489	0.4868510638854026	0.4670338629031015	0.0	0.4353717619147034	4	random_matched
null_random_matched_137	raw_smoothed	15489	0.5424351006799135	0.5245694101835623	0.0	0.46006579098835687	4	random_matched
null_random_matched_138	raw_smoothed	15489	0.6258960690842716	0.5902240225803486	0.0	0.5228753788421805	4	random_matched
null_random_matched_139	raw_smoothed	15489	0.5113860727680303	0.5216183259133873	0.0	0.43968868869404254	4	random_matched
null_random_matched_140	raw_smoothed	15489	0.4965207014434914	0.43087928479466125	0.0	0.3431142389363728	3	random_matched
null_random_matched_141	raw_smoothed	15489	0.5531618203303157	0.5585348060169261	0.0	0.4463891559728739	4	random_matched
null_random_matched_142	raw_smoothed	15489	0.5780065288878701	0.5732282849276118	0.0	0.4657029773830362	4	random_matched
null_random_matched_143	raw_smoothed	15489	0.5383495191772868	0.5119973076509797	0.0	0.46758525436791387	4	random_matched
null_random_matched_144	raw_smoothed	15489	0.619048991682023	0.6031926579709025	0.0	0.5003987317269315	4	random_matched
null_random_matched_145	raw_smoothed	15489	0.631849186322153	0.6279551161057172	0.0	0.493914361296519	4	random_matched
null_random_matched_146	raw_smoothed	15489	0.6303598957296777	0.5279268490925281	0.0	0.4097832560645263	4	random_matched
null_random_matched_147	raw_smoothed	15489	0.5505151075400713	0.5840952308728017	0.0	0.48294670306621534	4	random_matched
null_random_matched_148	raw_smoothed	15489	0.6620466993656576	0.6141998146477413	0.0	0.511766598835699	4	random_matched
null_random_matched_149	raw_smoothed	15489	0.5953635619233627	0.5590465306553966	0.0	0.49501213353743356	4	random_matched
null_random_matched_150	raw_smoothed	15489	0.5772672076610231	0.5970103178585126	0.0	0.49038442527167403	4	random_matched
null_random_matched_151	raw_smoothed	15489	0.5696597536694681	0.5429326331821888	0.0	0.4562532952678403	4	random_matched
null_random_matched_152	raw_smoothed	15489	0.5914724513998174	0.560678783140758	0.0	0.4531959774577014	4	random_matched
null_random_matched_153	raw_smoothed	15489	0.6052680163058	0.5769543331936343	0.0	0.4698324108219205	4	random_matched
null_random_matched_154	raw_smoothed	15489	0.4863622826028608	0.4740166131455465	0.0	0.3542132334432855	3	random_matched
null_random_matched_155	raw_smoothed	15489	0.5911952946856018	0.572102858692262	0.0	0.44851863555857574	4	random_matched
null_random_matched_156	raw_smoothed	15489	0.592689804834082	0.5375039956452828	0.0	0.37683004496257866	3	random_matched
