generation	pulls_jitter	pulls_swap	pulls_boost	pulls_drop	pulls_reset	pulls_temperature	pulls_feature_focus	reward_jitter	reward_swap	reward_boost	reward_drop	reward_reset	reward_temperature	reward_feature_focus
14	150	129	150	124	153	127	142	0.48757005096429484	0.260148326223664	0.49636110676175216	0.1987233997947877	0.5305864936997475	0.2247051136387731	0.41299480812096434
15	157	138	165	132	161	135	152	0.48757005096429484	0.2685197997057692	0.5819814893025884	0.20607022543875775	0.5340457768884541	0.23946385826276018	0.4313851892510804
16	167	146	175	140	171	144	162	0.48757005096429484	0.2685197997057692	0.5819814893025884	0.20607022543875775	0.5340457768884541	0.23946385826276018	0.4373283708413609
17	175	156	186	149	180	153	171	0.48838945239111287	0.2859505595763533	0.6129526187042341	0.2161764735112629	0.5467171461181126	0.2574571261497465	0.4535534737884901
18	186	165	195	156	190	163	180	0.4959713495416336	0.3011939130071255	0.6183566303144282	0.2161764735112629	0.5630960606181192	0.27819392201781246	0.4535534737884901
19	193	174	206	165	199	172	191	0.4991091439370251	0.3011939130071255	0.6286120351628359	0.21744565660856718	0.5630960606181192	0.283436711903694	0.4734148575339685
20	203	183	215	173	209	181	201	0.5041056228951492	0.3011939130071255	0.6286120351628359	0.21744565660856718	0.5682354644952319	0.29331288896992325	0.4798006322463091
21	213	191	225	182	220	190	209	0.5184562267101865	0.30412058346915083	0.6353325212637836	0.22921971668918073	0.5843341017293947	0.30298220262575315	0.48104593576955945
22	222	199	234	192	229	201	218	0.5220791509518025	0.30412058346915083	0.6371307735110876	0.23522922003311153	0.5844996660809523	0.308741534599695	0.48228910334367825
23	233	208	245	200	238	208	228	0.5378324476923766	0.30412058346915083	0.6554093472108202	0.23522922003311153	0.5891647987304196	0.31138507324609777	0.48228910334367825
24	242	216	257	208	248	217	237	0.5381506378869804	0.30412058346915083	0.6701581829871692	0.23522922003311153	0.5891647987304196	0.31138507324609777	0.49111861980085725
25	252	225	266	217	257	228	245	0.5563032046458514	0.3107161849808696	0.6717978319049196	0.24207339329962185	0.5946472605251099	0.32776136236740094	0.49111861980085725
26	262	233	277	225	266	238	254	0.5609302350683512	0.3107161849808696	0.6895331643091577	0.24207339329962185	0.5946472605251099	0.352928390763673	0.49111861980085725
27	273	242	286	235	275	246	263	0.5793595523161688	0.3107161849808696	0.6940797638096674	0.25324548108850264	0.5946472605251099	0.352928390763673	0.49111861980085725
28	282	250	296	243	285	256	273	0.5793595523161688	0.3107161849808696	0.6940797638096674	0.25338648556971555	0.5980884037386318	0.352928390763673	0.49863813046103833
29	291	259	305	252	296	264	283	0.5793595523161688	0.31663507820058234	0.6943186206678921	0.2552507946360767	0.6200433269203175	0.352928390763673	0.5095676859148598
30	301	268	316	260	307	272	291	0.5793595523161688	0.31663507820058234	0.7150024251552506	0.2555092092186336	0.6334427269902516	0.35778051847782333	0.5095676859148598
31	310	276	326	268	316	283	301	0.5889588724814868	0.31663507820058234	0.7150024251552506	0.2555092092186336	0.6362426808431455	0.36791667028226327	0.5095676859148598
32	319	285	336	277	326	293	309	0.5893824313525052	0.31663507820058234	0.7240977678548574	0.255529866991415	0.6423451561113711	0.3805247727021809	0.5108184876801699
33	328	293	346	286	336	302	319	0.5893824313525052	0.31914948106550733	0.7240977678548574	0.26048527148238276	0.6501771086661151	0.3805247727021809	0.5108612414842051
34	337	302	355	294	346	312	329	0.5893824313525052	0.31914948106550733	0.7305377151280591	0.26048527148238276	0.6578541970634965	0.3832807283762093	0.5206277179717261
35	347	311	365	303	355	321	338	0.5972025723176857	0.31914948106550733	0.7330567774758363	0.2609166630009011	0.6578541970634965	0.3956433625405257	0.5206277179717261
36	357	320	374	311	365	331	347	0.6001116334219386	0.32048046676349584	0.7333575325617873	0.2609166630009011	0.6617001586194072	0.4041360294166282	0.5253295525549886
37	366	328	384	320	375	341	356	0.6013458439200473	0.3210224297790424	0.7333575325617873	0.2616814755548881	0.6617001586194072	0.4132491840448873	0.5253295525549886
38	377	336	394	328	383	350	367	0.6159944477238235	0.3210224297790424	0.7356032491868583	0.2616814755548881	0.6617001586194072	0.4202204007324297	0.5371351386100355
39	387	345	403	337	394	359	375	0.6159944477238235	0.32317910438067354	0.7391461609667592	0.26584108129216477	0.6720185672772515	0.4221800143747453	0.5371351386100355
40	396	354	412	345	404	368	386	0.627184989815328	0.326895972025518	0.7391461609667592	0.2670422057136618	0.6862828859942076	0.4221800143747453	0.5559981845831826
41	407	362	421	354	414	376	396	0.6307141371993973	0.3289269338461688	0.7391461609667592	0.26825354706180315	0.6870224410094031	0.4221800143747453	0.5600386452185023
42	415	372	431	362	423	386	406	0.6307141371993973	0.3289269338461688	0.7391461609667592	0.26825354706180315	0.6870224410094031	0.4238757094052641	0.563848187186924
43	425	380	440	371	433	395	416	0.6349859483705346	0.3289269338461688	0.7417842552956359	0.26825354706180315	0.6889331017892572	0.42752201535259227	0.5759236527550258
44	435	389	450	380	441	405	425	0.6478432071887209	0.33133044839791537	0.7464099581629822	0.26825354706180315	0.6889331017892572	0.4392380771753084	0.5764038587851403
45	445	397	459	388	451	414	436	0.6502117090083358	0.33133044839791537	0.7488739600826961	0.26825354706180315	0.6913441057750636	0.4392380771753084	0.5874418270497428
46	456	406	469	396	460	423	445	0.6570003870496163	0.33133044839791537	0.7535255510096133	0.26825354706180315	0.6914993049312159	0.4409487113924755	0.5877954229166341
47	465	415	479	405	470	432	454	0.6570003870496163	0.33133044839791537	0.7535255510096133	0.26825354706180315	0.6936743850686441	0.44322658302975126	0.5901125806149852
