generation	best_fitness	mean_fitness	fitness	mean_ap	mean_auc	mean_top10	mean_top5	min_ap	std_ap	entropy	bundle_eval_rows
32	0.8836713040557739	0.8577261142050155	0.8836713040557739	0.9058960915294779	0.9494026047722862	0.8800000000000001	0.96	0.7616194147073565	0.09591399885573987	0.3741589363298039	5
33	0.8836713040557739	0.857095589406851	0.8836713040557739	0.9058960915294779	0.9494026047722862	0.8800000000000001	0.96	0.7616194147073565	0.09591399885573987	0.3741589363298039	5
34	0.8843783040399187	0.8577942940988703	0.8843783040399187	0.9085069658924085	0.9500543986016728	0.8800000000000001	0.96	0.7570211906855566	0.09588883493416392	0.3896800654628097	5
35	0.886378068976786	0.8646840359347049	0.886378068976786	0.9081843235034459	0.952084584092681	0.8800000000000001	0.96	0.7712360844141688	0.09048583945078303	0.38365808129956563	5
36	0.886378068976786	0.8594067488567539	0.886378068976786	0.9081843235034459	0.952084584092681	0.8800000000000001	0.96	0.7712360844141688	0.09048583945078303	0.38365808129956563	5
37	0.886378068976786	0.8645019625556274	0.886378068976786	0.9081843235034459	0.952084584092681	0.8800000000000001	0.96	0.7712360844141688	0.09048583945078303	0.38365808129956563	5
38	0.886378068976786	0.8644846555663128	0.886378068976786	0.9081843235034459	0.952084584092681	0.8800000000000001	0.96	0.7712360844141688	0.09048583945078303	0.38365808129956563	5
39	0.8924084377923533	0.8725626717597661	0.8924084377923533	0.9178862338925675	0.9533860703679862	0.8800000000000001	0.96	0.7747421278674018	0.08655995211550088	0.39050074795251116	5
40	0.8924084377923533	0.8693704252586311	0.8924084377923533	0.9178862338925675	0.9533860703679862	0.8800000000000001	0.96	0.7747421278674018	0.08655995211550088	0.39050074795251116	5
41	0.8924084377923533	0.8682421480116934	0.8924084377923533	0.9178862338925675	0.9533860703679862	0.8800000000000001	0.96	0.7747421278674018	0.08655995211550088	0.39050074795251116	5
42	0.8924084377923533	0.8729346837693585	0.8924084377923533	0.9178862338925675	0.9533860703679862	0.8800000000000001	0.96	0.7747421278674018	0.08655995211550088	0.39050074795251116	5
43	0.8924084377923533	0.8716092403919543	0.8924084377923533	0.9178862338925675	0.9533860703679862	0.8800000000000001	0.96	0.7747421278674018	0.08655995211550088	0.39050074795251116	5
44	0.8930317582062948	0.8780360995984853	0.8930317582062948	0.9168276778332369	0.9537690438617755	0.8800000000000001	0.96	0.7829720295937477	0.08636353058039661	0.3773919458206998	5
45	0.8930317582062948	0.8759140451802274	0.8930317582062948	0.9168276778332369	0.9537690438617755	0.8800000000000001	0.96	0.7829720295937477	0.08636353058039661	0.3773919458206998	5
46	0.8939482030481778	0.8808179896505783	0.8939482030481778	0.9186111749635243	0.9566256224461608	0.8800000000000001	0.96	0.7831796219787388	0.0856223991853251	0.3992904128245127	5
47	0.8939482030481778	0.8799337740204618	0.8939482030481778	0.9186111749635243	0.9566256224461608	0.8800000000000001	0.96	0.7831796219787388	0.0856223991853251	0.3992904128245127	5
