page	title	family	images	tables	headings	definitions	bytes
cancer_gene_matrix.html	Lumenix · Cancer × Gene Matrix	Other	1	1	2	TCGA-THCA; Hugo/Riaz melanoma ICI pool; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	28905
cancer_vaccine_agent.html	Lumenix · Cancer Vaccine Agent — Thyroid + PDAC PoC (SPARK-architecture)	Neoantigen / Vaccine	5	5	58	TCGA-THCA; K2 / PRJEB11591; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	264224
cancer_vaccine_barneo_x_interpretability_2026_05_09.html	BAR-Neo-X Interpretability Boost	Neoantigen / Vaccine	1	11	19	Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	73835
cancer_vaccine_full_dossier.html	Cancer Vaccine · Full Dossier · Lumenix Post-TESLA Hub	Neoantigen / Vaccine	2	41	59	TCGA-THCA; K2 / PRJEB11591; GSE76039 / Landa advanced thyroid; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	175582
claim_boundary_ledger_2026_0509.html	Claim Boundary Ledger 2026-05-09	Other	0	1	3	TCGA-THCA; K2 / PRJEB11591; GSE286332; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	127580
clean_neobench_barneo_dossier_2026_05_09.html	CLEAN-NeoBench + BAR-Neo-BMA Dossier	Neoantigen / Vaccine	0	39	48	GSE76039 / Landa advanced thyroid; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	322908
clean_neobench_challenge_pack_2026_05_10.html	CLEAN-NeoBench Challenge Pack	Neoantigen / Vaccine	3	3	8	TCGA-THCA; K2 / PRJEB11591; GSE76039 / Landa advanced thyroid; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR	71567
clean_neobench_visual_dashboard_2026_05_10.html	CLEAN-NeoBench Visual Dashboard	Neoantigen / Vaccine	15	0	1	TCGA-THCA; 8-gene mini-index; RAI_8 / thyroid differentiation score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	48275
conflict_map.html	Lumenix · Cross-Source Conflict Map	Neoantigen / Vaccine	0	2	4	TCGA-THCA; GSE76039 / Landa advanced thyroid; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	28919
cross_neo_decision_storyboard.html	CROSS-Neo Decision Storyboard	Neoantigen / Vaccine	8	6	18	K2 / PRJEB11591; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	59602
cross_neo_dl_first_slider_dashboard.html	CROSS-Neo DL-First Funnel Slider	Neoantigen / Vaccine	0	3	7	TCGA-THCA; GSE213647 / Lee 2024; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; MAPK output score; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	654130
cross_neo_high_impact_decision.html	CROSS-Neo High-Impact Decision Package	Neoantigen / Vaccine	16	19	38	TCGA-THCA; K2 / PRJEB11591; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	146300
cross_neo_impact_portfolio_v3.html	CROSS-Neo Impact Portfolio v3	Neoantigen / Vaccine	4	4	8	Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	56248
cross_neo_md_audit_dossier.html	CROSS-Neo MD Audit	Neoantigen / Vaccine	42	28	62	K2 / PRJEB11591; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	191682
cross_neo_preregistered_impact_v5.html	CROSS-Neo Preregistered Impact v5	Neoantigen / Vaccine	4	4	7	GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	56043
cross_neo_tcr_extension_dossier.html	CROSS-Neo-TCR Extension Dossier	Neoantigen / Vaccine	7	11	16	TCGA-THCA; GSE76039 / Landa advanced thyroid; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	74504
cross_neo_translational_impact_v4.html	CROSS-Neo Translational Impact v4	Neoantigen / Vaccine	4	4	7	GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	77107
curator_audit.html	Lumenix · Per-Source Curator Audit	Neoantigen / Vaccine	1	1	4	TCGA-THCA; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	29831
current_situation_2026_0509.html	Current Situation 2026-05-09 · THCA Hub	Operations	0	3	6	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE250521; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	11209
cv_agent_demo.html	Lumenix · Cancer Vaccine Agent · Live Demo (25 tools)	Other	9	2	6	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	87161
data_definitions_2026_0509.html	Data Definition Sheet 2026-05-09 · THCA Hub	Operations	0	2	4	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	8930
deconvolution_repo_2026_05_10.html	Deconvolution Repo 2026-05-10	Other	0	1	4	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE250521; GSE184362 / GSE193581 / GSE241184; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	30530
driver_gene_atlas.html	Lumenix · Driver Gene Atlas	Neoantigen / Vaccine	1	1	4	TCGA-THCA; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	29195
egfr_lung_cancer.html	Lumenix · EGFR Lung Cancer	Neoantigen / Vaccine	0	1	4	K2 / PRJEB11591; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	25804
esm2_umap.html	Lumenix · ESM2 UMAP	Neoantigen / Vaccine	1	0	2	AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	24940
evidence_qc_dashboard_2026_0509.html	Evidence QC Dashboard 2026-05-09	Other	0	1	4	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE286332; GSE250521; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	92585
family_hla_paper_2_4_dossier_2026_0509.html	HLA / Paper 2-4 Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR	19906
family_index_2026_0509.html	Family Dossiers 2026-05-09	Operations	0	0	2	TCGA-THCA; K2 / PRJEB11591; GSE250521; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	11693
family_neoantigen_vaccine_dossier_2026_0509.html	Neoantigen / Vaccine Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	103947
family_operations_dossier_2026_0509.html	Operations Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	36181
family_other_dossier_2026_0509.html	Other Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	75938
family_paper_10_dossier_2026_0509.html	Paper 10 Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE250521; GSE76039 / Landa advanced thyroid; 8-gene mini-index; RAI_8 / thyroid differentiation score; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap	10812
family_paper_11_dossier_2026_0509.html	Paper 11 Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE250521; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; 8-gene mini-index; RAI_8 / thyroid differentiation score; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap	12681
family_paper_12_dossier_2026_0509.html	Paper 12 Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE250521; GSE76039 / Landa advanced thyroid; 8-gene mini-index; RAI_8 / thyroid differentiation score; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap	10847
family_paper_1_dossier_2026_0509.html	Paper 1 Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap	1184945
family_paper_2_dossier_2026_0509.html	Paper 2 Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; Cohen's d / Spearman rho / Cox HR	65855
family_paper_3_dossier_2026_0509.html	Paper 3 Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; K2 / PRJEB11591; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR	14137
family_paper_4_dossier_2026_0509.html	Paper 4 Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap	19151
family_paper_5_dossier_2026_0509.html	Paper 5 Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE250521; GSE76039 / Landa advanced thyroid; 8-gene mini-index; RAI_8 / thyroid differentiation score; Cohen's d / Spearman rho / Cox HR	10433
family_paper_6_dial_dossier_2026_0509.html	Paper 6 / DIAL Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; Cohen's d / Spearman rho / Cox HR	20007
family_paper_7_dossier_2026_0509.html	Paper 7 Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; K2 / PRJEB11591; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; 8-gene mini-index; RAI_8 / thyroid differentiation score; Cohen's d / Spearman rho / Cox HR	8550
family_paper_9_dossier_2026_0509.html	Paper 9 Dossier 2026-05-09	Operations	0	0	5	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE286332; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap	15395
