cluster_1,,B cell,B cell,B cell,B cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell
XCL1,CCR7,,,,,,0.998,0.0,,,,,,,,,
CSF3,MMP9,,,,,,1.0,0.0,0.562,,0.994,0.0,0.97,,0.824,0.0,0.784
IL1B,CSF1,,,,,,0.0,0.22,0.88,,1.0,0.994,1.0,,0.986,0.894,0.994
CSF2,CDH11,,,,,,0.722,0.884,0.054,,0.064,0.64,0.028,,,,
ADIPOQ,TNF,,,,,,,,,,,,,,,,
TNF,CDK6,,,,,,0.0,0.92,,,0.312,0.906,,,,,
CCL4,CCR7,,,,,,0.648,0.0,,,0.554,0.038,,,0.964,0.324,
CXCL1,CCR7,,,,,,0.964,0.0,,,0.572,0.002,,,,,
CCL13,CCR6,,,,,,,,,,,,,,,,
CXCL8,CCR7,,,,,,0.996,0.0,,,0.858,0.0,,,,,
IFNG,PIGR,,,,,,,,,,,,,,,,
CALCA,CDH11,,,,,,,,,,,,,,,,
CCL15,CCR6,,,,,,,,,,,,,,,,
CSF3,TNF,,,,,,0.01,0.32,,,0.982,0.984,,,0.752,0.752,
CXCL2,CCR7,,,,,,0.852,0.0,,,0.978,0.012,,,0.796,0.014,
CXCL12,MMP13,,,,,,,,,,,,,,,,
CXCL12,CXCR6,,,,,,0.574,0.068,0.952,,0.074,0.03,0.554,,,,
PPBP,CXCR6,,,,,,,,,,,,,,,,
IL22,MMP1,,,,,,,,,,,,,,,,
CD40LG,PTGS2,,,,,,,,,,,,,,,,
CCL5,MMP9,,,,,,1.0,0.0,0.614,,0.0,0.0,0.0,,1.0,0.09,1.0
RELN,ITGB6,,,,,,,,,,,,,,,,
IFNG,CTSL,,,,,,0.474,0.02,1.0,,0.09,0.004,1.0,,0.306,0.018,0.998
CCL17,CCR6,,,,,,,,,,,,,,,,
IFNG,CTSK,,,,,,1.0,0.0,0.362,,0.122,0.0,0.164,,0.382,0.002,0.328
CCL13,CXCR6,,,,,,0.69,0.066,0.954,,0.232,0.06,0.81,,0.512,0.13,0.918
IFNG,CD40LG,,,,,,,0.078,,,,0.06,,,,0.248,
TNF,PTGS2,,,,,,,,,,,,,,,,
IL1A,ITGA6,,,,,,0.0,1.0,,,0.57,1.0,,,,,
