dataset	signature	n_genes	n_present	genes_present	genes_missing	source_file
GSE33630	MHC2_CORE	7	7	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;CIITA		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE33630_expression_gene_log.tsv.gz
GSE33630	ANTIGEN_PROCESSING	8	8	TAP1;TAP2;TAPBP;PSMB8;PSMB9;PSMB10;ERAP1;ERAP2		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE33630_expression_gene_log.tsv.gz
GSE33630	TLS_CABRITA	7	7	CXCL13;CCL19;CCL21;LTB;CD79A;MS4A1;BANK1		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE33630_expression_gene_log.tsv.gz
GSE33630	CXCL13_AXIS	6	6	CXCL13;CXCR5;ICOS;PDCD1;TOX;BCL6		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE33630_expression_gene_log.tsv.gz
GSE33630	T_CELL_EXHAUSTION	7	7	PDCD1;CTLA4;LAG3;HAVCR2;TIGIT;TOX;CXCL13		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE33630_expression_gene_log.tsv.gz
GSE33630	TREG	5	5	FOXP3;IL2RA;CTLA4;IKZF2;TNFRSF18		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE33630_expression_gene_log.tsv.gz
GSE33630	M2_TAM	6	6	CD163;MRC1;MSR1;IL10;VSIG4;MARCO		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE33630_expression_gene_log.tsv.gz
GSE33630	MDSC_LIKE	6	6	S100A8;S100A9;ARG1;IL1B;CXCR2;FCGR3B		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE33630_expression_gene_log.tsv.gz
GSE33630	STROMAL_EXCLUSION	7	7	TGFB1;TGFBI;COL1A1;COL3A1;ACTA2;FAP;CXCL12		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE33630_expression_gene_log.tsv.gz
GSE33630	IFN_GAMMA_RESPONSE	7	7	STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;IDO1		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE33630_expression_gene_log.tsv.gz
GSE33630	DEDIFFERENTIATED_EPI	7	7	VIM;FN1;SNAI2;TWIST1;ZEB1;ITGA5;MMP2		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE33630_expression_gene_log.tsv.gz
GSE53157	IFNG_TIS	8	8	IFNG;STAT1;CXCL9;CXCL10;IDO1;HLA-DRA;GZMB;PRF1		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE53157_expression_gene_log.tsv.gz
GSE53157	CYTOLYTIC	5	5	GZMA;GZMB;PRF1;GNLY;NKG7		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE53157_expression_gene_log.tsv.gz
GSE53157	MHC1_CORE	7	7	HLA-A;HLA-B;HLA-C;B2M;TAP1;TAP2;NLRC5		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE53157_expression_gene_log.tsv.gz
GSE53157	MHC2_CORE	7	7	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;CIITA		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE53157_expression_gene_log.tsv.gz
GSE53157	ANTIGEN_PROCESSING	8	8	TAP1;TAP2;TAPBP;PSMB8;PSMB9;PSMB10;ERAP1;ERAP2		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE53157_expression_gene_log.tsv.gz
GSE53157	TLS_CABRITA	7	7	CXCL13;CCL19;CCL21;LTB;CD79A;MS4A1;BANK1		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE53157_expression_gene_log.tsv.gz
GSE53157	CXCL13_AXIS	6	6	CXCL13;CXCR5;ICOS;PDCD1;TOX;BCL6		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE53157_expression_gene_log.tsv.gz
GSE53157	T_CELL_EXHAUSTION	7	7	PDCD1;CTLA4;LAG3;HAVCR2;TIGIT;TOX;CXCL13		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE53157_expression_gene_log.tsv.gz
GSE53157	TREG	5	5	FOXP3;IL2RA;CTLA4;IKZF2;TNFRSF18		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE53157_expression_gene_log.tsv.gz
GSE53157	M2_TAM	6	6	CD163;MRC1;MSR1;IL10;VSIG4;MARCO		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE53157_expression_gene_log.tsv.gz
GSE53157	MDSC_LIKE	6	6	S100A8;S100A9;ARG1;IL1B;CXCR2;FCGR3B		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE53157_expression_gene_log.tsv.gz
GSE53157	STROMAL_EXCLUSION	7	7	TGFB1;TGFBI;COL1A1;COL3A1;ACTA2;FAP;CXCL12		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE53157_expression_gene_log.tsv.gz
GSE53157	IFN_GAMMA_RESPONSE	7	7	STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;IDO1		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE53157_expression_gene_log.tsv.gz
GSE53157	DEDIFFERENTIATED_EPI	7	7	VIM;FN1;SNAI2;TWIST1;ZEB1;ITGA5;MMP2		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE53157_expression_gene_log.tsv.gz
GSE65144	IFNG_TIS	8	8	IFNG;STAT1;CXCL9;CXCL10;IDO1;HLA-DRA;GZMB;PRF1		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE65144_expression_gene_log.tsv.gz
GSE65144	CYTOLYTIC	5	5	GZMA;GZMB;PRF1;GNLY;NKG7		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE65144_expression_gene_log.tsv.gz
GSE65144	MHC1_CORE	7	7	HLA-A;HLA-B;HLA-C;B2M;TAP1;TAP2;NLRC5		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE65144_expression_gene_log.tsv.gz
GSE65144	MHC2_CORE	7	7	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;CIITA		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE65144_expression_gene_log.tsv.gz
GSE65144	ANTIGEN_PROCESSING	8	8	TAP1;TAP2;TAPBP;PSMB8;PSMB9;PSMB10;ERAP1;ERAP2		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE65144_expression_gene_log.tsv.gz
GSE65144	TLS_CABRITA	7	7	CXCL13;CCL19;CCL21;LTB;CD79A;MS4A1;BANK1		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE65144_expression_gene_log.tsv.gz
GSE65144	CXCL13_AXIS	6	6	CXCL13;CXCR5;ICOS;PDCD1;TOX;BCL6		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE65144_expression_gene_log.tsv.gz
GSE65144	T_CELL_EXHAUSTION	7	7	PDCD1;CTLA4;LAG3;HAVCR2;TIGIT;TOX;CXCL13		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE65144_expression_gene_log.tsv.gz
GSE65144	TREG	5	5	FOXP3;IL2RA;CTLA4;IKZF2;TNFRSF18		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE65144_expression_gene_log.tsv.gz
GSE65144	M2_TAM	6	6	CD163;MRC1;MSR1;IL10;VSIG4;MARCO		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE65144_expression_gene_log.tsv.gz
GSE65144	MDSC_LIKE	6	6	S100A8;S100A9;ARG1;IL1B;CXCR2;FCGR3B		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE65144_expression_gene_log.tsv.gz
GSE65144	STROMAL_EXCLUSION	7	7	TGFB1;TGFBI;COL1A1;COL3A1;ACTA2;FAP;CXCL12		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE65144_expression_gene_log.tsv.gz
GSE65144	IFN_GAMMA_RESPONSE	7	7	STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;IDO1		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE65144_expression_gene_log.tsv.gz
GSE65144	DEDIFFERENTIATED_EPI	7	7	VIM;FN1;SNAI2;TWIST1;ZEB1;ITGA5;MMP2		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE65144_expression_gene_log.tsv.gz
GSE76039	IFNG_TIS	8	0		IFNG;STAT1;CXCL9;CXCL10;IDO1;HLA-DRA;GZMB;PRF1	/home/seungho/personal/THCA_data_analysis/project/results/p_landa_2016/expression_matrix_log_gene.tsv.gz
GSE76039	CYTOLYTIC	5	0		GZMA;GZMB;PRF1;GNLY;NKG7	/home/seungho/personal/THCA_data_analysis/project/results/p_landa_2016/expression_matrix_log_gene.tsv.gz
GSE76039	MHC1_CORE	7	0		HLA-A;HLA-B;HLA-C;B2M;TAP1;TAP2;NLRC5	/home/seungho/personal/THCA_data_analysis/project/results/p_landa_2016/expression_matrix_log_gene.tsv.gz
GSE76039	MHC2_CORE	7	0		HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;CIITA	/home/seungho/personal/THCA_data_analysis/project/results/p_landa_2016/expression_matrix_log_gene.tsv.gz
GSE76039	ANTIGEN_PROCESSING	8	0		TAP1;TAP2;TAPBP;PSMB8;PSMB9;PSMB10;ERAP1;ERAP2	/home/seungho/personal/THCA_data_analysis/project/results/p_landa_2016/expression_matrix_log_gene.tsv.gz
GSE76039	TLS_CABRITA	7	0		CXCL13;CCL19;CCL21;LTB;CD79A;MS4A1;BANK1	/home/seungho/personal/THCA_data_analysis/project/results/p_landa_2016/expression_matrix_log_gene.tsv.gz
GSE76039	CXCL13_AXIS	6	0		CXCL13;CXCR5;ICOS;PDCD1;TOX;BCL6	/home/seungho/personal/THCA_data_analysis/project/results/p_landa_2016/expression_matrix_log_gene.tsv.gz
GSE76039	T_CELL_EXHAUSTION	7	0		PDCD1;CTLA4;LAG3;HAVCR2;TIGIT;TOX;CXCL13	/home/seungho/personal/THCA_data_analysis/project/results/p_landa_2016/expression_matrix_log_gene.tsv.gz
GSE76039	TREG	5	0		FOXP3;IL2RA;CTLA4;IKZF2;TNFRSF18	/home/seungho/personal/THCA_data_analysis/project/results/p_landa_2016/expression_matrix_log_gene.tsv.gz
GSE76039	M2_TAM	6	0		CD163;MRC1;MSR1;IL10;VSIG4;MARCO	/home/seungho/personal/THCA_data_analysis/project/results/p_landa_2016/expression_matrix_log_gene.tsv.gz
GSE76039	MDSC_LIKE	6	0		S100A8;S100A9;ARG1;IL1B;CXCR2;FCGR3B	/home/seungho/personal/THCA_data_analysis/project/results/p_landa_2016/expression_matrix_log_gene.tsv.gz
GSE76039	STROMAL_EXCLUSION	7	0		TGFB1;TGFBI;COL1A1;COL3A1;ACTA2;FAP;CXCL12	/home/seungho/personal/THCA_data_analysis/project/results/p_landa_2016/expression_matrix_log_gene.tsv.gz
GSE76039	IFN_GAMMA_RESPONSE	7	0		STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;IDO1	/home/seungho/personal/THCA_data_analysis/project/results/p_landa_2016/expression_matrix_log_gene.tsv.gz
GSE76039	DEDIFFERENTIATED_EPI	7	0		VIM;FN1;SNAI2;TWIST1;ZEB1;ITGA5;MMP2	/home/seungho/personal/THCA_data_analysis/project/results/p_landa_2016/expression_matrix_log_gene.tsv.gz
