lr_pair,PT_n,PT_recurrence,PTC_n,PTC_recurrence,LPTC_n,LPTC_recurrence,ATC_n,ATC_recurrence
CCL1__ACKR4,3,0.0,4,0.0,4,0.0,4,0.0
CCL1__CCR4,3,0.0,4,0.0,4,0.0,4,0.0
CCL1__CCR6,3,0.0,4,0.25,4,0.25,4,0.0
CCL1__CCR7,3,0.0,4,0.25,4,0.25,4,0.0
CCL1__CXCR6,3,0.0,4,0.25,4,0.25,4,0.0
CCL11__ACKR1,3,0.0,4,0.0,4,0.75,4,0.5
CCL11__ACKR4,3,0.0,4,0.0,4,0.25,4,0.5
CCL11__CCR4,3,0.0,4,0.0,4,0.0,4,0.0
CCL11__CCR6,3,0.0,4,0.0,4,0.75,4,0.5
CCL11__CCR7,3,0.0,4,0.0,4,0.75,4,0.5
CCL11__CXCR6,3,0.0,4,0.0,4,0.75,4,0.5
CCL11__PIK3C2G,3,0.0,4,0.0,4,0.0,4,0.0
CCL13__ACKR1,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CCL13__ACKR4,3,0.0,4,0.5,4,0.75,4,0.75
CCL13__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL13__CCR6,3,0.0,4,1.0,4,1.0,4,0.5
CCL13__CCR7,3,0.0,4,1.0,4,1.0,4,0.75
CCL13__CXCR6,3,0.0,4,1.0,4,1.0,4,0.75
CCL14__ACKR1,3,1.0,4,1.0,4,1.0,4,0.5
CCL14__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL14__CCR6,3,0.0,4,1.0,4,1.0,4,0.5
CCL14__CCR7,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CCL14__CXCR6,3,0.6666666666666666,4,0.75,4,1.0,4,0.75
CCL15__CCR4,3,0.0,4,0.0,4,0.0,4,0.0
CCL15__CCR6,3,0.0,4,0.0,4,0.25,4,0.25
CCL15__CCR7,3,0.0,4,0.0,4,0.25,4,0.25
CCL15__CXCR6,3,0.0,4,0.0,4,0.25,4,0.25
CCL17__ACKR1,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CCL17__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL17__CCR6,3,0.0,4,1.0,4,1.0,4,0.5
CCL17__CCR7,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CCL17__CXCR6,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CCL18__ACKR1,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
CCL18__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL18__CCR6,3,0.0,4,1.0,4,1.0,4,0.5
CCL18__CCR7,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CCL18__CXCR6,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
CCL19__ACKR4,3,0.0,4,0.5,4,0.75,4,0.5
CCL19__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL19__CCR6,3,0.0,4,1.0,4,1.0,4,0.5
CCL19__CCR7,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CCL19__CXCR6,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
CCL2__ACKR1,3,1.0,4,1.0,4,1.0,4,0.75
CCL2__ACKR4,3,0.0,4,0.5,4,0.75,4,0.75
CCL2__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL2__CCR6,3,0.0,4,1.0,4,1.0,4,0.5
CCL2__CCR7,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CCL2__CXCR6,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
CCL2__F3,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
CCL2__MMP14,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
CCL2__PTGS2,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CCL2__TNF,3,0.3333333333333333,4,0.5,4,0.5,4,0.25
CCL2__VEGFA,3,1.0,4,1.0,4,1.0,4,0.75
CCL20__ACKR4,3,0.0,4,0.5,4,0.25,4,0.75
CCL20__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL20__CCR6,3,0.0,4,0.75,4,0.5,4,0.5
CCL20__CCR7,3,0.0,4,0.75,4,0.75,4,0.75
CCL20__CXCR6,3,0.3333333333333333,4,0.75,4,0.75,4,0.75
CCL21__ACKR4,3,0.0,4,0.5,4,0.75,4,0.5
CCL21__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL21__CCR6,3,0.0,4,1.0,4,0.75,4,0.5
CCL21__CCR7,3,0.3333333333333333,4,1.0,4,0.75,4,0.75
CCL21__CXCL10,3,0.3333333333333333,4,0.75,4,0.75,4,1.0
CCL21__CXCR6,3,0.3333333333333333,4,1.0,4,0.75,4,1.0
CCL22__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL22__CCR6,3,0.0,4,1.0,4,1.0,4,0.5
CCL22__CCR7,3,0.0,4,1.0,4,1.0,4,0.75
CCL22__CXCR6,3,0.0,4,1.0,4,1.0,4,0.75
CCL23__CCR4,3,0.0,4,0.0,4,0.0,4,0.0
CCL23__CCR6,3,0.0,4,0.5,4,1.0,4,0.5
CCL23__CCR7,3,0.0,4,0.75,4,1.0,4,0.5
CCL23__CXCR6,3,0.0,4,0.75,4,1.0,4,0.75
CCL23__FPR2,3,0.0,4,0.0,4,0.25,4,0.5
CCL23__KDR,3,0.0,4,0.5,4,1.0,4,0.25
CCL26__CCR4,3,0.0,4,0.0,4,0.0,4,0.0
CCL26__CCR6,3,0.0,4,1.0,4,0.75,4,0.5
CCL26__CCR7,3,0.0,4,1.0,4,0.75,4,0.5
CCL26__CXCR6,3,0.0,4,1.0,4,0.75,4,0.75
CCL3__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL3__CCR6,3,0.0,4,1.0,4,1.0,4,0.5
CCL3__CCR7,3,0.0,4,1.0,4,1.0,4,0.75
CCL3__CXCR6,3,0.0,4,1.0,4,1.0,4,1.0
CCL3L1__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL3L1__CCR6,3,0.0,4,0.75,4,1.0,4,0.5
CCL3L1__CCR7,3,0.0,4,0.75,4,1.0,4,0.75
CCL3L1__CXCR6,3,0.0,4,0.75,4,1.0,4,0.75
CCL4__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL4__CCR6,3,0.0,4,1.0,4,1.0,4,0.5
CCL4__CCR7,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CCL4__CXCR6,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
CCL5__ACKR1,3,1.0,4,1.0,4,1.0,4,0.75
CCL5__ACKR4,3,0.0,4,0.5,4,0.75,4,0.75
CCL5__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL5__CCR6,3,0.0,4,1.0,4,1.0,4,0.5
CCL5__CCR7,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CCL5__CXCL12,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
CCL5__CXCR6,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
CCL5__MMP9,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
CCL5__TNFRSF4,3,1.0,4,1.0,4,1.0,4,1.0
CCL7__ACKR1,3,0.3333333333333333,4,0.25,4,0.5,4,0.25
CCL7__ACKR4,3,0.0,4,0.25,4,0.25,4,0.0
CCL7__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL7__CCR6,3,0.0,4,0.25,4,0.5,4,0.25
CCL7__CCR7,3,0.0,4,0.25,4,0.5,4,0.5
CCL7__CXCR6,3,0.3333333333333333,4,0.25,4,0.5,4,0.25
CCL8__ACKR1,3,0.0,4,0.5,4,0.75,4,0.75
CCL8__ACKR4,3,0.0,4,0.25,4,0.75,4,0.5
CCL8__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CCL8__CCR6,3,0.0,4,0.5,4,0.75,4,0.5
CCL8__CCR7,3,0.0,4,0.5,4,0.75,4,0.75
CCL8__CXCR6,3,0.0,4,0.5,4,0.75,4,1.0
CCN1__IL17A,3,0.0,4,0.0,4,0.0,4,0.0
CCN1__ITGA6,3,0.6666666666666666,4,0.75,4,1.0,4,1.0
CD160__KLRD1,3,0.0,4,0.0,4,0.25,4,0.5
CD40LG__C3,3,0.3333333333333333,4,0.25,4,0.5,4,0.25
CD40LG__F3,3,0.3333333333333333,4,0.25,4,0.5,4,0.5
CD40LG__PTGS2,3,0.0,4,0.25,4,0.5,4,0.0
CD40LG__VCAM1,3,0.3333333333333333,4,0.25,4,0.5,4,0.5
CD40LG__VEGFA,3,0.3333333333333333,4,0.25,4,0.5,4,0.5
CEACAM5__CEACAM6,3,0.0,4,0.0,4,0.0,4,0.0
CEACAM6__CEACAM5,3,0.0,4,0.0,4,0.0,4,0.0
CEACAM6__STAB1,3,0.0,4,1.0,4,0.75,4,0.25
CGA__RAMP2,3,0.0,4,0.0,4,0.25,4,0.0
CGA__RAMP3,3,0.0,4,0.0,4,0.25,4,0.0
CGA__TSHR,3,0.0,4,0.0,4,0.25,4,0.0
CLU__TYROBP,3,1.0,4,1.0,4,1.0,4,1.0
COL6A3__ITGA6,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
COL6A3__ITGB6,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
COMP__CD36,3,0.3333333333333333,4,1.0,4,1.0,4,0.5
COMP__ITGA6,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
COMP__ITGB6,3,0.6666666666666666,4,1.0,4,1.0,4,0.25
CRLF1__LIFR,3,0.6666666666666666,4,1.0,4,1.0,4,0.25
CSF1__TNF,3,0.3333333333333333,4,0.5,4,0.5,4,0.25
CSF1__VEGFA,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
CSF2__CD1A,3,0.0,4,0.5,4,0.75,4,0.5
CSF2__CD1C,3,0.0,4,0.75,4,1.0,4,0.5
CSF2__CDH11,3,0.0,4,0.75,4,1.0,4,0.75
CSF2__CEACAM5,3,0.0,4,0.0,4,0.0,4,0.0
CSF2__CPE,3,0.0,4,0.75,4,1.0,4,0.5
CSF2__CSF1,3,0.0,4,0.25,4,0.75,4,0.5
CSF2__CSF2,3,0.0,4,0.75,4,0.5,4,0.5
CSF2__FCER2,3,0.0,4,0.25,4,0.5,4,0.0
CSF2__FLT1,3,0.0,4,0.75,4,1.0,4,0.5
CSF2__HDC,3,0.0,4,0.25,4,0.5,4,0.5
CSF2__MMP1,3,0.0,4,0.5,4,0.75,4,0.5
CSF2__MMP14,3,0.0,4,0.5,4,1.0,4,0.75
CSF2__MMP9,3,0.0,4,0.75,4,0.75,4,0.75
CSF2__PLAU,3,0.0,4,0.75,4,1.0,4,0.75
CSF2__TNF,3,0.0,4,0.5,4,0.5,4,0.25
CSF3__ACE,3,0.0,4,0.5,4,0.25,4,0.75
CSF3__BIRC3,3,0.0,4,0.5,4,0.25,4,0.5
CSF3__CXCL12,3,0.0,4,0.5,4,0.25,4,0.5
CSF3__MMP9,3,0.0,4,0.5,4,0.25,4,0.5
CSF3__MPL,3,0.0,4,0.0,4,0.0,4,0.0
CSF3__PLAUR,3,0.0,4,0.5,4,0.25,4,0.5
CSF3__TNF,3,0.0,4,0.0,4,0.25,4,0.25
CTSG__C3,3,0.0,4,0.5,4,0.75,4,0.75
CTSG__CXCL12,3,0.0,4,0.5,4,0.75,4,0.75
CTSG__F2RL3,3,0.0,4,0.5,4,0.75,4,0.75
CTSG__THBD,3,0.0,4,0.5,4,0.75,4,0.5
CXCL1__ACKR1,3,0.0,4,0.5,4,0.5,4,0.75
CXCL1__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CXCL1__CCR6,3,0.0,4,0.5,4,0.5,4,0.5
CXCL1__CCR7,3,0.0,4,0.5,4,0.5,4,0.5
CXCL1__CXCR6,3,0.0,4,0.25,4,0.5,4,0.75
CXCL10__ACKR1,3,0.3333333333333333,4,0.75,4,0.75,4,0.75
CXCL10__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CXCL10__CCR6,3,0.0,4,0.75,4,0.75,4,0.5
CXCL10__CCR7,3,0.3333333333333333,4,0.75,4,0.75,4,0.5
CXCL10__CXCR6,3,0.3333333333333333,4,0.5,4,0.75,4,1.0
CXCL11__ACKR1,3,0.0,4,0.5,4,0.75,4,0.5
CXCL11__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CXCL11__CCR6,3,0.0,4,0.5,4,0.75,4,0.5
CXCL11__CCR7,3,0.0,4,0.5,4,0.75,4,0.5
CXCL11__CXCR6,3,0.0,4,0.5,4,0.75,4,1.0
CXCL12__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CXCL12__CCR6,3,0.0,4,1.0,4,1.0,4,0.5
CXCL12__CCR7,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CXCL12__CXCR6,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
CXCL12__GZMB,3,0.0,4,1.0,4,1.0,4,1.0
CXCL12__MMP13,3,0.0,4,0.25,4,0.5,4,0.25
CXCL12__MMP9,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
CXCL13__ACKR1,3,0.0,4,0.5,4,1.0,4,0.75
CXCL13__ACKR4,3,0.0,4,0.25,4,0.75,4,0.5
CXCL13__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CXCL13__CCR6,3,0.0,4,0.5,4,1.0,4,0.5
CXCL13__CCR7,3,0.0,4,0.5,4,1.0,4,0.5
CXCL13__CXCR6,3,0.0,4,0.5,4,1.0,4,1.0
CXCL14__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CXCL14__CCR6,3,0.0,4,0.75,4,1.0,4,0.25
CXCL14__CCR7,3,0.3333333333333333,4,1.0,4,1.0,4,0.5
CXCL14__CXCR6,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
CXCL2__ACKR1,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
CXCL2__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CXCL2__CCR6,3,0.0,4,1.0,4,1.0,4,0.5
CXCL2__CCR7,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CXCL2__CXCR6,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
CXCL3__ACKR1,3,0.0,4,0.5,4,1.0,4,0.5
CXCL3__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CXCL3__CCR6,3,0.0,4,0.5,4,1.0,4,0.5
CXCL3__CCR7,3,0.0,4,0.5,4,1.0,4,0.5
CXCL3__CXCR6,3,0.0,4,0.5,4,1.0,4,0.75
CXCL5__ACKR1,3,0.0,4,0.5,4,0.5,4,0.75
CXCL5__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CXCL5__CCR6,3,0.0,4,0.5,4,0.5,4,0.5
CXCL5__CCR7,3,0.0,4,0.5,4,0.5,4,0.5
CXCL5__CXCR6,3,0.0,4,0.5,4,0.5,4,1.0
CXCL6__ACKR1,3,0.0,4,0.0,4,0.75,4,0.0
CXCL6__CCR4,3,0.0,4,0.0,4,0.0,4,0.0
CXCL6__CCR6,3,0.0,4,0.0,4,0.75,4,0.25
CXCL6__CCR7,3,0.0,4,0.0,4,0.75,4,0.25
CXCL6__CXCR6,3,0.0,4,0.0,4,0.75,4,0.25
CXCL8__ACKR1,3,0.3333333333333333,4,1.0,4,1.0,4,0.5
CXCL8__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CXCL8__CCR6,3,0.0,4,1.0,4,1.0,4,0.5
CXCL8__CCR7,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CXCL8__CD79A,3,0.3333333333333333,4,1.0,4,0.75,4,0.75
CXCL8__CDH5,3,0.3333333333333333,4,1.0,4,1.0,4,0.5
CXCL8__CXCR6,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CXCL8__KDR,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CXCL8__MMP9,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CXCL9__ACKR1,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
CXCL9__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
CXCL9__CCR6,3,0.0,4,1.0,4,1.0,4,0.5
CXCL9__CCR7,3,0.0,4,1.0,4,1.0,4,0.5
CXCL9__CXCR6,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
CXCL9__FCGR2A,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
DCN__KDR,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
DCN__LRP1,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
DCN__VEGFA,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
DEFB1__CCR6,3,0.0,4,0.25,4,0.25,4,0.25
DKK1__LRP1,3,0.0,4,0.0,4,0.25,4,0.5
DLK1__NOTCH3,3,0.0,4,0.0,4,0.0,4,0.0
DLK1__NOTCH4,3,0.0,4,0.0,4,0.0,4,0.0
DLL1__NOTCH3,3,0.0,4,1.0,4,1.0,4,1.0
DLL1__NOTCH4,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
DLL4__NOTCH3,3,0.0,4,1.0,4,1.0,4,0.5
DLL4__NOTCH4,3,0.6666666666666666,4,1.0,4,1.0,4,0.25
EDN1__ADGRL4,3,0.0,4,0.75,4,0.75,4,0.25
EDN1__EDNRB,3,0.0,4,0.75,4,0.75,4,0.0
EDN1__MCAM,3,0.0,4,0.75,4,0.75,4,0.5
EDN1__MMP1,3,0.0,4,0.25,4,0.5,4,0.5
EFNB2__FCRL1,3,0.0,4,0.25,4,0.25,4,0.0
FAM3D__FPR2,3,0.0,4,0.0,4,0.25,4,0.0
FGF7__FGFR2,3,1.0,4,1.0,4,1.0,4,0.25
FGF7__FGFR4,3,0.0,4,0.0,4,0.0,4,0.0
FGF7__PDGFRA,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
FGF7__PDGFRB,3,0.0,4,1.0,4,1.0,4,0.5
FGF7__PLAU,3,1.0,4,1.0,4,1.0,4,0.5
FGF7__SFTPA1,3,0.0,4,0.5,4,0.75,4,0.25
FGF7__SFTPA2,3,0.0,4,0.0,4,0.25,4,0.25
FGF7__VEGFA,3,1.0,4,1.0,4,1.0,4,0.5
FGFR4__MCAM,3,0.0,4,0.0,4,0.0,4,0.0
FGFR4__MMP9,3,0.0,4,0.0,4,0.0,4,0.0
FGFR4__PLAU,3,0.0,4,0.0,4,0.0,4,0.0
FLT4__FCRL1,3,0.0,4,0.25,4,0.25,4,0.0
FLT4__FLT1,3,0.3333333333333333,4,1.0,4,1.0,4,0.5
FLT4__KDR,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
GAS1__PTCH1,3,1.0,4,1.0,4,1.0,4,0.5
GAS1__SHH,3,0.0,4,0.0,4,0.25,4,0.0
GDF15__TTN,3,0.0,4,0.25,4,0.75,4,0.25
GREM1__KDR,3,0.3333333333333333,4,1.0,4,0.75,4,0.75
HAPLN1__IL1RL1,3,0.0,4,0.25,4,0.5,4,0.0
HLA-DQA2__CTSL,3,0.3333333333333333,4,0.75,4,1.0,4,1.0
HLA-DQA2__LGMN,3,0.3333333333333333,4,0.75,4,1.0,4,1.0
HLA-DQB2__CTSL,3,0.0,4,1.0,4,1.0,4,0.5
HLA-DQB2__LGMN,3,0.0,4,1.0,4,1.0,4,0.5
HLA-DRA__CTSL,3,1.0,4,1.0,4,1.0,4,1.0
HLA-DRA__LGMN,3,1.0,4,1.0,4,1.0,4,1.0
HLA-DRB1__CTSL,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
HLA-DRB1__LGMN,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
HLA-DRB5__CTSL,3,0.3333333333333333,4,1.0,4,1.0,4,0.5
HLA-DRB5__LGMN,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
HLA-G__CD160,3,0.0,4,0.0,4,0.25,4,0.0
HLA-G__KLRC1,3,0.0,4,0.5,4,0.0,4,0.0
HLA-G__KLRC2,3,0.0,4,0.0,4,0.0,4,0.0
HLA-G__KLRD1,3,0.0,4,0.75,4,0.5,4,0.25
ICOS__CD40LG,3,0.0,4,0.25,4,0.25,4,0.5
IFNG__CCR6,3,0.0,4,0.25,4,0.25,4,0.25
IFNG__CD40LG,3,0.0,4,0.0,4,0.25,4,0.25
IFNG__CD74,3,0.0,4,0.25,4,0.25,4,0.75
IFNG__CSF1,3,0.0,4,0.25,4,0.25,4,0.25
IFNG__CTSK,3,0.0,4,0.25,4,0.25,4,0.75
IFNG__CTSL,3,0.0,4,0.25,4,0.25,4,0.75
IFNG__CXCL10,3,0.0,4,0.25,4,0.25,4,0.5
IFNG__CXCL12,3,0.0,4,0.25,4,0.25,4,0.75
IFNG__CXCL9,3,0.0,4,0.25,4,0.25,4,0.5
IFNG__GRIA1,3,0.0,4,0.0,4,0.0,4,0.0
IFNG__HSP90AA1,3,0.0,4,0.25,4,0.25,4,0.5
IFNG__IDO1,3,0.0,4,0.25,4,0.25,4,0.5
IFNG__IFNG,3,0.0,4,0.25,4,0.25,4,0.5
IFNG__IL17A,3,0.0,4,0.0,4,0.0,4,0.0
IFNG__KLRD1,3,0.0,4,0.25,4,0.25,4,0.5
IFNG__LOX,3,0.0,4,0.25,4,0.25,4,0.25
IFNG__MMP13,3,0.0,4,0.0,4,0.0,4,0.25
IFNG__MPL,3,0.0,4,0.0,4,0.0,4,0.0
IFNG__PIGR,3,0.0,4,0.25,4,0.25,4,0.0
IFNG__PTGS2,3,0.0,4,0.25,4,0.25,4,0.5
IFNG__TNF,3,0.0,4,0.25,4,0.25,4,0.0
IFNG__TPO,3,0.0,4,0.25,4,0.25,4,0.25
IFNG__TYMS,3,0.0,4,0.25,4,0.25,4,0.75
IFNG__VCAM1,3,0.0,4,0.25,4,0.25,4,0.5
IGF1__FGFR2,3,1.0,4,1.0,4,1.0,4,0.25
IGF1__FLT1,3,1.0,4,1.0,4,1.0,4,0.25
IGF1__FLT4,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
IGF1__HMOX1,3,1.0,4,1.0,4,1.0,4,0.75
IGF1__INSR,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
IGF1__ITGA6,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
IGF1__KDR,3,1.0,4,1.0,4,1.0,4,0.25
IGF1__NOS1,3,0.0,4,0.0,4,0.0,4,0.0
IGF1__PDGFRA,3,1.0,4,1.0,4,1.0,4,0.5
IGF1__PDGFRB,3,0.3333333333333333,4,1.0,4,1.0,4,0.5
IGF1__VEGFA,3,1.0,4,1.0,4,1.0,4,0.75
IGFBP2__CD24,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
IGFBP3__MMP14,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
IHH__GAS1,3,0.0,4,0.0,4,0.0,4,0.0
IHH__PTCH1,3,0.0,4,0.0,4,0.0,4,0.0
IL10__CD14,3,0.0,4,0.75,4,0.75,4,0.5
IL10__CSF1,3,0.0,4,0.75,4,0.75,4,0.25
IL10__DCN,3,0.0,4,0.75,4,0.75,4,0.5
IL10__F3,3,0.0,4,0.5,4,0.75,4,0.5
IL10__PTGS2,3,0.0,4,0.75,4,0.75,4,0.25
IL10__VEGFA,3,0.0,4,0.75,4,0.75,4,0.5
IL11__IL13RA2,3,0.0,4,0.0,4,0.0,4,0.5
IL11__LIFR,3,0.0,4,0.0,4,0.0,4,0.25
IL12B__CXCL9,3,0.0,4,0.0,4,0.25,4,0.25
IL12B__GZMB,3,0.0,4,0.0,4,0.25,4,0.25
IL12B__TNF,3,0.0,4,0.0,4,0.25,4,0.25
IL13__CXCL12,3,0.0,4,0.0,4,0.0,4,0.0
IL13__IL13,3,0.0,4,0.0,4,0.0,4,0.0
IL13__IL13RA2,3,0.0,4,0.0,4,0.0,4,0.0
IL13__LIFR,3,0.0,4,0.0,4,0.0,4,0.0
IL13__MUC5AC,3,0.0,4,0.0,4,0.0,4,0.0
IL13__PTGS2,3,0.0,4,0.0,4,0.0,4,0.0
IL13__VEGFA,3,0.0,4,0.0,4,0.0,4,0.0
IL17A__CXCL12,3,0.0,4,0.0,4,0.0,4,0.0
IL17A__MMP9,3,0.0,4,0.0,4,0.0,4,0.0
IL17A__PTGS2,3,0.0,4,0.0,4,0.0,4,0.0
IL17A__TNF,3,0.0,4,0.0,4,0.0,4,0.0
IL17F__CXCL10,3,0.0,4,0.0,4,0.0,4,0.0
IL1A__C3,3,0.0,4,0.0,4,0.0,4,0.25
IL1A__CSF1,3,0.0,4,0.0,4,0.0,4,0.5
IL1A__CXCL12,3,0.0,4,0.0,4,0.0,4,0.25
IL1A__IL1B,3,0.0,4,0.0,4,0.0,4,0.5
IL1A__IL1R2,3,0.0,4,0.0,4,0.0,4,0.5
IL1A__ITGA6,3,0.0,4,0.0,4,0.0,4,0.5
IL1A__MMP9,3,0.0,4,0.0,4,0.0,4,0.5
IL1A__PLAU,3,0.0,4,0.0,4,0.0,4,0.25
IL1B__CDH5,3,0.0,4,0.5,4,1.0,4,0.5
IL1B__CSF1,3,0.0,4,0.5,4,0.75,4,0.5
IL1B__CXCL10,3,0.0,4,0.5,4,0.75,4,0.5
IL1B__IL1B,3,0.0,4,0.5,4,0.5,4,0.75
IL1B__IL1R2,3,0.0,4,0.25,4,0.5,4,0.5
IL1B__LDLR,3,0.0,4,0.5,4,1.0,4,0.5
IL1B__MMP1,3,0.0,4,0.25,4,0.75,4,0.5
