gene	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland	Artery_Aorta	Artery_Coronary	Artery_Tibial	Bladder	Brain_Amygdala	Brain_Anterior_cingulate_cortex_BA24	Brain_Caudate_basal_ganglia	Brain_Cerebellar_Hemisphere	Brain_Cerebellum	Brain_Cortex	Brain_Frontal_Cortex_BA9	Brain_Hippocampus	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Putamen_basal_ganglia	Brain_Spinal_cord_cervical_c-1	Brain_Substantia_nigra	Breast_Mammary_Tissue	Cells_Cultured_fibroblasts	Cells_EBV-transformed_lymphocytes	Cervix_Ectocervix	Cervix_Endocervix	Colon_Sigmoid	Colon_Transverse	Esophagus_Gastroesophageal_Junction	Esophagus_Mucosa	Esophagus_Muscularis	Fallopian_Tube	Heart_Atrial_Appendage	Heart_Left_Ventricle	Kidney_Cortex	Kidney_Medulla	Liver	Lung	Minor_Salivary_Gland	Muscle_Skeletal	Nerve_Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Small_Intestine_Terminal_Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole_Blood
GAD2	0.013684700000000001	0.0	0.0	0.0	0.0	0.0353075	0.0	8.82456	20.8207	40.7887	13.2989	14.5211	14.1533	23.6529	4.5382	24.1784	61.6465	28.7843	1.14762	3.20382	0.0053206	0.0	0.00927569	0.0	0.00329335	0.0	0.00676785	0.00582786	0.0	0.0	0.0	0.0	0.00338477	0.00394574	0.00895035	0.0	0.00772003	0.0	0.00493621	0.0077673	0.0	1.29962	0.43667700000000004	0.010445	0.00809469	0.0119515	0.010069499999999999	0.0	0.0307885	0.585398	0.00741965	0.0	0.021042099999999998	0.0
GFAP	1.42616	0.892608	0.672589	2.3818799999999998	1.6724900000000003	0.898501	0.342802	1354.45	811.3660000000001	1203.57	496.583	557.377	952.436	776.222	1638.72	2922.21	736.252	810.053	9333.82	3371.98	2.08242	0.279407	0.48739499999999997	0.320809	1.05974	0.6597430000000001	0.38224400000000003	0.6169020000000001	0.22215300000000002	0.451626	0.45869799999999994	1.66078	1.0971	0.464243	1.53542	0.21560900000000002	0.666225	0.703375	0.375811	10.548	0.45651899999999995	0.366323	11.7865	0.644563	0.6162890000000001	0.61146	0.305212	0.31948899999999997	0.316998	1.44715	1.00222	0.342915	0.47812299999999996	0.512791
HLA-DMA	120.053	85.64399999999999	55.9775	46.5639	68.9073	28.6773	32.9588	8.93528	5.50175	7.71943	6.02451	5.3192900000000005	5.44112	5.16125	9.43028	14.5488	6.16514	5.61541	48.6495	16.465999999999998	88.2391	5.7545	236.138	40.5899	69.9866	29.6864	32.593	29.0628	19.3063	28.4676	73.4481	15.9108	10.107000000000001	38.7182	61.885	9.34805	190.282	36.1328	7.68812	113.26700000000001	19.1643	10.1352	28.0062	43.8247	35.7335	39.1472	97.6002	212.791	27.6453	10.5062	67.4191	48.431000000000004	37.5543	55.4748
HLA-DMB	69.5239	37.0237	34.6596	30.7191	40.4339	18.6382	17.1019	5.46077	3.48529	5.56545	2.88645	2.22	3.1017099999999997	3.03952	7.16909	10.0124	4.27816	3.5593199999999996	37.9541	11.9649	43.5977	0.14888900000000002	216.61	20.4323	40.6839	18.1854	24.4174	14.9683	12.1915	15.0363	31.9186	7.21593	4.884519999999999	23.8441	51.49	4.24763	114.79899999999999	20.0127	3.6431400000000003	68.2524	11.1172	4.29892	15.075	24.4254	22.5984	25.2197	116.09299999999999	191.877	13.8302	4.77348	77.0577	27.3391	20.6131	45.6019
HLA-DPA1	177.278	103.244	67.777	118.204	131.592	70.1558	63.5966	14.7875	8.51495	14.6946	18.8848	13.0628	7.179710000000001	8.55636	16.1422	30.7292	9.82536	10.021	107.669	35.1956	130.65200000000002	3.69246	807.178	53.3415	116.52600000000001	45.9321	54.924	46.8212	34.4083	46.0201	73.5076	27.525	17.5028	47.2839	92.4661	12.942	357.316	49.8985	11.648	187.907	23.2216	9.19064	51.6299	69.8781	58.5091	64.6163	138.619	365.26099999999997	30.2621	14.732000000000001	80.8234	85.4526	64.8252	102.251
HLA-DPB1	103.369	53.9089	40.4501	73.039	77.0204	46.466	35.6894	9.372589999999999	6.1799599999999995	9.774469999999999	26.2939	23.9731	6.44415	6.739210000000001	10.5968	19.4401	7.3629	7.814260000000001	62.4568	20.6477	73.846	5.75905	298.655	43.3933	71.4566	32.5752	36.2489	33.4424	24.1879	33.3092	52.7224	18.1922	10.3143	31.5701	57.5401	9.40775	218.91099999999997	34.8004	7.0153300000000005	117.194	19.2685	8.07146	31.6079	55.20399999999999	46.552	48.0692	83.8305	261.20099999999996	22.4565	10.7353	52.1863	53.836000000000006	44.321999999999996	65.7643
HLA-DQA1	34.5872	13.662	5.77745	20.3382	23.1619	11.8701	9.04917	1.3094700000000001	0.692603	1.4327299999999998	0.780567	0.396388	0.564279	0.69635	1.7328400000000002	3.7899199999999995	0.90238	0.779011	17.0831	3.80885	21.6387	0.0512965	456.036	9.0241	16.1688	6.781039999999999	9.74744	7.45282	7.69065	6.97642	13.2878	3.10347	2.07347	10.6634	21.7841	1.90703	91.4123	10.221	1.7274	30.3848	3.09938	1.30466	9.84807	10.6335	16.76	18.4971	29.7264	90.2687	4.273540000000001	2.00496	13.8787	8.65165	10.3568	17.3138
HLA-DQB1	82.7224	42.731	19.0658	41.0174	52.9273	26.8212	26.3116	3.5000699999999996	3.2972	3.5948800000000003	2.13751	1.8000900000000002	4.5808599999999995	5.0813	4.80785	9.180660000000001	2.53173	2.61637	28.4969	8.33995	61.2647	0.15418199999999999	556.766	20.4335	30.8875	16.7594	20.2073	19.1156	19.887	18.1626	37.729	10.8471	7.28367	27.0083	22.824	4.11269	197.81900000000002	22.7032	5.74726	73.8867	8.40315	3.79179	35.4256	25.5237	42.3556	47.553000000000004	75.3422	189.138	14.1162	9.762780000000001	42.201	24.6912	26.7295	56.6299
HLA-DRA	833.128	436.514	257.911	474.324	511.95	294.726	258.895	49.9007	25.9749	52.1133	25.0343	13.1463	18.9502	26.1847	57.0182	104.416	34.4645	31.9225	423.73	114.56200000000001	556.399	1.15047	4319.57	181.201	443.44199999999995	162.502	204.524	175.65599999999998	142.787	174.118	337.884	87.9334	55.4249	236.878	399.097	44.6309	1678.33	208.273	49.4791	823.8969999999999	79.0767	36.4379	159.89700000000002	237.66	260.468	300.068	982.8539999999999	1735.79	143.899	43.6598	300.693	286.677	243.018	579.47
HLA-DRB1	594.195	371.62	185.25799999999998	313.442	398.85	201.375	206.983	31.6855	20.4009	33.9128	16.4035	12.7362	20.6598	23.2408	34.6659	61.8112	25.2093	23.9639	200.09799999999998	68.9647	420.43199999999996	0.9338719999999999	1832.57	180.703	372.25199999999995	154.921	168.412	172.632	104.208	181.275	282.757	99.6645	69.9643	230.037	274.323	44.5709	1234.84	154.85399999999998	44.7937	598.245	74.2229	28.25	138.33100000000002	171.41299999999998	206.733	225.128	607.1569999999999	990.563	114.165	52.6255	284.42400000000004	251.40900000000002	187.713	309.742
HLA-DRB5	123.089	79.5516	42.1142	69.8429	90.4074	42.0578	45.0026	6.00857	4.021380000000001	7.057360000000001	3.5691	2.72172	3.7494099999999997	4.7058800000000005	7.5784	14.2088	4.88808	5.01655	43.0896	16.0004	91.4859	0.23276599999999997	400.145	72.6845	64.0522	34.7548	33.2771	38.376999999999995	20.9777	41.5837	124.68799999999999	19.2084	14.5235	38.7978	36.0922	9.19458	236.972	31.2678	10.1131	117.931	18.3021	6.26647	30.434	36.378	38.4207	43.9924	118.515	175.951	24.5192	9.350439999999999	58.0006	46.8629	40.0165	64.7545
INS	0.0	0.085274	0.47321199999999997	0.125572	0.121121	0.0	0.18395799999999998	0.0	0.0	0.037241199999999995	0.08900830000000001	0.16481400000000002	0.029521299999999997	0.0	0.0	0.250118	0.0	0.0	0.0	0.43772	0.0	0.042157	0.14077	0.449316	0.15518800000000002	0.0721574	0.115908	0.036234800000000005	0.208995	0.10328399999999999	0.312292	0.0	0.0229628	0.13133699999999998	0.104458	0.256632	0.0821945	0.114276	0.0208627	0.0839574	0.311204	2325.26	0.254712	0.17193599999999998	0.0447548	0.0590825	0.193303	0.339836	0.193037	0.266464	0.10871800000000001	0.25956799999999997	0.16730899999999999	0.0
IYD	0.0255196	0.025986400000000003	0.0184636	0.01904	0.0185737	0.018113499999999998	0.0258665	0.014022799999999998	0.0156332	0.013031000000000001	0.020661099999999998	0.033732599999999995	0.0216726	0.018035	0.014789700000000003	0.0172698	0.0155267	0.0109245	0.0125392	0.0106472	0.0454894	0.0366476	0.0315152	0.013875	0.021506	0.0488956	1.72777	0.025205500000000002	0.035668599999999995	0.0224376	0.0140042	0.0149341	0.018916	2.53658	0.566439	3.7443199999999996	0.44200500000000004	0.07396230000000001	0.0248482	0.0204576	0.028578899999999997	0.0470399	0.0269367	0.09605219999999999	0.116257	0.0997893	3.1745200000000002	0.0324776	0.442326	0.128726	383.348	0.028491000000000002	0.043930800000000006	0.015011000000000002
MOG	0.048680400000000006	0.040727	0.0235698	0.167525	0.0940393	0.156789	0.0	81.459	23.7726	78.96300000000001	19.3947	23.4495	44.6832	40.59	148.408	70.7609	43.5972	104.76799999999999	663.0980000000001	183.10299999999998	0.0554373	0.0252424	0.0693632	0.0336796	0.0536597	0.117681	0.0456482	0.101102	0.0198742	0.0813569	0.12881199999999998	1.10463	0.785515	0.012739	0.09287480000000001	0.0118961	0.0680837	0.040307300000000004	0.0273428	0.05330359999999999	0.0798808	0.010334399999999999	0.074181	0.07016549999999999	0.047724199999999994	0.0465608	0.040637099999999995	0.0396276	0.0290055	0.152916	0.057025400000000004	0.0491435	0.0389351	0.036325300000000005
MYOG	0.0	0.0	0.0	0.0	0.0	0.027016500000000002	0.0	0.0987306	0.183118	0.09397380000000001	0.6355930000000001	0.6497729999999999	0.226044	0.27282	0.11108	0.0811705	0.118048	0.0926625	0.0643711	0.11726400000000001	0.0186889	0.0	0.0	0.0494194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0335612	0.0170287	0.0582245	0.0141002	0.0	0.0	0.274356	58.032	0.0	0.0	0.0	0.0444587	0.0	0.0	0.0213269	0.0	0.0189022	0.0	0.16962	0.0	0.0	0.0	0.0
NKX2-1	0.0221741	0.027240499999999997	0.0236402	0.0347772	0.0295402	0.023269	0.0	0.37837600000000005	0.299764	3.4477599999999997	0.0253945	0.046169	0.214743	0.242371	0.12576199999999998	5.62199	3.25881	2.17984	0.026487200000000002	0.038610000000000005	0.0236625	0.0	0.0323487	0.0	0.0	0.0274017	0.024393	0.031169400000000003	0.0307207	0.0347657	0.0	0.0219418	0.0239086	0.0137375	0.00389887	0.022491499999999998	89.6663	0.027153399999999998	0.020544	0.038038699999999995	0.03470669999999999	0.0210989	0.200104	0.0381877	0.0281115	0.026109300000000002	0.0301142	0.026816200000000002	0.0687702	0.392422	352.63	0.028163599999999997	0.0321697	0.0205999
PAX8	2.24179	2.10106	5.49351	1.17416	1.3256700000000001	0.805098	1.0226600000000001	0.927066	0.678537	0.446176	0.11284200000000001	0.173717	0.701923	0.6839189999999999	0.654573	1.1617899999999999	0.533848	0.41624399999999995	1.4888299999999999	0.886963	1.8810099999999998	1.73482	0.962627	1.9349	2.74973	0.9704719999999999	1.50842	1.03944	2.1936	1.01239	28.896	0.503125	0.324911	170.03799999999998	275.878	0.618187	2.11231	0.8874270000000001	0.240379	3.2372799999999997	1.7662799999999999	0.396289	2.28572	1.14981	1.88772	2.4746599999999996	2.33954	1.01729	1.10162	4.76411	1192.66	1.6739099999999998	1.59241	0.37754499999999996
SLC5A5	0.0408689	0.0361081	0.0127417	0.042275599999999997	0.0449596	0.0419211	0.0598789	0.035180699999999995	0.05604680000000001	0.0370597	3.27048	3.84755	0.106092	0.0838414	0.08078439999999999	0.06502909999999999	0.0504855	0.027637000000000002	0.174265	0.055026900000000004	0.036313599999999994	0.00985685	0.23936100000000002	0.10317	0.0758664	0.0272288	0.048411300000000004	0.0316559	0.043659300000000005	0.029337000000000002	0.07493369999999999	0.0127601	0.00684143	0.015060800000000001	0.023777799999999998	0.0133656	0.144738	4.63098	0.00830487	0.0364379	0.0299413	0.0155542	0.0587539	0.0694262	0.0535879	0.059641999999999994	0.20534899999999998	0.366517	6.17542	1.15069	4.41284	0.0379291	0.0721308	0.163193
TG	0.47587299999999993	0.575909	1.0872700000000002	0.6063270000000001	0.571088	0.54415	0.326262	0.874785	0.430594	0.328453	0.415441	0.674593	0.46321899999999994	0.43802299999999994	0.6959890000000001	0.33515900000000004	0.349599	0.29739899999999997	0.238031	0.271946	0.475016	1.34849	0.6053430000000001	0.160384	0.5012840000000001	0.740743	0.515745	0.8277399999999999	0.691967	0.8488760000000001	0.351452	0.504808	0.41852	0.803346	0.650049	0.467603	1.2902	1.2543	0.328367	0.561846	0.6793710000000001	0.352389	0.71751	2.24916	3.015	3.28016	0.6582859999999999	0.799135	0.536563	3.7894400000000004	7302.16	0.786565	1.06093	0.830702
TPO	9.69806	5.2245800000000004	0.0875505	1.31423	2.02326	1.31185	1.60174	0.09187769999999999	0.0759988	0.06776549999999999	0.101622	0.13893599999999998	0.14088499999999998	0.124731	0.09977369999999999	0.167657	0.071852	0.0743418	0.0947307	0.0915665	7.812689999999999	0.039574	0.182401	0.048626499999999996	0.0963711	3.3896699999999997	2.28019	6.7029	1.08333	6.589410000000001	0.383867	0.24444899999999997	2.67581	0.049745599999999994	0.038593	0.0797581	0.390795	2.21985	1.8711799999999998	5.94648	0.21192800000000003	0.327798	0.455042	0.314257	0.7053689999999999	1.0978700000000001	2.46264	19.9198	1.05837	1.63353	1180.0	0.294387	0.43396599999999996	0.0651462
TSHR	0.168901	0.28142	0.285614	0.0510407	0.0590077	0.0270952	0.0622178	0.0776566	0.0575899	0.49458	0.050179900000000006	0.09019010000000001	0.0532626	0.0657605	0.0670717	0.168016	0.22141999999999998	0.352043	0.251657	0.0507601	0.27819499999999997	0.0291983	0.0534101	0.263869	0.412509	0.052340599999999994	0.131474	0.0853239	0.0562003	0.08172489999999999	0.900684	0.0456823	0.030588	0.0456241	0.0526004	0.167933	0.0873381	0.235429	0.031181599999999997	0.129519	0.11738399999999999	0.0445798	0.18145	0.22727199999999997	0.137449	0.169648	0.181013	0.45815100000000003	0.0933189	0.264696	198.93900000000002	0.27113400000000004	0.131799	0.0451299
