sampleId	TG	TPO	TSHR	SLC5A5	INS	GAD2	MOG	CHRNA1	CRYAA	GFAP	MYOG
GTEx_thyroid_donor_0060	7759.0	720.6	171.8	3.524	0.0	0.02011	0.08755	0.01272	0.0	1.745	0.0
GTEx_thyroid_donor_0061	17140.0	1724.0	271.4	1.675	0.3415	0.0	0.0	0.02184	0.03093	0.2268	0.0
GTEx_thyroid_donor_0062	3818.0	843.5	107.8	1.236	0.0	0.0	0.1072	0.08727	0.0	1.606	0.0
GTEx_thyroid_donor_0063	5373.0	832.4	243.1	86.84	0.1089	0.0	0.02996	0.0	0.02466	1.447	0.0
GTEx_thyroid_donor_0064	7748.0	2197.0	165.4	0.0529	0.0	0.02053	0.1564	0.1558	0.0	2.06	0.04127
GTEx_thyroid_donor_0065	10490.0	1167.0	231.1	43.95	0.0	0.0393	0.1069	0.0	0.0	5.037	0.0
GTEx_thyroid_donor_0066	6399.0	1446.0	184.9	1.329	0.7562	0.0191	0.104	0.02417	0.0	1.766	0.0
GTEx_thyroid_donor_0067	6965.0	1627.0	232.4	0.3021	0.0	0.01954	0.04254	0.0	0.0	1.961	0.0
GTEx_thyroid_donor_0068	8161.0	1645.0	178.6	2.747	1.524	0.00837	0.0	0.0	0.0	0.2054	0.03366
GTEx_thyroid_donor_0069	13590.0	2437.0	298.5	9.266	0.1665	0.1262	0.1144	0.0	0.03769	3.059	0.0
GTEx_thyroid_donor_0070	9246.0	817.4	149.0	6.275	0.2001	0.00632	0.04127	0.01599	0.0	1.074	0.0
GTEx_thyroid_donor_0071	4648.0	1226.0	31.59	1.463	0.7043	0.02542	0.06917	0.0	0.0	1.454	0.0511
GTEx_thyroid_donor_0072	7915.0	1403.0	229.8	54.45	0.0	0.01433	0.0	0.0	0.0	1.545	0.0
GTEx_thyroid_donor_0073	7087.0	3686.0	267.6	160.7	0.3417	0.0	0.05872	0.0	0.01934	0.903	0.0
GTEx_thyroid_donor_0074	5232.0	1123.0	160.2	23.04	6.673	0.02363	0.04288	0.0	0.0	1.961	0.0
GTEx_thyroid_donor_0075	10880.0	1352.0	163.7	53.45	0.6668	0.0	0.06112	0.00888	0.0	0.4306	0.02822
GTEx_thyroid_donor_0076	8904.0	1136.0	238.8	25.07	0.0	0.01411	0.03071	0.0	0.0	0.476	0.1985
GTEx_thyroid_donor_0077	11050.0	2353.0	307.1	31.63	0.07913	0.00999	0.08704	0.0	0.0	0.9241	0.04019
GTEx_thyroid_donor_0078	12840.0	2412.0	220.3	0.1261	0.0	0.03388	0.0	0.02144	0.0	1.183	0.04541
GTEx_thyroid_donor_0079	6519.0	1349.0	170.4	65.89	0.0	0.0	0.09301	0.01352	0.0	1.713	0.1718
GTEx_thyroid_donor_0080	7998.0	706.7	164.3	2.141	0.0	0.01673	0.03642	0.0	0.0	0.4399	0.1345
GTEx_thyroid_donor_0081	11830.0	774.2	156.9	2.411	1.228	0.0	0.0	0.4647	0.0	0.9655	0.7219
GTEx_thyroid_donor_0082	8144.0	1820.0	177.1	1.856	0.1426	0.01801	0.0392	0.02279	0.0	3.598	0.0
GTEx_thyroid_donor_0083	11300.0	2962.0	130.5	1.822	0.0	0.1538	0.4053	0.02048	0.0	4.072	0.09763
GTEx_thyroid_donor_0084	8140.0	1292.0	171.9	0.5861	0.0	0.0	0.06752	0.0157	0.0	0.723	0.02494
GTEx_thyroid_donor_0085	2835.0	343.5	185.8	3.991	0.6472	0.0	0.04449	0.08621	0.0	2.794	0.0
GTEx_thyroid_donor_0086	6826.0	766.1	198.9	21.45	0.0	0.03103	0.1351	0.07854	0.0	2.384	0.04159
GTEx_thyroid_donor_0087	9781.0	1282.0	224.1	40.74	0.0	0.0	0.08231	0.0	0.0	0.4573	0.0608
GTEx_thyroid_donor_0088	11730.0	995.2	345.4	2.893	0.0	0.02842	0.06188	0.02698	0.02547	0.629	0.2
GTEx_thyroid_donor_0089	10660.0	2706.0	203.7	0.5161	0.05406	0.00683	0.0	0.0	0.0	0.1556	0.0
GTEx_thyroid_donor_0090	7930.0	1197.0	294.7	202.1	0.0	0.01615	0.123	0.02043	0.0	0.7005	0.06492
GTEx_thyroid_donor_0091	5298.0	935.5	243.0	1.07	0.0	0.04791	0.02086	0.1213	0.0	3.116	0.0
GTEx_thyroid_donor_0092	4545.0	736.9	180.2	73.86	0.0	0.0573	0.0	0.145	0.0	2.139	0.3686
GTEx_thyroid_donor_0093	4110.0	2454.0	90.9	0.9276	0.3109	0.0	0.04274	0.0	0.0	0.7743	0.1579
GTEx_thyroid_donor_0094	11860.0	2905.0	201.1	34.56	0.732	0.0	0.0	0.039	0.0	1.013	0.0
GTEx_thyroid_donor_0095	6064.0	1954.0	270.4	2.097	0.0	0.0237	0.1548	0.05999	0.0	2.202	0.0
GTEx_thyroid_donor_0096	15930.0	1854.0	228.0	11.96	0.0	0.0	0.1541	0.0	0.0	2.411	0.0
GTEx_thyroid_donor_0097	4954.0	1378.0	127.8	2.396	0.0	0.01335	0.1162	0.0	0.0	2.351	0.0
GTEx_thyroid_donor_0098	6384.0	1143.0	215.7	23.1	0.0	0.0	0.05333	0.0	0.0	1.991	0.0
GTEx_thyroid_donor_0099	11820.0	1335.0	194.3	7.855	0.1545	0.01301	0.1416	0.1152	0.0	3.893	0.0
GTEx_thyroid_donor_0100	3300.0	2165.0	104.0	0.6345	0.0	0.01679	0.1096	0.01062	0.0	0.9195	0.06749
GTEx_thyroid_donor_0101	2482.0	111.7	119.6	2.83	0.1069	0.027	0.1176	0.01708	0.0	2.916	0.0
GTEx_thyroid_donor_0102	7683.0	1150.0	186.8	1.407	0.2161	0.0	0.07429	0.06909	0.0	2.56	0.05488
GTEx_thyroid_donor_0103	6476.0	1217.0	230.1	2.487	0.0	0.0	0.09952	0.0	0.08193	3.572	0.0
GTEx_thyroid_donor_0104	8482.0	2161.0	158.4	4.227	0.0	0.00661	0.1152	0.0	0.0	2.296	0.0
GTEx_thyroid_donor_0105	4620.0	2547.0	282.9	84.57	0.0	0.01859	0.1214	0.1176	0.03332	1.116	0.0
GTEx_thyroid_donor_0106	3744.0	255.6	153.8	0.7106	0.0	0.0846	0.06139	0.0	0.06739	1.351	0.0
GTEx_thyroid_donor_0107	4476.0	1561.0	195.4	46.72	0.1775	0.0	0.04882	0.0	0.0	0.7533	0.0
GTEx_thyroid_donor_0108	12950.0	3141.0	168.2	3.443	0.115	0.04357	0.1265	0.0	0.0	3.596	0.05839
GTEx_thyroid_donor_0109	6740.0	1855.0	189.4	1.981	0.9806	0.0	0.06223	0.0	0.0	1.921	0.03831
GTEx_thyroid_donor_0110	7575.0	1446.0	174.9	1.177	0.2308	0.0	0.0	0.0	0.0	0.7791	0.1758
GTEx_thyroid_donor_0111	5980.0	446.6	199.0	4.033	0.1951	0.0	0.02683	0.0	0.0	0.6481	0.07433
GTEx_thyroid_donor_0112	7494.0	863.5	183.2	0.8569	0.0	0.0	0.06931	0.188	0.0	1.088	0.3413
GTEx_thyroid_donor_0113	8265.0	685.1	169.6	4.103	0.6285	0.03969	0.07201	0.1088	0.02371	3.247	0.0532
GTEx_thyroid_donor_0114	9618.0	1378.0	202.7	71.2	0.1259	0.07951	0.3982	0.02012	0.0	5.122	0.03197
GTEx_thyroid_donor_0115	5775.0	823.3	237.9	25.22	0.0	0.09137	0.0	0.1285	0.0	3.88	0.0
GTEx_thyroid_donor_0116	8050.0	673.9	209.3	5.754	0.1819	0.0	0.02501	0.0	0.0	0.6294	0.0462
GTEx_thyroid_donor_0117	2173.0	747.3	56.5	0.3771	0.0	0.03443	0.04684	0.1906	0.01543	2.723	0.3288
GTEx_thyroid_donor_0118	7114.0	2581.0	360.0	8.374	0.0	0.04534	0.1481	0.02869	0.0	2.136	0.1823
GTEx_thyroid_donor_0119	5671.0	838.9	229.9	19.54	0.2935	0.07413	1.13	0.03518	0.0	18.71	0.03726
GTEx_thyroid_donor_0120	9170.0	1174.0	138.5	0.3003	0.2214	0.01398	0.09132	0.0	0.0	1.323	0.02811
GTEx_thyroid_donor_0121	9784.0	2772.0	134.8	4.872	0.05877	0.0	0.0	0.01879	0.0	0.8392	0.1492
GTEx_thyroid_donor_0122	15400.0	1071.0	231.9	0.425	0.6079	0.0	0.03714	0.0	0.0	0.4336	0.0
GTEx_thyroid_donor_0123	2549.0	357.9	138.7	1.515	0.261	0.0	0.03588	0.06256	0.0	0.3466	0.0
GTEx_thyroid_donor_0124	17990.0	916.4	171.3	1.417	0.0	0.03486	0.0	0.0	0.0	1.141	0.0
GTEx_thyroid_donor_0125	7886.0	2951.0	219.0	1.123	0.1362	0.0	0.0	0.01088	0.0	0.3015	0.0
GTEx_thyroid_donor_0126	2241.0	400.2	104.1	5.386	0.0	0.0	0.0	0.02404	0.0	0.5079	0.0
GTEx_thyroid_donor_0127	3444.0	170.1	128.8	3.527	0.5717	0.02063	0.04492	0.05222	0.0	1.627	0.08296
GTEx_thyroid_donor_0128	7734.0	1353.0	242.8	0.4492	0.3067	0.01937	0.0	0.04901	0.0	0.7468	0.07787
GTEx_thyroid_donor_0129	14340.0	2450.0	350.9	17.59	0.0	0.0	0.03263	0.01897	0.0	0.7159	0.0
GTEx_thyroid_donor_0130	2038.0	364.7	160.9	2.14	0.4794	0.0	0.07532	0.02189	0.031	1.114	0.0
GTEx_thyroid_donor_0131	6565.0	2287.0	196.0	7.81	0.0	0.0	0.1525	0.03325	0.0	0.4068	0.0
GTEx_thyroid_donor_0132	12590.0	1476.0	281.7	54.78	0.2874	0.01815	0.07902	0.02296	0.0	0.6839	0.0
GTEx_thyroid_donor_0133	2563.0	751.5	228.8	1.898	0.0	0.03862	0.2355	0.0	0.0	4.381	0.03106
GTEx_thyroid_donor_0134	4949.0	809.1	287.6	18.69	0.0	0.0	0.07176	0.0	0.0	0.8594	0.0
GTEx_thyroid_donor_0135	5268.0	535.3	184.8	1.027	0.3889	0.0	0.0	0.04144	0.0	2.031	0.0
GTEx_thyroid_donor_0136	8999.0	1919.0	359.3	15.21	0.3429	0.02165	0.02357	0.0	0.07761	1.034	0.0
GTEx_thyroid_donor_0137	5235.0	1808.0	145.4	1.836	4.636	0.01362	0.1334	0.00862	0.0	0.7459	0.0
GTEx_thyroid_donor_0138	5218.0	747.7	117.2	7.339	0.06491	0.0164	0.1428	0.02075	0.02939	1.466	0.03296
GTEx_thyroid_donor_0139	4343.0	1825.0	148.5	5.547	0.3626	0.0458	0.04985	0.07245	0.0	1.947	0.0
GTEx_thyroid_donor_0140	8044.0	626.2	267.5	18.63	0.7215	0.01139	0.0496	0.02883	0.0	1.018	0.09161
GTEx_thyroid_donor_0141	10760.0	986.6	214.8	0.5694	0.492	0.02071	0.496	0.02621	0.0	3.93	0.0
GTEx_thyroid_donor_0142	5847.0	1618.0	92.42	5.059	0.0	0.0	0.01919	0.0	0.0	0.6567	0.0
GTEx_thyroid_donor_0143	5201.0	1895.0	224.8	106.4	0.3556	0.0	0.1222	0.01421	0.0	2.204	0.0
GTEx_thyroid_donor_0144	10270.0	3446.0	239.8	0.2895	0.116	0.0	0.0	0.01854	0.0	0.5585	0.05891
GTEx_thyroid_donor_0145	4550.0	921.7	223.5	6.884	0.1674	0.04229	0.0	0.0	0.0379	0.8247	0.0
GTEx_thyroid_donor_0146	3499.0	783.8	245.1	1.748	0.2217	0.01866	0.04063	2.078	0.0	1.071	4.165
GTEx_thyroid_donor_0147	10130.0	1022.0	378.2	34.75	6.289	0.01891	0.0	0.0	0.0	0.6464	0.0
GTEx_thyroid_donor_0148	5474.0	1132.0	196.2	15.06	0.1724	0.0	0.0948	0.0	0.0	0.4389	0.0
GTEx_thyroid_donor_0149	3689.0	338.9	171.3	4.736	0.2669	0.00843	0.01835	0.0	0.03021	5.585	0.06778
GTEx_thyroid_donor_0150	2123.0	288.7	235.0	20.08	0.4073	0.04115	0.0448	0.02604	0.0	0.9828	0.0
GTEx_thyroid_donor_0151	4708.0	1531.0	159.0	0.2027	0.3337	0.00843	0.1285	0.02133	0.0	1.455	0.0
GTEx_thyroid_donor_0152	2830.0	246.1	179.2	1.183	0.6898	0.03485	0.1138	0.02205	0.03123	1.229	0.0
GTEx_thyroid_donor_0153	6055.0	199.3	182.0	1.437	0.1765	0.0	0.2185	0.02822	0.0	1.163	0.0
GTEx_thyroid_donor_0154	13410.0	1109.0	309.7	45.17	0.3547	0.0	0.01625	0.0	0.0	0.4581	0.0
GTEx_thyroid_donor_0155	3596.0	299.8	120.5	2.349	0.549	0.0	0.151	0.0	0.0	0.8942	0.0
GTEx_thyroid_donor_0156	11530.0	1447.0	315.5	44.57	34.44	0.03016	0.0	0.01908	0.0	0.8259	0.06063
GTEx_thyroid_donor_0157	8850.0	3150.0	268.2	5.647	0.0	0.0	0.131	0.01904	0.0	1.345	0.0
GTEx_thyroid_donor_0158	6324.0	1046.0	187.7	12.39	0.0	0.01073	0.03503	0.0	0.01922	1.241	0.0
GTEx_thyroid_donor_0159	5163.0	1341.0	93.08	2.391	0.9466	0.01708	0.03718	0.02161	0.0	0.9954	0.0
GTEx_thyroid_donor_0160	7952.0	1032.0	264.8	3.424	0.0	0.0	0.01157	0.03362	0.0	0.3074	0.0
GTEx_thyroid_donor_0161	3479.0	1176.0	123.3	1.445	0.0	0.05753	0.2035	0.0	0.0	3.41	0.05783
GTEx_thyroid_donor_0162	3157.0	1223.0	242.6	6.059	0.0	0.0	0.09598	1.562	0.03951	1.845	0.5318
GTEx_thyroid_donor_0163	6562.0	1352.0	144.4	0.7426	0.08148	0.0	0.1568	0.0	0.0	0.9019	0.0
GTEx_thyroid_donor_0164	2300.0	283.4	191.1	46.8	0.1312	0.0	0.03609	0.1888	0.0	0.4721	0.0
GTEx_thyroid_donor_0165	2853.0	420.1	150.4	1.39	0.1507	0.0	0.02072	0.0	0.0	0.392	0.0
GTEx_thyroid_donor_0166	11000.0	3022.0	217.7	21.76	0.06166	0.0	0.03391	0.01971	0.0	0.7167	0.0
GTEx_thyroid_donor_0167	10510.0	1130.0	247.4	32.29	0.1214	0.03067	0.08346	0.0	0.0	0.9139	0.0
GTEx_thyroid_donor_0168	1539.0	330.8	41.07	2.31	0.0	0.01563	0.3403	0.03956	0.02801	3.384	0.0
GTEx_thyroid_donor_0169	8984.0	2018.0	264.0	0.7338	0.161	0.0	0.0	0.0	0.0	0.2317	0.0
GTEx_thyroid_donor_0170	6311.0	4442.0	236.1	97.8	0.5706	0.00554	0.08449	0.02806	0.01987	1.278	0.0
GTEx_thyroid_donor_0171	19230.0	5161.0	239.7	0.1938	0.4762	0.0	0.0	0.0	0.0	0.7117	0.0
GTEx_thyroid_donor_0172	5622.0	917.4	116.3	0.8271	0.1466	0.01852	0.04031	0.04686	0.0	2.045	0.0
GTEx_thyroid_donor_0173	10370.0	1885.0	274.0	0.6311	0.9694	0.02226	0.0	0.0	0.0	1.141	0.0
GTEx_thyroid_donor_0174	10850.0	4528.0	244.7	6.233	0.1246	0.0	0.03427	0.0	0.0	1.048	0.0
GTEx_thyroid_donor_0175	6561.0	2655.0	237.6	25.32	0.1541	0.0	0.02119	0.02463	0.0	0.563	0.01957
GTEx_thyroid_donor_0176	6061.0	1878.0	94.71	13.49	7.408	0.0	0.0	0.02077	0.0	0.7481	0.0
GTEx_thyroid_donor_0177	3856.0	769.3	94.8	24.88	0.4297	0.01357	0.02954	0.1374	0.0	0.3627	0.0
GTEx_thyroid_donor_0178	4032.0	218.9	156.6	9.723	0.4831	0.0	0.08302	0.02896	0.0	1.564	0.092
GTEx_thyroid_donor_0179	2541.0	787.8	130.0	2.249	0.1264	0.0	0.3128	0.04041	0.0	6.619	0.0321
GTEx_thyroid_donor_0180	8853.0	1987.0	250.5	2.186	0.1326	0.03349	0.03646	0.0	0.0	1.152	0.0
GTEx_thyroid_donor_0181	9673.0	1575.0	193.6	1.493	0.5194	0.0	0.1071	0.0	0.0	1.351	0.0
GTEx_thyroid_donor_0182	9863.0	2719.0	266.2	25.19	0.0	0.01343	0.1462	0.0	0.04815	1.195	0.0
GTEx_thyroid_donor_0183	7282.0	1244.0	241.3	4.812	0.3758	0.0	0.04134	0.0	0.0	1.822	0.0
GTEx_thyroid_donor_0184	6886.0	1379.0	185.3	1.22	0.1703	0.02151	0.04683	0.02722	0.0	2.328	0.04325
GTEx_thyroid_donor_0185	13750.0	5232.0	191.8	90.41	0.0	0.01746	0.05703	0.0	0.0	2.12	0.0
GTEx_thyroid_donor_0186	8847.0	1831.0	156.6	4.858	0.0	0.01059	0.03458	0.0	0.01898	0.7054	0.0
GTEx_thyroid_donor_0187	9055.0	1446.0	266.1	19.38	0.1479	0.0	0.04067	0.0	0.0	2.096	0.0
GTEx_thyroid_donor_0188	7120.0	846.0	172.0	0.276	0.318	0.0	0.0583	0.4236	0.0	1.801	0.4845
GTEx_thyroid_donor_0189	9694.0	1542.0	166.3	7.726	1.222	0.0	0.1792	0.0	0.0	1.966	0.0
GTEx_thyroid_donor_0190	8153.0	904.9	91.05	1.287	0.1395	0.0	0.2878	0.0	0.0	8.155	0.0
GTEx_thyroid_donor_0191	4836.0	2321.0	223.9	36.07	0.6151	0.01195	0.02602	0.0	0.0	0.2357	0.04806
GTEx_thyroid_donor_0192	9887.0	1735.0	216.0	0.7373	0.2192	0.0	0.09042	0.0	0.0	0.6431	0.0
GTEx_thyroid_donor_0193	6174.0	359.0	150.6	0.8138	0.0	0.01316	0.1432	0.0333	0.0	3.996	0.3174
GTEx_thyroid_donor_0194	6821.0	1673.0	179.3	9.097	0.0	0.01061	0.1848	0.06714	0.0	0.9625	0.0
GTEx_thyroid_donor_0195	24140.0	4928.0	353.7	0.79	0.0	0.03832	0.08342	0.0	0.0	1.293	0.0
GTEx_thyroid_donor_0196	2760.0	495.2	101.4	41.86	0.209	0.0	0.09193	0.01336	0.03784	0.8836	0.0
GTEx_thyroid_donor_0197	5877.0	2146.0	146.7	4.073	0.0	0.02044	0.0	0.0	0.0	1.603	0.0
GTEx_thyroid_donor_0198	4129.0	874.8	115.3	0.7285	0.1138	0.0	0.03129	0.03638	0.0	0.9574	0.0578
GTEx_thyroid_donor_0199	11090.0	654.5	103.6	2.024	0.0	0.0187	0.05427	0.0	0.04468	4.162	0.05012
GTEx_thyroid_donor_0200	6185.0	3762.0	197.5	5.265	0.0	0.00931	0.04055	0.0	0.0	1.355	0.0
GTEx_thyroid_donor_0201	10570.0	1850.0	270.0	180.2	0.1643	0.04151	0.04519	0.1051	0.0	1.546	0.0
GTEx_thyroid_donor_0202	2830.0	174.7	147.7	0.3189	0.3834	0.0	0.0	0.0	0.0	0.7357	0.0
GTEx_thyroid_donor_0203	10530.0	943.1	225.0	2.02	0.0	0.06355	0.05535	0.04021	0.0	4.829	0.02555
GTEx_thyroid_donor_0204	5198.0	1090.0	167.7	4.269	0.0	0.00903	0.03934	0.0	0.0	0.6335	0.0
GTEx_thyroid_donor_0205	5653.0	1341.0	163.2	3.186	0.1266	0.0	0.06961	0.6979	0.0	1.044	0.0
GTEx_thyroid_donor_0206	8400.0	2212.0	262.6	0.33	0.0	0.0	0.09292	0.0	0.0	1.337	0.0
GTEx_thyroid_donor_0207	4043.0	1174.0	123.4	7.706	0.0	0.04362	0.03165	0.0092	0.0	2.039	0.0
GTEx_thyroid_donor_0208	9090.0	5115.0	207.9	254.6	0.3369	0.01418	0.1235	0.05385	0.0	0.6029	0.02851
GTEx_thyroid_donor_0209	11720.0	1790.0	287.2	65.95	0.0	0.0	0.0	0.0	0.0225	0.5171	0.0
GTEx_thyroid_donor_0210	8372.0	1182.0	249.4	45.37	0.3202	0.0	0.0	0.02559	0.0	0.6735	0.0813
GTEx_thyroid_donor_0211	1097.0	331.5	99.54	18.66	0.138	0.05231	0.03796	0.0	0.0	1.345	0.0
GTEx_thyroid_donor_0212	3115.0	397.4	92.51	1.164	0.0	0.03946	0.1432	0.03329	0.0	4.381	0.1322
