sampleId	gene	TPM
GTEx_thyroid_donor_0057	TG	6182.0
GTEx_thyroid_donor_0058	TG	8006.0
GTEx_thyroid_donor_0059	TG	3447.0
GTEx_thyroid_donor_0060	TG	7759.0
GTEx_thyroid_donor_0061	TG	17140.0
GTEx_thyroid_donor_0062	TG	3818.0
GTEx_thyroid_donor_0063	TG	5373.0
GTEx_thyroid_donor_0064	TG	7748.0
GTEx_thyroid_donor_0065	TG	10490.0
GTEx_thyroid_donor_0066	TG	6399.0
GTEx_thyroid_donor_0067	TG	6965.0
GTEx_thyroid_donor_0068	TG	8161.0
GTEx_thyroid_donor_0069	TG	13590.0
GTEx_thyroid_donor_0070	TG	9246.0
GTEx_thyroid_donor_0071	TG	4648.0
GTEx_thyroid_donor_0072	TG	7915.0
GTEx_thyroid_donor_0073	TG	7087.0
GTEx_thyroid_donor_0074	TG	5232.0
GTEx_thyroid_donor_0075	TG	10880.0
GTEx_thyroid_donor_0076	TG	8904.0
GTEx_thyroid_donor_0077	TG	11050.0
GTEx_thyroid_donor_0078	TG	12840.0
GTEx_thyroid_donor_0079	TG	6519.0
GTEx_thyroid_donor_0080	TG	7998.0
GTEx_thyroid_donor_0081	TG	11830.0
GTEx_thyroid_donor_0082	TG	8144.0
GTEx_thyroid_donor_0083	TG	11300.0
GTEx_thyroid_donor_0084	TG	8140.0
GTEx_thyroid_donor_0085	TG	2835.0
GTEx_thyroid_donor_0086	TG	6826.0
GTEx_thyroid_donor_0087	TG	9781.0
GTEx_thyroid_donor_0088	TG	11730.0
GTEx_thyroid_donor_0089	TG	10660.0
GTEx_thyroid_donor_0090	TG	7930.0
GTEx_thyroid_donor_0091	TG	5298.0
GTEx_thyroid_donor_0092	TG	4545.0
GTEx_thyroid_donor_0093	TG	4110.0
GTEx_thyroid_donor_0094	TG	11860.0
GTEx_thyroid_donor_0095	TG	6064.0
GTEx_thyroid_donor_0096	TG	15930.0
GTEx_thyroid_donor_0097	TG	4954.0
GTEx_thyroid_donor_0098	TG	6384.0
GTEx_thyroid_donor_0099	TG	11820.0
GTEx_thyroid_donor_0100	TG	3300.0
GTEx_thyroid_donor_0101	TG	2482.0
GTEx_thyroid_donor_0102	TG	7683.0
GTEx_thyroid_donor_0103	TG	6476.0
GTEx_thyroid_donor_0104	TG	8482.0
GTEx_thyroid_donor_0105	TG	4620.0
GTEx_thyroid_donor_0106	TG	3744.0
GTEx_thyroid_donor_0107	TG	4476.0
GTEx_thyroid_donor_0108	TG	12950.0
GTEx_thyroid_donor_0109	TG	6740.0
GTEx_thyroid_donor_0110	TG	7575.0
GTEx_thyroid_donor_0111	TG	5980.0
GTEx_thyroid_donor_0112	TG	7494.0
GTEx_thyroid_donor_0113	TG	8265.0
GTEx_thyroid_donor_0114	TG	9618.0
GTEx_thyroid_donor_0115	TG	5775.0
GTEx_thyroid_donor_0116	TG	8050.0
GTEx_thyroid_donor_0117	TG	2173.0
GTEx_thyroid_donor_0118	TG	7114.0
GTEx_thyroid_donor_0119	TG	5671.0
GTEx_thyroid_donor_0120	TG	9170.0
GTEx_thyroid_donor_0121	TG	9784.0
GTEx_thyroid_donor_0122	TG	15400.0
GTEx_thyroid_donor_0123	TG	2549.0
GTEx_thyroid_donor_0124	TG	17990.0
GTEx_thyroid_donor_0125	TG	7886.0
GTEx_thyroid_donor_0126	TG	2241.0
GTEx_thyroid_donor_0127	TG	3444.0
GTEx_thyroid_donor_0128	TG	7734.0
GTEx_thyroid_donor_0129	TG	14340.0
GTEx_thyroid_donor_0130	TG	2038.0
GTEx_thyroid_donor_0131	TG	6565.0
GTEx_thyroid_donor_0132	TG	12590.0
GTEx_thyroid_donor_0133	TG	2563.0
GTEx_thyroid_donor_0134	TG	4949.0
GTEx_thyroid_donor_0135	TG	5268.0
GTEx_thyroid_donor_0136	TG	8999.0
GTEx_thyroid_donor_0137	TG	5235.0
GTEx_thyroid_donor_0138	TG	5218.0
GTEx_thyroid_donor_0139	TG	4343.0
GTEx_thyroid_donor_0140	TG	8044.0
GTEx_thyroid_donor_0141	TG	10760.0
GTEx_thyroid_donor_0142	TG	5847.0
GTEx_thyroid_donor_0143	TG	5201.0
GTEx_thyroid_donor_0144	TG	10270.0
GTEx_thyroid_donor_0145	TG	4550.0
GTEx_thyroid_donor_0146	TG	3499.0
GTEx_thyroid_donor_0147	TG	10130.0
GTEx_thyroid_donor_0148	TG	5474.0
GTEx_thyroid_donor_0149	TG	3689.0
GTEx_thyroid_donor_0150	TG	2123.0
GTEx_thyroid_donor_0151	TG	4708.0
GTEx_thyroid_donor_0152	TG	2830.0
GTEx_thyroid_donor_0153	TG	6055.0
GTEx_thyroid_donor_0154	TG	13410.0
GTEx_thyroid_donor_0155	TG	3596.0
GTEx_thyroid_donor_0156	TG	11530.0
GTEx_thyroid_donor_0157	TG	8850.0
GTEx_thyroid_donor_0158	TG	6324.0
GTEx_thyroid_donor_0159	TG	5163.0
GTEx_thyroid_donor_0160	TG	7952.0
GTEx_thyroid_donor_0161	TG	3479.0
GTEx_thyroid_donor_0162	TG	3157.0
GTEx_thyroid_donor_0163	TG	6562.0
GTEx_thyroid_donor_0164	TG	2300.0
GTEx_thyroid_donor_0165	TG	2853.0
GTEx_thyroid_donor_0166	TG	11000.0
GTEx_thyroid_donor_0167	TG	10510.0
GTEx_thyroid_donor_0168	TG	1539.0
GTEx_thyroid_donor_0169	TG	8984.0
GTEx_thyroid_donor_0170	TG	6311.0
GTEx_thyroid_donor_0171	TG	19230.0
GTEx_thyroid_donor_0172	TG	5622.0
GTEx_thyroid_donor_0173	TG	10370.0
GTEx_thyroid_donor_0174	TG	10850.0
GTEx_thyroid_donor_0175	TG	6561.0
GTEx_thyroid_donor_0176	TG	6061.0
GTEx_thyroid_donor_0177	TG	3856.0
GTEx_thyroid_donor_0178	TG	4032.0
GTEx_thyroid_donor_0179	TG	2541.0
GTEx_thyroid_donor_0180	TG	8853.0
GTEx_thyroid_donor_0181	TG	9673.0
GTEx_thyroid_donor_0182	TG	9863.0
GTEx_thyroid_donor_0183	TG	7282.0
GTEx_thyroid_donor_0184	TG	6886.0
GTEx_thyroid_donor_0185	TG	13750.0
GTEx_thyroid_donor_0186	TG	8847.0
GTEx_thyroid_donor_0187	TG	9055.0
GTEx_thyroid_donor_0188	TG	7120.0
GTEx_thyroid_donor_0189	TG	9694.0
GTEx_thyroid_donor_0190	TG	8153.0
GTEx_thyroid_donor_0191	TG	4836.0
GTEx_thyroid_donor_0192	TG	9887.0
GTEx_thyroid_donor_0193	TG	6174.0
GTEx_thyroid_donor_0194	TG	6821.0
GTEx_thyroid_donor_0195	TG	24140.0
GTEx_thyroid_donor_0196	TG	2760.0
GTEx_thyroid_donor_0197	TG	5877.0
GTEx_thyroid_donor_0198	TG	4129.0
GTEx_thyroid_donor_0199	TG	11090.0
GTEx_thyroid_donor_0200	TG	6185.0
GTEx_thyroid_donor_0201	TG	10570.0
GTEx_thyroid_donor_0202	TG	2830.0
GTEx_thyroid_donor_0203	TG	10530.0
GTEx_thyroid_donor_0204	TG	5198.0
GTEx_thyroid_donor_0205	TG	5653.0
GTEx_thyroid_donor_0206	TG	8400.0
GTEx_thyroid_donor_0207	TG	4043.0
GTEx_thyroid_donor_0208	TG	9090.0
GTEx_thyroid_donor_0209	TG	11720.0
GTEx_thyroid_donor_0210	TG	8372.0
GTEx_thyroid_donor_0211	TG	1097.0
GTEx_thyroid_donor_0212	TG	3115.0
GTEx_thyroid_donor_0213	TG	8037.0
GTEx_thyroid_donor_0214	TG	6666.0
GTEx_thyroid_donor_0215	TG	8294.0
GTEx_thyroid_donor_0216	TG	4014.0
GTEx_thyroid_donor_0217	TG	12550.0
GTEx_thyroid_donor_0218	TG	7694.0
GTEx_thyroid_donor_0219	TG	3914.0
GTEx_thyroid_donor_0220	TG	6191.0
GTEx_thyroid_donor_0221	TG	1592.0
GTEx_thyroid_donor_0222	TG	8392.0
GTEx_thyroid_donor_0223	TG	7877.0
GTEx_thyroid_donor_0224	TG	4413.0
GTEx_thyroid_donor_0225	TG	3635.0
GTEx_thyroid_donor_0226	TG	5276.0
GTEx_thyroid_donor_0227	TG	6783.0
GTEx_thyroid_donor_0228	TG	4177.0
GTEx_thyroid_donor_0229	TG	9288.0
GTEx_thyroid_donor_0230	TG	12260.0
GTEx_thyroid_donor_0231	TG	11530.0
GTEx_thyroid_donor_0232	TG	5376.0
GTEx_thyroid_donor_0233	TG	7074.0
GTEx_thyroid_donor_0234	TG	5169.0
GTEx_thyroid_donor_0235	TG	8824.0
GTEx_thyroid_donor_0236	TG	6828.0
GTEx_thyroid_donor_0237	TG	8362.0
GTEx_thyroid_donor_0238	TG	8838.0
GTEx_thyroid_donor_0239	TG	6707.0
GTEx_thyroid_donor_0240	TG	8046.0
GTEx_thyroid_donor_0241	TG	8895.0
GTEx_thyroid_donor_0242	TG	5447.0
GTEx_thyroid_donor_0243	TG	5038.0
GTEx_thyroid_donor_0244	TG	6025.0
GTEx_thyroid_donor_0245	TG	8732.0
GTEx_thyroid_donor_0246	TG	6760.0
GTEx_thyroid_donor_0247	TG	14770.0
GTEx_thyroid_donor_0248	TG	4169.0
GTEx_thyroid_donor_0249	TG	11690.0
GTEx_thyroid_donor_0250	TG	5348.0
GTEx_thyroid_donor_0251	TG	18840.0
GTEx_thyroid_donor_0252	TG	4780.0
GTEx_thyroid_donor_0253	TG	17350.0
GTEx_thyroid_donor_0254	TG	4715.0
GTEx_thyroid_donor_0255	TG	12940.0
GTEx_thyroid_donor_0256	TG	8163.0
GTEx_thyroid_donor_0257	TG	13000.0
GTEx_thyroid_donor_0258	TG	10920.0
GTEx_thyroid_donor_0259	TG	8548.0
GTEx_thyroid_donor_0260	TG	3258.0
GTEx_thyroid_donor_0261	TG	6903.0
GTEx_thyroid_donor_0262	TG	2022.0
GTEx_thyroid_donor_0263	TG	10060.0
GTEx_thyroid_donor_0264	TG	14120.0
GTEx_thyroid_donor_0265	TG	11140.0
GTEx_thyroid_donor_0266	TG	11610.0
GTEx_thyroid_donor_0267	TG	5073.0
GTEx_thyroid_donor_0268	TG	4296.0
GTEx_thyroid_donor_0269	TG	2938.0
GTEx_thyroid_donor_0270	TG	10530.0
GTEx_thyroid_donor_0271	TG	12050.0
GTEx_thyroid_donor_0272	TG	6343.0
GTEx_thyroid_donor_0273	TG	6516.0
GTEx_thyroid_donor_0274	TG	5386.0
GTEx_thyroid_donor_0275	TG	9270.0
GTEx_thyroid_donor_0276	TG	5671.0
GTEx_thyroid_donor_0277	TG	4849.0
GTEx_thyroid_donor_0278	TG	14600.0
GTEx_thyroid_donor_0279	TG	3977.0
GTEx_thyroid_donor_0280	TG	6851.0
GTEx_thyroid_donor_0281	TG	12840.0
GTEx_thyroid_donor_0282	TG	5063.0
GTEx_thyroid_donor_0283	TG	6973.0
GTEx_thyroid_donor_0284	TG	5977.0
GTEx_thyroid_donor_0285	TG	3809.0
GTEx_thyroid_donor_0286	TG	8797.0
GTEx_thyroid_donor_0287	TG	3903.0
GTEx_thyroid_donor_0288	TG	5270.0
GTEx_thyroid_donor_0289	TG	8342.0
GTEx_thyroid_donor_0290	TG	7367.0
GTEx_thyroid_donor_0291	TG	2934.0
GTEx_thyroid_donor_0292	TG	5738.0
GTEx_thyroid_donor_0293	TG	8472.0
GTEx_thyroid_donor_0294	TG	4578.0
GTEx_thyroid_donor_0295	TG	9271.0
GTEx_thyroid_donor_0296	TG	4421.0
GTEx_thyroid_donor_0297	TG	7416.0
GTEx_thyroid_donor_0298	TG	5394.0
GTEx_thyroid_donor_0299	TG	12620.0
GTEx_thyroid_donor_0300	TG	5215.0
GTEx_thyroid_donor_0301	TG	7851.0
GTEx_thyroid_donor_0302	TG	11290.0
GTEx_thyroid_donor_0303	TG	5927.0
GTEx_thyroid_donor_0304	TG	4089.0
GTEx_thyroid_donor_0305	TG	9641.0
GTEx_thyroid_donor_0306	TG	8000.0
GTEx_thyroid_donor_0307	TG	7791.0
GTEx_thyroid_donor_0308	TG	3743.0
GTEx_thyroid_donor_0309	TG	8954.0
GTEx_thyroid_donor_0310	TG	12950.0
GTEx_thyroid_donor_0311	TG	4043.0
GTEx_thyroid_donor_0312	TG	4841.0
GTEx_thyroid_donor_0313	TG	15350.0
GTEx_thyroid_donor_0314	TG	7848.0
GTEx_thyroid_donor_0315	TG	10630.0
GTEx_thyroid_donor_0316	TG	706.0
GTEx_thyroid_donor_0317	TG	10500.0
GTEx_thyroid_donor_0318	TG	4575.0
GTEx_thyroid_donor_0319	TG	12280.0
GTEx_thyroid_donor_0320	TG	3277.0
GTEx_thyroid_donor_0321	TG	4378.0
GTEx_thyroid_donor_0322	TG	9919.0
GTEx_thyroid_donor_0323	TG	6165.0
GTEx_thyroid_donor_0324	TG	12190.0
GTEx_thyroid_donor_0325	TG	3328.0
GTEx_thyroid_donor_0326	TG	2563.0
GTEx_thyroid_donor_0327	TG	6273.0
GTEx_thyroid_donor_0328	TG	7891.0
GTEx_thyroid_donor_0329	TG	11100.0
GTEx_thyroid_donor_0330	TG	8873.0
GTEx_thyroid_donor_0331	TG	4887.0
GTEx_thyroid_donor_0332	TG	11050.0
GTEx_thyroid_donor_0333	TG	5317.0
GTEx_thyroid_donor_0334	TG	6984.0
GTEx_thyroid_donor_0335	TG	5761.0
GTEx_thyroid_donor_0336	TG	6501.0
GTEx_thyroid_donor_0337	TG	9577.0
GTEx_thyroid_donor_0338	TG	5931.0
GTEx_thyroid_donor_0339	TG	8700.0
GTEx_thyroid_donor_0340	TG	3688.0
GTEx_thyroid_donor_0341	TG	8798.0
GTEx_thyroid_donor_0342	TG	6860.0
GTEx_thyroid_donor_0343	TG	12060.0
GTEx_thyroid_donor_0344	TG	5502.0
GTEx_thyroid_donor_0345	TG	18100.0
GTEx_thyroid_donor_0346	TG	8015.0
GTEx_thyroid_donor_0347	TG	4921.0
GTEx_thyroid_donor_0348	TG	14360.0
GTEx_thyroid_donor_0349	TG	5482.0
GTEx_thyroid_donor_0350	TG	10450.0
GTEx_thyroid_donor_0351	TG	9017.0
GTEx_thyroid_donor_0352	TG	7480.0
GTEx_thyroid_donor_0353	TG	5765.0
GTEx_thyroid_donor_0354	TG	7182.0
GTEx_thyroid_donor_0355	TG	4086.0
GTEx_thyroid_donor_0356	TG	7901.0
GTEx_thyroid_donor_0357	TG	11230.0
GTEx_thyroid_donor_0358	TG	15780.0
GTEx_thyroid_donor_0359	TG	1156.0
GTEx_thyroid_donor_0360	TG	13710.0
GTEx_thyroid_donor_0361	TG	6939.0
GTEx_thyroid_donor_0362	TG	2402.0
GTEx_thyroid_donor_0363	TG	6913.0
GTEx_thyroid_donor_0364	TG	6427.0
GTEx_thyroid_donor_0365	TG	7881.0
GTEx_thyroid_donor_0366	TG	16370.0
GTEx_thyroid_donor_0367	TG	9948.0
GTEx_thyroid_donor_0368	TG	10470.0
GTEx_thyroid_donor_0369	TG	8545.0
GTEx_thyroid_donor_0370	TG	5274.0
GTEx_thyroid_donor_0371	TG	13390.0
GTEx_thyroid_donor_0372	TG	8095.0
GTEx_thyroid_donor_0373	TG	5531.0
GTEx_thyroid_donor_0374	TG	5875.0
GTEx_thyroid_donor_0375	TG	10510.0
GTEx_thyroid_donor_0376	TG	9958.0
GTEx_thyroid_donor_0377	TG	6511.0
GTEx_thyroid_donor_0378	TG	2990.0
GTEx_thyroid_donor_0379	TG	10690.0
GTEx_thyroid_donor_0380	TG	7760.0
GTEx_thyroid_donor_0381	TG	3196.0
GTEx_thyroid_donor_0382	TG	2047.0
GTEx_thyroid_donor_0383	TG	7302.0
GTEx_thyroid_donor_0384	TG	9391.0
GTEx_thyroid_donor_0385	TG	4457.0
GTEx_thyroid_donor_0386	TG	17200.0
GTEx_thyroid_donor_0387	TG	13030.0
GTEx_thyroid_donor_0388	TG	5303.0
GTEx_thyroid_donor_0389	TG	5227.0
GTEx_thyroid_donor_0390	TG	4421.0
GTEx_thyroid_donor_0391	TG	12230.0
GTEx_thyroid_donor_0392	TG	5407.0
GTEx_thyroid_donor_0393	TG	2214.0
GTEx_thyroid_donor_0394	TG	4177.0
GTEx_thyroid_donor_0395	TG	17580.0
GTEx_thyroid_donor_0396	TG	3086.0
GTEx_thyroid_donor_0397	TG	8541.0
GTEx_thyroid_donor_0398	TG	3535.0
GTEx_thyroid_donor_0399	TG	18540.0
GTEx_thyroid_donor_0400	TG	6438.0
GTEx_thyroid_donor_0401	TG	9015.0
GTEx_thyroid_donor_0402	TG	10940.0
GTEx_thyroid_donor_0403	TG	6306.0
GTEx_thyroid_donor_0404	TG	9550.0
GTEx_thyroid_donor_0405	TG	17070.0
GTEx_thyroid_donor_0406	TG	338.2
GTEx_thyroid_donor_0407	TG	4352.0
GTEx_thyroid_donor_0408	TG	7621.0
GTEx_thyroid_donor_0409	TG	3104.0
GTEx_thyroid_donor_0410	TG	7422.0
GTEx_thyroid_donor_0411	TG	9836.0
GTEx_thyroid_donor_0412	TG	7916.0
GTEx_thyroid_donor_0413	TG	9268.0
GTEx_thyroid_donor_0414	TG	6811.0
GTEx_thyroid_donor_0415	TG	13270.0
GTEx_thyroid_donor_0416	TG	10740.0
GTEx_thyroid_donor_0417	TG	11410.0
GTEx_thyroid_donor_0418	TG	2215.0
GTEx_thyroid_donor_0419	TG	5007.0
GTEx_thyroid_donor_0420	TG	15940.0
GTEx_thyroid_donor_0421	TG	6998.0
GTEx_thyroid_donor_0422	TG	3512.0
GTEx_thyroid_donor_0423	TG	6948.0
GTEx_thyroid_donor_0424	TG	3323.0
GTEx_thyroid_donor_0425	TG	12160.0
GTEx_thyroid_donor_0426	TG	4568.0
GTEx_thyroid_donor_0427	TG	3444.0
GTEx_thyroid_donor_0428	TG	4705.0
GTEx_thyroid_donor_0429	TG	5673.0
GTEx_thyroid_donor_0430	TG	9175.0
GTEx_thyroid_donor_0431	TG	7740.0
GTEx_thyroid_donor_0432	TG	6958.0
GTEx_thyroid_donor_0433	TG	14590.0
GTEx_thyroid_donor_0434	TG	12730.0
GTEx_thyroid_donor_0435	TG	13730.0
GTEx_thyroid_donor_0436	TG	7923.0
GTEx_thyroid_donor_0437	TG	2352.0
GTEx_thyroid_donor_0438	TG	7691.0
GTEx_thyroid_donor_0439	TG	3366.0
GTEx_thyroid_donor_0440	TG	6446.0
GTEx_thyroid_donor_0441	TG	9901.0
GTEx_thyroid_donor_0442	TG	13400.0
GTEx_thyroid_donor_0443	TG	5959.0
GTEx_thyroid_donor_0444	TG	8821.0
GTEx_thyroid_donor_0445	TG	6965.0
GTEx_thyroid_donor_0446	TG	4549.0
GTEx_thyroid_donor_0447	TG	11350.0
GTEx_thyroid_donor_0448	TG	7666.0
GTEx_thyroid_donor_0449	TG	9559.0
GTEx_thyroid_donor_0450	TG	1954.0
GTEx_thyroid_donor_0451	TG	3712.0
GTEx_thyroid_donor_0452	TG	7254.0
GTEx_thyroid_donor_0453	TG	2215.0
GTEx_thyroid_donor_0454	TG	7654.0
GTEx_thyroid_donor_0455	TG	6801.0
GTEx_thyroid_donor_0456	TG	7627.0
GTEx_thyroid_donor_0457	TG	8158.0
GTEx_thyroid_donor_0458	TG	13980.0
GTEx_thyroid_donor_0459	TG	6598.0
GTEx_thyroid_donor_0460	TG	5383.0
GTEx_thyroid_donor_0461	TG	5199.0
GTEx_thyroid_donor_0462	TG	1134.0
GTEx_thyroid_donor_0463	TG	5688.0
GTEx_thyroid_donor_0464	TG	4141.0
GTEx_thyroid_donor_0465	TG	4196.0
GTEx_thyroid_donor_0466	TG	11190.0
GTEx_thyroid_donor_0467	TG	4336.0
GTEx_thyroid_donor_0468	TG	4925.0
GTEx_thyroid_donor_0469	TG	5689.0
GTEx_thyroid_donor_0470	TG	8276.0
GTEx_thyroid_donor_0471	TG	90.69
GTEx_thyroid_donor_0472	TG	13970.0
GTEx_thyroid_donor_0473	TG	7281.0
GTEx_thyroid_donor_0474	TG	10870.0
GTEx_thyroid_donor_0475	TG	7692.0
GTEx_thyroid_donor_0476	TG	4524.0
GTEx_thyroid_donor_0477	TG	5137.0
GTEx_thyroid_donor_0478	TG	6795.0
GTEx_thyroid_donor_0479	TG	5839.0
GTEx_thyroid_donor_0480	TG	7527.0
GTEx_thyroid_donor_0481	TG	11510.0
GTEx_thyroid_donor_0482	TG	4735.0
GTEx_thyroid_donor_0483	TG	3720.0
GTEx_thyroid_donor_0484	TG	4757.0
GTEx_thyroid_donor_0485	TG	7795.0
GTEx_thyroid_donor_0486	TG	13470.0
GTEx_thyroid_donor_0487	TG	9420.0
GTEx_thyroid_donor_0488	TG	2247.0
GTEx_thyroid_donor_0489	TG	9244.0
GTEx_thyroid_donor_0490	TG	5682.0
GTEx_thyroid_donor_0491	TG	10360.0
GTEx_thyroid_donor_0492	TG	7317.0
GTEx_thyroid_donor_0493	TG	5127.0
GTEx_thyroid_donor_0494	TG	7825.0
GTEx_thyroid_donor_0495	TG	5985.0
GTEx_thyroid_donor_0496	TG	4582.0
GTEx_thyroid_donor_0497	TG	6284.0
GTEx_thyroid_donor_0498	TG	4630.0
GTEx_thyroid_donor_0499	TG	6845.0
GTEx_thyroid_donor_0500	TG	2859.0
GTEx_thyroid_donor_0501	TG	13260.0
GTEx_thyroid_donor_0502	TG	7480.0
GTEx_thyroid_donor_0503	TG	5224.0
GTEx_thyroid_donor_0504	TG	8352.0
GTEx_thyroid_donor_0505	TG	7776.0
GTEx_thyroid_donor_0506	TG	6650.0
GTEx_thyroid_donor_0507	TG	8487.0
GTEx_thyroid_donor_0508	TG	8491.0
GTEx_thyroid_donor_0509	TG	3026.0
GTEx_thyroid_donor_0510	TG	984.8
GTEx_thyroid_donor_0511	TG	11460.0
GTEx_thyroid_donor_0512	TG	4976.0
GTEx_thyroid_donor_0513	TG	8413.0
GTEx_thyroid_donor_0514	TG	8345.0
GTEx_thyroid_donor_0515	TG	3801.0
GTEx_thyroid_donor_0516	TG	7873.0
GTEx_thyroid_donor_0517	TG	3110.0
GTEx_thyroid_donor_0518	TG	2089.0
GTEx_thyroid_donor_0519	TG	12800.0
GTEx_thyroid_donor_0520	TG	5923.0
GTEx_thyroid_donor_0521	TG	4425.0
GTEx_thyroid_donor_0522	TG	3738.0
GTEx_thyroid_donor_0523	TG	15030.0
GTEx_thyroid_donor_0524	TG	11350.0
GTEx_thyroid_donor_0525	TG	4316.0
GTEx_thyroid_donor_0526	TG	7646.0
GTEx_thyroid_donor_0527	TG	5151.0
GTEx_thyroid_donor_0528	TG	12250.0
GTEx_thyroid_donor_0529	TG	6507.0
GTEx_thyroid_donor_0530	TG	16970.0
GTEx_thyroid_donor_0531	TG	9705.0
GTEx_thyroid_donor_0532	TG	13380.0
GTEx_thyroid_donor_0533	TG	10100.0
GTEx_thyroid_donor_0534	TG	9607.0
GTEx_thyroid_donor_0535	TG	17990.0
GTEx_thyroid_donor_0536	TG	8174.0
GTEx_thyroid_donor_0537	TG	8480.0
GTEx_thyroid_donor_0538	TG	1409.0
GTEx_thyroid_donor_0539	TG	6092.0
GTEx_thyroid_donor_0540	TG	3205.0
GTEx_thyroid_donor_0541	TG	8264.0
GTEx_thyroid_donor_0542	TG	7626.0
GTEx_thyroid_donor_0543	TG	11820.0
GTEx_thyroid_donor_0544	TG	7358.0
GTEx_thyroid_donor_0545	TG	10320.0
GTEx_thyroid_donor_0546	TG	11910.0
GTEx_thyroid_donor_0547	TG	2888.0
GTEx_thyroid_donor_0548	TG	10090.0
GTEx_thyroid_donor_0549	TG	10710.0
GTEx_thyroid_donor_0550	TG	6793.0
GTEx_thyroid_donor_0551	TG	4317.0
GTEx_thyroid_donor_0552	TG	8635.0
GTEx_thyroid_donor_0553	TG	2168.0
GTEx_thyroid_donor_0554	TG	9424.0
GTEx_thyroid_donor_0555	TG	9196.0
GTEx_thyroid_donor_0556	TG	7650.0
GTEx_thyroid_donor_0557	TG	11870.0
GTEx_thyroid_donor_0558	TG	10930.0
GTEx_thyroid_donor_0559	TG	12840.0
GTEx_thyroid_donor_0560	TG	10910.0
GTEx_thyroid_donor_0561	TG	12220.0
GTEx_thyroid_donor_0562	TG	11180.0
GTEx_thyroid_donor_0563	TG	2172.0
GTEx_thyroid_donor_0564	TG	4442.0
GTEx_thyroid_donor_0565	TG	6006.0
GTEx_thyroid_donor_0566	TG	10320.0
GTEx_thyroid_donor_0567	TG	6732.0
GTEx_thyroid_donor_0568	TG	12540.0
GTEx_thyroid_donor_0569	TG	13260.0
GTEx_thyroid_donor_0570	TG	5597.0
GTEx_thyroid_donor_0571	TG	4302.0
GTEx_thyroid_donor_0572	TG	2867.0
GTEx_thyroid_donor_0573	TG	7949.0
GTEx_thyroid_donor_0574	TG	6446.0
GTEx_thyroid_donor_0575	TG	3036.0
GTEx_thyroid_donor_0576	TG	6227.0
GTEx_thyroid_donor_0577	TG	8585.0
GTEx_thyroid_donor_0578	TG	3274.0
GTEx_thyroid_donor_0579	TG	7782.0
GTEx_thyroid_donor_0580	TG	6454.0
GTEx_thyroid_donor_0581	TG	9122.0
