cluster_1,,B cell,B cell,B cell,B cell,B cell,B cell,B cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,NK cell,NK cell,NK cell,NK cell,NK cell,NK cell,NK cell,T cell,T cell,T cell,T cell,T cell,T cell,T cell
TFF2,MUC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFF1,MUC5AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100A1,RYR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCGB3A1,MARCO,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.998,,1.0,0.916,0.872,0.884,0.912,0.612,,0.84,0.0,0.0,0.0,0.0,0.002,,0.0,0.93,0.938,0.922,0.938,0.89,,0.914,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0
ANGPTL4,GPIHBP1,0.922,0.106,1.0,,1.0,,0.978,0.298,0.024,0.66,,0.738,,0.384,0.0,0.0,0.01,,0.338,,0.0,0.012,0.0,0.398,,0.59,,0.008,0.524,0.114,0.76,,0.826,,0.588,,,,,,,,0.062,0.002,0.58,,0.628,,0.09
ANGPTL4,TIE1,0.976,0.0,0.974,1.0,0.994,,1.0,0.574,0.0,0.372,0.886,0.824,,0.734,0.078,0.0,0.0,0.386,0.568,,0.12,0.352,0.0,0.012,0.996,0.772,,0.632,0.714,0.01,0.598,0.88,0.872,,0.79,,,,,,,,0.428,0.0,0.08,0.972,0.782,,0.696
IGF1,INSR,1.0,0.998,1.0,0.026,1.0,,1.0,0.998,0.986,0.882,0.036,0.992,,0.974,0.386,0.364,0.0,0.0,0.572,,0.01,1.0,1.0,1.0,0.842,1.0,,1.0,1.0,0.99,0.916,0.248,0.998,,0.98,,,,,,,,0.968,0.8,0.064,0.0,0.87,,0.53
PCSK9,LDLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL11,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.114,,0.0,,,,,,,,,,,,,,
ANGPT2,TIE1,0.454,0.0,0.072,0.994,0.794,,0.714,0.42,0.0,0.156,0.918,0.774,,0.638,0.116,0.0,0.0,0.676,0.63,,0.192,0.436,0.0,0.022,1.0,0.814,,0.786,,,,,,,,,,,,,,,0.432,0.0,0.036,1.0,0.796,,0.748
CALCA,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THBS2,NOTCH4,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.004,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.986,0.954,0.966,0.932,0.984,,0.942,,,,,,,,0.98,0.68,0.812,0.428,0.892,,0.634
THBS2,ITGA6,1.0,0.018,1.0,1.0,1.0,,1.0,1.0,0.118,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.074,,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,0.98,0.066,0.934,0.97,0.998,,0.934,,,,,,,,0.916,0.0,0.552,0.796,0.998,,0.566
THBS2,CD36,0.97,0.012,1.0,1.0,0.976,,0.998,0.958,0.07,0.998,1.0,0.97,,0.982,0.0,0.0,0.0,0.0,0.0,,0.0,0.274,0.0,0.984,1.0,0.656,,0.576,0.676,0.032,0.856,0.996,0.802,,0.764,,,,,,,,0.006,0.0,0.09,1.0,0.274,,0.008
S100A8,CD36,,,,,,,,0.0,0.0,0.0,0.676,0.048,,0.0,0.0,0.0,0.0,1.0,0.202,,0.0,0.0,0.0,0.002,1.0,0.256,,0.002,0.004,0.0,0.03,1.0,0.186,,0.006,,,,,,,,0.0,0.0,0.0,1.0,0.198,,0.0
S100A12,CD36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100A9,CD36,0.0,0.0,0.006,0.998,0.164,,0.0,0.0,0.0,0.0,0.128,0.022,,0.0,0.0,0.0,0.0,1.0,0.152,,0.0,0.002,0.0,0.058,1.0,0.332,,0.006,0.062,0.0,0.198,0.988,0.27,,0.096,,,,,,,,0.0,0.0,0.0,1.0,0.174,,0.0
CALCB,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDK,ITGA6,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.958,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.158,,0.0,0.0,0.0,0.0,0.0,0.212,,0.0,1.0,0.994,1.0,1.0,1.0,,1.0,,,,,,,,1.0,0.982,1.0,1.0,1.0,,1.0
ADM,TSHR,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.024,0.034,0.016,0.0,0.046,,0.032,1.0,1.0,1.0,0.0,1.0,,1.0
CGA,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL8,CD79A,0.0,0.738,0.966,1.0,0.868,,0.644,0.0,0.19,0.206,0.618,0.374,,0.084,0.0,0.086,0.006,0.806,0.306,,0.0,0.0,0.376,0.764,1.0,0.646,,0.054,0.01,0.412,0.522,0.862,0.602,,0.306,,,,,,,,0.0,0.168,0.12,0.942,0.4,,0.002
PTH2,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOE,LRP1,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.058,1.0,0.986,,0.99,1.0,0.904,0.0,1.0,0.272,,0.0,0.948,0.046,0.0,0.0,0.002,,0.0,1.0,0.998,0.16,1.0,0.956,,0.956,,,,,,,,1.0,1.0,0.996,1.0,1.0,,1.0
PCSK9,LRP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THBS1,LRP1,1.0,1.0,0.0,1.0,0.834,,0.814,0.998,0.422,0.0,0.768,0.056,,0.0,0.998,0.164,0.0,0.322,0.006,,0.0,1.0,1.0,0.0,1.0,0.806,,0.786,1.0,0.924,0.0,1.0,0.434,,0.168,,,,,,,,1.0,0.854,0.0,1.0,0.222,,0.0
VWF,LRP1,0.842,0.068,0.0,0.086,0.002,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.88,0.0,1.0,0.222,,0.0,1.0,1.0,0.0,1.0,0.964,,0.998,0.988,0.75,0.0,0.896,0.34,,0.15,0.78,0.61,0.236,0.644,0.49,,0.43,1.0,0.47,0.0,0.93,0.066,,0.0
CGA,RAMP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCL11,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,,,,0.054,,,,,,,,,,,,,,
CCL7,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCL8,ACKR4,,0.406,,,,,0.58,,0.0,,,,,0.0,,0.076,,,,,0.032,,0.528,,,,,0.932,,0.04,,,,,0.06,,,,,,,,,0.002,,,,,0.0
S100A9,CD68,0.9,0.522,0.0,0.996,0.0,,0.142,0.114,0.058,0.0,0.098,0.0,,0.0,0.916,0.498,0.0,1.0,0.0,,0.054,1.0,0.84,0.0,1.0,0.002,,0.824,0.924,0.674,0.01,0.968,0.004,,0.446,,,,,,,,0.966,0.54,0.0,1.0,0.0,,0.154
S100A8,CD68,,,,,,,,0.456,0.186,0.0,0.49,0.0,,0.012,0.978,0.624,0.0,1.0,0.0,,0.158,0.998,0.746,0.0,1.0,0.0,,0.486,0.944,0.556,0.0,1.0,0.0,,0.188,,,,,,,,0.986,0.634,0.0,1.0,0.0,,0.228
PTH2,RAMP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,FLT4,,,,,,,,,,,,,,,0.568,0.544,0.31,0.026,0.238,,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THBS2,NOTCH3,1.0,0.136,0.834,1.0,1.0,,1.0,1.0,0.246,0.838,1.0,1.0,,0.996,0.696,0.0,0.0,0.0,0.486,,0.0,1.0,0.006,0.0,1.0,0.998,,0.906,1.0,0.126,0.5,0.99,0.996,,0.87,,,,,,,,1.0,0.0,0.0,0.996,0.988,,0.212
SCGB3A1,NOTCH3,1.0,0.12,0.942,1.0,1.0,,1.0,1.0,0.064,0.458,1.0,0.998,,0.972,1.0,0.0,0.0,1.0,0.994,,0.29,1.0,0.0,0.0,0.0,0.902,,0.0,1.0,0.042,0.196,0.996,0.994,,0.73,,,,,,,,1.0,0.072,0.816,1.0,1.0,,1.0
CXCL8,KDR,0.998,0.616,1.0,0.538,0.99,,1.0,0.68,0.164,0.47,0.06,0.786,,0.88,0.734,0.086,0.446,0.0,0.826,,0.992,0.996,0.298,1.0,0.0,0.954,,1.0,0.874,0.362,0.796,0.262,0.906,,0.978,,,,,,,,0.87,0.122,0.72,0.0,0.87,,0.998
CXCL9,FCGR2A,0.794,0.776,0.0,0.996,0.0,,0.376,,,,,,,,0.892,0.816,0.0,1.0,0.0,,0.54,0.948,0.862,0.0,1.0,0.0,,0.722,0.03,0.11,0.0,0.012,0.0,,0.004,,,,,,,,,,,,,,
VEGFD,FLT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,ICOS,,,,,,,,,,,,,,,0.004,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,F3,0.996,0.538,0.064,0.836,0.452,,0.284,0.0,0.0,0.0,0.0,0.0,,0.0,0.234,0.008,0.0,0.0,0.024,,0.0,1.0,1.0,1.0,1.0,0.998,,1.0,0.438,0.166,0.04,0.2,0.154,,0.084,0.06,0.038,0.03,0.048,0.036,,0.036,0.57,0.042,0.0,0.004,0.078,,0.0
CXCL12,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCL3,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTN,PTPRB,0.998,0.0,0.996,0.988,0.908,,0.852,,,,,,,,0.68,0.0,0.194,0.016,0.606,,0.016,0.978,0.0,0.998,0.986,0.856,,0.624,0.65,0.0,0.404,0.288,0.64,,0.22,,,,,,,,0.932,0.0,0.89,0.75,0.806,,0.4
CCL8,ACKR1,0.0,0.0,0.0,1.0,0.2,,0.0,0.0,0.0,0.0,1.0,0.042,,0.0,0.0,0.0,0.0,1.0,0.17,,0.0,0.0,0.0,0.0,1.0,0.228,,0.0,0.0,0.0,0.0,1.0,0.106,,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.124,,0.0
EDN1,ADGRL4,0.536,0.0,0.016,0.404,0.062,,0.364,0.004,0.0,0.0,0.0,0.002,,0.0,0.926,0.0,0.088,0.996,0.144,,0.928,0.972,0.0,0.294,1.0,0.172,,0.99,0.394,0.0,0.094,0.314,0.08,,0.298,,,,,,,,0.484,0.0,0.0,0.278,0.048,,0.226
MDK,TSPAN1,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.068,0.002,0.0,0.0,0.178,,0.032,0.076,0.002,0.0,0.0,0.248,,0.034,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0
CCL1,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGF1,ITGA6,0.972,0.0,0.764,0.918,1.0,,0.726,0.814,0.0,0.466,0.626,0.97,,0.468,0.006,0.0,0.0,0.0,0.534,,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,0.872,0.0,0.672,0.744,0.992,,0.652,,,,,,,,0.108,0.0,0.0,0.0,0.84,,0.0
CCL18,ACKR1,0.0,0.0,0.0,1.0,0.168,,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.154,,0.0,0.0,0.0,0.0,1.0,0.198,,0.0,0.0,0.0,0.0,1.0,0.022,,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.206,,0.0
CXCL3,ACKR1,,,,,,,,0.0,0.0,0.0,1.0,0.17,,0.0,0.0,0.0,0.0,1.0,0.182,,0.0,0.0,0.0,0.0,1.0,0.186,,0.0,0.0,0.0,0.0,1.0,0.168,,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.172,,0.0
CXCL5,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL9,ACKR1,0.0,0.0,0.0,1.0,0.156,,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.176,,0.0,0.0,0.0,0.0,1.0,0.192,,0.0,0.0,0.0,0.0,1.0,0.07,,0.0,,,,,,,,,,,,,,
CXCL10,ACKR1,,,,,,,,0.0,0.0,0.0,1.0,0.158,,0.0,0.0,0.0,0.0,1.0,0.178,,0.0,0.0,0.0,0.0,1.0,0.194,,0.0,0.0,0.0,0.0,1.0,0.074,,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.178,,0.0
CXCL13,ACKR1,0.0,0.0,0.0,1.0,0.126,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.166,,0.0,,,,,,,,,,,,,,
CCL7,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPP1,ITGB6,,,0.004,0.0,,,,,,0.0,0.0,,,,,,0.938,0.088,,,,,,1.0,0.176,,,,,,0.17,0.09,,,,,,,,,,,,,0.598,0.024,,,
ANGPTL4,CDH5,0.946,0.0,1.0,1.0,1.0,,1.0,0.498,0.0,0.762,0.774,0.978,,0.732,0.112,0.0,0.138,0.09,0.926,,0.17,0.282,0.0,0.678,0.812,0.988,,0.668,0.626,0.0,0.79,0.814,0.976,,0.822,,,,,,,,0.338,0.0,0.728,0.774,0.984,,0.728
ANGPTL4,CDH11,1.0,1.0,0.0,1.0,0.456,,1.0,1.0,0.994,0.0,0.998,0.266,,0.864,1.0,0.966,0.0,0.998,0.128,,0.49,1.0,0.99,0.0,1.0,0.194,,0.85,1.0,0.992,0.004,0.99,0.364,,0.874,,,,,,,,1.0,0.994,0.0,1.0,0.208,,0.86
SLC1A2,GRIA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC1A6,GRIA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOE,TYROBP,1.0,1.0,1.0,1.0,0.932,,1.0,1.0,0.998,0.956,1.0,0.048,,0.998,0.764,0.704,0.0,0.948,0.0,,0.008,0.0,0.0,0.0,0.0,0.0,,0.0,0.998,0.998,0.906,1.0,0.11,,0.974,,,,,,,,1.0,1.0,1.0,1.0,0.658,,1.0
CCL20,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,,,,0.094,,,,,,,,,,,,,,
FAM3D,FPR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-G,KLRD1,,,,,,,,,,,,,,,,,,,,,,0.066,,,,0.126,,,,,,,,,,,,,,,,,,,,,,,
FGFR4,MCAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAIR2,FGFR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL2,DLK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNFSF9,FCRL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCN,LRP1,1.0,1.0,0.29,1.0,1.0,,1.0,0.996,0.688,0.0,0.88,0.228,,0.042,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.434,1.0,1.0,,1.0,0.984,0.688,0.0,0.846,0.324,,0.124,0.952,0.904,0.6,0.918,0.834,,0.816,0.01,0.0,0.0,0.0,0.0,,0.0
IFNG,MPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPO,MPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPLN1,IL1RL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMA3G,FCGR2A,,,,,,,,0.676,0.7,0.002,0.768,0.0,,0.314,0.84,0.79,0.0,0.994,0.0,,0.43,0.952,0.878,0.0,1.0,0.0,,0.784,0.454,0.53,0.01,0.432,0.0,,0.21,,,,,,,,0.572,0.644,0.0,0.73,0.0,,0.126
VCAM1,VCAM1,0.064,0.0,0.0,0.866,0.85,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.934,0.802,,0.0,0.866,0.0,0.934,1.0,1.0,,0.874,0.85,0.0,0.802,1.0,0.986,,0.824,,,,,,,,0.0,0.0,0.0,0.874,0.824,,0.0
CCL5,ACKR4,,0.002,,,,,0.002,,0.352,,,,,0.398,,0.0,,,,,0.0,,1.0,,,,,1.0,,0.0,,,,,0.0,,,,,,,,,0.004,,,,,0.006
FLT4,FCRL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRLF1,LIFR,0.996,0.0,1.0,1.0,1.0,,0.988,0.074,0.0,0.212,0.568,0.664,,0.012,0.0,0.0,0.0,0.0,0.23,,0.0,0.71,0.0,1.0,1.0,0.986,,0.108,0.868,0.0,0.974,1.0,0.986,,0.758,,,,,,,,0.048,0.0,0.292,0.976,0.836,,0.0
PCSK9,CD36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THBS1,GP9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFNB2,FCRL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCAN,LDLR,1.0,0.174,0.998,1.0,0.998,,0.998,0.984,0.102,0.808,0.942,0.898,,0.784,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.124,1.0,1.0,1.0,,1.0,0.988,0.302,0.86,0.96,0.928,,0.84,,,,,,,,0.782,0.0,0.01,0.22,0.348,,0.006
CEACAM5,CEACAM6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEACAM6,CEACAM5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN1,ITGA6,1.0,0.76,1.0,1.0,1.0,,1.0,0.706,0.006,0.524,0.602,0.918,,0.512,0.0,0.0,0.0,0.0,0.008,,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,0.976,0.26,0.96,0.966,0.996,,0.946,,,,,,,,0.856,0.0,0.514,0.724,0.992,,0.52
CCL3L1,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSG,CXCL12,0.962,0.0,0.0,1.0,0.052,,0.0,0.848,0.0,0.0,1.0,0.028,,0.0,0.864,0.0,0.0,1.0,0.03,,0.0,0.992,0.0,0.0,1.0,0.078,,0.0,0.812,0.0,0.0,1.0,0.032,,0.0,,,,,,,,0.932,0.0,0.0,1.0,0.04,,0.0
KDR,FLT1,0.994,0.0,1.0,0.15,0.998,,1.0,0.746,0.0,0.782,0.006,0.954,,0.988,0.996,0.0,1.0,0.0,0.998,,1.0,0.744,0.0,0.888,0.0,0.96,,1.0,0.99,0.032,1.0,0.528,0.994,,1.0,,,,,,,,1.0,0.0,1.0,0.448,1.0,,1.0
KDR,CDH5,0.748,0.0,0.984,0.994,1.0,,0.968,0.162,0.0,0.246,0.274,0.87,,0.272,0.592,0.0,0.968,1.0,0.994,,0.962,0.034,0.0,0.008,0.0,0.876,,0.042,0.842,0.002,0.938,0.944,0.994,,0.942,,,,,,,,0.958,0.0,1.0,1.0,1.0,,1.0
CXCL8,MMP9,0.124,0.95,0.996,1.0,0.108,,0.986,0.01,0.3,0.284,0.302,0.012,,0.24,0.0,0.188,0.026,0.052,0.006,,0.026,0.0,0.784,0.98,0.996,0.022,,0.922,0.114,0.61,0.622,0.666,0.09,,0.578,,,,,,,,0.0,0.352,0.262,0.34,0.006,,0.196
CCL22,CCR7,0.004,0.236,0.396,0.656,0.052,,0.492,0.006,0.216,0.264,0.442,0.05,,0.334,0.0,0.192,0.3,0.798,0.036,,0.458,0.0,0.334,0.856,1.0,0.064,,0.92,0.004,0.074,0.086,0.114,0.028,,0.106,,,,,,,,0.0,0.106,0.07,0.3,0.016,,0.156
FLT4,KDR,0.978,0.308,0.97,0.038,0.944,,1.0,0.974,0.33,0.922,0.118,0.928,,1.0,0.984,0.222,0.974,0.0,0.932,,1.0,0.966,0.178,0.988,0.0,0.912,,1.0,0.684,0.178,0.484,0.064,0.774,,0.9,,,,,,,,0.962,0.186,0.962,0.0,0.92,,1.0
KDR,FLT4,0.978,0.974,0.984,0.966,0.684,,0.962,0.308,0.33,0.222,0.178,0.178,,0.186,0.97,0.922,0.974,0.988,0.484,,0.962,0.038,0.118,0.0,0.0,0.064,,0.0,0.944,0.928,0.932,0.912,0.774,,0.92,,,,,,,,1.0,1.0,1.0,1.0,0.9,,1.0
THBS1,MMP2,1.0,0.99,0.0,1.0,0.28,,0.316,0.888,0.07,0.0,0.654,0.0,,0.0,0.752,0.004,0.0,0.088,0.0,,0.0,1.0,0.99,0.0,1.0,0.212,,0.112,0.998,0.61,0.0,0.992,0.082,,0.072,,,,,,,,1.0,0.328,0.0,1.0,0.004,,0.0
NPPA,MME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THBS1,MMP9,0.972,1.0,1.0,1.0,0.9,,1.0,0.0,0.002,0.002,0.002,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.986,,1.0,0.272,0.534,0.518,0.534,0.224,,0.498,,,,,,,,0.0,0.03,0.01,0.016,0.0,,0.01
SFTPA1,SFTPA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDR,PLCG2,0.838,0.064,0.88,0.998,0.842,,0.928,0.12,0.004,0.11,0.356,0.242,,0.15,0.636,0.012,0.756,1.0,0.686,,0.89,0.002,0.0,0.0,0.0,0.126,,0.0,0.852,0.364,0.878,0.962,0.876,,0.898,,,,,,,,0.994,0.18,1.0,1.0,0.992,,1.0
IFNG,TNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,,,,,,,,,,,,,,,,,
PRSS3,F2RL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSF1,TNF,,,0.702,,,,,,,0.038,,,,,,,0.0,,,,,,,1.0,,,,,,,0.588,,,,,,,,,,,,,,0.002,,,,
KDR,HSP90AA1,1.0,0.964,0.54,0.004,0.992,,1.0,1.0,0.828,0.064,0.0,0.968,,1.0,1.0,0.954,0.284,0.0,0.994,,1.0,1.0,0.818,0.0,0.0,0.972,,1.0,1.0,0.97,0.724,0.246,0.994,,1.0,,,,,,,,1.0,0.982,0.818,0.012,0.996,,1.0
THBS1,ELANE,,,1.0,,,,,,,0.002,,,,,,,0.0,,,,,,,1.0,,,,,,,0.47,,,,,,,,,,,,,,0.002,,,,
AREG,MMP9,0.002,0.64,0.686,0.782,0.012,,0.602,0.0,0.102,0.078,0.098,0.004,,0.066,0.0,0.072,0.0,0.0,0.002,,0.0,0.0,0.962,1.0,1.0,0.046,,1.0,0.09,0.552,0.556,0.594,0.076,,0.516,,,,,,,,0.0,0.288,0.162,0.202,0.004,,0.112
IL1RN,IL2RA,0.19,,,,,,,0.318,,,,,,,0.0,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.012,,,,,,
CCL1,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSG,F2RL3,,,0.326,0.086,,,0.998,,,0.062,0.018,,,0.598,,,0.0,0.0,,,0.708,,,0.998,0.92,,,1.0,,,0.114,0.07,,,0.5,,,,,,,,,,0.01,0.0,,,0.954
PRSS2,F2RL3,,,,,,,,,,,,,,,,,0.072,0.0,,,1.0,,,0.22,0.0,,,1.0,,,0.192,0.058,,,1.0,,,,,,,,,,,,,,
PRSS1,F2RL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THBS4,CD36,1.0,0.264,1.0,1.0,1.0,,1.0,0.778,0.03,0.94,1.0,0.882,,0.862,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.002,1.0,1.0,0.998,,1.0,0.674,0.074,0.824,0.996,0.788,,0.75,0.086,0.05,0.096,0.134,0.1,,0.088,0.0,0.0,0.0,0.002,0.004,,0.0
MDK,PTPRB,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.788,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.006,,0.0,0.0,0.0,0.0,0.0,0.012,,0.0,1.0,0.96,1.0,1.0,1.0,,1.0,,,,,,,,1.0,0.69,1.0,1.0,1.0,,1.0
CSF2,CSF2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
IFNG,IFNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,
IL13,IL13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL1A,IL1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL1B,IL1B,0.118,0.04,0.118,0.176,0.158,,0.19,0.04,0.076,0.07,0.092,0.098,,0.078,0.118,0.07,0.348,0.688,0.244,,0.544,0.176,0.092,0.688,0.882,0.292,,0.85,0.158,0.098,0.244,0.292,0.25,,0.282,,,,,,,,0.19,0.078,0.544,0.85,0.282,,0.642
IL1RN,IL1B,0.424,0.194,0.722,0.866,0.362,,0.822,0.454,0.258,0.616,0.724,0.418,,0.712,0.03,0.034,0.054,0.152,0.17,,0.2,0.2,0.088,0.612,0.952,0.292,,0.794,,,,,,,,,,,,,,,0.124,0.066,0.282,0.51,0.228,,0.448
IL2,IL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL22,IL22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
