benchmark_family	method_name	method_family	method_role	uses_public_pretraining	training_overlap_audited	clean_comparator_allowed	mean_AUPRC	median_AUPRC	mean_AUROC	mean_top10_precision	mean_top20_precision	mean_ECE	mean_Brier	mean_abstention_rate	n_split_rows	n_total_scored	reviewer_safe_score
clean_neobench_leaderboard	sourceheld_prespecified_late_fusion_w0.5	ensemble_or_fusion	internal_candidate	False	True	True	0.600567101061887	0.6489207639004645	0.6723564869968954	0.7458163265306123	0.7153444519140008	0.2653642112091404	0.2143896242744488	0.9161786237915384	70	5305	0.7431939452470955
clean_neobench_leaderboard	source_balanced_rf	classical_biophysical	internal_candidate	False	True	True	0.6050674042912851	0.7095479319722015	0.7167362609902619	0.7129591836734694	0.6846301661997151	0.2664328190782101	0.2086461579789367	0.9161786237915384	70	5305	0.741015959118158
clean_neobench_leaderboard	MultiTask_AC	classical_biophysical	internal_candidate	False	True	True	0.5871865189717569	0.5049603174603174	0.607698892028171	0.7755555555555556	0.7505555555555555	0.2640872360557301	0.2635297354103806	0.7123909413197463	30	866	0.735888906477295
clean_neobench_leaderboard	Wave8_TCR_SelfSim_no_exact	tcr_aware	internal_candidate	False	True	True	0.5640159289183905	0.5582130788018536	0.6117625107712066	0.821875	0.7790178571428571	0.1485123384602096	0.2083155168562811	0.6786163420960505	32	1233	0.7335396950723696
clean_neobench_leaderboard	MultiTask_AD	classical_biophysical	internal_candidate	False	True	True	0.5797043746351314	0.4961640211640212	0.592398536324955	0.7688888888888888	0.7422222222222222	0.2566161871378952	0.2579945753911577	0.7123909413197463	30	866	0.7278205336991197
clean_neobench_leaderboard	MultiTask_AB	classical_biophysical	internal_candidate	False	True	True	0.5835678346621742	0.5166666666666667	0.5960854866052359	0.7555555555555556	0.7522222222222222	0.2875542267151386	0.2632222639676878	0.7123909413197463	30	866	0.7259235231017716
clean_neobench_leaderboard	MultiTask_full	classical_biophysical	internal_candidate	False	True	True	0.5772751480756398	0.5160714285714285	0.583052082585579	0.7722222222222223	0.7522222222222222	0.273669372896072	0.2703671723762937	0.7123909413197463	30	866	0.7243526552304771
clean_neobench_leaderboard	GP_quantum	qk_fallback	bounded_fallback	False	True	True	0.5946414016568287	0.5659008438250187	0.593609283972986	0.7677083333333333	0.765719696969697	0.2394369858773386	0.2415805061335842	0.7308114958250319	32	886	0.7242393697357615
clean_neobench_leaderboard	RF_biophys	internal_baseline	internal_candidate	False	True	True	0.5706072727927642	0.4933862433862434	0.5793033068240423	0.7770833333333333	0.773532196969697	0.2498321400557297	0.2538152775171097	0.7308114958250319	32	886	0.7210407254538579
clean_neobench_leaderboard	G_abstention_extreme_ood	classical_biophysical	internal_candidate	False	True	True	0.5729714704944949	0.6494642259133053	0.6290109982928159	0.7286734693877551	0.7032015947711436	0.2815238376023303	0.2400609471976716	0.9161786237915384	70	5305	0.710553780611813
clean_neobench_leaderboard	source_prespecified_rf_qk_compact_w0.5	qk_fallback	bounded_fallback	False	True	True	0.5814672387086828	0.6802197802197802	0.6352704277977554	0.7429591836734695	0.7117730233425722	0.2585463158064002	0.2124105930933817	0.9161786237915384	70	5305	0.7042044438627366
clean_neobench_leaderboard	VQC	qk_fallback	bounded_fallback	False	True	True	0.5579112980450861	0.5575745910632186	0.5905376191455001	0.7833333333333333	0.775094696969697	0.1895985849127108	0.2321983987635399	0.7308114958250319	32	886	0.6956181062204816
clean_neobench_leaderboard	H_anchor_rf_plus_qk_compact_w0.5	qk_fallback	bounded_fallback	False	True	True	0.5687384291291067	0.6666666666666667	0.6251019353230881	0.7329591836734693	0.7039158804854294	0.2846466159564871	0.2305255591247267	0.9161786237915384	70	5305	0.6868656042681518
clean_neobench_leaderboard	Wave8_SelfSim_no_exact	tcr_aware	internal_candidate	False	True	True	0.5251991143609056	0.5060506133332515	0.5788556017166452	0.7708333333333334	0.7532196969696969	0.1606261249407685	0.2297145159681995	0.7308114958250319	32	886	0.6833031685334955
clean_neobench_leaderboard	Wave8_TCR_motif_only	tcr_aware	internal_candidate	False	True	True	0.5201255818036871	0.5402046783625731	0.6022486710289857	0.78125	0.7837053571428572	0.1381521783210339	0.2214282404416793	0.6786163420960505	32	1233	0.6825603639715837
clean_neobench_leaderboard	BigMHC_IM	deep_immunogenicity	caveated_public_comparator	True	False	False	0.6217138229550467	0.6139313252808765	0.7482190744357309	0.771875	0.7352678571428571	0.2033580731624393	0.2050100223617397	0.6786163420960505	32	1233	0.6757530156388027
clean_neobench_leaderboard	TENT	classical_biophysical	internal_candidate	False	True	True	0.5351319324833842	0.5029761904761905	0.5456380393672602	0.7355555555555555	0.7422222222222222	0.2684674147295188	0.2784400083037811	0.7123909413197463	30	866	0.6753963021215434
clean_neobench_leaderboard	prespecified_lr_qk_quantum_only_w0.5	qk_fallback	bounded_fallback	False	True	True	0.5698246252535977	0.5527045699592192	0.7217843801253985	0.6209150326797386	0.550326797385621	0.2219834290443963	0.2227679652990438	0.0	17	1703	0.6718092888851057
clean_neobench_leaderboard	anchor_lr	internal_baseline	anchor	False	True	True	0.526168165769229	0.4982942652735618	0.6216758151255434	0.6032679738562092	0.5179738562091503	0.1775082996033321	0.2203991639152991	0.0	17	1703	0.6690709305801377
clean_neobench_leaderboard	MHCflurry	deep_immunogenicity	caveated_public_comparator	True	False	False	0.600867866897983	0.5865530588521137	0.6444481508582077	0.81875	0.7727678571428571	0.1558937282741515	0.2111660695894553	0.6786163420960505	32	1233	0.6690284940705679
