gene	beta_subtype	pvalue_naive	fdr_naive	pvalue_LMM	fdr_LMM	status
ALDH7A1	-0.07757728379809739	0.10619715417956184	0.13186732720972083	0.17956435192153297	0.21703990965535816	same
ACSL5	1.1354143447835436	1.4078434193861087e-22	1.860586016809835e-21	1.1574238516879488e-25	7.515739296674992e-25	same
TSR2	-0.29429495414759205	0.8698843269904255	0.8861300444724198	1.319897514744641e-12	4.0653927558869845e-12	gained_with_LMM
IST1	-0.06826187648875688	0.06356466306777152	0.08367441386718497	0.009928796764706543	0.014608332660186185	gained_with_LMM
APEX1	0.31227184245205086	4.490264603323902e-06	1.3844597954749952e-05	3.080069686825834e-23	1.7907381900150197e-22	same
MAP1LC3B	0.05143034581078052	0.007080710740714188	0.012314279549068155	0.11445315569264132	0.14426868364618653	lost_with_LMM
ARHGEF28	-0.7910934392093456	1.592510211247981e-06	5.2099570706040815e-06	1.0803912997155801e-10	2.9492028199697365e-10	same
NUP160	0.0774982067352554	0.005722437023578432	0.01018831517551056	0.14635820172304537	0.18068913792968563	lost_with_LMM
SEC11A	-0.0510730330859352	0.051524479154343425	0.06922231861309014	0.14078110225845136	0.17401866781019948	same
ITCH	0.026959198633075367	0.01619020290522272	0.025075172284805453	0.6089991561833608	0.6546031775528779	lost_with_LMM
CD3D	0.8466629052660737	4.85937408481889e-08	1.8618291512716053e-07	2.335975760837331e-11	6.661527835087447e-11	same
COBL	1.2364685346092987	6.99094788608328e-28	1.5197712795833218e-26	3.4569749513495406e-38	4.5486512517757114e-37	same
PPP4C	0.13384596229591086	0.0012986175232872217	0.0027054531735150452	0.003782972474297713	0.0058169745888739825	same
N4BP2L2	-0.11708317288694556	0.16019742815681506	0.1892095608151359	0.014108171157581346	0.020407190681168773	gained_with_LMM
PDE4D	-0.8073388162673523	9.590679382222518e-06	2.8515399550711154e-05	3.463920613542615e-14	1.1862741827200736e-13	same
EMD	-0.2156780211984745	0.4483036956110648	0.4892364812052363	2.949335488335536e-09	7.336655443620736e-09	gained_with_LMM
ULBP1	-0.1362681112511611	0.1152058060212207	0.14182085271385397	0.31214500586434957	0.3605833721960141	same
TCF4	-0.19973987431858245	0.635886503069374	0.6702949786395369	0.01740218302025689	0.024919593823756886	gained_with_LMM
ARNT	0.20171620470384308	0.0001802523343390835	0.00044071475388528973	2.6711147552224173e-07	5.798367775446637e-07	same
SMG6	0.2947580489312597	0.00015724649598417543	0.00038794365785569594	0.0030210096928389996	0.004725249780248696	same
ATP6V1G1	-0.06072344840000559	0.06386583405216698	0.08399715131806265	0.12886435637471105	0.16074555888737344	same
PRMT1	0.043172591150906166	0.010568571025018183	0.01731606394049948	0.3620544820489654	0.41298990347790726	lost_with_LMM
DAPP1	0.9148200506778456	2.6629466126133926e-08	1.0388608371703743e-07	4.063159826659249e-15	1.4580717081313097e-14	same
KCNC3	-0.6230401828069395	0.009725102968842946	0.016048024701060967	2.835565779572831e-14	9.766587070859349e-14	same
RSU1	-0.0005509366469745793	0.023525141645948662	0.03459579653815979	0.9899407230809377	0.9925876234100312	lost_with_LMM
KIFC3	-0.2252049274789039	0.5363746259587122	0.5734582601126645	5.4802790225629535e-06	1.0816340176111094e-05	gained_with_LMM
SLC12A8	0.14430645476999082	0.0021044282203394305	0.004178216188628916	0.04619812121023794	0.06195545982597846	lost_with_LMM
CRK	0.02823303339290897	0.01210400748339037	0.01936641197342459	0.43798585285021985	0.49101553010114335	lost_with_LMM
HYAL2	0.41109550484050233	2.8335139364751304e-07	1.0131754242461729e-06	2.808280732023232e-12	8.458676903684435e-12	same
FPR3	1.057082699135481	4.783157333691474e-16	3.6605795921108215e-15	1.4923141108369097e-16	5.784163220298099e-16	same
HBP1	0.18252162167630684	0.0017968807215977712	0.003630062063833881	0.043568824540307	0.05874448252625663	lost_with_LMM
KLHL24	-0.23057340776691884	0.6054903612357089	0.6407305409901681	7.947882144937284e-05	0.00014192646687388006	gained_with_LMM
ABCC1	-0.22793844578272163	0.6495286893534757	0.6820392257824386	0.0007700514640678647	0.001274216432544729	gained_with_LMM
TPPP3	-0.25525937866189874	0.36126058081082396	0.3994772364292193	0.047277527209708924	0.06326163319764798	same
RBP1	1.1449673278663506	4.9640382919203205e-20	5.243702421042593e-19	1.1078980391463031e-20	5.530273073941613e-20	same
NBEA	-1.1881929571097762	8.615854165008937e-14	5.464600950322793e-13	1.6952989982104304e-30	1.5002646001862215e-29	same
ANAPC5	-0.07020178562895399	0.06373550565390788	0.08386250743935247	0.002250015231478108	0.0035489199234670474	gained_with_LMM
CD99	-0.05355892478133766	0.10624637093902516	0.13187385718538497	0.48348400345118014	0.5360133075955433	same
TSC22D4	0.24299733516553304	6.725549156087799e-05	0.00017887098819382443	6.00095178974551e-07	1.2740874288207026e-06	same
SAE1	-0.0985067181521712	0.11748018252469809	0.14432454855614016	0.023234710701836536	0.03281738799694426	gained_with_LMM
PLEKHB1	-0.8155057757699836	5.0876801154003915e-05	0.00013775307171661708	1.7626722477505001e-22	9.774522630779114e-22	same
KCTD2	-0.20587425259772424	0.4654382835068545	0.5064616795504402	0.00013448041402380837	0.00023593055091896206	gained_with_LMM
CLASP1	0.10616755971987517	0.002638002348688799	0.005079593739452116	0.025678431069479712	0.03599780056469118	same
ZNF217	0.8376369413089846	2.5194722989109986e-16	1.9890570780876305e-15	1.0470889855332844e-31	9.81645923937454e-31	same
BANF1	0.13755890396201634	0.001341821196877627	0.0027819375194422127	0.007530511677654777	0.011222819191735883	same
CPT1A	-0.45886169336411525	0.21554138605470774	0.2481289939233013	8.81253204554573e-11	2.4232443754937846e-10	gained_with_LMM
USP36	-0.0005320955020988049	0.021228117502269103	0.031683757466073284	0.9882760364094901	0.9915813074342711	lost_with_LMM
PNRC1	-0.023719535505932438	0.0343272643957714	0.04801015999408587	0.5594255274458003	0.6065329173608244	lost_with_LMM
SRSF7	0.03131526777063416	0.011834124709968715	0.018964943445462686	0.4255503429855222	0.47778855874123	lost_with_LMM
CCNG1	0.12142783963153955	0.0018306553211970456	0.00369331941061946	0.010670325635389584	0.01563035981746521	same
MEAF6	0.35417573484412546	1.560632772447883e-06	5.116828762124207e-06	3.288102945400997e-14	1.1286394549431341e-13	same
DDIT3	-0.8369321160210399	2.280206169305086e-06	7.316169527182094e-06	3.564442144755394e-14	1.2179187282763305e-13	same
LIMA1	0.6659788374325906	4.531134567802385e-12	2.462573134675209e-11	2.7026095209085186e-22	1.4849502862134718e-21	same
PPA1	0.4096067678961391	2.3472236682633848e-07	8.443250605263974e-07	4.4404118443068835e-15	1.589646244978598e-14	same
CDK9	0.12397233479724987	0.0017074140546343855	0.003463314512442973	0.008572415661905251	0.012699875054674447	same
EIF3G	0.04169935673527208	0.0103236958318255	0.01693334472141963	0.34578953483092645	0.3956402000353849	lost_with_LMM
NT5C2	-0.1847275379105377	0.9315071692377943	0.9418677140928153	0.10226912549367664	0.12972827758183084	same
GNG10	-0.022444118469386664	0.01092927524076861	0.017761552395615294	0.018433269989467455	0.026295677588398653	same
NPLOC4	0.026734482343631752	0.011256861242155497	0.01820516642936199	0.32901282248289365	0.37832060845100846	lost_with_LMM
ARL4D	-0.7748735641729527	0.00025383757462385325	0.000605817600534256	4.304263078910072e-23	2.4928164549672233e-22	same
SLITRK5	-0.37676005285861175	0.0009119141003578609	0.00197241694381657	0.004889089831821796	0.007437763435834375	same
SMARCB1	0.28868738042110015	1.2231204065216273e-05	3.590905681957204e-05	4.252418714583442e-14	1.4447628701868997e-13	same
NDUFV1	-0.1083418755151002	0.136158066314127	0.163980007604328	0.015247493499261343	0.02197045172804228	gained_with_LMM
ALDH5A1	-0.30146102217902576	0.9544764212833965	0.9616747899781595	1.121308975583339e-08	2.7062968034996114e-08	gained_with_LMM
ITM2A	-0.5665273089853027	0.010814271283541003	0.017612819680034208	1.0051608589368952e-07	2.2655766918186967e-07	same
EPB41L5	0.10929426138472217	0.006003882768789257	0.010607566729309641	0.16780033410966533	0.20438530342224764	lost_with_LMM
TAF7	0.0738843019806155	0.004341527410694449	0.007970980558190543	0.02350798847421187	0.03315654227674453	same
IRF8	1.008321409873223	7.751453336045394e-14	4.926771188164445e-13	1.1337982767720912e-14	3.9875672102183746e-14	same
DICER1	-0.3173205000268867	0.8883624267494393	0.9034194170333282	6.107808831772437e-07	1.2958576022148028e-06	gained_with_LMM
ADNP	0.21308744029266158	0.00015920780839548502	0.00039213745910217986	6.057438353649295e-06	1.1900664741943607e-05	same
COPS6	-0.1168362493329388	0.14678254887278058	0.17494940270891607	0.0042817306535429655	0.006546988766885269	gained_with_LMM
ZHX2	0.40299934423489725	4.913558107279649e-07	1.7185792605048768e-06	1.4048554063335408e-10	3.8071962231261265e-10	same
G6PC3	-0.46096206397122064	0.3021348803379943	0.33871623356277386	6.32854686133183e-26	4.247346886799886e-25	gained_with_LMM
MCM3AP	0.031603068125346585	0.045023333451719307	0.06131184764192371	0.7349906746590977	0.7712389031050344	same
ECHS1	-0.31459841058004007	0.9918147794114589	0.993470563684266	6.880789075395368e-12	2.0237614927633438e-11	gained_with_LMM
CRTAC1	-0.49122159493797585	0.0006888961272330556	0.001534289815663821	0.00037277392327237003	0.000632892908781613	same
MTR	-0.17778287790234043	0.35947785720987463	0.3976524969135781	0.001731391686378095	0.002764329462019311	gained_with_LMM
MAOB	-1.0365678258803421	3.840774622655835e-15	2.6858563794796053e-14	1.2013187639562104e-15	4.405814537736713e-15	same
SUPT16H	0.2109526022024783	0.00013559350127747855	0.00033870150194207797	1.0135675577144417e-08	2.4601154313457323e-08	same
ITGA5	-0.13473142985088288	0.2974241763904719	0.33380940111164076	0.07801482471976484	0.10118654308659514	same
BBX	0.06837555254940532	0.008666869055097089	0.014590688644944595	0.2743874971158342	0.32042136681490957	lost_with_LMM
PTPN7	0.9750364000644497	4.212826925069625e-12	2.302091215885041e-11	1.0484311614911614e-13	3.494770538303871e-13	same
CYTIP	0.9579996592337158	1.703970826773421e-12	9.62695382357865e-12	3.593908992920533e-13	1.1518939079873502e-12	same
SLC29A1	0.26136758285628836	4.787605481045023e-05	0.00013045246542357013	2.2114864781375914e-06	4.4857737893257435e-06	same
FEM1B	0.1604429119180717	0.0006190189350179879	0.0013910537865572763	0.0001640479924074419	0.00028579789618021236	same
SOS2	-0.10637398530715159	0.14517958154697833	0.1733832582169327	0.04304491373146695	0.05809030193180425	same
LYVE1	0.22455590830743358	0.16008719254793372	0.18915383128940574	0.1078292413733941	0.1363201534429761	same
MTOR	0.0855247310318028	0.004200513933946023	0.007759570075023443	0.06728913798277958	0.08803637764864315	lost_with_LMM
CLDN5	-0.3619173049919155	0.14643644685000523	0.17467568212724283	0.0032596575765114467	0.005069451907482809	gained_with_LMM
FLNC	0.5325406336019278	0.0004571165940081054	0.0010532640414933304	0.00010065231738946315	0.00017867275276236064	same
NDRG2	-0.695326397510128	0.003354682777441054	0.006333573525691103	3.493294652734124e-24	2.1257371111972356e-23	same
GLTP	0.03212009465265162	0.010527442428243402	0.017258102341382624	0.30634927944499823	0.35457092528356277	lost_with_LMM
TM7SF2	-0.5444051205182884	0.054742926275882474	0.0729905683678433	2.714580144278904e-12	8.201148472141703e-12	gained_with_LMM
RCN2	-0.16839641061481778	0.34239628846066084	0.38084218601321274	0.006019261071539259	0.009065152216173582	gained_with_LMM
ZNHIT1	-0.4454581089420246	0.2691477991783552	0.30481064459609875	1.0173697682047129e-10	2.792414734322176e-10	gained_with_LMM
FSCN1	-0.22910165841110297	0.856382301891875	0.8741568239794573	0.012144103338999181	0.01768558738689201	gained_with_LMM
NFATC4	0.06512364608547191	0.018837795004849594	0.028614372159265204	0.4491517919600434	0.5009127791375949	lost_with_LMM
TRIM44	0.0574060077423028	0.008198163388666293	0.013903047013001064	0.24730094785294454	0.2918579242953712	lost_with_LMM
SPIDR	-0.05842289450825337	0.06188127414716866	0.08160168019406856	0.15779110579406364	0.1932135989315065	same
TNK2	0.30800442083799967	1.278337641441371e-05	3.730557319381433e-05	2.481167163692614e-07	5.397753075473417e-07	same
COPB1	0.05463826321906641	0.007965664368726772	0.013562425145391781	0.22264897102677483	0.2655852537098706	lost_with_LMM
RNF216	0.06380717755993771	0.005660611862181118	0.010096216163224347	0.0718811146947633	0.09367651784721542	lost_with_LMM
LMBRD1	0.23013583196249499	9.739985760895065e-05	0.0002495299511757916	8.131234308526713e-07	1.7034708746913505e-06	same
PI4K2A	0.5266575819439807	4.1333401708713275e-09	1.7222250711963863e-08	5.92483376906362e-15	2.110985903466848e-14	same
PPP5C	-0.010328730526876186	0.025272615667243252	0.03675125884717875	0.7726914712284089	0.8037706011391216	lost_with_LMM
RELA	0.30704759890284294	6.100011378840601e-06	1.85410680207921e-05	4.79693950493868e-21	2.4391217821722103e-20	same
IBTK	-0.10088041042024173	0.12585749885960518	0.15298723524263189	0.03410470473665017	0.04680426084627196	gained_with_LMM
CUL3	0.07436730146295631	0.009694761598656256	0.01600676103245392	0.29688739043038603	0.3446835028216556	lost_with_LMM
EFNB1	0.317551149032479	1.1331503007254791e-05	3.345916242299643e-05	7.940889186891746e-07	1.6647566429542444e-06	same
C9orf16	0.43549019304694037	4.915136685043948e-07	1.7185792605048768e-06	1.6976369179426388e-07	3.736544940446013e-07	same
VAPA	-0.017972499342863844	0.026794602652166565	0.038749055914791004	0.5182327906007143	0.5696952626611003	lost_with_LMM
SIPA1	0.417994337260238	3.4010497348815416e-07	1.2046221020831907e-06	2.2753550131744424e-10	6.111069865284984e-10	same
CPNE3	0.021928105082254026	0.01990125003468986	0.030092615979873782	0.7076844019907116	0.7475539457648362	lost_with_LMM
PES1	0.3289880449101585	3.865320237457366e-06	1.2016539598313055e-05	1.8611763521690585e-13	6.088908458568348e-13	same
GDF10	-0.07462698237749454	0.11942466401329353	0.14605543907047722	0.5564690146927473	0.6039822880167302	same
WEE1	0.07066371120077473	0.020433265052902504	0.03077298953750377	0.43845593034895713	0.4913589058822829	lost_with_LMM
ACTR3	0.19262715568099284	0.00026867960231084987	0.0006386995300574878	1.0278239937947561e-05	1.9867731838816163e-05	same
ZHX3	-0.10548723617612384	0.17167703322297484	0.20149886528518174	0.10656675510551045	0.13478088757020715	same
WIPF1	0.7393394456312983	1.828306135520954e-13	1.126266613257261e-12	7.97137559424573e-23	4.503602030647305e-22	same
OSBP	-0.013865034213280517	0.030891808454484113	0.043901196287755725	0.7640406125017014	0.7961520797169519	lost_with_LMM
RPL41	-0.10463604404703832	0.14828751993920553	0.1763228536732527	0.06411261346551311	0.0841372880124844	same
DNAJB12	-0.07394634248695323	0.06847842413768071	0.0893196836578444	0.0052340499486388525	0.007946432108257368	gained_with_LMM
TMEM50B	-0.5169923683763955	0.1251343920761701	0.1522316205306206	1.703470326126079e-17	7.029451139447368e-17	gained_with_LMM
SMARCD2	-0.007293101827154025	0.022670325070991454	0.03340421179419173	0.8142562975899972	0.8414636213468796	lost_with_LMM
SV2A	-1.0017976376194213	3.1247907675204056e-09	1.3147787240618818e-08	3.530908361568385e-20	1.7251995251962794e-19	same
PRKG1	-1.372329453225719	1.963319150028611e-22	2.549765129907287e-21	2.0109047674840026e-30	1.7743277360152964e-29	same
WBP11	0.18206187876584506	0.00031914564913855775	0.0007497548531054606	1.2046399804907491e-06	2.4889255795263413e-06	same
DHX30	0.02649476783348715	0.011392816776814477	0.01837551093034593	0.3424872196665759	0.39231067544854054	lost_with_LMM
SHARPIN	-0.3044238735775336	0.9399311342684118	0.949425388149911	7.666171860393258e-10	1.9877714417614326e-09	gained_with_LMM
CLCN7	-0.08324205727706213	0.11197892580971741	0.1383025020292928	0.14906668984733917	0.18353394546789376	same
COL19A1	-0.123260591396738	0.12289580660280491	0.1498729348814694	0.3622596226234155	0.41306684449648284	same
EZH1	0.2294045090271515	8.753851561177256e-05	0.00022678371920148332	1.3843088211980365e-08	3.3250011718127374e-08	same
TSPAN4	0.007670573255839839	0.024734845817995153	0.03610926396787613	0.8913153077448998	0.90765306287668	lost_with_LMM
OAS3	0.7661462098020613	1.1151820877456544e-11	5.838649674061018e-11	2.734908291988823e-11	7.76227519012911e-11	same
TSPAN14	-0.19121361259194866	0.3357532581269784	0.37402888020086716	1.8943662655686734e-08	4.496122465748434e-08	gained_with_LMM
TNPO1	-0.0804448643860888	0.10043136098851106	0.12543467234202046	0.12972055881740305	0.16165143970464027	same
BPTF	0.052570570168227596	0.014319079983450587	0.022431979086345567	0.45011984553250506	0.5018058478623245	lost_with_LMM
ATP13A1	-0.14112255867069856	0.19212717042482638	0.22331712951355256	0.00014382079688221773	0.00025187530101964577	gained_with_LMM
PPIA	-0.08742727685462054	0.09280785814142538	0.11697828799215794	0.021550101797776198	0.030538642131945487	gained_with_LMM
RPRD1A	0.2160470153067689	0.00015386939090154044	0.0003799244219791122	5.936020249206762e-06	1.1669764579043437e-05	same
AGFG1	0.34475463504359816	2.163536133644691e-06	6.9567078252240865e-06	8.60071062861809e-16	3.1854483809696627e-15	same
P2RY6	1.446372706164111	6.685731486969577e-27	1.3371462973939154e-25	3.231238612392659e-33	3.3084354393098896e-32	same
CTSL	0.009409780898487877	0.020568301701357292	0.030945288417287803	0.8431683134967117	0.865675886546932	lost_with_LMM
ZNF638	-0.07354577129699923	0.07778411482593117	0.0997232241358092	0.07434093821091763	0.09675610179295135	same
APOL2	0.9458869190291876	1.1532955795740133e-19	1.1768322240551156e-18	2.297703419074505e-51	5.343496323429081e-50	same
RCBTB1	-0.5287160310451303	0.1000797112377741	0.12504753590725626	2.3282964405979085e-16	8.954986309991956e-16	gained_with_LMM
GNAO1	0.5836121556369446	9.07191628978142e-07	3.0682918680207735e-06	8.281946263335273e-06	1.6123191946791575e-05	same
PEF1	-0.3280193530547824	0.9871619644852855	0.9894707295208341	1.1019453331223768e-19	5.189695446416217e-19	gained_with_LMM
CC2D1A	0.10787961900725522	0.002144983403255176	0.004247491887634011	0.003932640159314646	0.006031656686065408	same
TMEM109	-0.1406998299438103	0.2008245315360829	0.2328850385033818	0.001075665160807748	0.001759539521495771	gained_with_LMM
TUBA1A	0.6865465509269425	5.2945689815120775e-12	2.8516529523404363e-11	7.023153543124277e-18	2.9675296661088494e-17	same
AXL	0.8870401421030539	1.3227459378169875e-17	1.137030892106293e-16	7.217469961183023e-38	9.253166616901314e-37	same
CAPN6	0.4817555947593193	0.0053077502369918705	0.009563513940525892	0.000345990111319098	0.0005884185566651326	same
SLC4A5	-0.493279598787902	0.008635953905410564	0.014554978492264996	0.00014624141695370572	0.00025581588971493714	same
RIMS2	1.0794549108432312	3.76298954546389e-17	3.1358246212199083e-16	2.2808416980827958e-17	9.271714219848763e-17	same
MIR1244-3	-0.031692443987787644	0.012280593704825593	0.01961756182879488	0.45378781090036524	0.5055192843301507	lost_with_LMM
ETNK1	-0.046017034744895415	0.06043053571295185	0.07980229157163224	0.39918667649846473	0.4515686385729239	same
TPD52	0.04843023803893158	0.008452456109516969	0.01430195619207609	0.22858400601232354	0.27169255865173164	lost_with_LMM
CLIP3	0.9862671737089135	8.08422387115417e-17	6.554776111746624e-16	2.3494753569760754e-17	9.524832566794434e-17	same
SSBP2	-0.6517864942360609	0.0035455408211292195	0.006652046568722738	7.888162117539591e-12	2.313244022738883e-11	same
FKBP4	-0.3934468230334146	0.58422539234265	0.6199774237806687	5.448391501454669e-16	2.0457039429742188e-15	gained_with_LMM
MAPK3	-0.0999780463942697	0.10851108209362881	0.13435131914192588	0.004892364397209173	0.007438972727636857	gained_with_LMM
IFIT3	1.1345356346404931	1.835979633756512e-22	2.3947560440302327e-21	1.673373203968647e-26	1.1674696771874282e-25	same
CASKIN2	0.018695654380051725	0.020689642415851032	0.03103446362377655	0.7453856962155201	0.7794203864226421	lost_with_LMM
SOX9	0.5646520654890006	4.9786703371739296e-09	2.060139449865074e-08	4.442064492255333e-10	1.1710187589425307e-09	same
ETF1	-0.025194475957024592	0.03480491335651037	0.04861021418507035	0.5340388225523469	0.5844855664497662	lost_with_LMM
TMEM184B	0.34069141364369865	2.5469927888512563e-06	8.096400472878267e-06	1.3618481497575203e-15	4.982371279600684e-15	same
ST8SIA4	1.0498797046874713	5.695723398956506e-20	5.953717838630493e-19	1.2757273279086773e-23	7.548682413660813e-23	same
GRIK3	0.2733665873165297	0.1776779839630401	0.2080538453899767	0.045799694546368654	0.06150361845976095	same
METTL9	0.1632284498529102	0.000570960631713754	0.0012937174434601677	6.181456934209649e-05	0.00011157864502183481	same
TMEM106B	0.11208649137907695	0.0028779055290080917	0.005509710649026341	0.04845724457642461	0.06475355622684803	lost_with_LMM
MORF4L2	-0.054515919138860884	0.051781930917837164	0.06953706031938742	0.08086388081116462	0.10461045383074337	same
ZNF609	0.04251638672905804	0.01263308660655318	0.020116379946740735	0.4478277589562696	0.4998077666922652	lost_with_LMM
RENBP	0.028987524578147822	0.24718382172100772	0.2812102636188939	0.8231761317259357	0.849218842908462	same
TNKS2	0.1234438615850131	0.002445966590388901	0.004746377601013391	0.042118482324255024	0.05694602235574973	lost_with_LMM
ENO3	-1.3002521646721483	2.5395775621427444e-20	2.7405513260533215e-19	8.078131128971018e-26	5.349755714550343e-25	same
WWTR1	-0.207844836838056	0.48784907998859495	0.5285472155889436	0.0005560571837615651	0.0009329818519489347	gained_with_LMM
BID	1.4186736333396073	6.979581065582284e-37	3.125185551753262e-35	5.488779443888536e-71	3.360477210544002e-69	same
UBE4B	0.014146175459893709	0.016554329435417615	0.025599478508377755	0.7172598453798169	0.7555405674646947	lost_with_LMM
NPEPPS	0.3819833412056344	5.367434398853669e-07	1.870186201691174e-06	1.2229275022299143e-21	6.413955431275775e-21	same
CFD	0.06603111666245574	0.3849718292255028	0.4239777854906419	0.6366285142040217	0.6796745703245782	same
UBL5	-0.17815038151786905	0.3640790472503922	0.4021491685387248	0.0029403416741795633	0.004608686009685836	gained_with_LMM
GAS1	0.450684574754852	0.0012562637882391357	0.0026208563036977796	0.00128976450503807	0.0020892513580530294	same
COX6B1	-0.3576612868276509	0.6964739672096739	0.7275145897036983	1.509629261809088e-08	3.611553257916478e-08	gained_with_LMM
SEC24C	0.020775478104731408	0.14783970123761778	0.17592983090553485	0.8611507998398575	0.882326639180182	same
RHEB	0.23139957489596802	7.983360676039012e-05	0.00020826158285319163	5.353257169384049e-10	1.4075172224497938e-09	same
EYA4	0.050342981097368684	0.7845619061555148	0.8091047502463199	0.7132343619071542	0.7518282100215962	same
DHRS7	-0.5131471104888332	0.15536072121602987	0.18422459267553806	3.4245198737620347e-22	1.87132233538909e-21	gained_with_LMM
CLINT1	-0.10356228434911278	0.17339765737245078	0.2032797858997078	0.13071057112867426	0.1627102545170219	same
KMT2B	0.09631068408277123	0.003165400712539392	0.006010254517479859	0.028640822935782302	0.03979734544110556	same
EPHA3	0.2931244794498668	0.008462552756535182	0.014310968584896023	0.032485949600651536	0.044767041250323665	same
AP3B1	-0.03830412784999517	0.045667391140782	0.06207620001012506	0.38934146551574744	0.4414302330110515	same
HMGN1	0.034033995939759136	0.010813558076719652	0.017612819680034208	0.3521617880901966	0.4024706149602247	lost_with_LMM
TGIF1	0.7387659956107216	1.5873895534660014e-13	9.839191447103315e-13	7.774026356854691e-26	5.178643094806424e-25	same
SCAMP1	0.21218217080914875	0.00018986635647811194	0.00046271248532439954	2.69604424172226e-05	5.008131718369523e-05	same
GABRD	-0.6069469686449228	2.8447770704890038e-05	7.968563222658274e-05	1.1941391097631026e-05	2.294950242978416e-05	same
TTC37	-0.08646257811809058	0.11968986383553211	0.14632012693830332	0.14909074170175235	0.18353394546789376	same
HLA-F	1.0318275074473247	4.219505433566907e-19	4.1099078898378964e-18	6.742384661110638e-22	3.603624204760417e-21	same
SEMA4A	0.3596993612148147	5.7780401171981804e-06	1.7615975967067623e-05	4.145028264014753e-06	8.273509509011483e-06	same
ACTA2	0.14973050197624496	0.008977017138928303	0.015020106757827613	0.16233750694360227	0.1980530788250536	lost_with_LMM
TMEM230	-0.23349233257113938	0.5069701167662501	0.5459118270993362	1.3371836405027714e-10	3.6336511970184004e-10	gained_with_LMM
ATP2A3	-0.2641154560151993	0.8400306601834865	0.8589270554023379	0.009579386266593335	0.014115009233683695	gained_with_LMM
THEMIS2	1.1707311011065689	3.4962309819567827e-26	6.555433091168968e-25	2.5092507097165465e-48	5.227605645242806e-47	same
NCF2	1.2976482096879751	1.2687096821112184e-24	2.138274745131267e-23	1.9268251884953851e-26	1.3319068123239988e-25	same
GAK	-0.06120522205513496	0.056440482543177295	0.07502057936620819	0.03528403760788184	0.04831223771047262	gained_with_LMM
EMC3	-0.40752170254626563	0.5571520444013179	0.5937677204987403	1.1080762877850978e-23	6.582631412584739e-23	gained_with_LMM
ITGAL	0.7952375177643843	5.533006890747901e-10	2.459114173665734e-09	2.258273842382902e-09	5.645684605957255e-09	same
HADHB	-0.4089741150637118	0.5141625487668487	0.5524669220274162	4.1326517880047915e-16	1.5614553355181832e-15	gained_with_LMM
STARD7	-0.1563869976027815	0.24026228501510563	0.27416768925268803	0.00030545941239626325	0.0005212617958980601	gained_with_LMM
FNBP1	0.36487013586220923	1.6331420267142983e-06	5.325463130590103e-06	1.3941008620103684e-11	4.029193242804533e-11	same
DLG3	-0.0863550828709911	0.09978083764935408	0.12472604706169259	0.067216126328574	0.0879792229431597	same
