gene	old_significant	new_padj	new_log2FC	new_significant	in_both	old_only	new_only	is_druggable_target
ABHD12B	False	1.22926e-15	0.906981	False	False	False	False	False
ABHD13	False	0.000242196	0.169983	False	False	False	False	False
ABHD14A	True	3.7312e-12	-0.806648	False	False	True	False	False
ABHD14A-ACY1	False	0.870179	0.0333093	False	False	False	False	False
ABHD14B	False	1.4208e-12	-0.481253	False	False	False	False	False
ABHD15	False	0.00288909	-0.148592	False	False	False	False	False
ABHD15-AS1	False	9.46975e-09	-1.62794	True	False	False	True	False
ABHD16A	False	0.444808	0.0808256	False	False	False	False	False
ABHD17A	False	0.00501588	-0.192756	False	False	False	False	False
ABHD17AP1	False	0.455663	-0.120676	False	False	False	False	False
ABHD17AP3	False	0.408588	-0.205602	False	False	False	False	False
ABHD17AP4	False	0.282127	-0.287155	False	False	False	False	False
ABHD17AP5	False	0.274068	-0.321243	False	False	False	False	False
ABHD17AP6	False	1.9211e-34	-3.09422	True	False	False	True	False
ABHD17AP8	False		0.127416	False	False	False	False	False
ABHD17B	False	8.65135e-05	-0.199743	False	False	False	False	False
ABHD17C	False	0.0613391	0.192266	False	False	False	False	False
ABHD18	False	0.000717063	-0.166759	False	False	False	False	False
ABHD2	False	4.94296e-05	0.416002	False	False	False	False	False
ABHD3	False	4.53099e-12	0.631313	False	False	False	False	False
ABHD4	False	0.00147669	0.181823	False	False	False	False	False
ABHD5	False	0.793979	0.020292	False	False	False	False	False
ABHD6	True	5.3593e-17	-0.557207	False	False	True	False	False
ABHD8	False	0.000576657	-0.212456	False	False	False	False	False
ABI1	True	2.16422e-22	0.39263	False	False	True	False	False
ABI1P1	False		-0.244082	False	False	False	False	False
ABI2	False	0.00384594	0.142793	False	False	False	False	False
ABI3	False	0.0555191	-0.22237	False	False	False	False	False
ABI3BP	False	0.608319	-0.140765	False	False	False	False	False
ABITRAM	False	1.24032e-05	-0.196307	False	False	False	False	False
ABITRAMP1	False		-0.0824433	False	False	False	False	False
ABL1	False	0.800035	0.0180707	False	False	False	False	False
ABL2	False	5.27466e-16	0.546469	False	False	False	False	False
ABLIM1	False	1.02572e-06	0.450988	False	False	False	False	False
ABLIM2	False	9.42554e-20	-0.733413	False	False	False	False	False
ABLIM3	False	0.341753	0.156755	False	False	False	False	False
ABO	False	1.04185e-06	-0.49694	False	False	False	False	False
ABR	False	3.48042e-16	0.638489	False	False	False	False	False
ABRA	False	0.270681	0.403716	False	False	False	False	False
ABRACL	False	0.000246839	0.244481	False	False	False	False	False
ABRAXAS1	False	4.43471e-06	0.321025	False	False	False	False	False
ABRAXAS2	False	0.544422	-0.0248668	False	False	False	False	False
ABT1	False	0.569417	0.0246279	False	False	False	False	False
ABT1P1	False		0.126906	False	False	False	False	False
ABTB1	False	0.0614122	0.157946	False	False	False	False	False
ABTB2	True	3.73032e-94	2.42325	True	True	False	False	False
AC000032.1	False	0.0114666	-1.17951	True	False	False	True	False
AC000036.1	False	0.00550809	-0.666321	False	False	False	False	False
AC000050.2	False	0.00688346	-0.573445	False	False	False	False	False
AC000058.1	False	0.946241	-0.0486556	False	False	False	False	False
AC000061.1	False		0.156449	False	False	False	False	False
AC000065.1	False	0.753295	-0.0997191	False	False	False	False	False
AC000065.2	False	0.938091	-0.0506931	False	False	False	False	False
AC000067.1	False	1.05966e-14	-1.58111	True	False	False	True	False
AC000068.1	False	1.08814e-08	-0.652499	False	False	False	False	False
AC000068.2	False	0.108917	-0.255748	False	False	False	False	False
AC000072.1	False	0.0468685	-0.417877	False	False	False	False	False
AC000078.1	False	0.992421	-0.00237831	False	False	False	False	False
AC000081.1	False		-0.0326953	False	False	False	False	False
AC000082.1	False	0.00724745	-0.673974	False	False	False	False	False
AC000085.1	False	0.000153485	-0.634279	False	False	False	False	False
AC000089.1	False	0.12385	0.270682	False	False	False	False	False
AC000093.1	False	0.103759	-0.357089	False	False	False	False	False
AC000111.2	False		0.186502	False	False	False	False	False
AC000120.1	False	0.00519086	-0.433039	False	False	False	False	False
AC000123.1	False	0.77036	0.0328892	False	False	False	False	False
AC000123.2	False	0.0658127	-0.222245	False	False	False	False	False
AC000123.3	False	0.169707	0.117285	False	False	False	False	False
AC000124.1	False	0.365427	-0.318798	False	False	False	False	False
AC000367.1	False		0.0937971	False	False	False	False	False
AC000374.1	False		-0.22133	False	False	False	False	False
AC000403.1	False	2.49219e-44	1.66494	True	False	False	True	False
AC001226.1	False	1.50154e-08	-0.811089	False	False	False	False	False
AC001226.2	False	0.00510125	-0.316578	False	False	False	False	False
AC002044.1	False	0.184595	-0.410228	False	False	False	False	False
AC002044.2	False	0.393014	-0.221015	False	False	False	False	False
AC002044.3	False	0.118425	0.48843	False	False	False	False	False
AC002056.1	False	0.143184	-0.307994	False	False	False	False	False
AC002056.2	False	0.666939	0.200199	False	False	False	False	False
AC002057.1	False	0.17428	-1.06052	False	False	False	False	False
AC002057.2	False	0.195097	-1.06708	False	False	False	False	False
AC002059.1	False	1.38973e-05	-0.708754	False	False	False	False	False
AC002059.2	False	0.463398	-0.337386	False	False	False	False	False
AC002059.3	False	0.832849	0.0602133	False	False	False	False	False
AC002064.1	False	0.129605	-0.43444	False	False	False	False	False
AC002064.2	False	0.000488987	-0.669476	False	False	False	False	False
AC002064.3	False		-0.54308	False	False	False	False	False
AC002066.1	False	2.01626e-13	1.25697	True	False	False	True	False
AC002069.2	False	0.18898	-0.40039	False	False	False	False	False
AC002070.1	False	0.186995	-0.257123	False	False	False	False	False
AC002072.1	False	0.240618	0.744258	False	False	False	False	False
AC002074.1	False	0.00372489	-0.774125	False	False	False	False	False
AC002074.2	False		-0.26174	False	False	False	False	False
AC002075.2	False	0.986937	0.00348824	False	False	False	False	False
AC002091.1	False	0.959614	-0.0127408	False	False	False	False	False
AC002091.2	False	0.904172	0.0338976	False	False	False	False	False
AC002094.4	False	0.025129	0.431063	False	False	False	False	False
AC002094.5	False	0.334747	0.251611	False	False	False	False	False
AC002101.1	False		0.106701	False	False	False	False	False
AC002115.1	False		0.204669	False	False	False	False	False
AC002116.2	False	0.356979	-0.138103	False	False	False	False	False
AC002127.1	False		-0.0612189	False	False	False	False	False
AC002128.1	False	8.8656e-16	-1.03581	True	False	False	True	False
AC002128.2	False	0.26686	0.211437	False	False	False	False	False
AC002306.1	False	0.00013858	-0.930255	False	False	False	False	False
AC002310.1	False	0.00175588	-0.249799	False	False	False	False	False
AC002310.2	False	0.00151543	-1.22926	True	False	False	True	False
AC002310.3	False	0.498599	-0.15799	False	False	False	False	False
AC002310.5	False	5.25238e-06	-0.413685	False	False	False	False	False
AC002331.1	False	0.632321	-0.130174	False	False	False	False	False
AC002347.1	False	0.00932461	-0.491251	False	False	False	False	False
AC002347.2	False	0.0281235	-0.708723	False	False	False	False	False
AC002350.2	False	0.782719	0.0275766	False	False	False	False	False
AC002351.1	False	0.874402	0.0881941	False	False	False	False	False
AC002368.1	False	0.0176586	1.19845	True	False	False	True	False
AC002375.1	False		0.19584	False	False	False	False	False
AC002377.1	False	0.950646	0.0389553	False	False	False	False	False
AC002378.1	False	4.37621e-11	2.85095	True	False	False	True	False
AC002381.1	False		-0.042543	False	False	False	False	False
AC002383.1	False	0.000674671	-1.82957	True	False	False	True	False
AC002398.1	False	0.0808542	-0.220381	False	False	False	False	False
AC002401.1	False	0.740485	0.1882	False	False	False	False	False
AC002401.2	False	0.123434	-0.292817	False	False	False	False	False
AC002401.3	False	0.00015094	-0.531769	False	False	False	False	False
AC002401.4	False	6.94985e-60	3.29381	True	False	False	True	False
AC002407.1	False		0.0559344	False	False	False	False	False
AC002428.2	False		0.333709	False	False	False	False	False
AC002429.1	False		0.137264	False	False	False	False	False
AC002451.1	False	1.85474e-17	-1.12857	True	False	False	True	False
AC002451.2	False	0.61227	0.358668	False	False	False	False	False
AC002456.1	False	0.000156065	0.521718	False	False	False	False	False
AC002458.1	False	0.976305	0.0172224	False	False	False	False	False
AC002460.1	False		0.0342013	False	False	False	False	False
AC002460.2	False	0.540337	-0.09386	False	False	False	False	False
AC002463.1	False	0.0179784	-0.403837	False	False	False	False	False
AC002464.1	False	0.00563978	1.49468	True	False	False	True	False
AC002467.1	False	7.74203e-14	-0.597379	False	False	False	False	False
AC002470.1	False	7.8475e-08	-0.611476	False	False	False	False	False
AC002470.2	False	0.998568	0.00109245	False	False	False	False	False
AC002472.1	False		-0.310979	False	False	False	False	False
AC002472.3	False		-0.00264259	False	False	False	False	False
AC002472.4	False		0.0269006	False	False	False	False	False
AC002480.1	False	0.0462632	0.385493	False	False	False	False	False
AC002480.2	False	1.43143e-05	0.842351	False	False	False	False	False
AC002511.1	False	1.95622e-09	-1.7662	True	False	False	True	False
AC002511.2	False	2.01577e-13	-2.0788	True	False	False	True	False
AC002519.1	False	0.00148939	-0.623764	False	False	False	False	False
AC002519.2	False	0.229925	0.319859	False	False	False	False	False
AC002525.1	False	0.931276	-0.0167898	False	False	False	False	False
AC002529.1	False	0.711612	-0.276682	False	False	False	False	False
AC002540.1	False	0.567595	-0.317601	False	False	False	False	False
AC002542.1	False		0.134207	False	False	False	False	False
AC002542.6	False	0.129177	-0.339985	False	False	False	False	False
AC002543.1	False	0.604017	0.218942	False	False	False	False	False
AC002545.1	False	0.56022	-0.223881	False	False	False	False	False
AC002546.1	False	0.445187	-0.345439	False	False	False	False	False
AC002550.1	False		0.42081	False	False	False	False	False
AC002550.2	False	0.374152	-0.095431	False	False	False	False	False
AC002551.1	False	0.119869	-0.488124	False	False	False	False	False
AC002553.1	False	0.00218227	-0.323995	False	False	False	False	False
AC002553.2	False	0.0033786	-0.368628	False	False	False	False	False
AC002558.1	False	0.308232	0.210417	False	False	False	False	False
AC002558.2	False	0.522041	-0.198984	False	False	False	False	False
AC002558.3	False	0.774275	-0.0663389	False	False	False	False	False
AC002563.1	False	0.0282656	-0.742473	False	False	False	False	False
AC002984.1	False	0.153093	-0.42449	False	False	False	False	False
AC003001.1	False		-0.075652	False	False	False	False	False
AC003002.2	False	0.00578562	-0.468503	False	False	False	False	False
AC003002.3	False	0.554465	0.109218	False	False	False	False	False
AC003005.2	False	0.825544	-0.0792769	False	False	False	False	False
AC003035.1	False	8.44267e-10	-1.21318	True	False	False	True	False
AC003035.2	False	0.00631076	-0.892569	False	False	False	False	False
AC003043.1	False		-0.234235	False	False	False	False	False
AC003043.2	False	8.14689e-05	-1.04682	True	False	False	True	False
AC003044.1	False		-0.183977	False	False	False	False	False
AC003070.1	False	0.00353936	0.464437	False	False	False	False	False
AC003070.2	False	1.80588e-05	-0.885435	False	False	False	False	False
AC003071.1	False		0.165278	False	False	False	False	False
AC003072.1	False	0.66815	0.0570555	False	False	False	False	False
AC003072.2	False		-0.432718	False	False	False	False	False
AC003077.1	False	0.960827	-0.0243891	False	False	False	False	False
AC003080.1	False	0.193783	-0.519448	False	False	False	False	False
AC003084.1	False		-0.164791	False	False	False	False	False
AC003086.1	False	0.694002	0.0773952	False	False	False	False	False
AC003087.1	False		-0.120815	False	False	False	False	False
AC003092.1	False	0.0493378	1.11949	True	False	False	True	False
AC003092.2	False		0.173598	False	False	False	False	False
AC003093.1	False	0.00522835	0.842517	False	False	False	False	False
AC003101.1	False	0.634551	0.370043	False	False	False	False	False
AC003101.2	False	0.483444	-0.195988	False	False	False	False	False
AC003102.1	False	6.12854e-22	-0.921434	False	False	False	False	False
AC003657.1	False	0.890378	0.077837	False	False	False	False	False
AC003666.1	False		-0.0839716	False	False	False	False	False
AC003669.1	False		-0.0938194	False	False	False	False	False
AC003681.1	False	0.317488	0.133195	False	False	False	False	False
AC003682.1	False	0.643169	-0.132545	False	False	False	False	False
AC003684.1	False	0.283401	0.695019	False	False	False	False	False
AC003685.1	False		0.0471058	False	False	False	False	False
AC003688.2	False		-0.0513712	False	False	False	False	False
AC003956.1	False	3.64726e-07	-0.731643	False	False	False	False	False
AC003957.1	False	2.22801e-06	-1.21344	True	False	False	True	False
AC003958.2	False	0.887392	0.132169	False	False	False	False	False
AC003965.1	False	0.000222305	-0.469768	False	False	False	False	False
AC003965.2	False	0.00825388	0.366908	False	False	False	False	False
AC003973.1	False	0.973494	-0.0211499	False	False	False	False	False
AC003973.2	False	0.115505	-0.254782	False	False	False	False	False
AC003975.1	False		0.0569533	False	False	False	False	False
AC003984.1	False		0.064254	False	False	False	False	False
AC003985.1	False		-0.0715765	False	False	False	False	False
AC003986.1	False		0.471577	False	False	False	False	False
AC003986.2	False	0.0817306	0.709917	False	False	False	False	False
AC003986.3	False	0.572689	0.388211	False	False	False	False	False
AC003988.1	False	0.000140581	-2.64033	True	False	False	True	False
AC003989.1	False	0.0319248	-0.864144	False	False	False	False	False
AC003989.2	False	0.897554	0.101607	False	False	False	False	False
AC003991.1	False	0.000265899	0.830357	False	False	False	False	False
AC003992.1	False	0.476825	-0.504199	False	False	False	False	False
AC004000.1	False	0.599007	0.18614	False	False	False	False	False
AC004004.1	False	0.382296	-0.277197	False	False	False	False	False
AC004009.1	False		-0.250873	False	False	False	False	False
AC004009.2	False		0.166807	False	False	False	False	False
AC004012.1	False	0.299681	0.234111	False	False	False	False	False
AC004014.2	False	0.939181	0.0824213	False	False	False	False	False
AC004022.1	False		0.133697	False	False	False	False	False
AC004022.2	False		-0.0917815	False	False	False	False	False
AC004023.1	False	0.0123022	-0.956905	False	False	False	False	False
AC004024.1	False	4.28449e-06	-0.99255	False	False	False	False	False
AC004034.1	False	0.126741	-0.288648	False	False	False	False	False
AC004039.1	False	0.793922	0.0417514	False	False	False	False	False
AC004052.1	False		-1.30744	False	False	False	False	False
AC004053.1	False	1.9441e-06	-3.15057	True	False	False	True	False
AC004054.1	False		-0.371084	False	False	False	False	False
AC004057.1	False	0.0606941	-0.415047	False	False	False	False	False
AC004063.1	False		-1.58005	False	False	False	False	False
AC004066.1	False	2.07043e-16	2.14295	True	False	False	True	False
AC004067.1	False	2.63231e-11	0.766716	False	False	False	False	False
AC004069.1	False	0.0738115	0.261274	False	False	False	False	False
AC004069.2	False	0.00219603	-2.57458	True	False	False	True	False
AC004076.1	False	0.581514	-0.125177	False	False	False	False	False
AC004076.2	False	0.0712117	-0.194495	False	False	False	False	False
AC004080.1	False	0.0293414	-0.997019	False	False	False	False	False
AC004080.2	False		0.0564438	False	False	False	False	False
AC004083.1	False	0.0500102	-0.348048	False	False	False	False	False
AC004112.1	False	0.112364	-0.309715	False	False	False	False	False
AC004129.1	False	0.636253	0.140994	False	False	False	False	False
AC004129.2	False		-0.102138	False	False	False	False	False
AC004130.1	False	0.323138	0.767519	False	False	False	False	False
AC004130.2	False	5.22546e-26	1.1682	True	False	False	True	False
AC004134.1	False	0.621901	0.254513	False	False	False	False	False
AC004147.2	False	0.20757	-0.884098	False	False	False	False	False
AC004148.1	False	0.00793055	-0.317552	False	False	False	False	False
AC004156.1	False	7.00471e-06	0.602373	False	False	False	False	False
AC004158.1	False	0.900222	0.0762229	False	False	False	False	False
AC004160.1	False	2.373e-05	-0.849938	False	False	False	False	False
AC004160.2	False	0.000196799	-1.17768	True	False	False	True	False
AC004217.1	False		-0.17362	False	False	False	False	False
AC004217.2	False	0.830358	-0.195862	False	False	False	False	False
AC004221.1	False	5.60568e-09	-0.972728	False	False	False	False	False
AC004223.1	False	0.21251	-0.359334	False	False	False	False	False
AC004223.2	False	0.00340745	-0.559129	False	False	False	False	False
AC004223.3	False		-0.172601	False	False	False	False	False
AC004223.4	False	2.54555e-06	-0.744887	False	False	False	False	False
AC004224.1	False	0.892792	0.050891	False	False	False	False	False
AC004231.1	False	0.795775	-0.119559	False	False	False	False	False
AC004231.4	False		-0.432208	False	False	False	False	False
AC004232.2	False	0.155674	-0.172648	False	False	False	False	False
AC004233.1	False	6.8377e-08	0.752473	False	False	False	False	False
AC004233.2	False	1.0074e-11	0.865815	False	False	False	False	False
AC004233.3	False	0.002466	0.537306	False	False	False	False	False
AC004233.4	False	0.000336724	1.07495	True	False	False	True	False
AC004241.1	False	2.19763e-13	-0.62228	False	False	False	False	False
AC004241.2	False	5.28586e-09	-0.661621	False	False	False	False	False
AC004241.3	False	0.0303838	-0.240942	False	False	False	False	False
AC004241.4	False	0.000110379	-0.551307	False	False	False	False	False
AC004241.5	False	1.9592e-11	-0.893591	False	False	False	False	False
AC004253.1	False	0.0193376	-0.349152	False	False	False	False	False
AC004257.1	False		-0.1254	False	False	False	False	False
AC004263.1	False	8.97486e-12	-1.17155	True	False	False	True	False
AC004263.2	False	0.544953	0.10447	False	False	False	False	False
AC004264.1	False	2.7821e-20	1.64484	True	False	False	True	False
AC004264.2	False	0.198115	0.272193	False	False	False	False	False
AC004381.1	False	0.00917232	-0.476011	False	False	False	False	False
AC004381.2	False		0.0165434	False	False	False	False	False
AC004381.3	False	4.35647e-05	0.743079	False	False	False	False	False
AC004381.4	False	0.00819828	0.836047	False	False	False	False	False
AC004383.1	False	0.84592	0.0354571	False	False	False	False	False
AC004386.1	False		-0.110967	False	False	False	False	False
AC004408.1	False		-0.0119807	False	False	False	False	False
AC004408.2	False	0.591648	-0.483485	False	False	False	False	False
AC004448.2	False	0.180938	-0.444242	False	False	False	False	False
AC004448.5	False		-0.131172	False	False	False	False	False
AC004449.1	False	2.76322e-06	-0.92013	False	False	False	False	False
AC004453.1	False	0.619424	0.0900466	False	False	False	False	False
AC004453.2	False	0.688449	-0.105366	False	False	False	False	False
AC004461.1	False	0.573442	-0.158646	False	False	False	False	False
AC004461.2	False	0.0107174	-0.474937	False	False	False	False	False
AC004464.1	False		-0.0943287	False	False	False	False	False
AC004466.1	False	0.962314	0.0141438	False	False	False	False	False
AC004466.2	False	0.484304	-0.129779	False	False	False	False	False
AC004466.3	False	0.842323	-0.0436984	False	False	False	False	False
AC004467.1	False		0.281923	False	False	False	False	False
AC004470.2	False	2.62523e-18	-2.45702	True	False	False	True	False
AC004471.1	False	1.19479e-07	-0.604628	False	False	False	False	False
AC004471.2	False	1.58313e-09	-0.989291	False	False	False	False	False
AC004477.2	False	0.00290857	-0.262969	False	False	False	False	False
AC004485.1	False		-0.113005	False	False	False	False	False
AC004486.1	False	0.0428552	0.645066	False	False	False	False	False
AC004490.1	False	0.407247	0.348889	False	False	False	False	False
AC004491.1	False	0.387092	-0.321343	False	False	False	False	False
AC004492.1	False	0.0103453	-0.273542	False	False	False	False	False
AC004494.1	False	0.128418	0.332075	False	False	False	False	False
AC004522.3	False	0.709543	-0.150781	False	False	False	False	False
AC004522.4	False		0.0735923	False	False	False	False	False
AC004522.5	False	0.000158079	-0.667311	False	False	False	False	False
AC004528.1	False	0.338941	0.535927	False	False	False	False	False
AC004540.1	False	0.203371	0.22612	False	False	False	False	False
AC004540.2	False	0.129047	0.329554	False	False	False	False	False
AC004543.1	False	0.774348	-0.110623	False	False	False	False	False
AC004549.1	False		0.0165434	False	False	False	False	False
AC004551.1	False	0.687905	0.319786	False	False	False	False	False
AC004554.1	False	0.279018	-0.265748	False	False	False	False	False
AC004584.1	False	0.209682	-0.248716	False	False	False	False	False
AC004584.2	False	0.595754	-0.234134	False	False	False	False	False
AC004584.3	False	4.13041e-14	-1.26022	True	False	False	True	False
AC004585.1	False	2.96258e-16	1.90317	True	False	False	True	False
AC004585.2	False		-0.223368	False	False	False	False	False
AC004593.1	False	0.0162553	0.469936	False	False	False	False	False
AC004593.2	False	0.557865	-0.14419	False	False	False	False	False
AC004594.1	False	1.66156e-11	-0.958776	False	False	False	False	False
AC004596.1	False	0.567595	-0.0880967	False	False	False	False	False
AC004597.1	False		-0.0435618	False	False	False	False	False
AC004623.1	False	0.24807	-0.28549	False	False	False	False	False
AC004637.1	False	0.810416	0.108038	False	False	False	False	False
AC004672.1	False	0.00847047	0.865613	False	False	False	False	False
AC004672.2	False	0.883598	0.0887034	False	False	False	False	False
AC004678.1	False	0.00572022	-0.695822	False	False	False	False	False
AC004678.2	False	0.884909	-0.0390914	False	False	False	False	False
AC004687.1	False	0.00582964	0.686002	False	False	False	False	False
AC004687.2	False	0.24962	-0.214333	False	False	False	False	False
AC004687.3	False	5.18497e-11	-1.97555	True	False	False	True	False
AC004690.2	False		0.0746111	False	False	False	False	False
AC004691.1	False	0.966099	0.0154493	False	False	False	False	False
AC004692.1	False	0.892975	-0.0802364	False	False	False	False	False
AC004692.2	False	0.60404	-0.523894	False	False	False	False	False
AC004696.1	False	0.721184	-0.0754786	False	False	False	False	False
AC004696.2	False	0.278007	0.244053	False	False	False	False	False
AC004702.1	False		0.154921	False	False	False	False	False
AC004704.1	False		0.283451	False	False	False	False	False
AC004706.1	False	4.53732e-08	-0.693202	False	False	False	False	False
AC004706.3	False	0.00768168	0.385015	False	False	False	False	False
AC004707.1	False	0.68423	-0.127503	False	False	False	False	False
AC004765.1	False	0.294022	0.274177	False	False	False	False	False
AC004771.1	False	0.00531895	0.855143	False	False	False	False	False
AC004771.2	False	0.150301	-0.195824	False	False	False	False	False
AC004771.4	False	0.00810386	-0.468542	False	False	False	False	False
AC004775.1	False	0.401383	-0.371538	False	False	False	False	False
AC004777.1	False	0.000810167	-0.704875	False	False	False	False	False
AC004784.1	False	2.45054e-14	3.72061	True	False	False	True	False
AC004790.2	False		-0.111476	False	False	False	False	False
