model	threshold	n	prevalence	harm	test_pos_rate	tp_rate	fp_rate	net_benefit	net_intervention_avoided
panel_8gene	0.79	178	0.6124	0	0.5112	0.4831	0.02809	0.3775	0.3252
panel_8gene	0.8	178	0.6124	0	0.5	0.4719	0.02809	0.3596	0.3244
panel_8gene	0.81	178	0.6124	0	0.5	0.4719	0.02809	0.3522	0.3266
panel_8gene	0.82	178	0.6124	0	0.4831	0.4607	0.02247	0.3583	0.3319
panel_8gene	0.83	178	0.6124	0	0.4719	0.4494	0.02247	0.3397	0.3318
panel_8gene	0.84	178	0.6124	0	0.4663	0.4438	0.02247	0.3258	0.3331
panel_8gene	0.85	178	0.6124	0	0.4607	0.4438	0.01685	0.3483	0.341
panel_8gene	0.86	178	0.6124	0	0.4551	0.4382	0.01685	0.3347	0.3424
panel_8gene	0.87	178	0.6124	0	0.4382	0.4213	0.01685	0.3086	0.3422
panel_8gene	0.88	178	0.6124	0	0.4213	0.4045	0.01685	0.2809	0.3424
panel_8gene	0.89	178	0.6124	0	0.4157	0.3989	0.01685	0.2625	0.3444
panel_8gene	0.9	178	0.6124	0	0.3933	0.3764	0.01685	0.2247	0.3446
panel_8gene	0.91	178	0.6124	0	0.3933	0.3764	0.01685	0.206	0.3475
panel_8gene	0.92	178	0.6124	0	0.382	0.3652	0.01685	0.1713	0.3493
panel_8gene	0.93	178	0.6124	0	0.3764	0.3596	0.01685	0.1356	0.3518
panel_8gene	0.94	178	0.6124	0	0.3596	0.3427	0.01685	0.07865	0.3536
panel_8gene	0.95	178	0.6124	0	0.3483	0.3315	0.01685	0.01124	0.356
braf_only	0.05	178	0.6124	0	1	0.6124	0.3876	0.592	0
braf_only	0.06	178	0.6124	0	1	0.6124	0.3876	0.5876	0
braf_only	0.07	178	0.6124	0	1	0.6124	0.3876	0.5832	0
braf_only	0.08	178	0.6124	0	1	0.6124	0.3876	0.5787	0
braf_only	0.09	178	0.6124	0	1	0.6124	0.3876	0.574	0
braf_only	0.1	178	0.6124	0	1	0.6124	0.3876	0.5693	0
braf_only	0.11	178	0.6124	0	1	0.6124	0.3876	0.5644	0
braf_only	0.12	178	0.6124	0	1	0.6124	0.3876	0.5595	0
braf_only	0.13	178	0.6124	0	1	0.6124	0.3876	0.5544	0
braf_only	0.14	178	0.6124	0	1	0.6124	0.3876	0.5493	0
braf_only	0.15	178	0.6124	0	1	0.6124	0.3876	0.544	0
braf_only	0.16	178	0.6124	0	1	0.6124	0.3876	0.5385	0
braf_only	0.17	178	0.6124	0	1	0.6124	0.3876	0.533	0
braf_only	0.18	178	0.6124	0	1	0.6124	0.3876	0.5273	0
braf_only	0.19	178	0.6124	0	1	0.6124	0.3876	0.5214	0
braf_only	0.2	178	0.6124	0	1	0.6124	0.3876	0.5154	0
braf_only	0.21	178	0.6124	0	1	0.6124	0.3876	0.5093	0
braf_only	0.22	178	0.6124	0	1	0.6124	0.3876	0.503	0
braf_only	0.23	178	0.6124	0	1	0.6124	0.3876	0.4966	0
braf_only	0.24	178	0.6124	0	1	0.6124	0.3876	0.4899	0
braf_only	0.25	178	0.6124	0	1	0.6124	0.3876	0.4831	0
braf_only	0.26	178	0.6124	0	1	0.6124	0.3876	0.4762	0
braf_only	0.27	178	0.6124	0	1	0.6124	0.3876	0.469	0
braf_only	0.28	178	0.6124	0	1	0.6124	0.3876	0.4616	0
braf_only	0.29	178	0.6124	0	1	0.6124	0.3876	0.454	0
braf_only	0.3	178	0.6124	0	1	0.6124	0.3876	0.4462	0
braf_only	0.31	178	0.6124	0	1	0.6124	0.3876	0.4382	0
braf_only	0.32	178	0.6124	0	1	0.6124	0.3876	0.4299	0
braf_only	0.33	178	0.6124	0	1	0.6124	0.3876	0.4214	0
braf_only	0.34	178	0.6124	0	1	0.6124	0.3876	0.4127	0
braf_only	0.35	178	0.6124	0	1	0.6124	0.3876	0.4036	0
braf_only	0.36	178	0.6124	0	1	0.6124	0.3876	0.3943	0
braf_only	0.37	178	0.6124	0	1	0.6124	0.3876	0.3847	0
braf_only	0.38	178	0.6124	0	1	0.6124	0.3876	0.3748	0
braf_only	0.39	178	0.6124	0	1	0.6124	0.3876	0.3645	0
braf_only	0.4	178	0.6124	0	1	0.6124	0.3876	0.3539	0
braf_only	0.41	178	0.6124	0	1	0.6124	0.3876	0.343	0
braf_only	0.42	178	0.6124	0	1	0.6124	0.3876	0.3317	0
braf_only	0.43	178	0.6124	0	1	0.6124	0.3876	0.3199	0
braf_only	0.44	178	0.6124	0	1	0.6124	0.3876	0.3078	0
braf_only	0.45	178	0.6124	0	1	0.6124	0.3876	0.2952	0
braf_only	0.46	178	0.6124	0	1	0.6124	0.3876	0.2821	0
braf_only	0.47	178	0.6124	0	1	0.6124	0.3876	0.2686	0
braf_only	0.48	178	0.6124	0	1	0.6124	0.3876	0.2545	0
braf_only	0.49	178	0.6124	0	1	0.6124	0.3876	0.2399	0
braf_only	0.5	178	0.6124	0	1	0.6124	0.3876	0.2247	0
braf_only	0.51	178	0.6124	0	1	0.6124	0.3876	0.2089	0
braf_only	0.52	178	0.6124	0	1	0.6124	0.3876	0.1924	0
braf_only	0.53	178	0.6124	0	1	0.6124	0.3876	0.1752	0
braf_only	0.54	178	0.6124	0	1	0.6124	0.3876	0.1573	0
braf_only	0.55	178	0.6124	0	1	0.6124	0.3876	0.1386	0
braf_only	0.56	178	0.6124	0	1	0.6124	0.3876	0.119	0
braf_only	0.57	178	0.6124	0	1	0.6124	0.3876	0.09851	0
braf_only	0.58	178	0.6124	0	1	0.6124	0.3876	0.07705	0
braf_only	0.59	178	0.6124	0	1	0.6124	0.3876	0.05454	0
braf_only	0.6	178	0.6124	0	1	0.6124	0.3876	0.0309	0
braf_only	0.61	178	0.6124	0	0.8034	0.4888	0.3146	-0.003313	-0.005986
braf_only	0.62	178	0.6124	0	0	0	0	0	0.01232
braf_only	0.63	178	0.6124	0	0	0	0	0	0.028
braf_only	0.64	178	0.6124	0	0	0	0	0	0.04319
braf_only	0.65	178	0.6124	0	0	0	0	0	0.05791
braf_only	0.66	178	0.6124	0	0	0	0	0	0.07218
braf_only	0.67	178	0.6124	0	0	0	0	0	0.08603
braf_only	0.68	178	0.6124	0	0	0	0	0	0.09947
braf_only	0.69	178	0.6124	0	0	0	0	0	0.1125
braf_only	0.7	178	0.6124	0	0	0	0	0	0.1252
braf_only	0.71	178	0.6124	0	0	0	0	0	0.1375
braf_only	0.72	178	0.6124	0	0	0	0	0	0.1495
braf_only	0.73	178	0.6124	0	0	0	0	0	0.1612
braf_only	0.74	178	0.6124	0	0	0	0	0	0.1725
braf_only	0.75	178	0.6124	0	0	0	0	0	0.1835
braf_only	0.76	178	0.6124	0	0	0	0	0	0.1943
braf_only	0.77	178	0.6124	0	0	0	0	0	0.2047
braf_only	0.78	178	0.6124	0	0	0	0	0	0.2149
braf_only	0.79	178	0.6124	0	0	0	0	0	0.2249
braf_only	0.8	178	0.6124	0	0	0	0	0	0.2346
braf_only	0.81	178	0.6124	0	0	0	0	0	0.244
braf_only	0.82	178	0.6124	0	0	0	0	0	0.2532
braf_only	0.83	178	0.6124	0	0	0	0	0	0.2622
braf_only	0.84	178	0.6124	0	0	0	0	0	0.271
braf_only	0.85	178	0.6124	0	0	0	0	0	0.2796
braf_only	0.86	178	0.6124	0	0	0	0	0	0.288
braf_only	0.87	178	0.6124	0	0	0	0	0	0.2961
braf_only	0.88	178	0.6124	0	0	0	0	0	0.3041
braf_only	0.89	178	0.6124	0	0	0	0	0	0.312
braf_only	0.9	178	0.6124	0	0	0	0	0	0.3196
braf_only	0.91	178	0.6124	0	0	0	0	0	0.3271
braf_only	0.92	178	0.6124	0	0	0	0	0	0.3344
braf_only	0.93	178	0.6124	0	0	0	0	0	0.3415
braf_only	0.94	178	0.6124	0	0	0	0	0	0.3486
braf_only	0.95	178	0.6124	0	0	0	0	0	0.3554
all	0.05	178	0.6124	0	1	0.6124	0.3876	0.592	0
all	0.06	178	0.6124	0	1	0.6124	0.3876	0.5876	0
all	0.07	178	0.6124	0	1	0.6124	0.3876	0.5832	0
all	0.08	178	0.6124	0	1	0.6124	0.3876	0.5787	0
all	0.09	178	0.6124	0	1	0.6124	0.3876	0.574	0
all	0.1	178	0.6124	0	1	0.6124	0.3876	0.5693	0
all	0.11	178	0.6124	0	1	0.6124	0.3876	0.5644	0
all	0.12	178	0.6124	0	1	0.6124	0.3876	0.5595	0
all	0.13	178	0.6124	0	1	0.6124	0.3876	0.5544	0
all	0.14	178	0.6124	0	1	0.6124	0.3876	0.5493	0
all	0.15	178	0.6124	0	1	0.6124	0.3876	0.544	0
all	0.16	178	0.6124	0	1	0.6124	0.3876	0.5385	0
all	0.17	178	0.6124	0	1	0.6124	0.3876	0.533	0
all	0.18	178	0.6124	0	1	0.6124	0.3876	0.5273	0
all	0.19	178	0.6124	0	1	0.6124	0.3876	0.5214	0
all	0.2	178	0.6124	0	1	0.6124	0.3876	0.5154	0
all	0.21	178	0.6124	0	1	0.6124	0.3876	0.5093	0
all	0.22	178	0.6124	0	1	0.6124	0.3876	0.503	0
all	0.23	178	0.6124	0	1	0.6124	0.3876	0.4966	0
all	0.24	178	0.6124	0	1	0.6124	0.3876	0.4899	0
all	0.25	178	0.6124	0	1	0.6124	0.3876	0.4831	0
all	0.26	178	0.6124	0	1	0.6124	0.3876	0.4762	0
all	0.27	178	0.6124	0	1	0.6124	0.3876	0.469	0
all	0.28	178	0.6124	0	1	0.6124	0.3876	0.4616	0
all	0.29	178	0.6124	0	1	0.6124	0.3876	0.454	0
all	0.3	178	0.6124	0	1	0.6124	0.3876	0.4462	0
all	0.31	178	0.6124	0	1	0.6124	0.3876	0.4382	0
all	0.32	178	0.6124	0	1	0.6124	0.3876	0.4299	0
all	0.33	178	0.6124	0	1	0.6124	0.3876	0.4214	0
all	0.34	178	0.6124	0	1	0.6124	0.3876	0.4127	0
all	0.35	178	0.6124	0	1	0.6124	0.3876	0.4036	0
all	0.36	178	0.6124	0	1	0.6124	0.3876	0.3943	0
all	0.37	178	0.6124	0	1	0.6124	0.3876	0.3847	0
all	0.38	178	0.6124	0	1	0.6124	0.3876	0.3748	0
all	0.39	178	0.6124	0	1	0.6124	0.3876	0.3645	0
all	0.4	178	0.6124	0	1	0.6124	0.3876	0.3539	0
all	0.41	178	0.6124	0	1	0.6124	0.3876	0.343	0
all	0.42	178	0.6124	0	1	0.6124	0.3876	0.3317	0
all	0.43	178	0.6124	0	1	0.6124	0.3876	0.3199	0
all	0.44	178	0.6124	0	1	0.6124	0.3876	0.3078	0
all	0.45	178	0.6124	0	1	0.6124	0.3876	0.2952	0
all	0.46	178	0.6124	0	1	0.6124	0.3876	0.2821	0
all	0.47	178	0.6124	0	1	0.6124	0.3876	0.2686	0
all	0.48	178	0.6124	0	1	0.6124	0.3876	0.2545	0
all	0.49	178	0.6124	0	1	0.6124	0.3876	0.2399	0
all	0.5	178	0.6124	0	1	0.6124	0.3876	0.2247	0
all	0.51	178	0.6124	0	1	0.6124	0.3876	0.2089	0
all	0.52	178	0.6124	0	1	0.6124	0.3876	0.1924	0
all	0.53	178	0.6124	0	1	0.6124	0.3876	0.1752	0
all	0.54	178	0.6124	0	1	0.6124	0.3876	0.1573	0
all	0.55	178	0.6124	0	1	0.6124	0.3876	0.1386	0
all	0.56	178	0.6124	0	1	0.6124	0.3876	0.119	0
all	0.57	178	0.6124	0	1	0.6124	0.3876	0.09851	0
all	0.58	178	0.6124	0	1	0.6124	0.3876	0.07705	0
all	0.59	178	0.6124	0	1	0.6124	0.3876	0.05454	0
all	0.6	178	0.6124	0	1	0.6124	0.3876	0.0309	0
all	0.61	178	0.6124	0	1	0.6124	0.3876	0.00605	0
all	0.62	178	0.6124	0	1	0.6124	0.3876	-0.02011	0
all	0.63	178	0.6124	0	1	0.6124	0.3876	-0.04768	0
all	0.64	178	0.6124	0	1	0.6124	0.3876	-0.07678	0
all	0.65	178	0.6124	0	1	0.6124	0.3876	-0.1075	0
all	0.66	178	0.6124	0	1	0.6124	0.3876	-0.1401	0
all	0.67	178	0.6124	0	1	0.6124	0.3876	-0.1747	0
all	0.68	178	0.6124	0	1	0.6124	0.3876	-0.2114	0
all	0.69	178	0.6124	0	1	0.6124	0.3876	-0.2505	0
all	0.7	178	0.6124	0	1	0.6124	0.3876	-0.2921	0
all	0.71	178	0.6124	0	1	0.6124	0.3876	-0.3367	0
all	0.72	178	0.6124	0	1	0.6124	0.3876	-0.3844	0
all	0.73	178	0.6124	0	1	0.6124	0.3876	-0.4357	0
all	0.74	178	0.6124	0	1	0.6124	0.3876	-0.4909	0
all	0.75	178	0.6124	0	1	0.6124	0.3876	-0.5506	0
all	0.76	178	0.6124	0	1	0.6124	0.3876	-0.6152	0
all	0.77	178	0.6124	0	1	0.6124	0.3876	-0.6854	0
all	0.78	178	0.6124	0	1	0.6124	0.3876	-0.762	0
all	0.79	178	0.6124	0	1	0.6124	0.3876	-0.8459	0
all	0.8	178	0.6124	0	1	0.6124	0.3876	-0.9382	0
all	0.81	178	0.6124	0	1	0.6124	0.3876	-1.04	0
all	0.82	178	0.6124	0	1	0.6124	0.3876	-1.154	0
all	0.83	178	0.6124	0	1	0.6124	0.3876	-1.28	0
all	0.84	178	0.6124	0	1	0.6124	0.3876	-1.423	0
all	0.85	178	0.6124	0	1	0.6124	0.3876	-1.584	0
all	0.86	178	0.6124	0	1	0.6124	0.3876	-1.769	0
all	0.87	178	0.6124	0	1	0.6124	0.3876	-1.982	0
all	0.88	178	0.6124	0	1	0.6124	0.3876	-2.23	0
all	0.89	178	0.6124	0	1	0.6124	0.3876	-2.524	0
all	0.9	178	0.6124	0	1	0.6124	0.3876	-2.876	0
all	0.91	178	0.6124	0	1	0.6124	0.3876	-3.307	0
all	0.92	178	0.6124	0	1	0.6124	0.3876	-3.846	0
all	0.93	178	0.6124	0	1	0.6124	0.3876	-4.538	0
all	0.94	178	0.6124	0	1	0.6124	0.3876	-5.461	0
all	0.95	178	0.6124	0	1	0.6124	0.3876	-6.753	0
none	0.05	178	0.6124	0	0	0	0	0	-11.25
none	0.06	178	0.6124	0	0	0	0	0	-9.206
none	0.07	178	0.6124	0	0	0	0	0	-7.748
none	0.08	178	0.6124	0	0	0	0	0	-6.654
none	0.09	178	0.6124	0	0	0	0	0	-5.804
none	0.1	178	0.6124	0	0	0	0	0	-5.124
none	0.11	178	0.6124	0	0	0	0	0	-4.567
none	0.12	178	0.6124	0	0	0	0	0	-4.103
none	0.13	178	0.6124	0	0	0	0	0	-3.71
none	0.14	178	0.6124	0	0	0	0	0	-3.374
none	0.15	178	0.6124	0	0	0	0	0	-3.082
none	0.16	178	0.6124	0	0	0	0	0	-2.827
none	0.17	178	0.6124	0	0	0	0	0	-2.602
none	0.18	178	0.6124	0	0	0	0	0	-2.402
none	0.19	178	0.6124	0	0	0	0	0	-2.223
none	0.2	178	0.6124	0	0	0	0	0	-2.062
none	0.21	178	0.6124	0	0	0	0	0	-1.916
none	0.22	178	0.6124	0	0	0	0	0	-1.783
none	0.23	178	0.6124	0	0	0	0	0	-1.662
none	0.24	178	0.6124	0	0	0	0	0	-1.551
none	0.25	178	0.6124	0	0	0	0	0	-1.449
none	0.26	178	0.6124	0	0	0	0	0	-1.355
none	0.27	178	0.6124	0	0	0	0	0	-1.268
none	0.28	178	0.6124	0	0	0	0	0	-1.187
none	0.29	178	0.6124	0	0	0	0	0	-1.112
none	0.3	178	0.6124	0	0	0	0	0	-1.041
none	0.31	178	0.6124	0	0	0	0	0	-0.9754
none	0.32	178	0.6124	0	0	0	0	0	-0.9136
none	0.33	178	0.6124	0	0	0	0	0	-0.8556
none	0.34	178	0.6124	0	0	0	0	0	-0.8011
none	0.35	178	0.6124	0	0	0	0	0	-0.7496
none	0.36	178	0.6124	0	0	0	0	0	-0.701
none	0.37	178	0.6124	0	0	0	0	0	-0.655
none	0.38	178	0.6124	0	0	0	0	0	-0.6115
none	0.39	178	0.6124	0	0	0	0	0	-0.5702
none	0.4	178	0.6124	0	0	0	0	0	-0.5309
none	0.41	178	0.6124	0	0	0	0	0	-0.4936
none	0.42	178	0.6124	0	0	0	0	0	-0.458
none	0.43	178	0.6124	0	0	0	0	0	-0.4241
none	0.44	178	0.6124	0	0	0	0	0	-0.3917
none	0.45	178	0.6124	0	0	0	0	0	-0.3608
none	0.46	178	0.6124	0	0	0	0	0	-0.3312
none	0.47	178	0.6124	0	0	0	0	0	-0.3029
none	0.48	178	0.6124	0	0	0	0	0	-0.2757
none	0.49	178	0.6124	0	0	0	0	0	-0.2497
none	0.5	178	0.6124	0	0	0	0	0	-0.2247
none	0.51	178	0.6124	0	0	0	0	0	-0.2007
none	0.52	178	0.6124	0	0	0	0	0	-0.1776
none	0.53	178	0.6124	0	0	0	0	0	-0.1554
none	0.54	178	0.6124	0	0	0	0	0	-0.134
none	0.55	178	0.6124	0	0	0	0	0	-0.1134
none	0.56	178	0.6124	0	0	0	0	0	-0.0935
none	0.57	178	0.6124	0	0	0	0	0	-0.07432
none	0.58	178	0.6124	0	0	0	0	0	-0.05579
none	0.59	178	0.6124	0	0	0	0	0	-0.0379
none	0.6	178	0.6124	0	0	0	0	0	-0.0206
none	0.61	178	0.6124	0	0	0	0	0	-0.003868
none	0.62	178	0.6124	0	0	0	0	0	0.01232
none	0.63	178	0.6124	0	0	0	0	0	0.028
none	0.64	178	0.6124	0	0	0	0	0	0.04319
none	0.65	178	0.6124	0	0	0	0	0	0.05791
none	0.66	178	0.6124	0	0	0	0	0	0.07218
none	0.67	178	0.6124	0	0	0	0	0	0.08603
none	0.68	178	0.6124	0	0	0	0	0	0.09947
none	0.69	178	0.6124	0	0	0	0	0	0.1125
none	0.7	178	0.6124	0	0	0	0	0	0.1252
none	0.71	178	0.6124	0	0	0	0	0	0.1375
none	0.72	178	0.6124	0	0	0	0	0	0.1495
none	0.73	178	0.6124	0	0	0	0	0	0.1612
none	0.74	178	0.6124	0	0	0	0	0	0.1725
none	0.75	178	0.6124	0	0	0	0	0	0.1835
none	0.76	178	0.6124	0	0	0	0	0	0.1943
none	0.77	178	0.6124	0	0	0	0	0	0.2047
none	0.78	178	0.6124	0	0	0	0	0	0.2149
none	0.79	178	0.6124	0	0	0	0	0	0.2249
none	0.8	178	0.6124	0	0	0	0	0	0.2346
none	0.81	178	0.6124	0	0	0	0	0	0.244
none	0.82	178	0.6124	0	0	0	0	0	0.2532
none	0.83	178	0.6124	0	0	0	0	0	0.2622
none	0.84	178	0.6124	0	0	0	0	0	0.271
none	0.85	178	0.6124	0	0	0	0	0	0.2796
none	0.86	178	0.6124	0	0	0	0	0	0.288
none	0.87	178	0.6124	0	0	0	0	0	0.2961
none	0.88	178	0.6124	0	0	0	0	0	0.3041
none	0.89	178	0.6124	0	0	0	0	0	0.312
none	0.9	178	0.6124	0	0	0	0	0	0.3196
none	0.91	178	0.6124	0	0	0	0	0	0.3271
none	0.92	178	0.6124	0	0	0	0	0	0.3344
none	0.93	178	0.6124	0	0	0	0	0	0.3415
none	0.94	178	0.6124	0	0	0	0	0	0.3486
none	0.95	178	0.6124	0	0	0	0	0	0.3554
