task	dataset	feature_set	model	n_samples	auc	pr_auc	auc_ci_lo	auc_ci_hi	balanced_accuracy	balanced_accuracy_youden	f1	f1_youden	mcc	threshold_applied_youden	status
BRAF_like_vs_RAS_like	GSE27155	TierA67	LogReg_l2	72	0.9729938271604939	0.9711552215584286	0.9373065015479876	0.996929012345679	0.5	0.5	0.0	0.0	0.0	0.6360760907926487	ok
BRAF_like_vs_RAS_like	GSE126698	TierA67	LogReg_l2	12	0.8611111111111112	0.8968253968253967	0.5714285714285714	1.0	0.8333333333333333	0.8333333333333333	0.8	0.8	0.7071067811865476	0.6360760907926487	ok
BRAF_like_vs_RAS_like	GSE213647	TierA67	LogReg_l2	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	TierA67	LogReg_elasticnet	72	0.9768518518518519	0.9734500557389664	0.9397589797589797	0.9992066592261905	0.5	0.5	0.0	0.0	0.0	0.5300059365748957	ok
BRAF_like_vs_RAS_like	GSE126698	TierA67	LogReg_elasticnet	12	1.0	1.0	0.9999999999999999	1.0	0.8333333333333333	0.8333333333333333	0.8	0.8	0.7071067811865476	0.5300059365748957	ok
BRAF_like_vs_RAS_like	GSE213647	TierA67	LogReg_elasticnet	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	TierA67	RandomForest	72	0.8931327160493827	0.849578517147232	0.8084923174832696	0.9632449690402477	0.5	0.5	0.6666666666666666	0.0	0.0	0.698	ok
BRAF_like_vs_RAS_like	GSE126698	TierA67	RandomForest	12	1.0	1.0	0.9999999999999999	1.0	1.0	0.75	1.0	0.6666666666666666	1.0	0.698	ok
BRAF_like_vs_RAS_like	GSE213647	TierA67	RandomForest	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	TierA67	GradientBoosting	72	0.7442129629629629	0.7050827423167849	0.6351202500691092	0.8401826111779995	0.7361111111111112	0.5	0.7710843373493976	0.0	0.49594097109284146	0.9999925867600599	ok
BRAF_like_vs_RAS_like	GSE126698	TierA67	GradientBoosting	12	1.0	1.0	1.0	1.0	1.0	0.9166666666666667	1.0	0.9090909090909091	1.0	0.9999925867600599	ok
BRAF_like_vs_RAS_like	GSE213647	TierA67	GradientBoosting	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	TierA67	XGBoost	72	0.7685185185185185	0.7607182940516273	0.6417992424242425	0.8676734352244004	0.5	0.5	0.0	0.0	0.0	0.47693729400634766	ok
BRAF_like_vs_RAS_like	GSE126698	TierA67	XGBoost	12	1.0	1.0	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	1.0	0.47693729400634766	ok
BRAF_like_vs_RAS_like	GSE213647	TierA67	XGBoost	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	TierA67_clean	LogReg_l2	72	0.9683641975308642	0.9702890451288214	0.9292804203020921	0.9945823571249268	0.5	0.5	0.0	0.0	0.0	0.6315386087705629	ok
BRAF_like_vs_RAS_like	GSE126698	TierA67_clean	LogReg_l2	12	0.888888888888889	0.9107142857142856	0.6564550264550264	1.0	0.75	0.75	0.6666666666666666	0.6666666666666666	0.5773502691896257	0.6315386087705629	ok
BRAF_like_vs_RAS_like	GSE213647	TierA67_clean	LogReg_l2	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	TierA67_clean	LogReg_elasticnet	72	0.9783950617283951	0.9774733236461688	0.9456000982042648	0.9984459984459985	0.5	0.5	0.0	0.0	0.0	0.495244215394235	ok
BRAF_like_vs_RAS_like	GSE126698	TierA67_clean	LogReg_elasticnet	12	1.0	1.0	0.9999999999999999	1.0	0.8333333333333333	0.8333333333333333	0.8	0.8	0.7071067811865476	0.495244215394235	ok
BRAF_like_vs_RAS_like	GSE213647	TierA67_clean	LogReg_elasticnet	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	TierA67_clean	RandomForest	72	0.9116512345679012	0.859633034000593	0.8281675962925963	0.9726678240740739	0.5	0.5	0.6666666666666666	0.0	0.0	0.702	ok
BRAF_like_vs_RAS_like	GSE126698	TierA67_clean	RandomForest	12	1.0	1.0	1.0	1.0	1.0	0.75	1.0	0.6666666666666666	1.0	0.702	ok
BRAF_like_vs_RAS_like	GSE213647	TierA67_clean	RandomForest	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	TierA67_clean	GradientBoosting	72	0.7442129629629629	0.7050827423167849	0.6351202500691092	0.8401826111779995	0.7361111111111112	0.5416666666666666	0.7710843373493976	0.15384615384615385	0.49594097109284146	0.9984426182476762	ok
BRAF_like_vs_RAS_like	GSE126698	TierA67_clean	GradientBoosting	12	1.0	1.0	1.0	1.0	1.0	0.9166666666666667	1.0	0.9090909090909091	1.0	0.9984426182476762	ok
BRAF_like_vs_RAS_like	GSE213647	TierA67_clean	GradientBoosting	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	TierA67_clean	XGBoost	72	0.8510802469135803	0.8242357152424563	0.7470439630087545	0.9309617504409171	0.5	0.5	0.0	0.0	0.0	0.5997940301895142	ok
BRAF_like_vs_RAS_like	GSE126698	TierA67_clean	XGBoost	12	1.0	1.0	0.9999999999999999	1.0	0.9166666666666667	0.9166666666666667	0.9090909090909091	0.9090909090909091	0.8451542547285166	0.5997940301895142	ok
BRAF_like_vs_RAS_like	GSE213647	TierA67_clean	XGBoost	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	variance_top50	LogReg_l2	72	0.9783950617283951	0.9725574711195495	0.9386038961038962	1.0	0.5	0.5	0.0	0.0	0.0	0.5893460197847719	ok
BRAF_like_vs_RAS_like	GSE126698	variance_top50	LogReg_l2	12	0.9444444444444445	0.9583333333333333	0.75	1.0	0.75	0.6666666666666666	0.6666666666666666	0.5	0.5773502691896257	0.5893460197847719	ok
BRAF_like_vs_RAS_like	GSE213647	variance_top50	LogReg_l2	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	variance_top50	LogReg_elasticnet	72	0.9799382716049383	0.9742637136524049	0.9388351393188854	1.0	0.5	0.5	0.0	0.0	0.0	0.4249419278760764	ok
BRAF_like_vs_RAS_like	GSE126698	variance_top50	LogReg_elasticnet	12	0.9444444444444445	0.9583333333333333	0.75	1.0	0.6666666666666666	0.75	0.5	0.6666666666666666	0.4472135954999579	0.4249419278760764	ok
BRAF_like_vs_RAS_like	GSE213647	variance_top50	LogReg_elasticnet	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	variance_top50	RandomForest	72	0.974537037037037	0.9650637188884141	0.93139922999298	1.0	0.5	0.5	0.0	0.0	0.0	0.722	ok
BRAF_like_vs_RAS_like	GSE126698	variance_top50	RandomForest	12	0.8611111111111112	0.9242424242424242	0.5623263888888889	1.0	0.75	0.6666666666666666	0.6666666666666666	0.5	0.5773502691896257	0.722	ok
BRAF_like_vs_RAS_like	GSE213647	variance_top50	RandomForest	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	variance_top50	GradientBoosting	72	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.9999925867600599	ok
BRAF_like_vs_RAS_like	GSE126698	variance_top50	GradientBoosting	12	0.7500000000000002	0.6785714285714286	0.5	1.0	0.75	0.75	0.7692307692307693	0.7692307692307693	0.50709255283711	0.9999925867600599	ok
BRAF_like_vs_RAS_like	GSE213647	variance_top50	GradientBoosting	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	variance_top50	XGBoost	72	0.722608024691358	0.7114197530864198	0.6354410718768304	0.808094711435137	0.5	0.5	0.0	0.0	0.0	0.8583704233169556	ok
BRAF_like_vs_RAS_like	GSE126698	variance_top50	XGBoost	12	0.7916666666666667	0.7738095238095237	0.5	1.0	0.75	0.75	0.7692307692307693	0.7692307692307693	0.50709255283711	0.8583704233169556	ok
BRAF_like_vs_RAS_like	GSE213647	variance_top50	XGBoost	0											skipped_no_eligible_samples_or_features
