held_out	feature_set	model	n_train	n_test	auc	bACC_Youden	brier	ece
TCGA-THCA	TDS16	LogReg_l2	41	351	0.8972578557137812	0.8649229139696364	0.8347494066834588	0.8347536176859182
TCGA-THCA	TDS16	LogReg_elasticnet	41	351	0.9074967635636106	0.8768683064611039	0.8341651655285784	0.8344443021792797
TCGA-THCA	TDS16	RandomForest	41	351	0.8202012474991174	0.8220842650347182	0.742898717948718	0.7836039886039886
TCGA-THCA	TDS16	GradientBoosting	41	351	0.820730846181005	0.8205543132870425	0.8347578053586372	0.8347578174422343
TCGA-THCA	TDS16	XGBoost	41	351	0.8413557726256325	0.8307049546898906	0.7210137844085693	0.7688366893859331
TCGA-THCA	TierA67_clean	LogReg_l2	41	351	0.966811815935036	0.964075556078616	0.8317448000828418	0.8329155778164011
TCGA-THCA	TierA67_clean	LogReg_elasticnet	41	351	0.9620454277980464	0.9537483817818053	0.3921521597012693	0.43549956755352426
TCGA-THCA	TierA67_clean	RandomForest	41	351	0.9751382841002707	0.922943391785336	0.2964805555555556	0.41804843304843314
TCGA-THCA	TierA67_clean	GradientBoosting	41	351	0.5	0.5	0.16524216109539805	0.1652421526946195
TCGA-THCA	TierA67_clean	XGBoost	41	351	0.7883076379898788	0.7899258561845357	0.16913160681724548	0.22338439885028075
TCGA-THCA	TierA67_clean_no_MAPK	LogReg_l2	41	351	0.9640461339296222	0.9554548664234436	0.8347560857278076	0.8347569602216282
TCGA-THCA	TierA67_clean_no_MAPK	LogReg_elasticnet	41	351	0.9557490879133812	0.9417147228433564	0.8312758993435599	0.8319851227007925
TCGA-THCA	TierA67_clean_no_MAPK	RandomForest	41	351	0.9764917029539838	0.9297693303518889	0.38180048076923084	0.5083689458689459
TCGA-THCA	TierA67_clean_no_MAPK	GradientBoosting	41	351	0.5	0.5	0.16524216109539805	0.1652421526946195
TCGA-THCA	TierA67_clean_no_MAPK	XGBoost	41	351	0.7912792750382488	0.7899258561845357	0.18994905054569244	0.26460493952460434
TCGA-THCA	BRS71_original	LogReg_l2	41	351	0.9725785571378134	0.9744027303754266	0.04582413797963502	0.0482941550586932
TCGA-THCA	BRS71_original	LogReg_elasticnet	41	351	0.9668118159350358	0.9744027303754266	0.05957505215345783	0.06288229131533649
TCGA-THCA	BRS71_original	RandomForest	41	351	0.9745498411203956	0.9537483817818053	0.2181778846153846	0.39475783475783477
TCGA-THCA	BRS71_original	GradientBoosting	41	351	0.5172413793103448	0.5172413793103449	0.15954415655915083	0.1595441503571947
TCGA-THCA	BRS71_original	XGBoost	41	351	0.5172413793103448	0.5172413793103449	0.14908991754055023	0.1230260387190387
TCGA-THCA	v3_panel_compact	LogReg_l2	41	351	0.9636930681416971	0.9709897610921502	0.17706973323066652	0.19424144945161195
TCGA-THCA	v3_panel_compact	LogReg_elasticnet	41	351	0.9742261974814641	0.9795221843003412	0.061873623857773445	0.0744105189964236
TCGA-THCA	v3_panel_compact	RandomForest	41	351	0.9712839825820879	0.9761092150170648	0.16893600427350428	0.3392735042735042
TCGA-THCA	v3_panel_compact	GradientBoosting	41	351	0.9088501824173237	0.9088501824173237	0.059829057913663705	0.0598290485454427
TCGA-THCA	v3_panel_compact	XGBoost	41	351	0.9330057667412027	0.9330057667412028	0.049025751650333405	0.04044058674845602
