target	drug_name	drug_id	max_phase	original_indication	mechanism_of_action	pchembl_value	activity_type	source
GABRB2	flunitrazepam	DC:1202			nan	7.5	Ki	drugcentral
GABRB2	flunitrazepam	DC:1202			nan	9.0	Ki	drugcentral
GABRB2	flunitrazepam	DC:1202			nan	8.42	Ki	drugcentral
GABRB2	flurazepam	DC:1218			POSITIVE ALLOSTERIC MODULATOR	8.1	IC50	drugcentral
GABRB2	halazepam	DC:1348			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	halothane	DC:1356			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
CYP1B1	hesperetin	DC:1362			nan	6.29	IC50	drugcentral
GABRB2	isoflurane	DC:1493			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	liothyronine	DC:1585			nan	5.15	EC50	drugcentral
GABRB2	liothyronine	DC:1585			nan	4.64	IC50	drugcentral
GABRB2	medazepam	DC:1654			nan	6.28	Ki	drugcentral
CYP1B1	melatonin	DC:1672			nan	4.85	Ki	drugcentral
GABRB2	methaqualone	DC:1739			POSITIVE ALLOSTERIC MODULATOR	4.41	EC50	drugcentral
GABRB2	methaqualone	DC:1739			POSITIVE ALLOSTERIC MODULATOR	4.61	EC50	drugcentral
GABRB2	methaqualone	DC:1739			POSITIVE ALLOSTERIC MODULATOR	4.31	EC50	drugcentral
GABRB2	methaqualone	DC:1739			POSITIVE ALLOSTERIC MODULATOR	4.17	EC50	drugcentral
GABRB2	methaqualone	DC:1739			POSITIVE ALLOSTERIC MODULATOR	4.56	EC50	drugcentral
GABRB2	methaqualone	DC:1739			POSITIVE ALLOSTERIC MODULATOR	4.13	EC50	drugcentral
GABRB2	methaqualone	DC:1739			POSITIVE ALLOSTERIC MODULATOR	4.44	EC50	drugcentral
GABRB2	metharbital	DC:1740			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	methoxyflurane	DC:1754			POSITIVE MODULATOR		nan	drugcentral
GABRB2	midazolam	DC:1802			POSITIVE ALLOSTERIC MODULATOR	8.745	Ki	drugcentral
GABRB2	midazolam	DC:1802			POSITIVE ALLOSTERIC MODULATOR	7.75	Ki	drugcentral
GABRB2	midazolam	DC:1802			nan	8.7	Ki	drugcentral
GABRB2	midazolam	DC:1802			POSITIVE ALLOSTERIC MODULATOR	8.444	Ki	drugcentral
GABRB2	midazolam	DC:1802			POSITIVE ALLOSTERIC MODULATOR	7.613	Ki	drugcentral
GABRB2	midazolam	DC:1802			POSITIVE ALLOSTERIC MODULATOR	9.125	Ki	drugcentral
GABRB2	midazolam	DC:1802			POSITIVE ALLOSTERIC MODULATOR	8.26	Ki	drugcentral
GABRB2	nitrazepam	DC:1945			POSITIVE ALLOSTERIC MODULATOR	8.0	EC50	drugcentral
GABRB2	norfloxacin	DC:1967			nan	7.7	IC50	drugcentral
GABRB2	ofloxacin	DC:1981			nan	4.96	IC50	drugcentral
GABRB2	pentobarbital	DC:2095			POSITIVE ALLOSTERIC MODULATOR	4.301	EC50	drugcentral
GABRB2	pentobarbital	DC:2095			nan	5.77	IC50	drugcentral
GABRB2	pentobarbital	DC:2095			nan	4.3	EC50	drugcentral
GABRB2	phenobarbital	DC:2134			nan		nan	drugcentral
GABRB2	picrotoxin	DC:2162			nan	5.88	IC50	drugcentral
GABRB2	prazepam	DC:2240			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	primidone	DC:2267			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	progabide	DC:2278			nan	4.398	Ki	drugcentral
GABRB2	progabide	DC:2278			nan	4.85	Ki	drugcentral
GABRB2	progabide	DC:2278			nan	4.4	Ki	drugcentral
GABRB2	propofol	DC:2302			POSITIVE ALLOSTERIC MODULATOR	5.7	EC50	drugcentral
GABRB2	propofol	DC:2302			nan	5.4	IC50	drugcentral
GABRB2	propofol	DC:2302			POSITIVE ALLOSTERIC MODULATOR	4.95	EC50	drugcentral
GABRB2	ripazepam	DC:2386			nan	6.17	IC50	drugcentral
GABRB2	secobarbital	DC:2428			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	sevoflurane	DC:2439			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	talbutal	DC:2556			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	temazepam	DC:2585			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	thiamylal	DC:2626			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	thiopental	DC:2633			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	thiopental	DC:2633			nan	4.53	IC50	drugcentral
GABRB2	topiramate	DC:2706			POSITIVE MODULATOR		nan	drugcentral
GABRB2	triazolam	DC:2729			POSITIVE ALLOSTERIC MODULATOR	9.155	Ki	drugcentral
GABRB2	triazolam	DC:2729			POSITIVE ALLOSTERIC MODULATOR	8.638	Ki	drugcentral
GABRB2	triazolam	DC:2729			nan	9.1	Ki	drugcentral
GABRB2	triazolam	DC:2729			POSITIVE ALLOSTERIC MODULATOR	9.1	Ki	drugcentral
GABRB2	triazolam	DC:2729			POSITIVE ALLOSTERIC MODULATOR	8.876	Ki	drugcentral
GABRB2	triazolam	DC:2729			POSITIVE ALLOSTERIC MODULATOR	8.108	Ki	drugcentral
GABRB2	triazolam	DC:2729			POSITIVE ALLOSTERIC MODULATOR	9.222	Ki	drugcentral
GABRB2	triazolam	DC:2729			POSITIVE ALLOSTERIC MODULATOR	8.699	Ki	drugcentral
GABRB2	triclofos	DC:2735			POSITIVE MODULATOR		nan	drugcentral
GABRB2	tubocurarine	DC:2781			nan	4.24	IC50	drugcentral
GABRB2	zaleplon	DC:2857			POSITIVE ALLOSTERIC MODULATOR	6.53	EC50	drugcentral
GABRB2	zolpidem	DC:2870			POSITIVE ALLOSTERIC MODULATOR	6.703	EC50	drugcentral
GABRB2	zolpidem	DC:2870			nan	7.6	Ki	drugcentral
GABRB2	zolpidem	DC:2870			nan	6.42	Ki	drugcentral
GABRB2	zolpidem	DC:2870			nan	6.01	Ki	drugcentral
GABRB2	zolpidem	DC:2870			nan	7.72	Ki	drugcentral
GABRB2	zolpidem	DC:2870			nan	6.81	Ki	drugcentral
GABRB2	zolpidem	DC:2870			POSITIVE ALLOSTERIC MODULATOR	6.164	Ki	drugcentral
GABRB2	zopiclone	DC:2873			nan	7.54	IC50	drugcentral
GABRB2	zopiclone	DC:2873			POSITIVE MODULATOR	7.176	Ki	drugcentral
GABRB2	zopiclone	DC:2873			POSITIVE MODULATOR	7.155	Ki	drugcentral
GABRB2	zopiclone	DC:2873			POSITIVE MODULATOR	6.582	Ki	drugcentral
GABRB2	zopiclone	DC:2873			POSITIVE MODULATOR	6.488	Ki	drugcentral
GABRB2	zopiclone	DC:2873			POSITIVE MODULATOR	7.278	Ki	drugcentral
GABRB2	zopiclone	DC:2873			POSITIVE MODULATOR	6.75	Ki	drugcentral
GABRB2	fospropofol	DC:3249			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
CYP1B1	quercetin	DC:3514			nan	7.11	IC50	drugcentral
CYP1B1	benzamycin	DC:3875			nan	4.4	IC50	drugcentral
GABRB2	baicalin	DC:4055			nan	4.11	Ki	drugcentral
CYP1B1	diosmetin	DC:4601			nan	7.54	IC50	drugcentral
GABRB2	thiocolchicoside	DC:4731			nan	5.72	IC50	drugcentral
GABRB2	thiocolchicoside	DC:4731			NEGATIVE MODULATOR	6.699	IC50	drugcentral
GABRB2	thiocolchicoside	DC:4731			NEGATIVE MODULATOR	6.886	IC50	drugcentral
GABRB2	brexanolone	DC:5324			POSITIVE ALLOSTERIC MODULATOR	7.222	EC50	drugcentral
TACSTD2	sacituzumab govitecan	DC:5391			ANTIBODY BINDING	9.58	Kd	drugcentral
GABRB2	remimazolam	DC:5400			MODULATOR	6.04	EC50	drugcentral
GABRB2	remimazolam	DC:5400			MODULATOR	6.44	EC50	drugcentral
GABRB2	remimazolam	DC:5400			MODULATOR	6.18	EC50	drugcentral
GABRB2	remimazolam	DC:5400			MODULATOR	5.86	EC50	drugcentral
