target	drug_name	drug_id	max_phase	original_indication	repurposing_score	rationale	source
GABRB2	zopiclone	DC:2873	1.0		0.49	phase 1; POSITIVE MODULATOR | nan; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	zolpidem	DC:2870	1.0		0.49	phase 1; POSITIVE ALLOSTERIC MODULATOR | nan; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	clorazepate	DC:711	1.0		0.49	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	baclofen	DC:282	1.0		0.49	phase 1; nan; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	brexanolone	DC:5324	1.0		0.49	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	eltanolone	DC:997	1.0		0.49	phase 1; nan; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral
CYP1B1	diosmetin	DC:4601	1.0		0.49	phase 1; nan; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral
CYP1B1	kaempferol	CHEMBL150	1.0		0.49	phase 1; potency=0.70 mech_fit=0.50 offpatent=0.30	chembl
GABRB2	alprazolam	DC:136	1.0		0.49	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	alpidem	DC:134	1.0		0.49	phase 1; nan; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	nordazepam	DC:816	1.0		0.43	phase 1; nan; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	zaleplon	DC:2857	1.0		0.43	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	alfaxalone	DC:133	1.0		0.43	phase 1; nan; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral
CYP1B1	hesperetin	DC:1362	1.0		0.43	phase 1; nan; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	thiocolchicoside	DC:4731	1.0		0.43	phase 1; NEGATIVE MODULATOR | nan; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	chlordiazepoxide	DC:594	1.0		0.43	phase 1; POSITIVE ALLOSTERIC MODULATOR | nan; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	medazepam	DC:1654	1.0		0.43	phase 1; nan; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	ciprofloxacin	DC:659	1.0		0.43	phase 1; nan; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	remimazolam	DC:5400	1.0		0.43	phase 1; MODULATOR; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	ripazepam	DC:2386	1.0		0.43	phase 1; nan; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	fospropofol	DC:3249	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	adinazolam	DC:93	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	secobarbital	DC:2428	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	thiamylal	DC:2626	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	temazepam	DC:2585	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	talbutal	DC:2556	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	halothane	DC:1356	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	desflurane	DC:811	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	carbamazepine	DC:489	1.0		0.41	phase 1; nan; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	clobazam	DC:682	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	topiramate	DC:2706	1.0		0.41	phase 1; POSITIVE MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	phenobarbital	DC:2134	1.0		0.41	phase 1; nan; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	sevoflurane	DC:2439	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	secbutabarbital	DC:439	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	triclofos	DC:2735	1.0		0.41	phase 1; POSITIVE MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	halazepam	DC:1348	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	estazolam	DC:1056	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	isoflurane	DC:1493	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	eszopiclone	DC:1068	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	ethanol	DC:1076	1.0		0.41	phase 1; nan; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	amoxapine	DC:191	1.0		0.41	phase 1; nan; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	bromazepam	DC:399	1.0		0.41	phase 1; nan; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	primidone	DC:2267	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	prazepam	DC:2240	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	metharbital	DC:1740	1.0		0.41	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	methoxyflurane	DC:1754	1.0		0.41	phase 1; POSITIVE MODULATOR; potency=0.30 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	methaqualone	DC:1739	1.0		0.39	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
CYP1B1	melatonin	DC:1672	1.0		0.39	phase 1; nan; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
CYP1B1	estradiol	DC:1057	1.0		0.39	phase 1; nan; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
CYP1B1	erythromycin	DC:1048	1.0		0.39	phase 1; nan; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
CYP1B1	benzamycin	DC:3875	1.0		0.39	phase 1; nan; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	liothyronine	DC:1585	1.0		0.39	phase 1; nan; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	etomidate	DC:1109	1.0		0.39	phase 1; POSITIVE MODULATOR | nan; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	baicalin	DC:4055	1.0		0.39	phase 1; nan; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	ofloxacin	DC:1981	1.0		0.39	phase 1; nan; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	progabide	DC:2278	1.0		0.39	phase 1; nan; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	picrotoxin	DC:2162	1.0		0.39	phase 1; nan; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	pentobarbital	DC:2095	1.0		0.39	phase 1; POSITIVE ALLOSTERIC MODULATOR | nan; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	thiopental	DC:2633	1.0		0.39	phase 1; POSITIVE ALLOSTERIC MODULATOR | nan; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	propofol	DC:2302	1.0		0.39	phase 1; POSITIVE ALLOSTERIC MODULATOR | nan; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	tubocurarine	DC:2781	1.0		0.39	phase 1; nan; potency=0.20 mech_fit=0.50 offpatent=0.30	drugcentral
CYP1B1	berberine	CHEMBL295124	4.0		0.0715	phase 4; potency=0.70 mech_fit=0.50 offpatent=0.30	chembl
