dataset	source	accession	local_path	file_name	file_size_bytes	md5	data_type	sample_count_observed	patient_count_observed_if_known	has_expression	has_clinical	has_response_label	has_survival	notes
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/analysis/Figure4scores.r	Figure4scores.r	2972	5ba148ed2d8cabcba382b3abd1e9f264	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/analysis/imageAnalysis/mouseTumorImaging-1430-CD3-dataManipulation.r	mouseTumorImaging-1430-CD3-dataManipulation.r	6484	d8800e51a3fb87899d7301e905a4e0a4	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/analysis/imageAnalysis/mouseTumorImaging-1436-CD3-dataManipulation.r	mouseTumorImaging-1436-CD3-dataManipulation.r	6346	9e073ae1e3b1131e64f1e9f86d9964df	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/analysis/imageAnalysis/mouseTumorImaging-666-CD3-dataManipulation.r	mouseTumorImaging-666-CD3-dataManipulation.r	6389	5d9a060e85d06e1a096e80ee6f2e46cd	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/analysis/mouseTumorImaging-CD3-pooledAnalysis.Rmd	mouseTumorImaging-CD3-pooledAnalysis.Rmd	5220	42c67715753651fc4462d5182b7bc937	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/EMT6_dge_list.rds	EMT6_dge_list.rds	5313378	01d95de29b9d032e238d5917e9661d18	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/matlab/JZiai_MSR10166_1430_cd3_Lx_clean.m	JZiai_MSR10166_1430_cd3_Lx_clean.m	74169	41dc132891dbef66b8483c0d6b101562	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/matlab/JZiai_MSR9005_1436_cd3_clean.m	JZiai_MSR9005_1436_cd3_clean.m	71901	a47d88073471749e89bd55406d858b9b	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/matlab/JZiai_MSR9228_666_cd3_clean.m	JZiai_MSR9228_666_cd3_clean.m	71383	60acd72b8157d31024420aa6fc9181f7	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/pheno.rds	pheno.rds	1422	c422f4af48677f9afac4694309d44976	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33K5.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33K5.xlsx	514732	abad801ae3564579cbf6994282180610	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33K6.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33K6.xlsx	565051	762e52e5164f205dd909f4237ca6c399	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33K7.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33K7.xlsx	262540	8242510d8dce6dd59b85d8d9873f58e5	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33K8.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33K8.xlsx	370617	1133a6fb87067dbeb23c1848f239fceb	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33K9.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33K9.xlsx	381606	c4f6966d68aa802eeabd8317b0c755d5	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KB.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KB.xlsx	440098	1e2aad420f6ee23d4fa24e80271d9fac	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KC.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KC.xlsx	336028	a7b5ba809931c10a04d43e17b83c9cf3	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KD.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KD.xlsx	564866	9de7fde3af64e7bb7bc7521474fdb4ff	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KE.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KE.xlsx	358209	1ff2bebedcb2b92311a383963bdd3bcd	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KF.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KF.xlsx	359046	a558020eed3fc9f287c2f1fef3e33e2d	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KG.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KG.xlsx	229534	fb8fae6720a0717c9bddbeccef9082e3	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KH.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KH.xlsx	312438	f9d0287bb4eb41ee2df25744dc571c85	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KI.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KI.xlsx	455286	3aeba5c636eb84c7a691367000313723	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KJ.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KJ.xlsx	592003	2b6608fff786d1e0572934daabd14818	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KK.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KK.xlsx	708856	1bc4a5174e448461e3ca6ff5f7d9eaf2	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KL.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KL.xlsx	550894	c297ae7a08ecf1b7c51ba058dffff32c	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KM.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KM.xlsx	301006	fe2e42bbc0598467e14fe325bc0cd091	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KN.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KN.xlsx	301396	3ede949c9e7695066b0de18a9da6db43	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KO.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KO.xlsx	656032	39a70e74fc4ce4d7719fe215342bdb36	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KP.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KP.xlsx	621018	7284f091d2b78cede043ba205ef5c209	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KQ.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KQ.xlsx	658622	d53d76725581f19c064406e28101f2be	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KR.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KR.xlsx	725396	697b786fa76f7bcac59f9523b0ebff04	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KS.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KS.xlsx	792571	fd3c74d170bd2e893e9b852f43822b82	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KT.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KT.xlsx	692809	7e7e78608d6d9307941ca2b632d0134b	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KU.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KU.xlsx	410789	204968ebce581c9a34fad08d7abe2809	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KV.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KV.xlsx	547705	047ecf10fbe63015121c0a56a6bea8a0	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KW.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KW.xlsx	340397	9d76255fefaac848731b72bc1d50e9c8	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KX.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KX.xlsx	633695	0e1d639295cd2240036013944304a85a	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KY.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KY.xlsx	551077	27b30775291cdd9d05f4a72fdeede30a	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33KZ.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33KZ.xlsx	641392	7d89eef9cbefc507f09dee6125e70289	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33L0.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33L0.xlsx	565201	b6d7c6108efb7a46b5a31dadd6d53044	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33L1.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33L1.xlsx	526312	723151f94920035903c3261b5a00661a	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33L2.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33L2.xlsx	564686	076538d07b2f385b5ba555c51208dca5	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33L3.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33L3.xlsx	602567	ed84af81587606586b536065c87b7337	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33L4.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33L4.xlsx	622036	bdc074c7b6d4903d7b7ecbd0a76fc2c0	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33L5.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33L5.xlsx	623337	408b2408eb806496396167cbb2bbdd40	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33L6.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33L6.xlsx	354942	48c9bdce762affbf0064551ca5bdedf6	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33L7.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33L7.xlsx	454396	3469d0c460a63175090ce04ac34bf8c8	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33L8.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33L8.xlsx	891397	65f9c25db48deeff1f2aed7fc9f8d571	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33L9.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33L9.xlsx	340571	dac95653414e6003d0eff4d2f7a66861	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33LA.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33LA.xlsx	360059	1056cdb0c8817e8eb6f8b0ecdf7014ca	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33LB.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33LB.xlsx	382129	a571510b8220644183ebdf1e98433385	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33LC.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33LC.xlsx	454154	1b450f8931b6776458005d14c02d8a79	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/mouse/raw/20170515_MSR10166_cd3_1430_Lx_coord_33LE.xlsx	20170515_MSR10166_cd3_1430_Lx_coord_33LE.xlsx	413465	a614630daf913ee2fa457f98ce556f7b	other	348	347	False	False	True	True	
