cluster_1,,B cell,B cell,B cell,B cell,B cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell
CCL2,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL13,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL6,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CEACAM6,STAB1,,,,,,,,,,,0.0,0.0,1.0,0.002,,,,,,,,,,,
THBS1,ITGA6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.368,,0.216,0.174,0.14,0.06,,0.012,0.01,0.01,0.002,
THBS1,CD36,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.652,,0.128,0.164,0.142,0.082,,0.01,0.01,0.01,0.002,
VWF,SCARA5,,,,,,,,,,,,,,,,,,,,,,,,,
FGF7,FGFR4,,,,,,,,,,,,,,,,,,,,,,,,,
PTH2,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,
TFF2,MUC6,,,,,,,,,,,,,,,,,,,,,,,,,
TFF1,MUC5AC,,,,,,,,,,,,,,,,,,,,,,,,,
S100A1,RYR2,,,,,,,,,,,,,,,,,,,,,,,,,
SCGB3A1,MARCO,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,
ANGPTL4,GPIHBP1,,,1.0,0.888,,,,1.0,0.144,,,,0.0,0.004,,,,0.716,0.36,,,,,,
ANGPTL4,TIE1,1.0,1.0,1.0,0.66,,1.0,1.0,0.996,0.236,,0.738,0.79,0.0,0.04,,0.8,0.792,0.708,0.328,,,,,,
IGF1,INSR,1.0,1.0,0.0,0.822,,1.0,1.0,0.0,0.904,,1.0,1.0,0.0,0.928,,1.0,1.0,0.038,0.762,,,,,,
PCSK9,LDLR,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL11,ACKR1,0.006,0.0,0.174,,,,,,,,,,,,,0.0,0.0,0.006,,,,,,,
ANGPT2,TIE1,,,,,,0.894,0.934,0.528,0.062,,0.862,0.948,0.014,0.054,,0.14,0.122,0.048,0.024,,,,,,
CALCA,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,
THBS2,NOTCH4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,,0.004,0.006,0.004,0.008,,0.0,0.0,0.0,0.0,
THBS2,ITGA6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.618,,0.006,0.004,0.004,0.002,,0.0,0.0,0.0,0.0,
THBS2,CD36,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,,0.004,0.004,0.004,0.004,,0.0,0.0,0.0,0.0,
S100A8,CD36,0.438,0.962,0.658,0.1,,0.472,0.99,0.812,0.102,,0.294,0.992,0.442,0.08,,0.0,0.0,0.0,0.0,,,,,,
S100A12,CD36,,,,,,,,,,,,,,,,0.004,0.022,0.006,0.022,,,,,,
S100A9,CD36,0.036,0.156,0.028,0.024,,0.004,0.018,0.002,0.012,,0.466,0.998,1.0,0.086,,0.0,0.0,0.0,0.0,,,,,,
CALCB,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,
MDK,ITGA6,1.0,1.0,1.0,0.988,,0.624,0.324,0.098,0.03,,0.988,0.864,0.0,0.06,,0.47,0.372,0.318,0.122,,,,,,
ADM,TSHR,1.0,1.0,0.744,1.0,,1.0,1.0,0.976,1.0,,1.0,1.0,0.0,0.998,,1.0,1.0,0.246,0.994,,,,,,
CGA,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL8,CD79A,,,,,,,,,,,0.0,0.0,1.0,,,0.0,0.012,0.036,,,,,,,
PTH2,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,
APOE,LRP1,1.0,1.0,1.0,1.0,1.0,0.036,0.0,1.0,0.032,0.118,0.0,0.0,1.0,0.006,0.044,0.0,0.0,0.05,0.0,0.012,1.0,0.998,1.0,1.0,1.0
PCSK9,LRP1,,,,,,,,,,,,,,,,,,,,,,,,,
THBS1,LRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,1.0,0.026,0.112,0.018,0.0,0.242,0.02,0.03,0.0,0.0,0.012,0.0,0.008
VWF,LRP1,0.128,0.0,1.0,0.054,0.138,0.008,0.0,1.0,0.014,0.092,0.0,0.0,1.0,0.012,0.052,0.712,0.006,0.998,0.344,0.466,,,,,
CGA,RAMP2,,,,,,,,,,,,,,,,,,,,,,,,,
CCL11,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL7,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL8,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
S100A9,CD68,0.006,0.0,0.092,0.0,,0.0,0.0,0.004,0.0,,0.048,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
