compound	column_name	broad_id	dose_uM	moa	phase	dm1_n	dm2_n	dm1_mean_lfc	dm2_mean_lfc	delta_lfc	pvalue	fdr
proxyfan	BRD-K77171813-034-01-8::2.5::HTS	BRD-K77171813-034-01-8	2.5	histamine receptor modulator	Preclinical	5	5	-0.582441528432	0.33622250446736	-0.91866403289936	0.007936507936507936	0.7551365723954555
oxprenolol	BRD-A43671941-003-11-9::2.5::HTS	BRD-A43671941-003-11-9	2.5	adrenergic receptor antagonist	Launched	5	5	-0.1942307521578	0.23825791310403996	-0.43248866526183993	0.007936507936507936	0.7551365723954555
ML167	BRD-K64835161-001-02-8::2.5::HTS	BRD-K64835161-001-02-8	2.5	CLK inhibitor, DYRK inhibitor	Preclinical	5	5	-0.10919973897901998	0.3752961147081	-0.48449585368711995	0.015873015873015872	0.7551365723954555
bortezomib	BRD-K88510285-001-11-1::2.5::HTS	BRD-K88510285-001-11-1	2.5	NFkB pathway inhibitor, proteasome inhibitor	Launched	5	5	-5.821678914106	-4.013530403256	-1.8081485108499997	0.015873015873015872	0.7551365723954555
sotalol	BRD-A33168282-003-18-0::2.5::HTS	BRD-A33168282-003-18-0	2.5	adrenergic receptor antagonist	Launched	5	5	-0.13071133846632002	0.5197910467679201	-0.6505023852342401	0.015873015873015872	0.7551365723954555
pimozide	BRD-K01292756-001-25-0::2.5::HTS	BRD-K01292756-001-25-0	2.5	dopamine receptor antagonist	Launched	5	5	-0.313903864422	0.3547007182848	-0.6686045827068	0.015873015873015872	0.7551365723954555
mazindol	BRD-A68464583-001-02-5::2.5::HTS	BRD-A68464583-001-02-5	2.5	dopamine reuptake inhibitor, selective serotonin reuptake inhibitor (SSRI)	Launched	5	5	0.05709829146914001	0.4848015187244	-0.42770322725526	0.015873015873015872	0.7551365723954555
TBOA-(DL)	BRD-M77041484-001-01-8::2.5::HTS	BRD-M77041484-001-01-8	2.5	excitatory amino acid transporter inhibitor	Preclinical	5	5	-0.3815417762428	0.05501409483894	-0.43655587108174	0.015873015873015872	0.7551365723954555
caffeine	BRD-K02404261-001-16-7::2.5::HTS	BRD-K02404261-001-16-7	2.5	adenosine receptor antagonist, phosphodiesterase inhibitor	Launched	5	5	-0.3157059726577	0.30373514046146	-0.61944111311916	0.015873015873015872	0.7551365723954555
dexchlorpheniramine	BRD-K39462424-050-09-8::2.5::HTS	BRD-K39462424-050-09-8	2.5	histamine receptor antagonist	Launched	5	5	0.07375997668376	0.3941058993148	-0.32034592263104	0.015873015873015872	0.7551365723954555
DMeOB	BRD-K36775483-001-01-4::2.5::HTS	BRD-K36775483-001-01-4	2.5		Preclinical	5	5	0.04888495511630601	0.4845537440916	-0.435668788975294	0.015873015873015872	0.7551365723954555
brimonidine	BRD-K68264559-045-02-4::2.5::HTS	BRD-K68264559-045-02-4	2.5	adrenergic receptor agonist	Launched	5	5	0.09368558920496	0.5143788189296	-0.42069322972464	0.015873015873015872	0.7551365723954555
carbenoxolone	BRD-A29700858-304-01-8::2.5::HTS	BRD-A29700858-304-01-8	2.5	11-beta hydroxysteroid dehydrogenase inhibitor	Launched	5	5	-0.5995439660778	-0.2269649021268	-0.37257906395100004	0.015873015873015872	0.7551365723954555
dalcetrapib	BRD-K18849474-001-04-4::2.61::HTS	BRD-K18849474-001-04-4	2.61	cholesteryl ester transfer protein inhibitor	Phase 3	5	5	-0.383126820577722	0.1902121483228	-0.573338968900522	0.015873015873015872	0.7551365723954555
LE-135	BRD-K06593056-001-04-8::2.5::HTS	BRD-K06593056-001-04-8	2.5	retinoid receptor agonist	Preclinical	5	5	-0.4967025636592	0.05243093449844001	-0.54913349815764	0.015873015873015872	0.7551365723954555
