method	family	model	features	note	n	n_pos	auroc	auprc
lr_anchor_quantum_structure	cv	lr	Structure_LR,GP_quantum,VQC,W7A_QK_only,W7A_full,mean_pLDDT_peptide,min_pLDDT_peptide,mean_pLDDT_HLA,anchor_pLDDT,interface_contacts_8A,interface_contacts_10A,n_buried_residues_8A,mean_min_pep_to_hla_CA_dist,max_min_pep_to_hla_CA_dist,radius_of_gyration_peptide,end_to_end_CA_dist,peptide_helicity_proxy,tcr_motif_score	internal repeated CV	89	21	0.5896358543417367	0.34162533157700986
extratrees_anchor_quantum_structure	cv	extratrees	Structure_LR,GP_quantum,VQC,W7A_QK_only,W7A_full,mean_pLDDT_peptide,min_pLDDT_peptide,mean_pLDDT_HLA,anchor_pLDDT,interface_contacts_8A,interface_contacts_10A,n_buried_residues_8A,mean_min_pep_to_hla_CA_dist,max_min_pep_to_hla_CA_dist,radius_of_gyration_peptide,end_to_end_CA_dist,peptide_helicity_proxy,tcr_motif_score	internal repeated CV	89	21	0.5875350140056023	0.30942420447249286
quantum_kernel_compact_gamma1.0	quantum_kernel	1.0	Structure_LR,W7A_QK_only,GP_quantum,min_pLDDT_peptide,tcr_motif_score	angle-encoded fidelity kernel; internal repeated CV	89	21	0.5875350140056022	0.27400309550717855
W7A_QK_only	fixed		W7A_QK_only	locked existing score	89	21	0.5861344537815126	0.3515249849486122
W7B_stacked	fixed		W7B_stacked	locked existing score	89	21	0.5784313725490197	0.2944818209185005
VQC	fixed		VQC	locked existing score	89	21	0.572829131652661	0.3087193270726124
ESMFold_3D_CV_score	fixed		ESMFold_3D_CV_score	locked existing score	89	21	0.569327731092437	0.2793500054696086
PRIME	fixed		PRIME	locked existing score	89	21	0.5686274509803921	0.30294916290247637
W7A_full	fixed		W7A_full	locked existing score	89	21	0.5630252100840336	0.29046177702066883
rf_anchor_quantum_structure	cv	rf	Structure_LR,GP_quantum,VQC,W7A_QK_only,W7A_full,mean_pLDDT_peptide,min_pLDDT_peptide,mean_pLDDT_HLA,anchor_pLDDT,interface_contacts_8A,interface_contacts_10A,n_buried_residues_8A,mean_min_pep_to_hla_CA_dist,max_min_pep_to_hla_CA_dist,radius_of_gyration_peptide,end_to_end_CA_dist,peptide_helicity_proxy,tcr_motif_score	internal repeated CV	89	21	0.5595238095238095	0.27946532198400353
hgb_anchor_quantum_structure	cv	hgb	Structure_LR,GP_quantum,VQC,W7A_QK_only,W7A_full,mean_pLDDT_peptide,min_pLDDT_peptide,mean_pLDDT_HLA,anchor_pLDDT,interface_contacts_8A,interface_contacts_10A,n_buried_residues_8A,mean_min_pep_to_hla_CA_dist,max_min_pep_to_hla_CA_dist,radius_of_gyration_peptide,end_to_end_CA_dist,peptide_helicity_proxy,tcr_motif_score	internal repeated CV	89	21	0.542717086834734	0.30521072848485775
NetMHCpan_4.1	fixed		NetMHCpan_4.1	locked existing score	89	21	0.5427170868347339	0.2876618201330079
rf_quantum_structure_no_anchor	cv	rf	GP_quantum,VQC,W7A_QK_only,W7A_full,mean_pLDDT_peptide,min_pLDDT_peptide,mean_pLDDT_HLA,anchor_pLDDT,interface_contacts_8A,interface_contacts_10A,n_buried_residues_8A,mean_min_pep_to_hla_CA_dist,max_min_pep_to_hla_CA_dist,radius_of_gyration_peptide,end_to_end_CA_dist,peptide_helicity_proxy,tcr_motif_score	internal repeated CV	89	21	0.5392156862745098	0.26537712599204416
hgb_quantum_structure_no_anchor	cv	hgb	GP_quantum,VQC,W7A_QK_only,W7A_full,mean_pLDDT_peptide,min_pLDDT_peptide,mean_pLDDT_HLA,anchor_pLDDT,interface_contacts_8A,interface_contacts_10A,n_buried_residues_8A,mean_min_pep_to_hla_CA_dist,max_min_pep_to_hla_CA_dist,radius_of_gyration_peptide,end_to_end_CA_dist,peptide_helicity_proxy,tcr_motif_score	internal repeated CV	89	21	0.5322128851540616	0.2717048492480588
quantum_kernel_no_anchor_gamma2.0	quantum_kernel	2.0	GP_quantum,VQC,W7A_QK_only,W7A_full,mean_pLDDT_peptide,min_pLDDT_peptide,mean_pLDDT_HLA,anchor_pLDDT,interface_contacts_8A,interface_contacts_10A,n_buried_residues_8A,mean_min_pep_to_hla_CA_dist,max_min_pep_to_hla_CA_dist,radius_of_gyration_peptide,end_to_end_CA_dist,peptide_helicity_proxy,tcr_motif_score	angle-encoded fidelity kernel; internal repeated CV	89	21	0.5224089635854342	0.24570423203446584
rbf_svc_anchor_quantum_structure	cv	rbf_svc	Structure_LR,GP_quantum,VQC,W7A_QK_only,W7A_full,mean_pLDDT_peptide,min_pLDDT_peptide,mean_pLDDT_HLA,anchor_pLDDT,interface_contacts_8A,interface_contacts_10A,n_buried_residues_8A,mean_min_pep_to_hla_CA_dist,max_min_pep_to_hla_CA_dist,radius_of_gyration_peptide,end_to_end_CA_dist,peptide_helicity_proxy,tcr_motif_score	internal repeated CV	89	21	0.5140056022408963	0.24930624031409132
GP_quantum	fixed		GP_quantum	locked existing score	89	21	0.5133053221288515	0.32000171050691306
lr_quantum_structure_no_anchor	cv	lr	GP_quantum,VQC,W7A_QK_only,W7A_full,mean_pLDDT_peptide,min_pLDDT_peptide,mean_pLDDT_HLA,anchor_pLDDT,interface_contacts_8A,interface_contacts_10A,n_buried_residues_8A,mean_min_pep_to_hla_CA_dist,max_min_pep_to_hla_CA_dist,radius_of_gyration_peptide,end_to_end_CA_dist,peptide_helicity_proxy,tcr_motif_score	internal repeated CV	89	21	0.507703081232493	0.29555773069489005
TSCAPE_TITANiAN	fixed		TSCAPE_TITANiAN	locked existing score	89	21	0.5056022408963585	0.3080853776102414
extratrees_quantum_structure_no_anchor	cv	extratrees	GP_quantum,VQC,W7A_QK_only,W7A_full,mean_pLDDT_peptide,min_pLDDT_peptide,mean_pLDDT_HLA,anchor_pLDDT,interface_contacts_8A,interface_contacts_10A,n_buried_residues_8A,mean_min_pep_to_hla_CA_dist,max_min_pep_to_hla_CA_dist,radius_of_gyration_peptide,end_to_end_CA_dist,peptide_helicity_proxy,tcr_motif_score	internal repeated CV	89	21	0.49649859943977587	0.256234465268926
ESM2_Bayesian	fixed		ESM2_Bayesian	locked existing score	89	21	0.4642857142857143	0.2393167573955422
quantum_kernel_no_anchor_gamma0.25	quantum_kernel	0.25	GP_quantum,VQC,W7A_QK_only,W7A_full,mean_pLDDT_peptide,min_pLDDT_peptide,mean_pLDDT_HLA,anchor_pLDDT,interface_contacts_8A,interface_contacts_10A,n_buried_residues_8A,mean_min_pep_to_hla_CA_dist,max_min_pep_to_hla_CA_dist,radius_of_gyration_peptide,end_to_end_CA_dist,peptide_helicity_proxy,tcr_motif_score	angle-encoded fidelity kernel; internal repeated CV	89	21	0.4600840336134454	0.22697645890186421
quantum_kernel_no_anchor_gamma0.5	quantum_kernel	0.5	GP_quantum,VQC,W7A_QK_only,W7A_full,mean_pLDDT_peptide,min_pLDDT_peptide,mean_pLDDT_HLA,anchor_pLDDT,interface_contacts_8A,interface_contacts_10A,n_buried_residues_8A,mean_min_pep_to_hla_CA_dist,max_min_pep_to_hla_CA_dist,radius_of_gyration_peptide,end_to_end_CA_dist,peptide_helicity_proxy,tcr_motif_score	angle-encoded fidelity kernel; internal repeated CV	89	21	0.4558823529411765	0.23324465412057468
quantum_kernel_compact_gamma2.0	quantum_kernel	2.0	Structure_LR,W7A_QK_only,GP_quantum,min_pLDDT_peptide,tcr_motif_score	angle-encoded fidelity kernel; internal repeated CV	89	21	0.45238095238095233	0.2686071323702658
rbf_svc_quantum_structure_no_anchor	cv	rbf_svc	GP_quantum,VQC,W7A_QK_only,W7A_full,mean_pLDDT_peptide,min_pLDDT_peptide,mean_pLDDT_HLA,anchor_pLDDT,interface_contacts_8A,interface_contacts_10A,n_buried_residues_8A,mean_min_pep_to_hla_CA_dist,max_min_pep_to_hla_CA_dist,radius_of_gyration_peptide,end_to_end_CA_dist,peptide_helicity_proxy,tcr_motif_score	internal repeated CV	89	21	0.4439775910364146	0.2492339528125374
rankavg_quantum_only	rankavg		GP_quantum,VQC,W7A_QK_only,W7A_full	quantum family only	89	21	0.4373249299719888	0.21735525297295913
rankavg_structure_quantum	rankavg		Structure_LR,GP_quantum,VQC,W7A_QK_only	keeps quantum, no public pretrained score	89	21	0.3651960784313726	0.19547179451469776
rankavg_structure_signed_esmfold	rankavg		Structure_LR,inv__min_pLDDT_peptide,inv__mean_pLDDT_peptide,inv__radius_of_gyration_peptide,mean_min_pep_to_hla_CA_dist	structure proxy rescue; signs chosen from pilot	89	21	0.34558823529411764	0.18572769004514722
rankavg_structure_public_upper	rankavg		Structure_LR,MHCflurry,BigMHC_IM,PRIME	upper-bound only; public-training caveated	89	21	0.3312324929971988	0.22955502747590137
rankavg_structure_wave8_no_exact	rankavg		Structure_LR,Wave8_TCR_SelfSim_no_exact	clean anchor plus non-self-exact Wave8	89	21	0.31512605042016806	0.17526499622176933
