sample	cell_line	target	expr_log2rpkm_plus1	zscore	v14_prediction	mutation_label
S117_SOFT_TISSUE	?	TMPRSS4	0.098	2.7195675723700314	BRAF_like	other
SW579_THYROID	SW579	TMPRSS4	0.0214	-0.4664858259430007	RAS_like	other
TT2609C02_THYROID	TT2609-C02	TMPRSS4	0.0573	1.026716745851227	BRAF_like	RAS
TT_THYROID	TT	TMPRSS4	0.0352	0.10750290639015661	RAS_like	other
8305C_THYROID	8305C	PLEKHA6	0.0161	-0.6835286751495365	BRAF_like	BRAF
8505C_THYROID	8505C	PLEKHA6	2.7651	-0.13497982539377287	BRAF_like	BRAF
BCPAP_THYROID	B-CPAP	PLEKHA6	0.664	-0.5542435533755244	BRAF_like	BRAF
BHT101_THYROID	BHT-101	PLEKHA6	5.7786	0.46634864268152504	RAS_like	BRAF
CAL62_THYROID	CAL-62	PLEKHA6	10.1227	1.3331915158077574	RAS_like	RAS
FTC133_THYROID	FTC-133	PLEKHA6	0.1177	-0.6632549162789706	RAS_like	other
FTC238_THYROID	FTC-238	PLEKHA6	1.1284	-0.46157491538841033	BRAF_like	other
MB1_THYROID	?	PLEKHA6	0.0561	-0.6755468803186051	BRAF_like	other
ML1_THYROID	ML-1	PLEKHA6	0.5824	-0.5705264148306245	RAS_like	other
S117_SOFT_TISSUE	?	PLEKHA6	7.4232	0.7945201371552714	BRAF_like	other
SW579_THYROID	SW579	PLEKHA6	0.0732	-0.6721346630283819	RAS_like	other
TT2609C02_THYROID	TT2609-C02	PLEKHA6	0.0546	-0.6758461976247649	BRAF_like	RAS
TT_THYROID	TT	PLEKHA6	15.9579	2.497575745744037	RAS_like	other
8305C_THYROID	8305C	LDLR	22.6573	-0.34011072597711306	BRAF_like	BRAF
8505C_THYROID	8505C	LDLR	29.6804	0.3012187517003908	BRAF_like	BRAF
BCPAP_THYROID	B-CPAP	LDLR	18.0106	-0.7644341278828323	BRAF_like	BRAF
BHT101_THYROID	BHT-101	LDLR	33.7414	0.672057698724973	RAS_like	BRAF
CAL62_THYROID	CAL-62	LDLR	52.3288	2.36940609663798	RAS_like	RAS
FTC133_THYROID	FTC-133	LDLR	16.2376	-0.9263394352146679	RAS_like	other
FTC238_THYROID	FTC-238	LDLR	26.4197	0.0034609199931622376	BRAF_like	other
MB1_THYROID	?	LDLR	15.4377	-0.9993840236719355	BRAF_like	other
ML1_THYROID	ML-1	LDLR	10.5662	-1.444235520946068	RAS_like	other
S117_SOFT_TISSUE	?	LDLR	30.7236	0.39648080280505593	BRAF_like	other
SW579_THYROID	SW579	LDLR	25.1225	-0.11499568726620445	RAS_like	other
TT2609C02_THYROID	TT2609-C02	LDLR	24.6722	-0.1561158000081815	BRAF_like	RAS
TT_THYROID	TT	LDLR	37.3654	1.0029910511054425	RAS_like	other
8305C_THYROID	8305C	GABRB2	0.0021	-0.3520684396845259	BRAF_like	BRAF
8505C_THYROID	8505C	GABRB2	0.0	-0.5003935693664326	BRAF_like	BRAF
BCPAP_THYROID	B-CPAP	GABRB2	0.0013	-0.408573250991919	BRAF_like	BRAF
BHT101_THYROID	BHT-101	GABRB2	0.0033	-0.2673112227234363	RAS_like	BRAF
CAL62_THYROID	CAL-62	GABRB2	0.0041	-0.21080641141604328	RAS_like	RAS
FTC133_THYROID	FTC-133	GABRB2	0.0026	-0.3167529326174053	RAS_like	other
FTC238_THYROID	FTC-238	GABRB2	0.0027	-0.30968983120398114	BRAF_like	other
MB1_THYROID	?	GABRB2	0.0	-0.5003935693664326	BRAF_like	other
ML1_THYROID	ML-1	GABRB2	0.0109	0.26948448469679764	RAS_like	other
S117_SOFT_TISSUE	?	GABRB2	0.0	-0.5003935693664326	BRAF_like	other
SW579_THYROID	SW579	GABRB2	0.0522	3.186545368440964	RAS_like	other
TT2609C02_THYROID	TT2609-C02	GABRB2	0.0	-0.5003935693664326	BRAF_like	RAS
TT_THYROID	TT	GABRB2	0.0129	0.41074651296528025	RAS_like	other
8305C_THYROID	8305C	B3GNT3	0.0219	-0.4395556173548957	BRAF_like	BRAF
8505C_THYROID	8505C	B3GNT3	1.1764	-0.15275514596416734	BRAF_like	BRAF
BCPAP_THYROID	B-CPAP	B3GNT3	1.8739	0.020517551129841355	BRAF_like	BRAF
BHT101_THYROID	BHT-101	B3GNT3	14.2694	3.0998031666549806	RAS_like	BRAF
CAL62_THYROID	CAL-62	B3GNT3	0.0834	-0.42427780965413364	RAS_like	RAS
FTC133_THYROID	FTC-133	B3GNT3	0.027	-0.43828867720410075	RAS_like	other
FTC238_THYROID	FTC-238	B3GNT3	0.1696	-0.40286403690932565	BRAF_like	other
MB1_THYROID	?	B3GNT3	0.0258	-0.43858678076899366	BRAF_like	other
ML1_THYROID	ML-1	B3GNT3	0.0446	-0.4339164915856713	RAS_like	other
S117_SOFT_TISSUE	?	B3GNT3	0.1016	-0.4197565722532577	BRAF_like	other
SW579_THYROID	SW579	B3GNT3	0.0952	-0.4213464579326866	RAS_like	other
TT2609C02_THYROID	TT2609-C02	B3GNT3	0.1472	-0.40842863678732677	BRAF_like	RAS
TT_THYROID	TT	B3GNT3	5.251	0.8594555086297364	RAS_like	other
8305C_THYROID	8305C	PTPRE	2.3816	-0.45353699985997825	BRAF_like	BRAF
8505C_THYROID	8505C	PTPRE	1.398	-0.7107994313691662	BRAF_like	BRAF
BCPAP_THYROID	B-CPAP	PTPRE	2.4605	-0.4329005563401786	BRAF_like	BRAF
BHT101_THYROID	BHT-101	PTPRE	3.7864	-0.08610891549224019	RAS_like	BRAF
CAL62_THYROID	CAL-62	PTPRE	3.78	-0.08778284753947367	RAS_like	RAS
FTC133_THYROID	FTC-133	PTPRE	11.0065	1.8023218304812123	RAS_like	other
FTC238_THYROID	FTC-238	PTPRE	4.6839	0.14863389894401058	BRAF_like	other
MB1_THYROID	?	PTPRE	1.9688	-0.5615056169065347	BRAF_like	other
ML1_THYROID	ML-1	PTPRE	10.4417	1.654597327312862	RAS_like	other
S117_SOFT_TISSUE	?	PTPRE	1.1241	-0.7824384919531093	BRAF_like	other
SW579_THYROID	SW579	PTPRE	0.5991	-0.9197532302027268	RAS_like	other
TT2609C02_THYROID	TT2609-C02	PTPRE	9.7821	1.4820777056948664	BRAF_like	RAS
TT_THYROID	TT	PTPRE	0.0904	-1.0528046727695466	RAS_like	other
