depmap_id	cell_line	v14_prediction	mutation_label	compound	broad_id	dose_uM	moa	phase	logfold_change
ACH-000191	BHT-101	RAS_like	BRAF	simvastatin	BRD-K22134346-001-24-9	2.42	HMGCR inhibitor	Launched	-1.11156265247
ACH-000191	BHT-101	RAS_like	BRAF	clonazepam	BRD-K38183498-001-02-0	2.5	GABA benzodiazepine site receptor agonist	Launched	-0.814081855855
ACH-000191	BHT-101	RAS_like	BRAF	ezetimibe	BRD-K42260897-001-07-6	2.48	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	Launched	-0.0356636299476
ACH-000191	BHT-101	RAS_like	BRAF	ezetimibe	BRD-K42260897-001-09-2	2.5	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	Launched	-0.18128660482
ACH-000191	BHT-101	RAS_like	BRAF	zolpidem	BRD-K44876623-001-03-7	2.5	benzodiazepine receptor agonist	Launched	-0.329478696324
ACH-000191	BHT-101	RAS_like	BRAF	etomidate	BRD-K55055802-001-10-2	2.5	GABA receptor modulator	Launched	0.250689645862
ACH-000191	BHT-101	RAS_like	BRAF	indomethacin	BRD-K57222227-001-30-1	2.5	cyclooxygenase inhibitor	Launched	-0.615955874098
ACH-000191	BHT-101	RAS_like	BRAF	atorvastatin	BRD-K69726342-238-02-4	2.5	HMGCR inhibitor	Launched	-0.846329205419
ACH-000191	BHT-101	RAS_like	BRAF	baicalein	BRD-K72327355-001-14-7	2.5	lipoxygenase inhibitor	Preclinical	0.0860283330831
ACH-000191	BHT-101	RAS_like	BRAF	propofol	BRD-K82255054-001-15-9	2.5	benzodiazepine receptor agonist	Launched	-0.294981603775
ACH-000191	BHT-101	RAS_like	BRAF	rosuvastatin	BRD-K82941592-238-04-5	2.5	HMGCR inhibitor	Launched	-0.163741325083
ACH-000191	BHT-101	RAS_like	BRAF	quercetin	BRD-K97399794-001-15-3	2.5	polar auxin transport inhibitor	Launched	0.236732669714
ACH-000191	BHT-101	RAS_like	BRAF	flumazenil	BRD-K98769987-001-23-7	2.5	benzodiazepine receptor antagonist	Launched	0.0346646092612
ACH-000191	BHT-101	RAS_like	BRAF	topotecan	BRD-K55696337-003-24-4	2.50001813	topoisomerase inhibitor	Launched	-1.76767862367
ACH-000191	BHT-101	RAS_like	BRAF	gabexate	BRD-K59256312-066-15-7	2.431061328	serine protease inhibitor	Launched	-0.142292568619
ACH-000191	BHT-101	RAS_like	BRAF	resveratrol	BRD-K80738081-001-46-8	2.500037854	cytochrome P450 inhibitor, SIRT activator	Launched	0.0919012397027
ACH-000456	B-CPAP	BRAF_like	BRAF	pomalidomide	BRD-A12994259-001-02-1	2.5	angiogenesis inhibitor, tumor necrosis factor production inhibitor	Launched	-0.0620978489757
ACH-000456	B-CPAP	BRAF_like	BRAF	lenalidomide	BRD-A17883755-001-06-1	2.5	anticancer agent	Launched	-0.0307777545492
ACH-000456	B-CPAP	BRAF_like	BRAF	thalidomide	BRD-A93255169-001-28-3	2.5	tumor necrosis factor production inhibitor	Launched	-0.215070995193
ACH-000456	B-CPAP	BRAF_like	BRAF	luteolin	BRD-K05236810-001-19-0	2.5	glucosidase inhibitor	Phase 2	0.280079063275
ACH-000456	B-CPAP	BRAF_like	BRAF	nafamostat	BRD-K06674495-334-03-2	2.5	serine protease inhibitor	Launched	-0.194080496578
ACH-000456	B-CPAP	BRAF_like	BRAF	irinotecan	BRD-K08547377-394-03-5	2.5	topoisomerase inhibitor	Launched	-1.69440038669
ACH-000456	B-CPAP	BRAF_like	BRAF	kaempferol	BRD-K12807006-001-18-5	2.5	bone resorption inhibitor, estrogen-related receptor inverse agonist	Preclinical	-0.104422181555
ACH-000456	B-CPAP	BRAF_like	BRAF	diazepam	BRD-K16508793-001-05-9	2.5	benzodiazepine receptor agonist	Launched	0.239713724521
ACH-000456	B-CPAP	BRAF_like	BRAF	simvastatin	BRD-K22134346-001-22-3	2.5	HMGCR inhibitor	Launched	-0.359817095188
ACH-000456	B-CPAP	BRAF_like	BRAF	simvastatin	BRD-K22134346-001-24-9	2.42	HMGCR inhibitor	Launched	-3.94268317479
ACH-000456	B-CPAP	BRAF_like	BRAF	clonazepam	BRD-K38183498-001-02-0	2.5	GABA benzodiazepine site receptor agonist	Launched	-0.0681227401074
ACH-000456	B-CPAP	BRAF_like	BRAF	ezetimibe	BRD-K42260897-001-07-6	2.48	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	Launched	0.226284475797
