sample	DM1_like	TF_collapse	RAI_8	lineage
TCGA-OR-A5LA-01	1.5326097586033425	-0.8298662457945343	-1.5326097586033425	adrenocortical cancer
TCGA-OR-A5LB-01	1.5664498390594508	-1.1550361729192624	-1.5664498390594508	adrenocortical cancer
TCGA-OR-A5LC-01	1.56012151744903	-0.8513769931386497	-1.56012151744903	adrenocortical cancer
TCGA-OR-A5LD-01	1.3741948582001258	-0.7237041452298552	-1.3741948582001258	adrenocortical cancer
TCGA-OR-A5LE-01	1.1886390236326256	-0.8339781351335207	-1.1886390236326256	adrenocortical cancer
TCGA-OR-A5LG-01	1.6275238232642106	-0.8535954752650773	-1.6275238232642106	adrenocortical cancer
TCGA-OR-A5LH-01	1.4627423397237318	-0.9990195094125806	-1.4627423397237318	adrenocortical cancer
TCGA-OR-A5LJ-01	1.40596899329902	-1.0565374948369897	-1.40596899329902	adrenocortical cancer
TCGA-OR-A5LK-01	1.56433841833621	-0.8182739361187875	-1.56433841833621	adrenocortical cancer
TCGA-OR-A5LL-01	1.5601567735988016	-0.9517800753486537	-1.5601567735988016	adrenocortical cancer
TCGA-OR-A5LM-01	1.2968646516865983	-0.6671579947755394	-1.2968646516865983	adrenocortical cancer
TCGA-OR-A5LN-01	1.5409887330250907	-0.942994172264519	-1.5409887330250907	adrenocortical cancer
TCGA-OR-A5LO-01	1.4756063478898613	-0.8722568056920759	-1.4756063478898613	adrenocortical cancer
TCGA-OR-A5LP-01	1.5627763833593118	-0.9770387306113565	-1.5627763833593118	adrenocortical cancer
TCGA-OR-A5LR-01	1.4812943851490437	-0.8002433919770304	-1.4812943851490437	adrenocortical cancer
TCGA-OR-A5LS-01	1.507512661726596	-0.7647859241058943	-1.507512661726596	adrenocortical cancer
TCGA-OR-A5LT-01	1.5265132160362085	-0.8629458687601457	-1.5265132160362085	adrenocortical cancer
TCGA-OU-A5PI-01	1.5315305803186794	-0.8103775638060279	-1.5315305803186794	adrenocortical cancer
TCGA-P6-A5OF-01	1.5425669847410217	-1.0489073781747627	-1.5425669847410217	adrenocortical cancer
TCGA-P6-A5OG-01	1.5661658449715938	-0.393330292273139	-1.5661658449715938	adrenocortical cancer
TCGA-PA-A5YG-01	1.5640729479430902	-1.1089283968865222	-1.5640729479430902	adrenocortical cancer
TCGA-PK-A5H8-01	1.5192461754995819	-0.9397684891960745	-1.5192461754995819	adrenocortical cancer
TCGA-PK-A5H9-01	1.5914994440168198	-1.0664477954656546	-1.5914994440168198	adrenocortical cancer
TCGA-PK-A5HA-01	1.5841540112870043	-0.8548778131181799	-1.5841540112870043	adrenocortical cancer
TCGA-PK-A5HB-01	1.4612769824481586	-0.9086488525163324	-1.4612769824481586	adrenocortical cancer
TCGA-2F-A9KO-01	1.5733508685758206	-0.7517947957938019	-1.5733508685758206	bladder urothelial carcinoma
TCGA-2F-A9KP-01	1.6900954177912246	-1.2029123384787903	-1.6900954177912246	bladder urothelial carcinoma
TCGA-2F-A9KQ-01	1.6263520441099317	-1.4701804321294765	-1.6263520441099317	bladder urothelial carcinoma
TCGA-2F-A9KR-01	1.6197342472531107	-1.095342835067198	-1.6197342472531107	bladder urothelial carcinoma
TCGA-2F-A9KT-01	1.6050912802741992	-1.0731820810908033	-1.6050912802741992	bladder urothelial carcinoma
TCGA-2F-A9KW-01	1.713461074552704	-1.242844299903175	-1.713461074552704	bladder urothelial carcinoma
TCGA-4Z-AA7M-01	1.5438477743035008	-1.200795162294453	-1.5438477743035008	bladder urothelial carcinoma
TCGA-4Z-AA7N-01	1.7674350539051695	-1.4591694990700392	-1.7674350539051695	bladder urothelial carcinoma
TCGA-4Z-AA7O-01	1.5865532352732352	-0.9956427495255569	-1.5865532352732352	bladder urothelial carcinoma
TCGA-4Z-AA7Q-01	1.3636803803958895	-1.0597196432241802	-1.3636803803958895	bladder urothelial carcinoma
TCGA-4Z-AA7R-01	1.6540323069789409	-1.1818530569254948	-1.6540323069789409	bladder urothelial carcinoma
TCGA-4Z-AA7S-01	1.6707045120745052	-1.4264326386820523	-1.6707045120745052	bladder urothelial carcinoma
TCGA-4Z-AA7W-01	1.6149082604986622	-1.1558324219640839	-1.6149082604986622	bladder urothelial carcinoma
TCGA-4Z-AA7Y-01	1.5849036046632836	-1.7150877169344378	-1.5849036046632836	bladder urothelial carcinoma
TCGA-4Z-AA80-01	1.6187712872337006	-1.1719730684630363	-1.6187712872337006	bladder urothelial carcinoma
TCGA-4Z-AA81-01	1.6689156833973984	-1.172221639055552	-1.6689156833973984	bladder urothelial carcinoma
TCGA-4Z-AA82-01	1.565340274633146	-0.9611048781376652	-1.565340274633146	bladder urothelial carcinoma
TCGA-4Z-AA83-01	1.4069099159576597	-1.1068048680979985	-1.4069099159576597	bladder urothelial carcinoma
TCGA-4Z-AA84-01	1.613596420576419	-1.3454103735039076	-1.613596420576419	bladder urothelial carcinoma
TCGA-4Z-AA86-01	1.7334044890048812	-1.4058272831674343	-1.7334044890048812	bladder urothelial carcinoma
TCGA-4Z-AA87-01	1.578141377572595	-1.068501640711887	-1.578141377572595	bladder urothelial carcinoma
TCGA-4Z-AA89-01	1.5461554708461198	-1.2287927042807492	-1.5461554708461198	bladder urothelial carcinoma
TCGA-5N-A9KI-01	1.5538236714222915	-1.361487407979836	-1.5538236714222915	bladder urothelial carcinoma
TCGA-5N-A9KM-01	1.4714826773978578	-1.4865512889651555	-1.4714826773978578	bladder urothelial carcinoma
TCGA-BL-A0C8-01	1.5808694427471948	-0.8877173074507976	-1.5808694427471948	bladder urothelial carcinoma
TCGA-BL-A13I-01	1.6151194809738216	-0.9214424042690218	-1.6151194809738216	bladder urothelial carcinoma
TCGA-BL-A13J-01	1.7044390073654552	-1.4028085465142788	-1.7044390073654552	bladder urothelial carcinoma
TCGA-BL-A13J-11	1.4598609089172152	-1.229328702311728	-1.4598609089172152	bladder urothelial carcinoma
TCGA-BL-A3JM-01	1.622464590421484	-1.2960619734438252	-1.622464590421484	bladder urothelial carcinoma
TCGA-BL-A5ZZ-01	1.7965452928013135	-1.2868280776216225	-1.7965452928013135	bladder urothelial carcinoma
TCGA-BT-A0S7-01	1.561528580374549	-0.8957159735947131	-1.561528580374549	bladder urothelial carcinoma
TCGA-BT-A0YX-01	1.5236891001976884	-0.8486288867580576	-1.5236891001976884	bladder urothelial carcinoma
TCGA-BT-A20J-01	1.4695479180561573	-1.094785082110086	-1.4695479180561573	bladder urothelial carcinoma
TCGA-BT-A20N-01	1.637222544537087	-0.9093767549467553	-1.637222544537087	bladder urothelial carcinoma
TCGA-BT-A20N-11	1.5036129109229954	-1.096723740810543	-1.5036129109229954	bladder urothelial carcinoma
TCGA-BT-A20O-01	1.734742898969376	-1.1443454595182663	-1.734742898969376	bladder urothelial carcinoma
TCGA-BT-A20P-01	1.6293125857667905	-1.1527525798847216	-1.6293125857667905	bladder urothelial carcinoma
TCGA-BT-A20Q-01	1.661060841645528	-1.4806779132745627	-1.661060841645528	bladder urothelial carcinoma
TCGA-BT-A20Q-11	1.5287901272495077	-1.158001476983769	-1.5287901272495077	bladder urothelial carcinoma
TCGA-BT-A20R-01	1.5761191899108464	-1.3398811705312144	-1.5761191899108464	bladder urothelial carcinoma
TCGA-BT-A20R-11	1.488889708069313	-1.2637120497276972	-1.488889708069313	bladder urothelial carcinoma
TCGA-BT-A20T-01	1.5798921577447937	-0.8183917595209722	-1.5798921577447937	bladder urothelial carcinoma
TCGA-BT-A20U-01	1.5814401532285856	-0.9241723151279468	-1.5814401532285856	bladder urothelial carcinoma
TCGA-BT-A20U-11	1.542263186814533	-1.0310423312253303	-1.542263186814533	bladder urothelial carcinoma
TCGA-BT-A20V-01	1.412061210634235	-0.992822159821877	-1.412061210634235	bladder urothelial carcinoma
TCGA-BT-A20W-01	1.6915700800864621	-1.0110450242277291	-1.6915700800864621	bladder urothelial carcinoma
TCGA-BT-A20W-11	1.7186502707191371	-1.152159842573441	-1.7186502707191371	bladder urothelial carcinoma
TCGA-BT-A20X-01	1.6643984069084121	-1.0674340973666654	-1.6643984069084121	bladder urothelial carcinoma
TCGA-BT-A2LA-01	1.4325298704496086	-1.241716383716405	-1.4325298704496086	bladder urothelial carcinoma
TCGA-BT-A2LA-11	1.5643394811044145	-1.355613522886809	-1.5643394811044145	bladder urothelial carcinoma
TCGA-BT-A2LB-01	1.570272270318974	-1.2733513813958774	-1.570272270318974	bladder urothelial carcinoma
TCGA-BT-A2LB-11	1.5415664626650132	-1.0652075036136501	-1.5415664626650132	bladder urothelial carcinoma
TCGA-BT-A2LD-01	1.617515819874549	-1.3133243659785565	-1.617515819874549	bladder urothelial carcinoma
TCGA-BT-A3PH-01	1.572180888994459	-1.6113489650527242	-1.572180888994459	bladder urothelial carcinoma
TCGA-BT-A3PJ-01	1.7034484244249222	-1.1284804720861599	-1.7034484244249222	bladder urothelial carcinoma
TCGA-BT-A3PK-01	1.6119260324619717	-0.993334091294234	-1.6119260324619717	bladder urothelial carcinoma
TCGA-BT-A42C-01	1.6304601879332086	-1.6471900060223053	-1.6304601879332086	bladder urothelial carcinoma
TCGA-BT-A42E-01	1.4063028010047598	-0.9142826949153943	-1.4063028010047598	bladder urothelial carcinoma
TCGA-BT-A42F-01	1.6275106588077146	-1.2659761847882296	-1.6275106588077146	bladder urothelial carcinoma
TCGA-C4-A0EZ-01	1.568024308196961	-1.1653214361078537	-1.568024308196961	bladder urothelial carcinoma
TCGA-C4-A0F0-01	1.659091733214571	-1.016914513526034	-1.659091733214571	bladder urothelial carcinoma
TCGA-C4-A0F1-01	1.575069558064798	-0.8316444539005259	-1.575069558064798	bladder urothelial carcinoma
TCGA-C4-A0F6-01	1.691182204446051	-1.3486398615706963	-1.691182204446051	bladder urothelial carcinoma
TCGA-C4-A0F7-01	1.473345650801221	-0.7751177617991074	-1.473345650801221	bladder urothelial carcinoma
TCGA-CF-A1HR-01	1.6071038863685083	-1.3645087446015045	-1.6071038863685083	bladder urothelial carcinoma
TCGA-CF-A1HS-01	1.6611295275246691	-1.190998529168631	-1.6611295275246691	bladder urothelial carcinoma
TCGA-CF-A27C-01	1.5560447729423605	-1.2623552579673643	-1.5560447729423605	bladder urothelial carcinoma
TCGA-CF-A3MF-01	1.278618760204699	-0.8292702860256183	-1.278618760204699	bladder urothelial carcinoma
TCGA-CF-A3MG-01	1.4577929886420522	-1.4058962164493596	-1.4577929886420522	bladder urothelial carcinoma
TCGA-CF-A3MH-01	1.365516016287898	-1.200038212105291	-1.365516016287898	bladder urothelial carcinoma
TCGA-CF-A3MI-01	1.636291298211789	-1.2503795173230199	-1.636291298211789	bladder urothelial carcinoma
TCGA-CF-A47S-01	1.3105457777528728	-0.6667164792558403	-1.3105457777528728	bladder urothelial carcinoma
TCGA-CF-A47T-01	1.3839242430274654	-0.2733223642648425	-1.3839242430274654	bladder urothelial carcinoma
TCGA-CF-A47V-01	1.4249160753860421	-0.776156909867713	-1.4249160753860421	bladder urothelial carcinoma
TCGA-CF-A47W-01	1.4745568434246676	-0.7354359052747715	-1.4745568434246676	bladder urothelial carcinoma
TCGA-CF-A47X-01	1.4585647965686692	-1.0687828271125668	-1.4585647965686692	bladder urothelial carcinoma
TCGA-CF-A47Y-01	1.5183891906601916	-1.0401687206567234	-1.5183891906601916	bladder urothelial carcinoma
TCGA-CF-A5U8-01	1.4009199781468609	-0.7556837299410022	-1.4009199781468609	bladder urothelial carcinoma
TCGA-CF-A5UA-01	1.3102630742677475	-0.4015412416132269	-1.3102630742677475	bladder urothelial carcinoma
TCGA-CF-A7I0-01	1.6386670983743483	-1.2288651871241247	-1.6386670983743483	bladder urothelial carcinoma
TCGA-CF-A8HX-01	1.2204241726163638	-0.978655441899954	-1.2204241726163638	bladder urothelial carcinoma
TCGA-CF-A8HY-01	1.4136719273010003	-0.7988848710692855	-1.4136719273010003	bladder urothelial carcinoma
TCGA-CF-A9FF-01	1.5400924332756496	-1.5331586964308939	-1.5400924332756496	bladder urothelial carcinoma
TCGA-CF-A9FH-01	1.5601632489268775	-1.3946005142778217	-1.5601632489268775	bladder urothelial carcinoma
TCGA-CF-A9FL-01	1.6559802249646216	-0.8255610392010211	-1.6559802249646216	bladder urothelial carcinoma
TCGA-CF-A9FM-01	1.5411178021025909	-1.0305161548129225	-1.5411178021025909	bladder urothelial carcinoma
TCGA-CU-A0YN-01	1.5802526391524423	-1.1391163625481424	-1.5802526391524423	bladder urothelial carcinoma
TCGA-CU-A0YN-11	1.6133390516001214	-1.2470152936974888	-1.6133390516001214	bladder urothelial carcinoma
TCGA-CU-A0YO-01	1.6309960960787355	-1.1799800543798775	-1.6309960960787355	bladder urothelial carcinoma
TCGA-CU-A0YR-01	1.526125511403261	-0.8132476755180007	-1.526125511403261	bladder urothelial carcinoma
TCGA-CU-A0YR-11	1.6004404261838152	-1.396417295928327	-1.6004404261838152	bladder urothelial carcinoma
TCGA-CU-A3KJ-01	1.6189714073494534	-0.9954218394914764	-1.6189714073494534	bladder urothelial carcinoma
TCGA-CU-A3QU-01	1.650089262117262	-1.3020444745425013	-1.650089262117262	bladder urothelial carcinoma
TCGA-CU-A3YL-01	1.5553682170231538	-1.053771935996931	-1.5553682170231538	bladder urothelial carcinoma
TCGA-CU-A5W6-01	1.5598644365997767	-1.0678027941977626	-1.5598644365997767	bladder urothelial carcinoma
TCGA-CU-A72E-01	1.6196931888897779	-1.2393029582782582	-1.6196931888897779	bladder urothelial carcinoma
TCGA-DK-A1A3-01	1.3167805771476293	-0.8767989676647278	-1.3167805771476293	bladder urothelial carcinoma
TCGA-DK-A1A5-01	1.6600547946930302	-1.3966622434556162	-1.6600547946930302	bladder urothelial carcinoma
TCGA-DK-A1A6-01	1.7460633445703952	-1.3028104359168144	-1.7460633445703952	bladder urothelial carcinoma
TCGA-DK-A1A7-01	1.534750753924738	-0.607975844429288	-1.534750753924738	bladder urothelial carcinoma
TCGA-DK-A1AA-01	1.678675297637589	-1.3633518293210574	-1.678675297637589	bladder urothelial carcinoma
TCGA-DK-A1AB-01	1.4750936439797813	-1.1081229586278585	-1.4750936439797813	bladder urothelial carcinoma
TCGA-DK-A1AC-01	1.6616312717955708	-1.3953944044956208	-1.6616312717955708	bladder urothelial carcinoma
TCGA-DK-A1AD-01	1.6140760380732193	-1.4866054176305137	-1.6140760380732193	bladder urothelial carcinoma
TCGA-DK-A1AE-01	1.640297841896163	-0.9666410478169771	-1.640297841896163	bladder urothelial carcinoma
TCGA-DK-A1AF-01	1.6512391085147184	-1.0316121768847424	-1.6512391085147184	bladder urothelial carcinoma
TCGA-DK-A1AG-01	1.6436688637693444	-1.270912537235518	-1.6436688637693444	bladder urothelial carcinoma
TCGA-DK-A2HX-01	1.5978101487216294	-1.1916042291750986	-1.5978101487216294	bladder urothelial carcinoma
TCGA-DK-A2I1-01	1.683031421401333	-1.2292351910517478	-1.683031421401333	bladder urothelial carcinoma
TCGA-DK-A2I2-01	1.5911038504163815	-0.922374219561463	-1.5911038504163815	bladder urothelial carcinoma
TCGA-DK-A2I4-01	1.676705198621925	-1.0610112021983726	-1.676705198621925	bladder urothelial carcinoma
TCGA-DK-A2I6-01	1.6479749654740035	-1.1726367198532592	-1.6479749654740035	bladder urothelial carcinoma
TCGA-DK-A3IK-01	1.4910608295201164	-1.1525175149137274	-1.4910608295201164	bladder urothelial carcinoma
TCGA-DK-A3IL-01	1.6731742695510912	-1.0637949257503196	-1.6731742695510912	bladder urothelial carcinoma
TCGA-DK-A3IM-01	1.5476066464917835	-0.9298778972635884	-1.5476066464917835	bladder urothelial carcinoma
TCGA-DK-A3IN-01	1.6084685187350047	-0.9426590501998289	-1.6084685187350047	bladder urothelial carcinoma
TCGA-DK-A3IQ-01	1.6388267867913329	-1.1508504503093813	-1.6388267867913329	bladder urothelial carcinoma
TCGA-DK-A3IS-01	1.655866257976113	-1.0401013172190903	-1.655866257976113	bladder urothelial carcinoma
TCGA-DK-A3IT-01	1.6642231365738678	-1.5427213630140777	-1.6642231365738678	bladder urothelial carcinoma
TCGA-DK-A3IU-01	1.7239860940359089	-1.3094871308175167	-1.7239860940359089	bladder urothelial carcinoma
TCGA-DK-A3IV-01	1.6186786758102305	-1.1582028828754631	-1.6186786758102305	bladder urothelial carcinoma
TCGA-DK-A3WW-01	1.6372075439900318	-1.1199147425521656	-1.6372075439900318	bladder urothelial carcinoma
TCGA-DK-A3WX-01	1.7108643017253409	-1.127017730791647	-1.7108643017253409	bladder urothelial carcinoma
TCGA-DK-A3WY-01	1.7261507771358982	-1.3010371036878468	-1.7261507771358982	bladder urothelial carcinoma
TCGA-DK-A3X1-01	1.6290261538836517	-1.0823369337838316	-1.6290261538836517	bladder urothelial carcinoma
TCGA-DK-A3X2-01	1.5823880466897102	-1.2974722564734316	-1.5823880466897102	bladder urothelial carcinoma
TCGA-DK-A6AV-01	1.5273830393106962	-1.0052123958487968	-1.5273830393106962	bladder urothelial carcinoma
TCGA-DK-A6AW-01	1.1406955756273294	0.14042289548194806	-1.1406955756273294	bladder urothelial carcinoma
TCGA-DK-A6B0-01	1.4825307615568888	-0.9189781187924431	-1.4825307615568888	bladder urothelial carcinoma
TCGA-DK-A6B1-01	1.7078450031934915	-1.3325387997506875	-1.7078450031934915	bladder urothelial carcinoma
TCGA-DK-A6B2-01	1.6444885114423484	-1.0277349942789293	-1.6444885114423484	bladder urothelial carcinoma
TCGA-DK-A6B5-01	1.512426605671503	-0.8571573721592393	-1.512426605671503	bladder urothelial carcinoma
TCGA-DK-A6B6-01	1.6587609484387364	-1.1317999673456955	-1.6587609484387364	bladder urothelial carcinoma
TCGA-DK-AA6L-01	1.3551933287178601	-1.1793852216741436	-1.3551933287178601	bladder urothelial carcinoma
TCGA-DK-AA6M-01	1.6781381253092478	-1.360913253069715	-1.6781381253092478	bladder urothelial carcinoma
TCGA-DK-AA6P-01	1.6065815556985812	-1.0560257148644403	-1.6065815556985812	bladder urothelial carcinoma
TCGA-DK-AA6Q-01	1.535076362889913	-0.6068536399246203	-1.535076362889913	bladder urothelial carcinoma
TCGA-DK-AA6R-01	1.7205555790530098	-1.175513462770668	-1.7205555790530098	bladder urothelial carcinoma
TCGA-DK-AA6S-01	1.0914744357327124	-1.053057785555212	-1.0914744357327124	bladder urothelial carcinoma
TCGA-DK-AA6T-01	1.5539431669189554	-0.8229616369812023	-1.5539431669189554	bladder urothelial carcinoma
TCGA-DK-AA6U-01	1.7986114000104922	-1.268216860437287	-1.7986114000104922	bladder urothelial carcinoma
TCGA-DK-AA6W-01	1.4327032020675388	-0.8119521563072352	-1.4327032020675388	bladder urothelial carcinoma
TCGA-DK-AA6X-01	1.6595989969465084	-1.5188839967846226	-1.6595989969465084	bladder urothelial carcinoma
TCGA-DK-AA71-01	1.5433860104150927	-0.9122845849883433	-1.5433860104150927	bladder urothelial carcinoma
TCGA-DK-AA74-01	1.3570480296409109	-0.9724992692820372	-1.3570480296409109	bladder urothelial carcinoma
TCGA-DK-AA75-01	1.5194324506548607	-1.0427161599211867	-1.5194324506548607	bladder urothelial carcinoma
TCGA-DK-AA76-01	1.586169720938625	-1.4037200575770274	-1.586169720938625	bladder urothelial carcinoma
TCGA-DK-AA77-01	1.654431968872438	-1.2331149793498903	-1.654431968872438	bladder urothelial carcinoma
TCGA-E5-A2PC-01	1.624099096887113	-1.30722633935739	-1.624099096887113	bladder urothelial carcinoma
TCGA-E5-A4TZ-01	1.513058380135964	-1.227206939230242	-1.513058380135964	bladder urothelial carcinoma
TCGA-E5-A4U1-01	1.3164415365558815	-0.8308246463157202	-1.3164415365558815	bladder urothelial carcinoma
TCGA-E7-A3X6-01	1.6528449271756047	-1.4072199370440146	-1.6528449271756047	bladder urothelial carcinoma
TCGA-E7-A3Y1-01	1.6043507256758103	-1.1705231793145614	-1.6043507256758103	bladder urothelial carcinoma
TCGA-E7-A4IJ-01	1.6344840184959493	-0.7408274268151298	-1.6344840184959493	bladder urothelial carcinoma
TCGA-E7-A4XJ-01	1.5665350653537633	-1.1234187750061393	-1.5665350653537633	bladder urothelial carcinoma
TCGA-E7-A519-01	1.3228779257014058	-0.6645286885125999	-1.3228779257014058	bladder urothelial carcinoma
TCGA-E7-A541-01	1.6781149748116118	-1.3389049311113093	-1.6781149748116118	bladder urothelial carcinoma
TCGA-E7-A5KE-01	1.640776290820757	-1.2284976632570996	-1.640776290820757	bladder urothelial carcinoma
TCGA-E7-A5KF-01	1.4359610713962587	-1.2000317680165395	-1.4359610713962587	bladder urothelial carcinoma
TCGA-E7-A677-01	1.434567564347049	-0.9960506824326227	-1.434567564347049	bladder urothelial carcinoma
TCGA-E7-A678-01	1.554040246725385	-0.948284813948817	-1.554040246725385	bladder urothelial carcinoma
TCGA-E7-A6MD-01	1.6917004709606132	-1.1435156401350495	-1.6917004709606132	bladder urothelial carcinoma
TCGA-E7-A6ME-01	1.43818573138764	-1.1038853695799755	-1.43818573138764	bladder urothelial carcinoma
TCGA-E7-A6MF-01	1.5479238003380376	-1.3281849324194082	-1.5479238003380376	bladder urothelial carcinoma
TCGA-E7-A7DU-01	1.5040113597737232	-1.0873631192556834	-1.5040113597737232	bladder urothelial carcinoma
TCGA-E7-A7DV-01	1.6610167701918641	-1.1378342001918484	-1.6610167701918641	bladder urothelial carcinoma
TCGA-E7-A7PW-01	1.4761242968784276	-0.7967472143853946	-1.4761242968784276	bladder urothelial carcinoma
TCGA-E7-A7XN-01	1.6530449967887924	-1.1016920036871787	-1.6530449967887924	bladder urothelial carcinoma
TCGA-E7-A85H-01	1.6002333004852485	-1.1351729824080872	-1.6002333004852485	bladder urothelial carcinoma
TCGA-E7-A8O7-01	1.4276491935924072	-0.8385349361896387	-1.4276491935924072	bladder urothelial carcinoma
TCGA-E7-A8O8-01	1.5361446818690112	-0.882270961588221	-1.5361446818690112	bladder urothelial carcinoma
TCGA-E7-A97P-01	1.7254479891786194	-1.4269736917870244	-1.7254479891786194	bladder urothelial carcinoma
