lineage	n	pearson_r	thyroid_anchor_corr	p	n_cox	events	HR	p_cox	concordance	allograft_r	il6_jak_stat3_r	log_HR	abbr
liver hepatocellular carcinoma	426	0.4999829726166256	0.4528371312289755	2.518355451165469e-28	420.0	164.0	1.0801023610415832	0.1826178361692131	0.520311659020427	0.8519401620042588	0.8280908328413423	0.07705581538711377	Liver Hepatocellular
lung adenocarcinoma	576	0.5385499935880325	0.5294104312661694	1.241800046409695e-44	563.0	208.0	1.109754777947959	0.0466851777291168	0.5405081835509837	0.5340054128048628	0.4234227513626203	0.10413907015005086	Lung Adca
lung squamous cell carcinoma	556	0.1345172786191456	0.1099317934318556	0.0014768578511786	548.0	244.0	1.1217823295435152	0.0146180953657965	0.5399752113303717	0.8355301106857423	0.7520963462632165	0.11491878609026521	Lung Squamous Cell
mesothelioma	87	0.0688609997463278	0.2688816796675657	0.5262402982814527	85.0	73.0	1.207641712331544	0.020821517248742	0.5962996663633606	0.6485747612451702	0.6610228184005248	0.18866945976737096	Mesothelioma
ovarian serous cystadenocarcinoma	311	0.3472295340037677	0.3406574248830815	3.058894585073034e-10	310.0	185.0	1.0050089386828378	0.9381998020249676	0.5057698771333607	0.7166722717370015	0.6942328414036374	0.004996435683264717	Ovarian Serous Cystadenocarcinoma
pancreatic adenocarcinoma	183	0.146849640435307	0.0505588495609878	0.0472892386692685	182.0	95.0	1.1845918771102248	0.0050364117143926	0.5560638406018095	0.8226367360365937	0.8088828491536975	0.16939830776328987	Pancreatic Adca
pheochromocytoma & paraganglioma	187	0.3378236542805276	0.2938350357301466	2.262378992106296e-06						0.7077046454695936	0.7697653591916582		Pheochromocytoma & Paraganglioma
prostate adenocarcinoma	550	0.034736218984189	0.0900787711093861	0.4162016988793506	550.0	10.0	1.0946403093552468	0.7248352564525355	0.4682723483094025	0.8544101453077682	0.8165325745629813	0.09042582469849741	Prostate Adca
rectum adenocarcinoma	171	0.2417636490116678	0.2058319533443732	0.0014441683196141	164.0	27.0	1.010602671429881	0.9539223908223016	0.5267175572519084	0.6729090167278662	0.6417404660762714	0.01054685728191516	Rectum Adca
sarcoma	265	0.3759036695835712	0.2541617766543288	2.5523479878879545e-10	265.0	99.0	0.8330778483249618	0.0143470274058841	0.5931911088400613	0.7331078554017978	0.7121803221604612	-0.1826281858098726	Sarcoma
skin cutaneous melanoma	474	0.1207052262951312	0.1371805970086186	0.0085228077710478	457.0	215.0	0.7764037678165963	3.836211297654954e-07	0.6258683896056549	0.8329213082751036	0.8340208430461441	-0.2530825747668107	Skin Cutaneous Melanoma
stomach adenocarcinoma	450	0.3226071188551298	0.3367885602727257	2.3348112743813922e-12	422.0	165.0	0.9919931387486076	0.8990762080821786	0.483050038197097	0.635452751207002	0.5341937161829606	-0.00803908830524884	Stomach Adca
testicular germ cell tumor	156	0.5008488294447352	0.52925352847276	2.7645873225458162e-11						0.7341688925416067	0.8556495076733416		Testicular Germ Cell Tumor
thymoma	122	0.3451149037037861	0.2938427934611279	9.901892161980922e-05						0.6471229689942205	0.7325367373711672		Thymoma
thyroid carcinoma	572	0.6890662468164717	0.6799948293516113	9.42676818461392e-82	571.0	20.0	0.8009009015856182	0.0810439186362152	0.5641025641025641	0.8673613913250448	0.8534303283021889	-0.22201805793754137	Thyroid
uterine carcinosarcoma	57	0.2634134193480562	0.2548612911589318	0.0477276515558903	56.0	35.0	0.962663945945664	0.8328625695962807	0.5243147656940761	0.5950220378532538	0.5838086595799844	-0.038050893875252276	Uterine Carcinosarcoma
uterine corpus endometrioid carcinoma	567	0.1454379073364728	0.1378867367271289	0.000512802698681	553.0	91.0	1.0531483375948505	0.5607939042795091	0.5481371690359091	0.643223231550012	0.593988416824728	0.05178409464050754	Uterine Corpus Endometrioid
uveal melanoma	80	0.4886123544840458	0.5024613220815752	4.259841841907396e-06	80.0	23.0	1.6219705303924452	0.0004240915628777	0.6893491124260355	0.7542662916080638	0.8050164088138773	0.48364178684286974	Uveal Melanoma
