gene	beta_subtype	pvalue_OLS	pvalue_LMM	fdr_OLS	fdr_LMM	status
PGBD5	-0.614116	0.00209561	1.30752e-05	0.00550282	3.44146e-05	same
PGC	-0.00537267	0.0158801	0.741718	0.0295308	0.789449	lost_with_LMM
PGD	-0.166272	0.219104	5.6817e-06	0.271418	1.5607e-05	gained_with_LMM
PGF	-1.57692	7.54635e-14	2.16024e-29	9.55327e-13	4.08006e-28	same
PGGT1B	-0.281113	0.520905	3.18544e-13	0.576218	1.79076e-12	gained_with_LMM
PGK1	-0.138834	0.117271	0.00775613	0.157	0.0136783	gained_with_LMM
PGK2	0.00507103	0.0196443	0.220025	0.0343591	0.283287	lost_with_LMM
PGLS	-0.0837485	0.211093	0.206647	0.262688	0.268186	nonsig_both
PGLYRP1	-0.00909299	0.0133694	0.446607	0.0261974	0.52053	lost_with_LMM
PGLYRP4	0.0128639	0.0241478	0.326737	0.0402922	0.399162	lost_with_LMM
PGM1	0.171763	0.000299047	0.00269665	0.000973814	0.00514379	same
PGM3	-0.128858	0.417358	0.00120595	0.476574	0.00242432	gained_with_LMM
PGM5	-0.0484204	0.871365	0.675217	0.893493	0.730824	nonsig_both
PGP	-0.5196	1.53599e-05	2.42179e-22	6.54292e-05	2.77759e-21	same
PGPEP1	0.024057	0.0139402	0.551336	0.0269551	0.619032	lost_with_LMM
PGR	0.963223	5.52409e-14	5.19083e-14	7.09289e-13	3.11716e-13	same
PGRMC1	0.0954507	0.00398376	0.0590496	0.00963442	0.0877279	lost_with_LMM
PGRMC2	0.230216	0.000150838	3.65249e-07	0.000524284	1.14207e-06	same
PGS1	-0.0605335	0.170229	0.135033	0.21788	0.184058	nonsig_both
PHACTR1	0.244842	0.00934998	0.00056643	0.0197366	0.0011934	same
PHACTR2	-0.0965392	0.205774	0.169976	0.257163	0.225313	nonsig_both
PHACTR4	-0.0544399	0.0833944	0.26174	0.116896	0.329674	nonsig_both
