split_name	fold_id	fusion_method	anchor_method	qk_method	anchor_weight	qk_weight	inner_AUPRC	inner_n	selection_status
repeated_stratified_5x5_internal	rs_03	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.5	0.5	0.5760620742910182	355	inner_oof_selected;split_rule
repeated_stratified_5x5_internal	rs_04	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.46408685730263044	360	inner_oof_selected
repeated_stratified_5x5_internal	rs_04	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5277901931489315	360	inner_oof_selected
repeated_stratified_5x5_internal	rs_04	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.4898052654312118	360	inner_oof_selected
repeated_stratified_5x5_internal	rs_04	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.5	0.5	0.5389729926894803	360	inner_oof_selected
repeated_stratified_5x5_internal	rs_04	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5277901931489315	360	inner_oof_selected;split_rule
repeated_stratified_5x5_internal	rs_05	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.5	0.5	0.4789163080574516	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_05	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5254158996402617	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_05	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.25	0.75	0.4519434946163815	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_05	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.25	0.75	0.4841549420529417	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_05	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5254158996402617	355	inner_oof_selected;split_rule
repeated_stratified_5x5_internal	rs_06	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.3725465472723777	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_06	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.4389080231026298	355	inner_oof_selected
