gene	log2FC_B_vs_A	cohen_d_B_vs_A	p_value	padj
AC017037.3	0.0009147737314553455	0.15721846099532555	0.4048790554767879	0.624106931734452
SLC39A7	0.08950937697692396	0.14065636313985058	0.4048832016185272	0.624106931734452
DIPK2B	-0.09361570952621978	-0.15104391439868356	0.4049210992143049	0.6241467438139656
AL390856.1	-0.0007900111491848085	-0.12955251628354697	0.40493557728499	0.6241504556613944
SNORD42B	0.0008900005853851147	0.15109704538929225	0.40496091560189634	0.6241668342442096
AL353689.3	0.006194305883675689	0.169345262600541	0.40498236787928876	0.6241668342442096
CCDC127	0.047601124951522245	0.1477347022911575	0.40498241423607584	0.6241668342442096
URAD	-0.028202591896937045	-0.1182860834060614	0.4050597640595459	0.6242674413400643
AC123912.5	-0.004957918083625699	-0.12342783592294714	0.4050890971830201	0.6242940425711139
HMX2	-0.00820681597947251	-0.11901900398216547	0.40511143554719287	0.6243098627203364
HMGXB4	0.06462907796552386	0.13303202431607844	0.4051345207361009	0.6243125264907843
SOD1P2	-0.0004991697147642654	-0.13026848403136965	0.40513731027153305	0.6243125264907843
KRT18P63	-0.010498814027071687	-0.1531033998447595	0.40517366959830897	0.6243499501936395
EIF2S2P1	-0.002573481004406304	-0.14108524031902972	0.40519145920701444	0.6243587576225134
PCDHGB3	0.12482355469192385	0.14955739166928356	0.405277569204723	0.6244728361485528
AC096647.1	-0.054124043267143845	-0.1351970809973953	0.40530925383579547	0.6245030489289002
RPL5P10	0.001751891486554304	0.14696262111696193	0.40533107494642556	0.6245180625872895
AC105245.1	0.0014324398711424262	0.14215841726626252	0.4053757154981526	0.6245605113797387
SPANXN3	0.0010068774525333886	0.1695538070020806	0.4053827813028088	0.6245605113797387
BRD7P5	0.003211805475380594	0.14320102354035144	0.40542719061635	0.6245972442263865
AC010729.1	-0.0033407044972224124	-0.12859969760082754	0.4054493396441324	0.6245972442263865
IGHV3-64	0.13927832106504906	0.15609333976630893	0.4054544868498913	0.6245972442263865
CAPRIN2	0.07116185772586192	0.1417870395299539	0.40545493790859477	0.6245972442263865
AC074254.1	-0.000678223372556598	-0.13528541807072522	0.4055029356631468	0.6246525754737104
AC090425.2	-0.020890437291917835	-0.13583707881206597	0.40552578305051834	0.6246644481831753
AP001979.1	-0.0033311154110112415	-0.14306999628956146	0.40554411347305075	0.6246644481831753
RNU6-310P	0.0010782801155883458	0.1536571880853396	0.40555338315650324	0.6246644481831753
AC008708.2	-0.006538998975514432	-0.12564215555011993	0.4055617686342837	0.6246644481831753
VPS13B	-0.09258771806255783	-0.14144706954193711	0.40557104258865484	0.6246644481831753
AC012531.1	0.004549053949091022	0.15172298422593378	0.4055981637005294	0.6246876140913799
MIR126	-0.017164411980814365	-0.13662797432999574	0.40561326863847746	0.6246922722946244
AC100823.1	-0.007184885951219987	-0.1514704293991345	0.40567581201411956	0.6247542299033082
BNIP3P39	-0.009625181188220422	-0.15485473362566513	0.4056776610719824	0.6247542299033082
AC092296.1	-0.005224294293364344	-0.13982250146678923	0.4058050238103761	0.6249317605127716
AL390026.1	0.003726360998577632	0.14256364688619813	0.40586381883053596	0.6249455401482997
AL137222.1	-0.0021919696892015155	-0.14687808431024163	0.40586927057593125	0.6249455401482997
CATSPER2P1	-0.06061792112649811	-0.1517366632411712	0.4058705440026105	0.6249455401482997
DYNLL1P7	0.00219008760384091	0.1526856312539745	0.4058811910309399	0.6249455401482997
AC245028.2	0.0021761229642626063	0.1588615071429968	0.4058874419661368	0.6249455401482997
POM121L3P	0.0023518746685311977	0.15235821531123153	0.4058962447903601	0.6249455401482997
AP002982.1	0.00647979059591023	0.1371358842313134	0.4058985691907098	0.6249455401482997
AC007953.2	0.0018570496462248084	0.14348417366946428	0.40593779818611714	0.6249873308721322
AP003400.5	-0.0011104033020807296	-0.120720172110587	0.40598704108738765	0.6250445361935781
RPS20P13	0.015577405847229983	0.13767206595737372	0.4060017431156262	0.6250485616794828
NT5C	-0.075858566152613	-0.14396267232316837	0.40601822611108357	0.6250553286820555
SLC44A5	-0.1959208553150169	-0.14143438110632173	0.40606148236627576	0.6251033108464317
TRAV2	0.02280241832388777	0.15527198779909204	0.4060776441669898	0.6251095813741132
AC100825.1	-0.0018582758009178216	-0.11822538990698714	0.40612076004673947	0.6251569972547114
AL161652.1	-0.0020263701972469987	-0.13739047918307593	0.40614337196235273	0.6251569972547114
ADI1P2	-0.0012782454833388036	-0.14281054132819387	0.40614471433103266	0.6251569972547114
AC022034.2	0.007335385312154184	0.1512569254227149	0.4061651788714526	0.625169888219481
TAS2R30	0.005105727352258116	0.14076207717012404	0.4061947739595657	0.625184313022022
AC112253.1	-0.002896925945812711	-0.1427948069143068	0.40619873042319615	0.625184313022022
SNRPCP16	-0.007038723509136695	-0.14226962976444807	0.4063813588933718	0.6254467826344579
AL137224.1	0.0017282197678601093	0.14889699303301562	0.40639417387259535	0.6254478906287434
SLC18A2	0.03897845572395625	0.16788305462885902	0.40640764845120625	0.6254500136621031
RBM17P4	0.004571689150374002	0.15023526325486233	0.40643844652730177	0.6254787961541962
AC009831.3	0.004407166514592081	0.14922449562404536	0.4064665100187165	0.6254901795725941
TATDN2P2	0.04885097391529947	0.14822262101813585	0.4064700352798718	0.6254901795725941
DUS1L	0.07060416827855587	0.14435726320052056	0.4065341134241535	0.6255547383271856
DNM2	-0.044632930325506415	-0.14261022599582024	0.4065361825573553	0.6255547383271856
OR6S1	-0.0021931650768785118	-0.1231748775112995	0.4065778625653902	0.6255955601685159
WAPL	0.06515520906826833	0.14763151831516585	0.40658690774000666	0.6255955601685159
AC095038.3	0.002293640813650054	0.14566538724395522	0.40660396497627616	0.6256029078303582
RNU6-999P	0.0013786287873810907	0.14819307804041978	0.406619432150763	0.6256029078303582
LINC01072	0.0011943462902374669	0.151337252827343	0.4066368042108163	0.6256029078303582
AL161457.2	-0.02505166247290863	-0.13869817618702662	0.4066400753803639	0.6256029078303582
PIP5K1P1	-0.003023886661965831	-0.1431459372882353	0.4067252486002002	0.6256994028679159
AC087894.2	0.0008003479472512688	0.16635772285384265	0.4067269967318777	0.6256994028679159
RNU6-674P	0.0026438054536653335	0.14440653083921967	0.4067699556645724	0.6257468742338451
GSTP1	-0.12117115606918283	-0.16129966267583945	0.40678813144784876	0.6257562192200056
NUDCD3	0.045848082192737394	0.15688614634182857	0.4068435391092275	0.6258224424502505
AL355596.2	0.008749685197785104	0.1531318572606285	0.40685538609372324	0.6258224424502505
RBM22P4	-0.0022645279486666805	-0.12995358702867496	0.40686971414164713	0.6258258659680156
AC025031.5	-0.011429205837244966	-0.14126162139390497	0.4068880834328011	0.625835505127709
AP001042.2	0.001005432757507502	0.14013295085611374	0.4069012048454461	0.6258370721799728
SMCO2	0.006262318899360707	0.15652041511207299	0.406915015836752	0.6258396997184665
SLX1A-SULT1A3	-0.002512970923750588	-0.13804204383540003	0.40696708530560516	0.6259011673032789
MIR3611	-0.0009034605291867199	-0.13720865835497364	0.40699087420566776	0.6259191379981349
AL135923.2	-0.0017213474669089215	-0.12566455986152633	0.40702336724084404	0.6259504934837558
YTHDF1	-0.05377890316727818	-0.148894295095113	0.40707392687699984	0.6259783497174544
AC034111.1	-0.015588021227095697	-0.14262144877211017	0.4070755057921341	0.6259783497174544
FRMD5	0.17624238097335487	0.15772160624155646	0.407077796683463	0.6259783497174544
AC090971.4	0.002870573347610454	0.15051941999875876	0.40711483983672186	0.6260166963869495
ANKRD34C	-0.005091961172302553	-0.13907697766484628	0.4071464624602535	0.6260467059257261
AL133335.2	-0.045766060251180546	-0.1428214599573358	0.40718599851176507	0.6260888813607054
AP002848.1	0.0020851828543713446	0.14205306266580758	0.407205019656537	0.6260995115205513
AC025576.3	-0.0032589814028610112	-0.1406727196766252	0.40721800967494454	0.6261008681444135
PCMTD1P2	0.0008856055101245254	0.15023626035009197	0.4072353568708648	0.6261089236828593
AC068688.1	0.0010182775696717678	0.16079900209052844	0.4072557753458784	0.6261217005770988
RN7SL156P	-0.0008011121035534162	-0.13541314646458055	0.407331875813988	0.6262088904126052
SNORA33	-0.04903761646413163	-0.14149497825987237	0.40733964788313676	0.6262088904126052
AC018695.5	-0.0012348458792752024	-0.12634963361505255	0.4073488166096036	0.6262088904126052
MIR4735	0.0006474586740382834	0.15401827853231767	0.40742957819249287	0.626314424266833
LINC02273	0.048077786761352576	0.16354767729980468	0.4074647363961242	0.626349850885255
FTH1P22	0.03897681632304481	0.15487402697124902	0.40748317929227607	0.6263509565491824
LINC01762	-0.005328780944151089	-0.13774511391709196	0.4074896807299722	0.6263509565491824
AL627422.1	-0.0017940475382018945	-0.13796175869004587	0.40751613650635643	0.6263694456894215
OR52K2	-0.0006994880804962484	-0.12393977154243767	0.4075259351158341	0.6263694456894215
LMF1-AS1	0.007785670768951675	0.1464618025955938	0.40762024293104826	0.6264824167065163
AC092745.3	0.0024662480570879757	0.1512693114292271	0.40764395848662904	0.6264824167065163
ICAM3	0.08694770274899866	0.15825375780073492	0.40764618025143706	0.6264824167065163
YBX2	-0.12597413810100355	-0.14682793630443142	0.4076495082244895	0.6264824167065163
AC006238.2	-0.00498483042089292	-0.14069403315470763	0.40768330484845616	0.6264824167065163
AGGF1	0.0428175962936983	0.14315706550584123	0.40768768500095454	0.6264824167065163
MEF2B	-0.02072973452278909	-0.15436243160835364	0.407692646714374	0.6264824167065163
BOD1L1	0.08873148457046032	0.14021339104619612	0.4076963564233468	0.6264824167065163
AL732366.2	0.002108578757870882	0.14299605545824337	0.4077312079633664	0.6265173534304116
SLC52A3	-0.08209578376378301	-0.14065266897277764	0.40777306530882945	0.626562939030599
LINC02800	0.0035985487176435436	0.15583746941969503	0.4077932309137142	0.626562939030599
MAP7D2	0.13813605429387266	0.15800266628711912	0.40781321025221584	0.626562939030599
AC010168.1	-0.013767354789344696	-0.13753697599656273	0.4078192610448871	0.626562939030599
C11orf54	-0.07732937100215498	-0.1429773302844706	0.40782145775351286	0.626562939030599
PRRT3-AS1	-0.0453855593512178	-0.15055204757794816	0.4078508756063158	0.6265771230612476
LCMT1-AS2	-0.01658715298997654	-0.13645493663034985	0.407854923753971	0.6265771230612476
CORO2B	-0.13774616454551758	-0.15256437946673146	0.40787869215141787	0.6265861331372155
ISCA1P3	0.003679501986509566	0.15886191604244915	0.4078978381476641	0.6265861331372155
ANXA2P3	-0.006580384813285052	-0.13211098996866605	0.40789917433396	0.6265861331372155
TBC1D4	0.13416730981976066	0.15306787495240276	0.4079092569459345	0.6265861331372155
TMEM33	0.05650801280930384	0.13597867077494313	0.40797481694615195	0.6266682239448229
AL353706.1	-0.0013009577992013758	-0.1337593130232533	0.4080284976712912	0.6267320633006636
OR10D4P	0.002400540465984052	0.13872466019806895	0.4080641691179067	0.6267682374210971
LINC02629	0.0010945739430171725	0.1553519565619239	0.40812099697610943	0.6268369037255433
PGAM1P8	0.051540002650259376	0.14927481569080464	0.4082022043758371	0.6269302005643416
SOX7	0.10182776979095154	0.14754979116129438	0.4082059881456824	0.6269302005643416
LIPA	0.0897085124878787	0.134500203505114	0.408248003717374	0.6269761076365159
AC003001.1	-0.002441411844784731	-0.12743175460217193	0.40828750225014565	0.6270181464973059
AC021678.2	0.007133234161632638	0.15868425744534184	0.4083545960719945	0.6271025604335493
AC093627.2	-0.007664523482835469	-0.13481209894114438	0.4083837695814708	0.6271287375668896
LINC02210-CRHR1	-0.005320333868848545	-0.11807926612426344	0.40840153207780405	0.6271373905055776
AC013565.2	-0.0012897398122686658	-0.12360399168670405	0.4084320981549854	0.6271657033998232
AL121985.3	-0.0030460832280112754	-0.1411274166955427	0.4084604503980787	0.627190615272591
AC025244.1	-0.0008212572646525006	-0.12166042639969611	0.40850431570281537	0.6272281520372849
NLRC3	0.08032012823293622	0.1532609148044118	0.40852287096581325	0.6272281520372849
AC074250.1	0.0008889508006683232	0.14985527707988353	0.40853927486694896	0.6272281520372849
FTH1P26	0.0016384134870256768	0.14703658482191306	0.40854418438404916	0.6272281520372849
AC093816.1	0.003982160037791359	0.14461048496645887	0.4085455438285825	0.6272281520372849
KCNE1B	-0.0058721909596544455	-0.14599672261298877	0.4085593426255755	0.6272307147971123
NSRP1P1	-0.008149603073390174	-0.13395023327388347	0.40860052862330526	0.6272753216850653
KIAA1614-AS1	-0.009167950218383875	-0.13664239434935763	0.40863867005544213	0.6273152521073763
ZNF408	-0.06241071031972778	-0.14941444292021694	0.40866509252725114	0.6273371905146555
LINC02429	-0.0014536908994229798	-0.12943817611221287	0.4087103573018437	0.6273880513680541
C21orf91-OT1	-0.0015900610572851743	-0.14193719994849752	0.40876326878888575	0.6274506468873804
NDUFA5P2	-0.0013608146539312452	-0.14023329534876797	0.40880065385178316	0.6274867407648501
KRTAP6-2	-0.001529087463182747	-0.1175879385176486	0.4088110517369186	0.6274867407648501
EGFL6	0.09280750668458793	0.15055177389031768	0.40885677615636384	0.6275382966317928
AL096870.10	0.011123582792613065	0.15146036218885348	0.4088753046065936	0.6275481086463125
FDPSP1	0.0026260096847969643	0.14487174004345382	0.40891105219427615	0.6275843474911172
RNU6-902P	0.0009761658876004754	0.15643706275000133	0.40893051957225696	0.6275845975384552
LENG9	0.08294289295292856	0.1451884773512244	0.40893548788571576	0.6275845975384552
WDR82	-0.06381936716280467	-0.14590546305246369	0.4089614428367415	0.6276058039687422
CMTM5	-0.011964545268276186	-0.1375631025133404	0.40898061417206416	0.627610360035384
AC025857.1	0.007192940012602674	0.16460767556609798	0.408999464585898	0.627610360035384
MYRIP	0.10927662373687896	0.14512079316254825	0.40900534352324674	0.627610360035384
AC116350.1	-0.0008199986416370928	-0.1214905105317703	0.40901295920002395	0.627610360035384
TRIM42	-0.0009191715521404453	-0.12345714424193958	0.40904940484868785	0.6276456732779901
KCTD11	-0.07523836131172601	-0.1444276834409032	0.409082990738949	0.6276456732779901
ARRDC4	0.1368579358179618	0.15260854097035698	0.40908434371423325	0.6276456732779901
RPL5P35	0.005574651286632131	0.14340283483990035	0.4090931417268467	0.6276456732779901
SLC25A6P5	0.00294385846464381	0.14662488801909088	0.4091158775178793	0.6276456732779901
AC010457.1	0.0057404610369097	0.1389447353702924	0.4091165159109988	0.6276456732779901
AL121950.1	0.0040445875204221295	0.14460430642110375	0.4091215248284592	0.6276456732779901
ANKRD2	0.0397717834373755	0.1506810214933009	0.4091330733278121	0.6276456732779901
FP475955.4	0.001664758271470976	0.1418750210034448	0.40915843113680767	0.6276481761873672
LYRM4	-0.06487982249426949	-0.14771060508866457	0.4091781711077038	0.6276481761873672
AL162727.1	0.007462629285878066	0.15386832887475718	0.4091819627967473	0.6276481761873672
AL139231.1	0.028444659994435184	0.1523280595371281	0.4091832553156683	0.6276481761873672
RPSAP25	0.0036497742515012987	0.15333215929315613	0.4092381971913616	0.6277021227613777
AC099340.1	0.00655901393120651	0.14207822936375247	0.40925243511595166	0.6277021227613777
AC091046.1	-0.0018326000130336412	-0.13636685424219994	0.4092548407282754	0.6277021227613777
AC025437.1	-0.0006568069833502863	-0.12873731023784393	0.4093289521955374	0.6277898829497978
AL359987.1	0.019357226063438936	0.15339843796362795	0.40934838616809543	0.6277898829497978
GNG5P1	0.0008624826836251913	0.1491743961426976	0.40935397963581593	0.6277898829497978
AC087071.1	-0.04708702533247522	-0.154299599649026	0.4093606208192499	0.6277898829497978
AC138409.1	-0.038750294324711915	-0.13366225378951876	0.40941170464777416	0.627849604360648
MMP7	-0.1476741254431655	-0.1397953945290335	0.40947008201735496	0.6278928067361376
FURIN	0.10042486842941045	0.15541294597773664	0.4094730435172627	0.6278928067361376
AC112236.1	0.00134933338837127	0.1484469118207861	0.4094763033312597	0.6278928067361376
PHBP3	0.0042341662458027784	0.14218579724422445	0.40951839016611025	0.6279387223899813
AP001042.3	0.0005392354488886451	0.15676155410915363	0.40957630306187814	0.6280089016347747
LINC01845	-0.0010259954553302041	-0.13269792115165696	0.40965082947263004	0.6280862193927101
AC087477.5	0.0015294476971241164	0.14913509610315215	0.4096771779619924	0.6280862193927101
LMLN-AS1	-0.002382612299535327	-0.139773314460185	0.40969762195846965	0.6280862193927101
AC022267.1	-0.0021377453779771677	-0.12882920834356046	0.4097005580643976	0.6280862193927101
AC110611.2	-0.03646880186235868	-0.14530963541822137	0.40971242391964546	0.6280862193927101
LINC00384	-0.00404442432006533	-0.13780380506660503	0.40971899040944576	0.6280862193927101
AL121904.1	0.0037304035625719306	0.1683370681533611	0.4097189963392693	0.6280862193927101
OTOR	-0.017140275584882722	-0.1506544884889878	0.40972389701947926	0.6280862193927101
AL445675.1	-0.001188883166239839	-0.13084109715043668	0.4097624707934432	0.6281247154552606
AC087239.1	-0.050076601393336084	-0.1462747057143672	0.40977330308605936	0.6281247154552606
AC234779.1	-0.0010387363449640796	-0.12503404350854244	0.40986254358526136	0.6282428856810959
TFG	0.056793058858256806	0.14269415847544933	0.40988586758283674	0.6282600141854957
OSTCP4	-0.004269003081575136	-0.1363104071985963	0.40992316997634365	0.6282985666799071
RN7SL581P	-0.0023322307820174007	-0.13717160215541493	0.40996663812721557	0.6283335569605707
AL121888.1	-0.002724641517665969	-0.13815183120438476	0.40997030055210026	0.6283335569605707
PTMAP8	-0.013687283495503258	-0.13878491200461876	0.41000838653587607	0.6283733047673954
AP005210.2	0.002527592971204669	0.1366793143382848	0.4100368656432157	0.6283983272857663
AL132765.2	-0.02315485189453409	-0.14304200979894133	0.41005469082526086	0.6284016742110038
AC024603.1	-0.00245777437622523	-0.12807164372158664	0.4100633539203673	0.6284016742110038
MIR135B	-0.008517845474794991	-0.139163939868443	0.4100921366231092	0.6284271588951726
AL162493.1	0.044731694726348276	0.15395945265947267	0.41012556987071846	0.6284597683750585
AL512353.1	0.06627551396684694	0.15365185637803985	0.41014803106345343	0.6284755632892476
ELOAP1	-0.0009837693617647776	-0.12386487371928374	0.4101917843367059	0.6285092261209909
LHX1	-0.01789096455241774	-0.11691542772403454	0.4102002527815803	0.6285092261209909
SNORA7B	0.008099095033042798	0.1336823238576905	0.4102092614359069	0.6285092261209909
OSTF1P1	0.0017488709833794053	0.15497484727771402	0.41022946486905026	0.6285092261209909
AC096552.1	-0.003684840525897919	-0.12468201521901888	0.4102357529934264	0.6285092261209909
GIMAP8	0.0969258277022158	0.14519913365033324	0.4102644106433099	0.6285092261209909
AC133561.1	-0.0010563072483173205	-0.132871888432005	0.41027168139873404	0.6285092261209909
KCNQ2	0.0189229403841136	0.15667309492014886	0.41027458945346523	0.6285092261209909
AC090338.1	0.0018682094122539194	0.14494416060963786	0.4102873773340921	0.6285092261209909
PNCK	0.03318357029081602	0.15461278822505328	0.4102915423443037	0.6285092261209909
AC100791.3	-0.0015754109725578617	-0.1317824200011231	0.4103220641846894	0.6285373618417701
AC005160.1	-0.0010217604242541123	-0.120975654351448	0.4103564912613808	0.6285714778167973
AC012048.1	-0.0013827331405971137	-0.14052097795118304	0.4103842478488611	0.6285953744227624
LINC01853	-0.0024289102835949082	-0.117206210205016	0.4104283286955504	0.6286442731309975
OR2Q1P	-0.0016129532437986643	-0.1353031331092267	0.41045693463584415	0.6286694670622042
AL049874.4	0.0005250487830350811	0.15639203187911865	0.4104732004373756	0.6286757594946282
AP000424.2	0.003331717836830267	0.15565452609900338	0.4105425993724234	0.6287634272049338
LARP6	-0.11642499497664982	-0.1429982829118862	0.4105987974672602	0.6288308726737596
AC097467.3	-0.009886877161938805	-0.14991742942929484	0.41062287659830415	0.6288491255042026
CYRIA	-0.09843515338402042	-0.14838578411627884	0.41065304661330904	0.6288767048722369
LINC01511	0.0167846661343434	0.15470745985626527	0.4107112817440135	0.6289472604319083
AC097511.1	0.0006403905969975445	0.1515016380141495	0.41075221441639465	0.6289744888248894
C1QBPP2	-0.004548406131234771	-0.14061519675673723	0.4107533887880047	0.6289744888248894
AL009178.2	0.03963416347027754	0.150755520171421	0.4107833399425035	0.6290017260894495
AC113404.2	0.0005346262273845803	0.15680018634745738	0.41080605122891695	0.6290140130836878
SPP1	-0.28621535646531404	-0.14578622503766445	0.41081569228743187	0.6290140130836878
PALD1	0.10213955796995178	0.1506430302780971	0.41084526610112854	0.6290406690162686
EHBP1	0.07338254017873336	0.14437409989640265	0.41088769635257033	0.6290870071380538
RPS7P8	-0.005027724975742151	-0.14151876695398133	0.41094796474931394	0.6291436849981178
AC073065.1	-0.0023428544910006075	-0.12984322476772764	0.4109555845038997	0.6291436849981178
AL157996.1	-0.022652723689947613	-0.1406389826931057	0.4109612150580423	0.6291436849981178
U8	0.030035182724078603	0.1717077139136085	0.41098580610028074	0.6291627052089055
LINC01396	0.0033664583480700495	0.143030280046766	0.41103238747802456	0.6292153874741304
CASP5	0.014788913623605945	0.15741154329920617	0.4110905838984498	0.6292858465993528
MIR1471	0.0005214916382358805	0.1563945826984825	0.41114062417568603	0.629331410780903
NAP1L4P3	0.006041321408080259	0.14122913805418277	0.41115455803941936	0.629331410780903
OR7E1P	0.006329660773018993	0.15429584704408145	0.4111642901739382	0.629331410780903
TEX41	-0.03984714961410657	-0.14771640774524125	0.41116903005613525	0.629331410780903
AL590559.1	-0.0009505453958571775	-0.11962363097384938	0.41118854582798725	0.6293426535639333
RNU6-470P	-0.0005938939151195302	-0.12455283296500293	0.41124019379397964	0.6294025877130233
RN7SKP109	-0.0024021456858681427	-0.13152552456266603	0.4112520476039456	0.6294025877130233
AL035670.1	0.022304678957059593	0.14504292067693345	0.41127919910602023	0.6294070164646945
RPL39P31	-0.0007302747969068024	-0.13183751345529218	0.41128543919478255	0.6294070164646945
LRRC8B	-0.07023285184337169	-0.14185135920613032	0.41129555600030054	0.6294070164646945
AC104126.1	0.15368643414445238	0.1485296051560839	0.4113036278620595	0.6294070164646945
AL158837.1	-0.0006757462260916726	-0.12823955493548514	0.411331735681687	0.6294314024749421
EIF1AXP2	-0.0008928278001801874	-0.12970660327507708	0.4113574601528576	0.6294521400829858
ATP9A	0.08795277693234116	0.14178572201250175	0.4113798221288009	0.6294542881832218
AL353611.2	0.005977533774237723	0.14904807426922426	0.41138612416622206	0.6294542881832218
CHD7	-0.09487370698321751	-0.14831865714564266	0.4113953815963402	0.6294542881832218
OR5H2	-0.0021227281142215827	-0.12005125823767171	0.41142874111079036	0.6294866193379449
WWOX-AS1	0.003221740492482741	0.14004319223677414	0.41144085875351866	0.6294866193379449
AC095040.1	-0.0032960160585086083	-0.13656364873152343	0.4115430053570061	0.6296242707105367
SCP2D1	-0.0005332446158506435	-0.1283914032835322	0.41156523071796	0.6296396451482628
LINC01880	-0.0011543987346048566	-0.1307104070476944	0.4116663794153407	0.6297757572317224
SMIM2-AS1	-0.06075364733762412	-0.14001641228253559	0.4117225857346666	0.6298431095146982
SYS1-DBNDD2	0.00498420053202726	0.14404077887217573	0.41174451040145654	0.6298580161332895
CD163L1	0.08089210544899728	0.1513190800900576	0.4117787472572646	0.629891755640302
GOLGA4	0.09953914326818314	0.13846127812686115	0.41183641007435196	0.6299520492653424
AC010974.2	-0.0017867224144721152	-0.13726032740382002	0.41184252730586207	0.6299520492653424
AC093159.2	-0.00046793695938080604	-0.12853680989517705	0.41190274051517817	0.6300255151082697
AC106795.1	0.09410960773534827	0.1427192430699102	0.4119876020291736	0.6301366762853262
AC005077.3	0.0019121650046996586	0.14894580270363159	0.41201963861200336	0.6301670373340819
AP001825.1	0.0030954428560725864	0.13596239590509115	0.4120356626956865	0.6301729068544746
GPX6	-0.0020899083517927457	-0.13937831807849552	0.41208609059580087	0.6302313921329545
TMEM176B	-0.21188993426078717	-0.14447199261104351	0.4121338393827731	0.6302857767226386
AC015726.1	0.05843956876995149	0.14662817484045984	0.4121624956214636	0.6303109602851336
RNU4-82P	0.004337941694658617	0.14560660402388245	0.41224322263872265	0.630415770689664
CRISP3	-0.018452470776415004	-0.12263802569401792	0.4122818124931039	0.6304540512111074
AL109807.1	0.0091082540435944	0.1725221771665694	0.4123001399873731	0.6304540512111074
AP001893.2	0.006222890394925004	0.13289579771311422	0.4123048307682549	0.6304540512111074
LRRC37A6P	-0.13235682961622253	-0.14020703666805331	0.4123189036909754	0.6304569274302619
FDXR	0.10486013530990146	0.14686158684478795	0.41235435118974545	0.6304806914654669
LINC02733	-0.0037809046707769148	-0.13344927776695348	0.41235894507324344	0.6304806914654669
AC012314.9	0.0011115009735215666	0.15679995196664367	0.41237102254346314	0.6304806914654669
THBS4-AS1	0.07614758415727196	0.1462550467833754	0.4123956114466325	0.6304996441331878
AC009269.3	0.0017703667135998513	0.16121595837913294	0.4124165081836535	0.6305099730895273
RN7SL337P	0.0006319470589773827	0.15221406105923865	0.4124338022046926	0.6305099730895273
RPL10AP3	0.0029914685739021035	0.14889301197680846	0.41243894625372457	0.6305099730895273
GGACT	0.06686212489807053	0.14330999485316115	0.4124747303267495	0.6305178061985071
RN7SL842P	0.0008847978149928467	0.14783842764746696	0.41248534498479283	0.6305178061985071
AL096794.1	-0.031135705562539917	-0.14799380951755559	0.4124919557144201	0.6305178061985071
C6orf118	-0.029216454372114453	-0.13680184299984025	0.41249284260013325	0.6305178061985071
AL137161.1	-0.0011648353851397278	-0.1293317686099526	0.41258562637708046	0.6306409897899916
EPS15P1	-0.0018014913390446453	-0.13399815302966875	0.412652146198986	0.6307240225850014
OOSP1P2	0.001378394868712103	0.151212660611999	0.4126749309279629	0.6307402049246561
AC023271.2	0.003995982827730716	0.1486826571858687	0.4127230294717646	0.6307866642295654
C9orf153	0.018500724685414693	0.14790621018319186	0.41272972451136797	0.6307866642295654
AP001189.4	0.0038301122348966803	0.14570325176191123	0.4127658029775529	0.6308225566371235
EBF3	0.10668827712521756	0.14471503570820599	0.4127821600867855	0.6308225566371235
STAP2	-0.09479946335650347	-0.14461294933901941	0.4127898062595383	0.6308225566371235
AL033397.2	-0.03396922451615045	-0.13568794442033755	0.4129443920425774	0.6310401447121285
RNU6-107P	-0.001918927550290034	-0.13465154593806536	0.41296297914547053	0.6310498999583755
PLPBP	-0.05381902044896858	-0.1386617996254721	0.41299745375580293	0.6310771534289336
GUCA1B	-0.06778039840287398	-0.14282290792585875	0.4130052218356243	0.6310771534289336
RN7SL317P	-0.012875642277632427	-0.11655819653677522	0.41305568916265517	0.6311356186593996
LINC02020	-0.0022579147321585844	-0.1429736771560336	0.4131000681167869	0.6311762933042128
FRG2B	-0.0016026875047228154	-0.13835839037022452	0.41311298151898423	0.6311762933042128
AP002840.1	0.002065438016606063	0.14051803511618757	0.41311892678877576	0.6311762933042128
AL672277.1	-0.01889804561183718	-0.13902386306725198	0.41314229447088413	0.6311933462163231
CTSL3P	0.0007905602264317662	0.1475342944501371	0.41320300373418795	0.6312674464103815
PPIAP81	0.0024611359647993773	0.1406955989754209	0.4132576581411294	0.6313291765536883
PSAPL1	0.004108948892127092	0.15075385430867505	0.4132678274707963	0.6313291765536883
AC021876.1	-0.007007333396749994	-0.12147629204798048	0.4133265008879515	0.6314001561967699
VIT	0.09382870359981177	0.15468454989220165	0.41335491236375704	0.6314168147514685
Z82190.1	0.001976463104725176	0.1500995075783373	0.41337229992460833	0.6314168147514685
SEL1L2	-0.01154877665589377	-0.15663236486541707	0.41337683139704673	0.6314168147514685
AC096533.1	0.01003799916359134	0.14206121456702994	0.41338794513110216	0.6314168147514685
MEFV	0.03322677425795739	0.1547863183622229	0.4133984583594538	0.6314168147514685
AL031663.3	-0.013362716900362254	-0.13605224606416563	0.41342998048262636	0.6314463100905896
AC079031.1	-0.0011300712856805576	-0.12388899125692707	0.41347309796786585	0.6314863153436744
RBM39P1	0.007865963265207998	0.14367891391897783	0.4134805969952519	0.6314863153436744
AL359921.2	-0.04967121569345856	-0.1384565912549552	0.41354546411974236	0.6315602365705861
RNU6-1215P	-0.0034164784880988397	-0.1312861105881724	0.4135534251999887	0.6315602365705861
