gene	log2FC_B_vs_A	cohen_d_B_vs_A	p_value	padj
AC090825.1	-0.323313279448767	-0.47081688005442446	0.00890727192341511	0.05113276403549275
PKD1P3	-0.2826051091875441	-0.4433201206135649	0.008909730004299678	0.051141197497207316
RNU6ATAC11P	-0.001900855291504944	-0.37685028994045777	0.008911233238630785	0.0511441489459308
WSCD2	0.8694508432606396	0.4834264762277454	0.008917205744651517	0.051172747337884204
AC092902.2	-0.028894492630600326	-0.39041029327560556	0.008920833131796854	0.051187883053522766
AP002373.2	-0.010165934647791067	-0.4290182090450732	0.008934783469696806	0.05125580865649284
AC091978.1	0.1172361012975337	0.46016878249389337	0.008935663101856036	0.05125580865649284
AC078899.4	0.3138106160616855	0.5085154429807562	0.008936471492962436	0.05125580865649284
BX470102.2	-0.18078220563235226	-0.4358260811841408	0.008936635741852593	0.05125580865649284
BX088651.4	-0.03895528121148625	-0.45545366156421746	0.008945380667199342	0.05129310055867858
OXR1	-0.29088416205167	-0.4235767604104581	0.00894543824947639	0.05129310055867858
SYP	0.19991799838621405	0.4797599058441918	0.008946113475638106	0.05129310055867858
PVT1	-0.33454192280822026	-0.46889413983519906	0.008957042094249598	0.051350066933008975
ZNF569	0.20168055941200125	0.4648561628904278	0.00897173219436784	0.05142858258540686
PCDHGB9P	0.0541820342042687	0.49977626829070804	0.008973213752072596	0.051429847690566716
KCNIP4	0.24453186429164592	0.4767155979160282	0.008973942018371013	0.051429847690566716
PRDX1P1	0.04259938270022888	0.5233062938663284	0.008977139013564735	0.05144246847633488
AC073288.1	-0.0017455751409057381	-0.3764578910338775	0.00897967037422422	0.05145127254531952
ESRRB	0.336047324529989	0.5686003351745857	0.008988985717322444	0.051495582433432475
PRPF4	0.15408690672597114	0.46108549038485197	0.008989395343864845	0.051495582433432475
NCKIPSD	-0.16212204319879753	-0.4624155899763326	0.008995120551348603	0.05152267155857196
ZNF727	-0.5548380958563981	-0.48372679729330803	0.009000841213056802	0.051549728648618925
AC093824.2	0.01839662820902595	0.5000359162948242	0.009008325335692872	0.05158687834263722
LUC7L2	-0.1949845227050302	-0.4800106599273056	0.009010041840967372	0.05159099475564874
AL137847.1	-0.26622652422558524	-0.4838126650396406	0.009020169590753377	0.05164326723953143
TCOF1	0.15495020611724009	0.46755243728054535	0.009023811003775495	0.05165839597212826
RPL39P16	0.01700901274168513	0.4859565232386781	0.009025925958423726	0.05166478384282149
LHX2	-0.4246160987959749	-0.376396220949577	0.009027596766755467	0.05166862826847725
AC004923.4	-0.08492166962163761	-0.4277012082054883	0.009030014473420613	0.05167674617475136
COG5	0.2602092128284266	0.44282042936636096	0.009034194941135842	0.05169494905400858
USP43	0.37359215982543237	0.49381339157217663	0.009039495436452478	0.051719556153396115
DDX17	-0.3063252800952636	-0.44872991467969653	0.00904644176394572	0.0517535734102663
AC015849.4	-0.016514727578247592	-0.41433441626060896	0.009053866917884389	0.05179032214499111
AC027117.1	-0.20614688290100003	-0.45276284714764364	0.009059282525693978	0.05181435364623394
GTF2F1	-0.17611101611700963	-0.4779453981809383	0.009060072047905616	0.05181435364623394
