cluster_1,,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell
CGA,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFA,FLT1,,,,,,,1.0,1.0,,,,0.876,0.0,,,,,,,,,,,,
PLAUR,PLAU,,,,,,,0.0,0.004,,,,0.002,1.0,,,,,,,,,,,,
OSM,LIFR,,,,,,0.006,0.002,0.01,,0.014,,,,,,,,,,,,,,,
VEGFA,KDR,,,,,,,1.0,1.0,,,,0.766,0.0,,,,,,,,,,,,
KDR,VEGFA,,,,,,,1.0,0.766,,,,1.0,0.0,,,,,,,,,,,,
HLA-G,CD160,,,,,,,,,,,,,,,,,,,,,,,,,
EDN1,EDNRB,,0.0,0.0,,,,0.006,0.0,,,,0.998,1.0,,,,,,,,,,,,
LAMA4,ITGA6,0.0,0.004,0.006,0.018,,0.004,0.002,0.0,0.076,,0.028,0.682,1.0,0.134,,,,,,,0.002,0.014,0.018,0.048,
VWF,GP9,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFD,FLT4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
TG,TPO,0.984,1.0,1.0,,,0.158,1.0,1.0,,,0.0,0.018,0.0,,,0.972,0.998,0.998,,,0.694,0.998,0.998,,
HLA-G,KLRC1,,,,,,,0.172,,,,,0.296,,,,,,,,,,,,,
MMP9,LRP1,,,,,,0.008,0.0,0.518,0.33,0.006,0.01,0.0,1.0,0.37,0.01,0.006,0.0,0.014,0.12,0.002,,,,,
MMRN2,CD93,0.0,0.0,0.0,0.024,,0.002,0.0,0.186,0.158,,0.002,0.0,1.0,0.166,,0.006,0.048,0.096,0.084,,,,,,
TSPAN1,ITGA6,,,,,,0.262,1.0,1.0,0.204,,0.012,0.256,0.0,0.116,,,,,,,,,,,
MMRN2,CLEC14A,0.0,0.0,0.0,,0.0,0.04,0.6,0.032,,0.084,0.058,0.984,0.792,,0.116,0.044,0.1,0.09,,0.06,,,,,
SAA1,CD36,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
LY6H,CD36,,,,,,,,,,,,,,,,,,,,,,,,,
CCL11,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CCL13,ACKR1,0.002,0.002,0.026,0.012,,0.002,0.0,0.002,0.018,,0.002,0.0,1.0,0.024,,,,,,,0.0,0.0,0.012,0.01,
CCL14,ACKR1,0.0,0.0,0.002,0.002,,0.0,0.0,0.0,0.01,,0.002,0.0,1.0,0.026,,0.002,0.01,0.022,0.016,,,,,,
CCL17,ACKR1,,,,,,0.0,0.0,0.0,0.016,,0.002,0.0,1.0,0.024,,0.002,0.006,0.024,0.014,,,,,,
CCL2,ACKR1,,,,,,0.0,0.0,0.0,0.014,,0.002,0.0,1.0,0.026,,,,,,,0.0,0.002,0.056,0.012,
CCL5,ACKR1,0.002,0.002,0.05,0.012,,0.0,0.0,0.0,0.012,,0.002,0.0,1.0,0.026,,0.0,0.0,0.0,0.004,,,,,,
CXCL8,ACKR1,,,,,,0.0,0.0,0.004,0.022,,0.002,0.0,1.0,0.024,,,,,,,,,,,
PPBP,ACKR1,0.0,0.0,0.002,0.01,,,,,,,,,,,,,,,,,,,,,
CXCL1,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL2,ACKR1,0.0,0.0,0.0,0.008,,0.002,0.0,0.396,0.026,,0.002,0.0,1.0,0.024,,,,,,,0.0,0.0,0.014,0.01,
CXCL13,ACKR4,,,,,,,,,0.004,,,,,,,,,,,,,,,,
CCL5,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
DEFB1,CCR6,,,,,,,,,,,,,,,,,,,,,,,,,
CCL23,FPR2,,,,,,,,,,,,,,,,,,,,,,,,,
DCN,KDR,,0.008,0.006,,,,0.0,0.0,,,,1.0,1.0,,,,0.068,0.052,,,,0.0,0.0,,
GREM1,KDR,,,,,,,,,,,,,,,,,,,,,,,,,
APOE,LDLR,,0.938,0.934,,,,0.002,0.002,,,,0.98,0.99,,,,0.88,0.876,,,,0.544,0.528,,
MDK,LRP1,,,,,,0.004,0.0,0.03,0.274,0.002,0.01,0.0,1.0,0.37,0.01,0.176,0.054,0.712,0.494,0.146,,,,,
DLK1,NOTCH3,,,,,,,,,,,,,,,,,,,,,,,,,
DLL4,NOTCH3,,,,,,0.178,0.002,0.936,,0.004,0.17,0.0,1.0,,0.004,,,,,,,,,,
DLL1,NOTCH4,,,,,,,0.992,0.688,,,,0.972,0.002,,,,,,,,,,,,
JAG1,NOTCH4,,0.026,0.01,,,,0.136,0.002,,,,0.992,0.854,,,,,,,,,,,,
DLK1,NOTCH4,,,,,,,,,,,,,,,,,,,,,,,,,
TNFSF14,TNFRSF6B,,,,,,0.018,0.002,0.018,,,,,,,,,,,,,,,,,
SCT,RAMP2,,,,,,,,,,,,,,,,,,,,,,,,,
SCT,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,
SCT,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,CD36,,0.208,0.268,,,,0.0,0.0,,,,0.348,1.0,,,,0.086,0.096,,,,0.142,0.216,,
CCL2,ACKR4,,,,,,,,,0.0,,,,,0.004,,,,,,,,,,0.0,
CCL13,ACKR4,,,,0.0,,,,,0.002,,,,,0.004,,,,,,,,,,0.0,
CXCL6,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CEACAM6,STAB1,,,,,,,,,,,,,,,,,,,,,,,,,
THBS1,ITGA6,0.0,0.008,0.01,0.018,,0.0,0.0,0.0,0.06,,0.032,0.764,1.0,0.134,,0.036,0.092,0.092,0.046,,,,,,
THBS1,CD36,,0.004,0.012,,,,0.0,0.0,,,,0.0,1.0,,,,0.074,0.092,,,,,,,
VWF,SCARA5,0.0,0.0,,,,0.0,0.0,,,,0.034,0.0,,,,0.09,0.138,,,,0.0,0.0,,,
FGF7,FGFR4,,,,,,,,,,,,,,,,,,,,,,,,,
PTH2,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,
TFF2,MUC6,,,,,,,,,,,,,,,,,,,,,,,,,
TFF1,MUC5AC,,,,,,,,,,,,,,,,,,,,,,,,,
S100A1,RYR2,,,,,,,,,,,,,,,,,,,,,,,,,
SCGB3A1,MARCO,,,,,,,,,,,0.0,0.054,,,,,,,,,,,,,
ANGPTL4,GPIHBP1,,,,,,,0.002,,,,,0.018,,,,,,,,,,,,,
ANGPTL4,TIE1,,,,,,0.014,0.006,0.016,,,0.032,0.158,0.99,,,,,,,,,,,,
IGF1,INSR,,0.022,0.004,,0.004,,0.0,0.0,,0.0,,1.0,1.0,,0.396,,0.058,0.054,,0.046,,0.002,0.0,,0.0
PCSK9,LDLR,,,,,,,0.566,0.008,,,,,,,,,,,,,,,,,
CXCL11,ACKR1,,,,,,0.002,0.0,0.942,0.024,,,,,,,,,,,,,,,,
ANGPT2,TIE1,,,,,,0.016,0.008,0.004,,,0.032,0.164,0.998,,,0.022,0.042,0.044,,,,,,,
CALCA,TSHR,,,,,,,,,,,0.862,1.0,0.0,0.818,,,,,,,,,,,
THBS2,NOTCH4,,,,,,,0.0,0.0,,,,1.0,1.0,,,,,,,,,,,,
THBS2,ITGA6,,,,,,0.0,0.0,0.0,0.048,,0.032,0.788,1.0,0.134,,,,,,,,,,,
THBS2,CD36,,,,,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,,
S100A8,CD36,,,,,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,,
S100A12,CD36,,,,,,,0.0,0.07,,,,,,,,,,,,,,,,,
S100A9,CD36,,0.028,0.042,,,,0.0,0.0,,,,0.0,1.0,,,,0.04,0.054,,,,0.012,0.026,,
CALCB,TSHR,,,,,,,,,,,0.862,1.0,0.0,0.818,,,,,,,,,,,
MDK,ITGA6,,,,,,0.002,0.006,0.002,0.08,,0.028,0.61,0.928,0.134,,0.346,0.678,0.666,0.37,,,,,,
ADM,TSHR,0.766,1.0,0.286,0.762,,0.922,1.0,0.978,0.82,,0.862,1.0,0.0,0.818,,,,,,,,,,,
CGA,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL8,CD79A,,,,,,,0.0,,0.002,,,0.0,,0.004,,,,,,,,,,,
PTH2,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,
APOE,LRP1,0.312,0.122,0.952,0.76,0.308,0.004,0.0,0.012,0.25,0.0,0.01,0.0,1.0,0.372,0.012,0.478,0.314,0.902,0.766,0.458,0.04,0.0,0.618,0.386,0.034
PCSK9,LRP1,,,,,,0.01,0.0,1.0,0.366,0.01,,,,,,,,,,,,,,,
THBS1,LRP1,0.0,0.0,0.016,0.094,0.0,0.0,0.0,0.0,0.226,0.0,0.012,0.0,1.0,0.374,0.012,0.02,0.004,0.102,0.186,0.004,,,,,
VWF,LRP1,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.122,0.0,0.014,0.0,1.0,0.38,0.012,0.066,0.026,0.26,0.258,0.046,0.0,0.0,0.0,0.014,0.0
CGA,RAMP2,,,,,,,,,,,,,,,,,,,,,,,,,
CCL11,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL7,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL8,ACKR4,,,,0.0,,,,,0.004,,,,,,,,,,,,,,,,
S100A9,CD68,,0.02,0.046,0.074,,,0.0,0.0,0.102,,,0.0,1.0,0.15,,,0.03,0.056,0.058,,,0.002,0.03,0.058,
S100A8,CD68,,,,,,,0.0,0.0,0.126,,,0.0,1.0,0.148,,,,,,,,,,,
PTH2,RAMP2,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,FLT4,,,,,,,,,,,,,,,,,,,,,,,,,
THBS2,NOTCH3,,,,,,0.022,0.0,0.0,,0.0,0.186,0.002,1.0,,0.004,,,,,,,,,,
SCGB3A1,NOTCH3,,,,,,,,,,,0.166,0.0,0.99,,0.004,,,,,,,,,,
CXCL8,KDR,,,,,,,0.328,0.0,,,,1.0,0.54,,,,,,,,,,,,
CXCL9,FCGR2A,,,,,,0.076,0.0,0.05,,0.012,0.108,0.0,1.0,,0.034,0.004,0.002,0.006,,0.006,0.002,0.0,0.01,,0.0
VEGFD,FLT1,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,ICOS,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,F3,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,
CXCL12,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL3,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
PTN,PTPRB,,,,,,0.0,0.0,0.0,,0.0,0.0,0.032,1.0,,0.0,,,,,,,,,,
CCL8,ACKR1,0.0,0.0,0.002,0.01,,0.002,0.0,0.098,0.024,,,,,,,,,,,,,,,,
EDN1,ADGRL4,0.0,0.0,0.0,0.004,0.0,0.008,0.0,0.0,0.038,0.006,0.06,0.0,1.0,0.062,0.026,,,,,,,,,,
MDK,TSPAN1,,,,,,,0.972,0.0,,,,1.0,0.0,,,,0.798,0.658,,,,,,,
CCL1,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
IGF1,ITGA6,0.0,0.004,0.004,0.0,,0.0,0.0,0.0,0.008,,0.032,0.946,1.0,0.136,,0.03,0.048,0.054,0.046,,0.0,0.0,0.0,0.002,
CCL18,ACKR1,,,,,,0.0,0.0,0.0,0.01,,0.002,0.0,1.0,0.026,,0.0,0.0,0.0,0.004,,0.0,0.0,0.022,0.012,
CXCL3,ACKR1,,,,,,0.002,0.0,0.296,0.024,,,,,,,,,,,,,,,,
CXCL5,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL9,ACKR1,,,,,,0.002,0.0,0.112,0.022,,0.002,0.0,1.0,0.024,,0.0,0.0,0.008,0.01,,0.0,0.0,0.01,0.012,
CXCL10,ACKR1,,,,,,0.002,0.0,0.074,0.022,,0.002,0.0,1.0,0.024,,,,,,,,,,,
CXCL13,ACKR1,,,,,,0.002,0.0,1.0,0.024,,,,,,,,,,,,,,,,
CCL7,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
SPP1,ITGB6,,,,,,,0.052,0.0,,,,1.0,0.924,,,,0.048,0.042,,,,,,,
ANGPTL4,CDH5,,,,,,0.0,0.002,0.024,,0.038,0.0,0.006,1.0,,0.068,,,,,,,,,,
ANGPTL4,CDH11,,,,,,0.086,0.0,0.074,,0.032,0.126,0.0,1.0,,0.06,,,,,,,,,,
SLC1A2,GRIA1,,,,,,,,,,,,,,,,,,,,,,,,,
SLC1A6,GRIA1,,,,,,,,,,,,,,,,,,,,,,,,,
APOE,TYROBP,0.396,0.758,0.94,0.25,0.868,0.006,0.0,0.002,0.022,0.086,0.024,0.0,1.0,0.046,0.348,0.54,0.774,0.886,0.376,0.848,0.044,0.154,0.548,0.082,0.424
CCL20,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
FAM3D,FPR2,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-G,KLRD1,,,,,,,0.0,0.292,0.002,,,0.0,1.0,0.002,,,,,,,,,,,
FGFR4,MCAM,,,,,,,,,,,,,,,,,,,,,,,,,
LAIR2,FGFR4,,,,,,,,,,,,,,,,,,,,,,,,,
IL2,DLK1,,,,,,,,,,,,,,,,,,,,,,,,,
TNFSF9,FCRL1,,,,,,,,,,,,,,,,,,,,,,,,,
DCN,LRP1,0.004,0.0,0.008,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,1.0,0.414,0.016,0.022,0.01,0.068,0.07,0.018,0.0,0.0,0.0,0.002,0.0
IFNG,MPL,,,,,,,,,,,,,,,,,,,,,,,,,
TPO,MPL,,,,,,,,,,,,,,,,,,,,,,,,,
HAPLN1,IL1RL1,,,,,,,,,,,,0.406,0.206,,,,,,,,,,,,
SEMA3G,FCGR2A,,,,,,0.08,0.0,0.01,,0.022,0.108,0.0,1.0,,0.034,,,,,,,,,,
VCAM1,VCAM1,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.004,0.002,0.004,0.0,1.0,0.006,0.01,0.004,0.004,0.006,0.006,0.004,0.0,0.002,0.01,0.004,0.008
CCL5,ACKR4,,,,0.0,,,,,0.0,,,,,0.004,,,,,0.0,,,,,,
FLT4,FCRL1,,,,,,,,,,,,,,,,,,,,,,,,,
CRLF1,LIFR,,,,,,0.002,0.0,0.0,,0.006,0.006,0.038,1.0,,0.018,,,,,,,,,,
PCSK9,CD36,,,,,,,0.0,0.07,,,,,,,,,,,,,,,,,
THBS1,GP9,,,,,,,,,,,,,,,,,,,,,,,,,
EFNB2,FCRL1,,,,,,,,,,,,,,,,,,,,,,,,,
VCAN,LDLR,,0.002,0.002,,,,0.0,0.0,,,,1.0,1.0,,,,0.106,0.106,,,,0.014,0.012,,
CEACAM5,CEACAM6,,,,,,,,,,,,,,,,,,,,,,,,,
CEACAM6,CEACAM5,,,,,,,,,,,,,,,,,,,,,,,,,
CCN1,ITGA6,0.032,0.276,0.272,0.108,,0.0,0.0,0.0,0.008,,0.032,0.938,1.0,0.134,,,,,,,0.0,0.018,0.016,0.026,
CCL3L1,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CTSG,CXCL12,,,,,,0.0,0.0,1.0,0.086,0.0,,,,,,,,,,,,,,,
KDR,FLT1,,,,,,,0.998,0.984,,,,0.984,0.0,,,,,,,,,,,,
KDR,CDH5,,,,,,0.0,0.178,1.0,,0.108,0.0,0.004,0.936,,0.064,,,,,,,,,,
CXCL8,MMP9,,,,,,,0.0,0.0,0.012,,,0.002,1.0,0.012,,,,,,,,,,,
CCL22,CCR7,,,,,,,0.0,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,
FLT4,KDR,,,,,,,0.99,0.49,,,,0.996,0.002,,,,,,,,,,,,
KDR,FLT4,,,,,,,0.99,0.996,,,,0.49,0.002,,,,,,,,,,,,
THBS1,MMP2,0.0,0.0,0.014,,0.008,0.0,0.0,0.0,,0.034,0.008,0.0,1.0,,0.144,0.01,0.022,0.1,,0.064,,,,,
NPPA,MME,,,,,,,,,,,,,,,,,,,,,,,,,
THBS1,MMP9,,0.006,0.012,0.006,,,0.0,0.0,0.008,,,0.014,1.0,0.012,,,0.084,0.092,0.032,,,,,,
SFTPA1,SFTPA2,,,,,,,,,,,,,,,,,,,,,,,,,
KDR,PLCG2,,,,,,,1.0,0.92,0.47,,,1.0,0.0,0.45,,,,,,,,,,,
IFNG,TNF,,,,,,,,,,,,,,,,,,,,,,,,,
PRSS3,F2RL3,,,,,,,0.018,0.244,,,,,,,,,,,,,,,,,
CSF1,TNF,,,,,,,,,,,,,,,,,,,,,,,,,
KDR,HSP90AA1,,,,,,0.024,0.314,1.0,0.876,0.966,0.008,0.056,0.572,0.862,0.946,,,,,,,,,,
THBS1,ELANE,,0.006,,,,,0.0,,,,,0.074,,,,,0.088,,,,,,,,
AREG,MMP9,,,,,,,0.0,0.008,0.012,,,0.002,1.0,0.012,,,,,,,,,,,
IL1RN,IL2RA,,,,,,,0.954,1.0,0.014,,,0.01,0.026,0.012,,,,,,,,,,,
CCL1,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CTSG,F2RL3,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
PRSS2,F2RL3,,,,,,,0.09,0.264,,,,0.016,0.73,,,,,,,,,,,,
PRSS1,F2RL3,,,,,,,0.998,1.0,,,,0.006,0.0,,,,,,,,,,,,
THBS4,CD36,,0.02,0.054,,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,,
MDK,PTPRB,,,,,,0.0,0.0,0.002,,0.0,0.0,0.03,1.0,,0.0,0.116,0.622,0.668,,0.168,,,,,
CSF2,CSF2,,,,,,,0.332,0.324,,,,0.324,0.618,,,,,,,,,,,,
IHH,GAS1,,,,,,,,,,,,,,,,,,,,,,,,,
IFNG,IFNG,,,,,,,,,,,,,,,,,,,,,,,,,
IL13,IL13,,,,,,,,,,,,,,,,,,,,,,,,,
IL1A,IL1B,,,,,,,,,,,,,,,,,,,,,,,,,
IL1B,IL1B,,,,,,,0.086,,0.002,,,,,,,,0.002,,0.002,,,,,,
IL1RN,IL1B,,,,,,,0.994,,0.002,,,0.04,,0.002,,,,,,,,,,,
IL2,IL2,,,,,,,,,,,,,,,,,,,,,,,,,
IL22,IL22,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,IL6,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
CLU,TYROBP,0.758,0.992,1.0,0.348,0.998,0.07,0.044,1.0,0.108,0.706,0.02,0.0,0.778,0.044,0.298,0.874,0.988,0.996,0.538,0.992,0.656,0.996,1.0,0.326,1.0
ICOS,CD40LG,,,,,,,,,,,,,,,,,,,,,,,,,
CCL26,CXCR6,,,,,,,0.0,0.298,,,,0.0,0.998,,,,,,,,,,,,
VEGFA,MMP9,,,,,,,1.0,1.0,0.84,,,0.0,0.0,0.012,,,,,,,,,,,
OSM,CXCL10,,,,,,,0.0,0.006,,,,,,,,,,,,,,,,,
THBS1,VCAM1,0.0,0.004,0.012,0.0,0.002,0.0,0.0,0.0,0.004,0.002,0.004,0.0,1.0,0.006,0.01,0.022,0.062,0.092,0.014,0.05,,,,,
IFNG,TYMS,,,,,,,,,,,,,,,,,,,,,,,,,
CSF1,VEGFA,,1.0,0.058,,,,1.0,0.0,,,,1.0,0.0,,,,0.868,0.108,,,,,,,
VEGFA,CSF1,,,,,,1.0,1.0,1.0,0.868,,0.058,0.0,0.0,0.108,,,,,,,,,,,
CSF2,FLT1,,,,,,,0.988,0.138,,,,0.988,0.0,,,,,,,,,,,,
IFNG,CD74,,,,,,,,,,,,,,,,,,,,,,,,,
CCL1,CCR7,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,IL17A,,,,,,,,,,,,,,,,,,,,,,,,,
IL10,PTGS2,,,,,,,,0.03,,,,,,,,,,,,,,,,,
CXCL1,CXCR6,,,,,,,,,,,,,,,,,,,,,,,,,
VWF,THBS1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.028,,0.014,0.0,1.0,0.102,,0.054,0.134,0.234,0.108,,0.0,0.0,0.0,0.0,
XCL2,CCR7,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
XCL1,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CSF2,PLAU,,,,,,,0.0,0.7,,,,0.0,0.99,,,,,,,,,,,,
STC1,TNF,,,,,,,,,,,,,,,,,,,,,,,,,
CSF2,CD1A,,,,,,,0.248,,,,,0.252,,,,,,,,,,,,,
CSF2,MMP9,,,,,,,0.004,0.518,0.012,,,0.002,0.998,0.012,,,,,,,,,,,
IFNG,PTGS2,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL8,CCR6,,,,,,,0.0,0.0,,,,0.076,1.0,,,,,,,,,,,,
