claim,topical_relevance,n_sources,year,first_author,title,cited_by,doi
Pan-Asian HLA fine-mapping (Graves' / autoimmune thyroid),0.14043075842459393,1,2023.0,Vargas‐Uricoechea,Molecular Mechanisms in Autoimmune Thyroid Disease,178.0,10.3390/cells12060918
Pan-Asian HLA fine-mapping (Graves' / autoimmune thyroid),0.11696648505453534,1,2021.0,Frommer,Type 1 Diabetes and Autoimmune Thyroid Disease—The Genetic Link,104.0,10.3389/fendo.2021.618213
Pan-Asian HLA fine-mapping (Graves' / autoimmune thyroid),0.12164664625005205,1,2019.0,Shin,"HLA alleles, especially amino-acid signatures of HLA-DPB1, might contribute to the molecular pathogenesis of early-onset autoimmune thyroid disease",45.0,10.1371/journal.pone.0216941
Pan-Asian HLA fine-mapping (Graves' / autoimmune thyroid),0.10043916087247953,1,2016.0,Lombardi,Dissecting the Genetic Susceptibility to Graves’ Disease in a Cohort of Patients of Italian Origin,34.0,10.3389/fendo.2016.00021
Pan-Asian HLA fine-mapping (Graves' / autoimmune thyroid),0.09105905402992406,1,2018.0,Hanscombe,Genetic fine mapping of systemic lupus erythematosus MHC associations in Europeans and African Americans,57.0,10.1093/hmg/ddy280
Single-cell PTC progression,0.2005001753379469,1,2022.0,Wang,Single-Cell Transcriptome Analysis Reveals Inter-Tumor Heterogeneity in Bilateral Papillary Thyroid Carcinoma,63.0,10.3389/fimmu.2022.840811
Single-cell PTC progression,0.20024847865440465,1,2021.0,Yan,Single-Cell Transcriptomic Analysis of Ecosystems in Papillary Thyroid Carcinoma Progression,32.0,10.3389/fendo.2021.729565
Single-cell PTC progression,0.1409260767978854,1,2021.0,Pu,Single-cell transcriptomic analysis of the tumor ecosystems underlying initiation and progression of papillary thyroid carcinoma,273.0,10.1038/s41467-021-26343-3
Single-cell PTC progression,0.16083650489806536,1,2025.0,Xiao,Single‐cell RNA‐sequencing and spatial transcriptomic analysis reveal a distinct population of <i>APOE</i><sup>−</sup> cells yielding pathological lymph node metastasis in papillary thyroid cancer,8.0,10.1002/ctm2.70172
Single-cell PTC progression,0.11474258614127472,1,2026.0,,Identification of papillary thyroid carcinoma-associated epithelial cell subpopulations and diagnostic biomarkers: integrating machine learning with single-cell analysis.,0.0,10.21037/tcr-2025-aw-2244
TIERA-like Korean PTC molecular cohort,0.17538678242570438,1,2022.0,Jannin,Anaplastic Thyroid Carcinoma: An Update,147.0,10.3390/cancers14041061
TIERA-like Korean PTC molecular cohort,0.11045889026706782,1,2019.0,Abdullah,Papillary Thyroid Cancer: Genetic Alterations and Molecular Biomarker Investigations,354.0,10.7150/ijms.29935
TIERA-like Korean PTC molecular cohort,0.06655658478767643,1,2018.0,Kim,Immune Gene Signature Delineates a Subclass of Papillary Thyroid Cancer with Unfavorable Clinical Outcomes,88.0,10.3390/cancers10120494
TIERA-like Korean PTC molecular cohort,0.05009368826796212,1,2019.0,Yoo,Integrative analysis of genomic and transcriptomic characteristics associated with progression of aggressive thyroid cancer,261.0,10.1038/s41467-019-10680-5
TIERA-like Korean PTC molecular cohort,0.08506838848510437,1,2024.0,,Clinicopathological Features and Molecular Signatures of Lateral Neck Lymph Node Metastasis in Papillary Thyroid Microcarcinoma.,0.0,10.3803/enm.2023.1885
