claim,dedup_key,sources,n_sources,doi,title,year,venue,first_author,cited_by,influential,composite,topical_relevance,new_score
BCR repertoire / TLS in thyroid cancer,10.1186/s13058-026-02241-8,europepmc_fulltext,1,10.1186/s13058-026-02241-8,TLScope: a deep learning framework for quantifying tertiary lymphoid structures from H&amp;E images reveals prognostic heterogeneity across breast cancer subtypes.,2026.0,,,0.0,0.0,126.0,0.06216076259806214,16.216076259806215
BCR repertoire / TLS in thyroid cancer,10.1186/s13045-021-01103-4,openalex,1,10.1186/s13045-021-01103-4,Spatial architecture of the immune microenvironment orchestrates tumor immunity and therapeutic response,2021.0,,Fu,459.0,0.0,580.0,0.0,16.13122648948314
BCR repertoire / TLS in thyroid cancer,10.1038/s41591-022-01829-9,openalex,1,10.1038/s41591-022-01829-9,Sotigalimab and/or nivolumab with chemotherapy in first-line metastatic pancreatic cancer: clinical and immunologic analyses from the randomized phase 2 PRINCE trial,2022.0,,Padrón,332.0,0.0,454.0,0.0,15.808142489980444
BCR repertoire / TLS in thyroid cancer,10.1038/s41568-023-00635-w,openalex,1,10.1038/s41568-023-00635-w,How chemokines organize the tumour microenvironment,2023.0,,Mempel,218.0,0.0,341.0,0.0,15.3890717298165
BCR repertoire / TLS in thyroid cancer,10.3389/fonc.2020.585311,openalex,1,10.3389/fonc.2020.585311,Biomarkers of Checkpoint Inhibitor Induced Immune-Related Adverse Events—A Comprehensive Review,2021.0,,Hommes,124.0,0.0,245.0,0.0,14.828313737302302
BCR repertoire / TLS in thyroid cancer,10.1002/cam4.71742,europepmc_fulltext,1,10.1002/cam4.71742,Immunotherapy in Thyroid Cancer: Current Strategies and Challenges.,2026.0,,,0.0,0.0,126.0,0.04245272203540329,14.24527220354033
BCR repertoire / TLS in thyroid cancer,10.3390/ijms262311596,europepmc_fulltext,1,10.3390/ijms262311596,Neoadjuvant Immunotherapy in Hormone Receptor-Positive Breast Cancer: From Tumor Microenvironment Reprogramming to Combination Therapy Strategies.,2025.0,,,0.0,0.0,125.0,0.032868654753977565,13.286865475397757
BCR repertoire / TLS in thyroid cancer,10.1007/s10238-026-02080-z,europepmc_fulltext,1,10.1007/s10238-026-02080-z,Immunological mechanisms of autoimmune gastritis.,2026.0,,,0.0,0.0,126.0,0.0,10.0
BCR repertoire / TLS in thyroid cancer,10.1080/2162402x.2026.2638620,europepmc_fulltext,1,10.1080/2162402x.2026.2638620,B cells and humoral immunity in melanoma: regulatory and autoimmune-like features and implications for immunotherapy.,2026.0,,,0.0,0.0,126.0,0.0,10.0
BCR repertoire / TLS in thyroid cancer,10.1136/jitc-2025-014745,europepmc_fulltext,1,10.1136/jitc-2025-014745,Spatial and phenotypic plasticity of B cells in remodeling the tumor microenvironment.,2026.0,,,0.0,0.0,126.0,0.0,10.0
BCR repertoire / TLS in thyroid cancer,10.1158/1078-0432.ccr-25-3352,europepmc_fulltext,1,10.1158/1078-0432.ccr-25-3352,"When Checkpoint Inhibitors Break Barriers: Mechanisms and Challenges of irAEs of the Skin, Gastrointestinal Tract, and Lung.",2026.0,,,0.0,0.0,126.0,0.0,10.0
BCR repertoire / TLS in thyroid cancer,10.3390/biology15070538,europepmc_fulltext,1,10.3390/biology15070538,Long Non-Coding RNA-Derived Peptides as a Novel Source of Tumor Neoantigens: Expanding the Immunopeptidome Beyond Canonical Coding Regions.,2026.0,,,0.0,0.0,126.0,0.0,10.0
BCR repertoire / TLS in thyroid cancer,"expected performance of the atlas experiment - detector, tri|",arxiv,1,,"Expected Performance of the ATLAS Experiment - Detector, Trigger and Physics",,, The ATLAS Collaboration,0.0,0.0,100.0,0.0,10.0
BCR repertoire / TLS in thyroid cancer,first observation of the decay $\bar{b}^0_s \to d^0 k^{*0}$ |,arxiv,1,,First observation of the decay $\bar{B}^0_s \to D^0 K^{*0}$ and a measurement of the ratio of branching fractions $\frac{{\cal B}(\bar{B}^0_s \to D^0 K^{*0})}{{\cal B}(\bar{B}^0 \to D^0 ρ^0)}$,,, LHCb Collaboration,0.0,0.0,100.0,0.0,10.0
