cohort	contrast	gene	cohens_d	mwu_p	n_a	n_b
GSE213647 (Lee 2024 RNA n=632)	PTC vs Normal	FOXE1	-0.4474149392313597	3.302168958948422e-17	348	263
GSE213647 (Lee 2024 RNA n=632)	PTC vs Normal	DIO1	-1.3965383725727354	4.446412829178918e-44	348	263
GSE213647 (Lee 2024 RNA n=632)	ATC vs Normal	TG	-2.8160016497039173	7.562528782014198e-09	16	263
GSE213647 (Lee 2024 RNA n=632)	ATC vs Normal	SLC5A5	-1.8910208023982518	1.8444542377651822e-09	16	263
GSE213647 (Lee 2024 RNA n=632)	ATC vs Normal	TPO	-3.529357502405362	2.2453269733781722e-09	16	263
GSE213647 (Lee 2024 RNA n=632)	ATC vs Normal	PAX8	-2.2210238671790217	2.994287349937925e-08	16	263
GSE213647 (Lee 2024 RNA n=632)	ATC vs Normal	NKX2-1	-2.3642114671411383	1.5756674921610411e-06	16	263
GSE213647 (Lee 2024 RNA n=632)	ATC vs Normal	TSHR	-2.5240117016700787	7.280942893022658e-09	16	263
GSE213647 (Lee 2024 RNA n=632)	ATC vs Normal	FOXE1	-2.696134383274054	1.6317655158155964e-08	16	263
GSE213647 (Lee 2024 RNA n=632)	ATC vs Normal	DIO1	-2.3927764891025785	3.514002578921137e-09	16	263
Mun 2025 (protein n=336)	PTC vs PDTC	SLC5A5	-0.13350955806441236	0.14467354427069476	177	46
Mun 2025 (protein n=336)	PTC vs PDTC	TPO	0.3735755750017626	9.509783692295843e-05	177	46
Mun 2025 (protein n=336)	PTC vs PDTC	TG	1.5330612933673755	9.308519941170857e-19	177	46
Mun 2025 (protein n=336)	PTC vs PDTC	TSHR	0.574725236884499	5.287076163172583e-06	177	46
Mun 2025 (protein n=336)	PTC vs PDTC	PAX8	0.2767327342555366	0.0342089319804908	177	46
Mun 2025 (protein n=336)	PTC vs PDTC	FOXE1	0.5326140098315766	6.679621216977356e-05	177	46
Mun 2025 (protein n=336)	PTC vs PDTC	DIO1	-0.3462006041703803	0.26235660396041594	177	46
Mun 2025 (protein n=336)	PTC vs ATC	SLC5A5	0.3992476817940356	0.00015602180722748026	177	113
Mun 2025 (protein n=336)	PTC vs ATC	TPO	1.3396485917725496	1.5384634770768272e-29	177	113
Mun 2025 (protein n=336)	PTC vs ATC	TG	1.8151589866497198	6.105624166016811e-37	177	113
Mun 2025 (protein n=336)	PTC vs ATC	TSHR	2.167142730923319	1.3553109222459407e-37	177	113
Mun 2025 (protein n=336)	PTC vs ATC	PAX8	0.8795117203007135	1.9678004474419142e-22	177	113
Mun 2025 (protein n=336)	PTC vs ATC	FOXE1	1.7079816598090538	1.7186708808241515e-33	177	113
Mun 2025 (protein n=336)	PTC vs ATC	DIO1	0.038689625368943936	0.7032794623915	177	113
Mun 2025 (protein n=336)	PDTC vs ATC	SLC5A5	0.39645916901840095	0.36666794815133674	46	113
Mun 2025 (protein n=336)	PDTC vs ATC	TPO	0.7347051859580761	0.00018429397469101708	46	113
Mun 2025 (protein n=336)	PDTC vs ATC	TG	0.20013659244646675	0.17689800858671767	46	113
Mun 2025 (protein n=336)	PDTC vs ATC	TSHR	1.1823762777328621	3.2581513581990694e-08	46	113
Mun 2025 (protein n=336)	PDTC vs ATC	PAX8	0.5664485129488008	3.188426248620077e-05	46	113
Mun 2025 (protein n=336)	PDTC vs ATC	FOXE1	0.99026135638255	4.243277629835342e-07	46	113
Mun 2025 (protein n=336)	PDTC vs ATC	DIO1	0.3194546469305345	0.18936302070931066	46	113
