gene	n_fail	n_ind	mean_fail	mean_inflamed_dark	delta_mean	cohens_d	t	p	fdr
C10orf75	91	162	7.316923076923079	6.818641975308641	0.4982811016144373	0.9834712866850278	7.809378468717819	2.734502383519022e-13	5.606848292096825e-12
C14orf93	91	162	8.330989010989013	8.034938271604938	0.296050739384075	1.0108822234797346	7.825893309899277	3.1519872893716215e-13	6.397449505442219e-12
ZNF16	91	162	8.597252747252748	8.29611111111111	0.30114163614163836	1.015215741961718	7.8302558624868475	3.188562244154848e-13	6.458609967882542e-12
C20orf11	91	162	10.92956043956044	10.72067901234568	0.20888142721475944	0.9921709939493585	7.765793588162212	4.0745385436460537e-13	8.154363414743944e-12
LOC400752	91	162	5.81032967032967	5.210802469135803	0.599527201193867	0.994446610609573	7.7229247136899115	5.687121217950759e-13	1.1158888628529018e-11
BDH1	91	162	9.099230769230768	8.599567901234568	0.4996628679962001	1.1094344765114268	7.882187891918133	5.969343870456445e-13	1.1689770765064754e-11
SPTBN4	91	162	5.8293406593406605	4.843148148148148	0.9861925111925123	1.024814193482697	7.7055170136004225	8.725015593823355e-13	1.6774950882352805e-11
SCAP	91	162	11.19076923076923	10.92432098765432	0.26644824311491	0.9817262633689872	7.545922084706008	1.7999693993039504e-12	3.3084130489681135e-11
MAOA	91	162	12.845384615384615	12.133271604938273	0.7121130104463429	0.8975220064489249	7.439180640455005	1.9458362168227796e-12	3.556960223878505e-11
SLC22A5	91	162	8.641208791208793	8.352098765432098	0.2891100257766954	0.9640831182596459	7.509744760864637	1.9807573358930694e-12	3.6043672283723886e-11
DCAF11	91	162	11.490769230769232	11.262345679012345	0.22842355175688667	0.947918835373762	7.4605445003640165	2.4356672339439205e-12	4.3707915426279336e-11
CA4	91	162	5.604835164835165	3.1643827160493827	2.440452448785782	0.996470722551558	7.497220853219757	2.924657764477137e-12	5.2085401555115473e-11
CLPTM1	91	162	11.760439560439561	11.505679012345679	0.2547605480938824	0.9590324445815982	7.431969719014907	3.2802280453464492e-12	5.795454889280383e-11
FAM134A	91	162	12.240879120879121	12.009197530864197	0.23168159001492405	0.9619484395691329	7.425325464917797	3.527378922092218e-12	6.204783291641688e-11
ZNF19	91	162	7.339890109890111	7.068148148148148	0.27174196174196297	0.8976744303455751	7.324111019657528	4.278575753914662e-12	7.467213193494404e-11
ARIH2	91	162	10.678791208791209	10.4679012345679	0.21088997422330813	0.9395474585736664	7.368426297928905	4.328865487270009e-12	7.535307258352908e-11
PPIL6	91	162	7.716703296703297	7.29067901234568	0.4260242843576174	0.9385725277739648	7.35574538114522	4.690608161387395e-12	8.115682956022556e-11
FGFR2	91	162	10.37989010989011	9.727160493827162	0.652729616062949	0.8943805650597604	7.296218356653941	5.063574281599161e-12	8.723355246469758e-11
SNHG8	91	162	10.624065934065934	10.097098765432099	0.5269671686338349	0.9745934335976622	7.389797206557084	5.0742228190123414e-12	8.73419658280296e-11
BTBD11	91	162	8.40846153846154	7.385679012345679	1.0227825261158605	1.0114674912874189	7.424864176060532	5.610732207254663e-12	9.608199227333711e-11
ITFG2	91	162	9.8510989010989	9.571049382716051	0.2800495183828495	0.9427711399716092	7.330300121807247	5.801043745763965e-12	9.908716374259351e-11
FAM164C	91	162	7.704615384615384	7.32746913580247	0.37714624881291403	0.9104235185643264	7.254551029181998	7.548103097852306e-12	1.2794768505598672e-10
ABHD10	91	162	9.97945054945055	9.711234567901235	0.26821598154931614	0.9586641243679295	7.307596640114281	7.79629209845236e-12	1.319316839242744e-10
C16orf58	91	162	11.575274725274726	11.361975308641975	0.21329941663275065	0.8859686894194989	7.184002028211531	1.0252360181264082e-11	1.7104041490423347e-10
SLC48A1	91	162	11.076373626373627	10.68388888888889	0.3924847374847378	0.9376188439098696	7.216540650186217	1.2191586043533829e-11	2.0121635796788795e-10
