generation	best_fitness	mean_fitness	n	positives	positive_rate	AUPRC	AUROC	top5_hits	top5_precision	top10_hits	top10_precision	top24_hits	top24_precision	rank_sum	sparsity	fitness
14	0.6533392166983555	0.6343204925792544	25	9	0.36	0.6493409449549801	0.6805555555555556	4	0.8	5	0.5	9	0.375	139.0	0.8646240017669686	0.6533392166983555
15	0.6533392166983555	0.6401018525436725	25	9	0.36	0.6493409449549801	0.6805555555555556	4	0.8	5	0.5	9	0.375	139.0	0.8646240017669686	0.6533392166983555
16	0.6551677492412629	0.6410945545966761	25	9	0.36	0.6517218973359324	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8596560129607287	0.6551677492412629
17	0.6551677492412629	0.6458823964914422	25	9	0.36	0.6517218973359324	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8596560129607287	0.6551677492412629
18	0.6551677492412629	0.6490861786468561	25	9	0.36	0.6517218973359324	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8596560129607287	0.6551677492412629
19	0.6568057694827085	0.6498777134217226	25	9	0.36	0.657056994337696	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8573821639193323	0.6568057694827085
20	0.6568057694827085	0.6503850926157541	25	9	0.36	0.657056994337696	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8573821639193323	0.6568057694827085
21	0.657152804475022	0.6500128759170896	25	9	0.36	0.657056994337696	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8560695390634612	0.657152804475022
22	0.6576531178825681	0.649393441369106	25	9	0.36	0.657056994337696	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8574279658707968	0.6576531178825681
23	0.6576531178825681	0.6501510008876606	25	9	0.36	0.657056994337696	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8574279658707968	0.6576531178825681
24	0.6576531178825681	0.6495379689958753	25	9	0.36	0.657056994337696	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8574279658707968	0.6576531178825681
25	0.6576531178825681	0.6501678778439007	25	9	0.36	0.657056994337696	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8574279658707968	0.6576531178825681
26	0.6576531178825681	0.6494644144926808	25	9	0.36	0.657056994337696	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8574279658707968	0.6576531178825681
27	0.6578885673756674	0.6519862040955433	25	9	0.36	0.657056994337696	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8584925950767004	0.6578885673756674
28	0.6594215384073286	0.6505064629277988	25	9	0.36	0.6594379467186486	0.6944444444444444	4	0.8	5	0.5	9	0.375	139.0	0.8503908888884967	0.6594215384073286
29	0.6594215384073286	0.6523038142830848	25	9	0.36	0.6594379467186486	0.6944444444444444	4	0.8	5	0.5	9	0.375	139.0	0.8503908888884967	0.6594215384073286
30	0.6608119617534673	0.6514181668749074	25	9	0.36	0.6648131270938289	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8562661962701107	0.6608119617534673
31	0.6608119617534673	0.6517776289782028	25	9	0.36	0.6648131270938289	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8562661962701107	0.6608119617534673
32	0.6608119617534673	0.6505775554754457	25	9	0.36	0.6648131270938289	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8562661962701107	0.6608119617534673
33	0.6626737895706776	0.6481056014675572	25	9	0.36	0.6669776292583309	0.6944444444444444	4	0.8	5	0.5	9	0.375	139.0	0.85266301607489	0.6626737895706776
34	0.6626737895706776	0.6499034788698715	25	9	0.36	0.6669776292583309	0.6944444444444444	4	0.8	5	0.5	9	0.375	139.0	0.85266301607489	0.6626737895706776
35	0.6626737895706776	0.6504805265961123	25	9	0.36	0.6669776292583309	0.6944444444444444	4	0.8	5	0.5	9	0.375	139.0	0.85266301607489	0.6626737895706776
36	0.6626737895706776	0.6522506775234325	25	9	0.36	0.6669776292583309	0.6944444444444444	4	0.8	5	0.5	9	0.375	139.0	0.85266301607489	0.6626737895706776
37	0.6643710276243308	0.652602214644468	25	9	0.36	0.6693585816392835	0.7013888888888888	4	0.8	5	0.5	9	0.375	139.0	0.8470604860595359	0.6643710276243308
38	0.6643710276243308	0.651366578901204	25	9	0.36	0.6693585816392835	0.7013888888888888	4	0.8	5	0.5	9	0.375	139.0	0.8470604860595359	0.6643710276243308
39	0.6643710276243308	0.6481177794946676	25	9	0.36	0.6693585816392835	0.7013888888888888	4	0.8	5	0.5	9	0.375	139.0	0.8470604860595359	0.6643710276243308
40	0.6643710276243308	0.6490047473410884	25	9	0.36	0.6693585816392835	0.7013888888888888	4	0.8	5	0.5	9	0.375	139.0	0.8470604860595359	0.6643710276243308
41	0.6645102533414696	0.6533504274210492	25	9	0.36	0.6693585816392835	0.7013888888888888	4	0.8	5	0.5	9	0.375	139.0	0.8487040921705233	0.6645102533414696
42	0.6645102533414696	0.6479262217611578	25	9	0.36	0.6693585816392835	0.7013888888888888	4	0.8	5	0.5	9	0.375	139.0	0.8487040921705233	0.6645102533414696
43	0.6645102533414696	0.652094733993926	25	9	0.36	0.6693585816392835	0.7013888888888888	4	0.8	5	0.5	9	0.375	139.0	0.8487040921705233	0.6645102533414696
44	0.6645102533414696	0.6508696536361815	25	9	0.36	0.6693585816392835	0.7013888888888888	4	0.8	5	0.5	9	0.375	139.0	0.8487040921705233	0.6645102533414696
45	0.6645102533414696	0.6533796069010088	25	9	0.36	0.6693585816392835	0.7013888888888888	4	0.8	5	0.5	9	0.375	139.0	0.8487040921705233	0.6645102533414696
46	0.6645356411212503	0.6543415446392445	25	9	0.36	0.6693585816392835	0.7013888888888888	4	0.8	5	0.5	9	0.375	139.0	0.8492118477661362	0.6645356411212503
47	0.6645462307910095	0.6539280765649024	25	9	0.36	0.6693585816392835	0.7013888888888888	4	0.8	5	0.5	9	0.375	139.0	0.8525117509095712	0.6645462307910095
