gsm	unsup	panel_z	histology	unsup_t
GSM6591160	DM2	0.6028803244417651	PTC	DM2
GSM6591161	DM2	0.14581960920680584	PTC	DM2
GSM6591162	DM2	-1.065883776022317	PTC	DM2
GSM6591163	DM2	-0.2718503265320845	PTC	DM2
GSM6591164	DM2	-0.4016535807595391	PTC	DM2
GSM6591165	DM2	0.3882239744887928	PTC	DM2
GSM6591166	DM2	0.38670315678801126	PTC	DM2
GSM6591167	DM2	-1.2350848983478555	PTC	DM2
GSM6591168	DM2	0.0891978554279513	PTC	DM2
GSM6591169	DM2	-0.12118333843725096	PTC	DM2
GSM6591170	DM2	0.46782067342231265	PTC	DM2
GSM6591171	DM2	0.3169479797427604	PTC	DM2
GSM6591172	DM2	-0.29689960176110625	PTC	DM2
GSM6591173	DM2	0.0027461995079572058	PTC	DM2
GSM6591174	DM2	-0.4163149850066275	PTC	DM2
GSM6591175	DM2	0.394469880922914	PTC	DM2
GSM6591176	DM2	-0.868379287290885	PTC	DM2
GSM6591177	DM2	0.19448265616179847	PTC	DM2
GSM6591178	DM2	-1.2207524900527407	PTC	DM2
GSM6591179	DM2	-0.7050302573140891	PTC	DM2
GSM6591180	DM2	-0.16183269196980513	PTC	DM2
GSM6591181	DM2	-0.5249876301283097	PTC	DM2
GSM6591182	DM2	-0.24497172918985952	PTC	DM2
GSM6591183	DM1	-2.7549339834407287	PTC	DM1
GSM6591184	DM2	-1.4351371299506686	PTC	DM2
GSM6591185	DM2	0.3320339987676076	PTC	DM2
GSM6591186	DM2	0.895357171093963	PTC	DM2
GSM6591187	DM2	-0.3358461341923646	PTC	DM2
GSM6591188	DM2	-0.113924270364936	PTC	DM2
GSM6591189	DM2	0.07298651450368111	PTC	DM2
GSM6591190	DM2	0.14580903475533827	PTC	DM2
GSM6591191	DM2	0.9528870563695053	PTC	DM2
GSM6591192	DM2	-0.17525466212580182	PTC	DM2
GSM6591193	DM2	-0.5407933045145275	PTC	DM2
GSM6591194	DM1	-1.9551048445345938	PTC	DM1
GSM6591195	DM2	-0.17610809649490758	PTC	DM2
GSM6591196	DM2	0.044483362606500855	PTC	DM2
GSM6591197	DM2	-0.039293826275994204	PTC	DM2
GSM6591198	DM2	0.1567157436032125	PTC	DM2
GSM6591199	DM2	-0.2990051107379633	PTC	DM2
GSM6591200	DM2	0.44954903126253004	PTC	DM2
GSM6591201	DM2	-0.4248207633807754	PTC	DM2
GSM6591202	DM2	0.11627028334461764	PTC	DM2
GSM6591203	DM2	-0.8189672636645823	PTC	DM2
GSM6591204	DM1	-1.6481304386194406	PTC	DM1
GSM6591205	DM2	0.09676388417627921	PTC	DM2
GSM6591206	DM2	-0.004988349976935139	PTC	DM2
GSM6591207	DM2	0.050343860996024906	PTC	DM2
GSM6591208	DM2	-0.27946066264348934	PTC	DM2
GSM6591209	DM2	-0.24978889527074855	PTC	DM2
GSM6591210	DM2	-0.4375165423448081	PTC	DM2
GSM6591211	DM2	0.2453955517782009	PTC	DM2
GSM6591212	DM2	0.46014760807841115	PTC	DM2
GSM6591213	DM2	-0.871538169375105	PTC	DM2
GSM6591214	DM2	-0.8063220558036125	PTC	DM2
GSM6591215	DM2	-0.32998513364410476	PTC	DM2
GSM6591216	DM2	0.40133393449905325	PTC	DM2
GSM6591217	DM2	-0.7752977096823302	PTC	DM2
GSM6591218	DM2	-0.21969996215153226	PTC	DM2
GSM6591219	DM2	0.22538408302842297	PTC	DM2
GSM6591220	DM2	0.9400086483734944	PTC	DM2
GSM6591221	DM1	-2.0514423166831848	PTC	DM1
GSM6591222	DM2	-1.2452332650881641	PTC	DM2
GSM6591223	DM2	-0.11629922762534917	PTC	DM2
GSM6591224	DM2	-0.31776717075557553	PTC	DM2
GSM6591225	DM2	0.5604683578351018	PTC	DM2
GSM6591226	DM2	0.27905872087399997	PTC	DM2
GSM6591227	DM2	0.28583617198368527	PTC	DM2
GSM6591228	DM2	0.23575817964226645	PTC	DM2
GSM6591229	DM2	0.034545328229475834	PTC	DM2
GSM6591230	DM2	0.5746663193657406	PTC	DM2
GSM6591231	DM2	0.3364146305930601	PTC	DM2
GSM6591232	DM2	0.07783234279950195	PTC	DM2
GSM6591233	DM2	-0.2321144053578435	PTC	DM2
GSM6591234	DM2	-0.18605716089289168	PTC	DM2
GSM6591235	DM2	-0.5691854469318732	PTC	DM2
