split_name	policy_name	coverage	n	n_pos	prevalence	AUPRC	AUROC	Brier	ECE	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10	top20_precision	recall_at_20	enrichment_at_20
low_prevalence_stress_split	selective_ensemble_v2_1_topk	0.6	549	30	0.0546448087431694	0.06567309293706594	0.405009633911368	0.7940131615843345	0.8511472480624955	0.2	0.03333333333333333	3.66	0.1	0.03333333333333333	1.83	0.1	0.06666666666666667	1.83
low_prevalence_stress_split	selective_ensemble_v2_1_topk	0.4	366	15	0.040983606557377046	0.07910048143470305	0.41956315289648627	0.9249612937024443	0.9404108344753517	0.2	0.06666666666666667	4.880000000000001	0.1	0.06666666666666667	2.4400000000000004	0.1	0.13333333333333333	2.4400000000000004
low_prevalence_stress_split	selective_ensemble_v2_1_topk	0.25	229	6	0.026200873362445413	0.14412028958198494	0.6838565022421524	0.9659152102557318	0.9697745206388735	0.2	0.16666666666666666	7.633333333333334	0.1	0.16666666666666666	3.816666666666667	0.1	0.3333333333333333	3.816666666666667
near_peptide_cluster_holdout	selective_ensemble_v2_1_conservative	1.0	89	21	0.23595505617977527	0.518668956892469	0.7226890756302521	0.1850522210156483	0.1524367343571358	0.8	0.19047619047619047	3.390476190476191	0.7	0.3333333333333333	2.9666666666666663	0.4	0.38095238095238093	1.6952380952380954
near_peptide_cluster_holdout	selective_ensemble_v2_1_conservative	0.8	72	20	0.2777777777777778	0.5323931024115109	0.6817307692307693	0.20607551145470973	0.14365133712874223	0.8	0.2	2.88	0.7	0.35	2.5199999999999996	0.4	0.4	1.44
near_peptide_cluster_holdout	selective_ensemble_v2_1_conservative	0.6	54	16	0.2962962962962963	0.5908012264581702	0.7417763157894737	0.2152384181627862	0.15898826615767758	0.8	0.25	2.7	0.7	0.4375	2.3625	0.4	0.5	1.35
near_peptide_cluster_holdout	selective_ensemble_v2_1_conservative	0.4	36	15	0.4166666666666667	0.607492939427722	0.6000000000000001	0.24181256575630805	0.0735261091926575	0.8	0.26666666666666666	1.92	0.7	0.4666666666666667	1.6799999999999997	0.4	0.5333333333333333	0.96
near_peptide_cluster_holdout	selective_ensemble_v2_1_conservative	0.25	23	9	0.391304347826087	0.7229654403567447	0.7777777777777777	0.24018690659779707	0.1270253232491707	0.8	0.4444444444444444	2.0444444444444443	0.7	0.7777777777777778	1.7888888888888888	0.4	0.8888888888888888	1.0222222222222221
near_peptide_cluster_holdout	selective_ensemble_v2_1_topk	1.0	89	21	0.23595505617977527	0.518668956892469	0.7226890756302521	0.1850522210156483	0.1524367343571358	0.8	0.19047619047619047	3.390476190476191	0.7	0.3333333333333333	2.9666666666666663	0.4	0.38095238095238093	1.6952380952380954
near_peptide_cluster_holdout	selective_ensemble_v2_1_topk	0.8	72	20	0.2777777777777778	0.5323931024115109	0.6817307692307693	0.20607551145470973	0.14365133712874223	0.8	0.2	2.88	0.7	0.35	2.5199999999999996	0.4	0.4	1.44
near_peptide_cluster_holdout	selective_ensemble_v2_1_topk	0.6	54	16	0.2962962962962963	0.5908012264581702	0.7417763157894737	0.2152384181627862	0.15898826615767758	0.8	0.25	2.7	0.7	0.4375	2.3625	0.4	0.5	1.35
near_peptide_cluster_holdout	selective_ensemble_v2_1_topk	0.4	36	15	0.4166666666666667	0.607492939427722	0.6000000000000001	0.24181256575630805	0.0735261091926575	0.8	0.26666666666666666	1.92	0.7	0.4666666666666667	1.6799999999999997	0.4	0.5333333333333333	0.96
near_peptide_cluster_holdout	selective_ensemble_v2_1_topk	0.25	23	9	0.391304347826087	0.7229654403567447	0.7777777777777777	0.24018690659779707	0.1270253232491707	0.8	0.4444444444444444	2.0444444444444443	0.7	0.7777777777777778	1.7888888888888888	0.4	0.8888888888888888	1.0222222222222221
source_heldout_CEDAR	selective_ensemble_v2_1_conservative	1.0	909	851	0.9361936193619362	0.9468961495533503	0.5193281737509623	0.5002980006594316	0.541692175436183	1.0	0.005875440658049354	1.0681551116333725	1.0	0.011750881316098707	1.0681551116333725	1.0	0.023501762632197415	1.0681551116333725
source_heldout_CEDAR	selective_ensemble_v2_1_conservative	0.8	728	680	0.9340659340659341	0.9497628354558301	0.5495710784313725	0.39048671907635546	0.44184802300651327	1.0	0.007352941176470588	1.0705882352941176	1.0	0.014705882352941176	1.0705882352941176	1.0	0.029411764705882353	1.0705882352941176
source_heldout_CEDAR	selective_ensemble_v2_1_conservative	0.6	546	511	0.9358974358974359	0.9541828929236056	0.5606933184232596	0.23187743690563262	0.2909452099931275	1.0	0.009784735812133072	1.0684931506849316	1.0	0.019569471624266144	1.0684931506849316	1.0	0.03913894324853229	1.0684931506849316
