split_name	model_name	n	n_pos	prevalence	AUPRC	AUROC	Brier	ECE	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10	top20_precision	recall_at_20	enrichment_at_20	model_family	claim_status	runpod_source_file
source_heldout_TESLA_mmc4	v2_multimodal_esm2_650m_lr_fast	605	37	0.0611570247933884	0.0834861397643143	0.545489151122954	0.362829127246797	0.4570392267379449	0.0	0.0	0.0	0.2	0.054054054054054	3.2702702702702706	0.15	0.081081081081081	2.452702702702702	multimodal_real_plm_fast	reviewer_safe_internal_locked	esm2_650m_fast_metrics.tsv
source_heldout_TESLA_mmc4	v2_cf_esm2_650m_lr_fast	605	37	0.0611570247933884	0.0834368447842588	0.5456794822992006	0.3627921619424329	0.4570147305567185	0.0	0.0	0.0	0.2	0.054054054054054	3.2702702702702706	0.15	0.081081081081081	2.452702702702702	counterfactual_real_plm_fast	reviewer_safe_internal_locked	esm2_650m_fast_metrics.tsv
source_heldout_TESLA_mmc4	v2_esm2_650m_lr_fast	605	37	0.0611570247933884	0.0894906330170376	0.579939094023601	0.3265527803832297	0.4420098572691922	0.2	0.027027027027027	3.2702702702702706	0.2	0.054054054054054	3.2702702702702706	0.1	0.054054054054054	1.6351351351351353	real_frozen_plm_fast	reviewer_safe_internal_locked	esm2_650m_fast_metrics.tsv
source_heldout_TESLA_mmc4	v2_groupdro_proxy_cf_esm2_650m_lr_fast	605	37	0.0611570247933884	0.0811670226203517	0.5514370003806625	0.3834899300181703	0.4736605386288859	0.0	0.0	0.0	0.2	0.054054054054054	3.2702702702702706	0.1	0.054054054054054	1.6351351351351353	source_robust_real_plm_fast	reviewer_safe_internal_locked	esm2_650m_fast_metrics.tsv
source_heldout_TESLA_mmc4	v2_source_balanced_cf_esm2_650m_lr_fast	605	37	0.0611570247933884	0.0811670226203517	0.5514370003806625	0.3834919598624645	0.4736619603370218	0.0	0.0	0.0	0.2	0.054054054054054	3.2702702702702706	0.1	0.054054054054054	1.6351351351351353	source_robust_real_plm_fast	reviewer_safe_internal_locked	esm2_650m_fast_metrics.tsv
source_heldout_TESLA_mmc7_validation	v2_groupdro_proxy_cf_esm2_35m_lr_fast	310	4	0.0129032258064516	0.0387278898950252	0.6805555555555556	0.2138244198878511	0.3715203522917836	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.25	3.875	source_robust_real_plm_fast	reviewer_safe_internal_locked	esm2_35m_fast_metrics.tsv
source_heldout_TESLA_mmc7_validation	v2_source_balanced_cf_esm2_35m_lr_fast	310	4	0.0129032258064516	0.0387278898950252	0.6805555555555556	0.2138213700850586	0.3715161826954755	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.25	3.875	source_robust_real_plm_fast	reviewer_safe_internal_locked	esm2_35m_fast_metrics.tsv
source_heldout_TESLA_mmc7_validation	v2_cf_esm2_35m_lr_fast	310	4	0.0129032258064516	0.0371270601339767	0.6650326797385622	0.2136316436241331	0.3704059209755764	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.25	3.875	counterfactual_real_plm_fast	reviewer_safe_internal_locked	esm2_35m_fast_metrics.tsv
source_heldout_TESLA_mmc7_validation	v2_multimodal_esm2_35m_lr_fast	310	4	0.0129032258064516	0.0370173147432831	0.6642156862745099	0.213642877904084	0.3704089909494419	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.25	3.875	multimodal_real_plm_fast	reviewer_safe_internal_locked	esm2_35m_fast_metrics.tsv
source_heldout_TESLA_mmc7_validation	v2_esm2_150m_lr_fast	310	4	0.0129032258064516	0.0385312477350148	0.678921568627451	0.2106849601958537	0.3731207800089786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	real_frozen_plm_fast	reviewer_safe_internal_locked	esm2_150m_fast_metrics.tsv
