territory_label_set	covariate_set	outcome	scope	n_slides	median_beta	mean_beta	q25_beta	q75_beta	n_positive	sign_test_p	wilcoxon_p
gene_bin_infercnv_lite	qc	Macrophage_TAM_z	condition_LPTC	4	0.11741164832573606	0.1081928153072004	0.05367012984089261	0.17193433379204384	3	0.625	0.625
gene_bin_infercnv_lite	qc	Macrophage_TAM_z	condition_PTC	4	0.17234659650567316	0.19589657935160676	0.07069587227892056	0.29754730357835935	4	0.125	0.125
gene_bin_infercnv_lite	qc	RAI_thyroid_z	all_cancer_slides	12	-0.004030487189122292	-0.0376312879149606	-0.03554649669786843	0.021994514809058355	5	0.7744140625	0.5185546875
gene_bin_infercnv_lite	qc	RAI_thyroid_z	condition_ATC	4	-0.00163679698757044	-0.11594986502710167	-0.11846751222142092	0.000880850206748811	2	1.0	0.625
gene_bin_infercnv_lite	qc	RAI_thyroid_z	condition_LPTC	4	0.03173338481373025	0.04277048827608451	-0.02212265928441097	0.09662653237422573	2	1.0	0.625
gene_bin_infercnv_lite	qc	RAI_thyroid_z	condition_PTC	4	-0.027845765195464427	-0.03971448699386464	-0.08404341562860021	0.016483163439271142	1	0.625	0.625
gene_bin_infercnv_lite	qc	TACSTD2_z	all_cancer_slides	12	0.041672539404872894	0.025308795456311248	-0.12867263467999615	0.16062634939838677	7	0.7744140625	0.6220703125
gene_bin_infercnv_lite	qc	TACSTD2_z	condition_ATC	4	0.041672539404872894	0.054687787283452416	0.013047110970221678	0.08331321571810363	3	0.625	0.25
gene_bin_infercnv_lite	qc	TACSTD2_z	condition_LPTC	4	-0.017589132597313366	0.07796894811818686	-0.13922966911213003	0.19960948463300351	2	1.0	1.0
gene_bin_infercnv_lite	qc	TACSTD2_z	condition_PTC	4	0.028709626655978412	-0.056730349032705546	-0.25742299682504594	0.2294022744483188	2	1.0	1.0
gene_bin_infercnv_lite	qc	TLS_B_z	all_cancer_slides	12	0.07803769883459369	0.1025981066585504	0.0372735746235076	0.12923930929877236	10	0.03857421875	0.12939453125
gene_bin_infercnv_lite	qc	TLS_B_z	condition_ATC	4	0.06776054190505815	0.14335087806849262	0.04495631871706584	0.16615510125648492	4	0.125	0.125
gene_bin_infercnv_lite	qc	TLS_B_z	condition_LPTC	4	-0.112368561944956	-0.0953434225455842	-0.2531592802556761	0.045447295765135884	2	1.0	0.625
gene_bin_infercnv_lite	qc	TLS_B_z	condition_PTC	4	0.13567353245932795	0.2597868644527428	0.10615667478192826	0.2893037221301425	4	0.125	0.125
gene_bin_infercnv_lite	qc	TROP2_raw	all_cancer_slides	12	0.11685120717955678	0.13604404548461768	-0.21905371891543354	0.47525855983132026	7	0.7744140625	0.5185546875
gene_bin_infercnv_lite	qc	TROP2_raw	condition_ATC	4	0.09316669026567564	0.08588784762075767	-0.09207966155209411	0.27113419943852746	2	1.0	0.875
gene_bin_infercnv_lite	qc	TROP2_raw	condition_LPTC	4	0.16124629090758202	0.40660379514576883	-0.12372354545596381	0.6915736315093146	3	0.625	0.625
gene_bin_infercnv_lite	qc	TROP2_raw	condition_PTC	4	0.16023600171921132	-0.08435950631267344	-0.4602807568153484	0.5361572522218863	2	1.0	1.0
gene_bin_infercnv_lite	qc	Tcell_cytotoxic_z	all_cancer_slides	12	0.06355813834476469	0.10327649331194984	0.010946983534344276	0.1614064761710544	9	0.14599609375	0.06396484375
gene_bin_infercnv_lite	qc	Tcell_cytotoxic_z	condition_ATC	4	0.3721804723619173	0.214439123091283	0.0443809752543651	0.5422386201988352	3	0.625	0.375
gene_bin_infercnv_lite	qc	Tcell_cytotoxic_z	condition_LPTC	4	0.012263684400990096	0.02589075427323021	-0.018696361497237253	0.056850800171457556	2	1.0	0.625
gene_bin_infercnv_lite	qc	Tcell_cytotoxic_z	condition_PTC	4	0.05720599860557851	0.06949960257133632	0.02342513719617551	0.10328046398073934	4	0.125	0.125
gene_bin_infercnv_lite	qc_composition	EMT_stress_z	all_cancer_slides	12	0.009992987398031913	0.021060665223422	-0.038028948287751656	0.09084807213464022	6	1.0	0.4697265625
gene_bin_infercnv_lite	qc_composition	EMT_stress_z	condition_ATC	4	-0.024611849929590323	-0.01669503248190319	-0.05450823714461653	0.01320135473312302	1	0.625	0.625
gene_bin_infercnv_lite	qc_composition	EMT_stress_z	condition_LPTC	4	0.046479100947820644	0.04229393620419982	-0.013927784940868958	0.10270082209288943	2	1.0	0.625
gene_bin_infercnv_lite	qc_composition	EMT_stress_z	condition_PTC	4	0.054388345549837576	0.03758309194796937	0.004677062756151481	0.08729437474165547	3	0.625	0.375
gene_bin_infercnv_lite	qc_composition	Macrophage_TAM_z	all_cancer_slides	12	0.09163532553244483	0.19346288651581509	0.055234420564832104	0.2802531397353586	10	0.03857421875	0.01611328125
