territory_label_set	condition	covariate_set	outcome	n	beta_high	pearson_r	p
gene_bin_infercnv_lite	ATC	qc	EMT_stress_z	11622	-0.0904435424516905	-0.058893080500531804	2.1002842127366905e-10
gene_bin_infercnv_lite	ATC	qc_composition	TACSTD2_z	11622	0.13269487441454492	0.040141100223801185	1.499882269202797e-05
gene_bin_infercnv_lite	ATC	qc_composition	TROP2_raw	11622	0.6564317183385051	0.06911122676037504	8.739387691468281e-14
gene_bin_infercnv_lite	ATC	qc_composition	Macrophage_TAM_z	11622	0.3965469821031367	0.11003822059677726	1.2182933717353742e-32
gene_bin_infercnv_lite	ATC	qc_composition	TLS_B_z	11622	0.17433398001018963	0.07330311241850918	2.5274658427926496e-15
gene_bin_infercnv_lite	ATC	qc_composition	Tcell_cytotoxic_z	11622	0.3377943505135259	0.06563025363014802	1.419150292201823e-12
gene_bin_infercnv_lite	ATC	qc_composition	RAI_thyroid_z	11622	-0.09416042594793728	-0.09890627239280628	1.1622409044989108e-26
gene_bin_infercnv_lite	ATC	qc_composition	EMT_stress_z	11622	-0.08630581742205073	-0.05670161641505505	9.535149040893283e-10
gene_bin_infercnv_lite	LPTC	qc	TACSTD2_z	15064	-0.11123650774775455	-0.02406230675459616	0.003142114661587657
gene_bin_infercnv_lite	LPTC	qc	TROP2_raw	15064	0.16480860737929634	0.02079931845841015	0.010683666605571273
gene_bin_infercnv_lite	LPTC	qc	Macrophage_TAM_z	15064	0.11248084370448475	0.045040297466130544	3.195184991761857e-08
gene_bin_infercnv_lite	LPTC	qc	TLS_B_z	15064	-0.05468257859174734	-0.033214308877629356	4.554974020478098e-05
gene_bin_infercnv_lite	LPTC	qc	Tcell_cytotoxic_z	15064	-0.010739537842573898	-0.009407240277777933	0.24828214440009772
gene_bin_infercnv_lite	LPTC	qc	RAI_thyroid_z	15064	0.062487585098547044	0.050863920867866036	4.202002687959941e-10
gene_bin_infercnv_lite	LPTC	qc	EMT_stress_z	15064	-0.005431939483952417	-0.004871959232763689	0.5498958356211741
gene_bin_infercnv_lite	LPTC	qc_composition	TACSTD2_z	15064	-0.12550726190155878	-0.027192734313618516	0.0008442817948819994
gene_bin_infercnv_lite	LPTC	qc_composition	TROP2_raw	15064	0.13751748099210953	0.01740823405489792	0.03263113494993114
gene_bin_infercnv_lite	LPTC	qc_composition	Macrophage_TAM_z	15064	0.10533622748633087	0.04215737291769622	2.265995289698634e-07
gene_bin_infercnv_lite	LPTC	qc_composition	TLS_B_z	15064	-0.05431796006313348	-0.032926938139063826	5.298267599461089e-05
gene_bin_infercnv_lite	LPTC	qc_composition	Tcell_cytotoxic_z	15064	-0.01052993961236888	-0.0092053474285301	0.2585803231779438
gene_bin_infercnv_lite	LPTC	qc_composition	RAI_thyroid_z	15064	0.06397960885078621	0.052073246457067145	1.6050150238297195e-10
gene_bin_infercnv_lite	LPTC	qc_composition	EMT_stress_z	15064	-0.00753201849451152	-0.0068003556394843415	0.40395121030295034
gene_bin_infercnv_lite	PTC	qc	TACSTD2_z	16494	-0.2147522636789228	-0.049098603088369046	2.8082597346394293e-10
gene_bin_infercnv_lite	PTC	qc	TROP2_raw	16494	-0.22668693835145873	-0.027361859913529615	0.00044067048764266935
gene_bin_infercnv_lite	PTC	qc	Macrophage_TAM_z	16494	0.15397783239537344	0.0711997257896682	5.434057488167824e-20
gene_bin_infercnv_lite	PTC	qc	TLS_B_z	16494	0.0388165146435997	0.016815981844088973	0.0307999126461613
gene_bin_infercnv_lite	PTC	qc	Tcell_cytotoxic_z	16494	0.05316930179230581	0.05649507505440954	3.846557334624941e-13
gene_bin_infercnv_lite	PTC	qc	RAI_thyroid_z	16494	0.023824438103181526	0.023993217064090473	0.0020586767541869453
gene_bin_infercnv_lite	PTC	qc	EMT_stress_z	16494	0.012470932036909193	0.014954348748587976	0.054790556912059626
gene_bin_infercnv_lite	PTC	qc_composition	TACSTD2_z	16494	-0.21552418802274975	-0.04950394405907679	2.002374489803901e-10
gene_bin_infercnv_lite	PTC	qc_composition	TROP2_raw	16494	-0.22723859340532038	-0.02754523879136661	0.0004031551520692228
gene_bin_infercnv_lite	PTC	qc_composition	Macrophage_TAM_z	16494	0.15316499321970176	0.0708715482808115	8.03347675137388e-20
gene_bin_infercnv_lite	PTC	qc_composition	TLS_B_z	16494	0.03886054246818596	0.016852049553344652	0.03044279073860235
gene_bin_infercnv_lite	PTC	qc_composition	Tcell_cytotoxic_z	16494	0.05306496455763312	0.05641204982776453	4.1626181683204783e-13
gene_bin_infercnv_lite	PTC	qc_composition	RAI_thyroid_z	16494	0.024347737278052034	0.02454905033987138	0.0016157667029195765
gene_bin_infercnv_lite	PTC	qc_composition	EMT_stress_z	16494	0.01161600467097632	0.01406242076139991	0.07092230552288072
