cluster_1,,Epithelial cell,Epithelial cell,Myeloid cell,Myeloid cell
cluster_2,,Epithelial cell,Myeloid cell,Epithelial cell,Myeloid cell
source,target,,,,
CTSG,F2RL3,0.0286623243298398,0.11876993187738538,0.0,0.0
PRSS2,F2RL3,0.028551408713593067,0.11865901626113864,0.0,0.0
PRSS1,F2RL3,0.0,0.0,0.0,0.0
THBS4,CD36,0.12769911587172553,0.2317259620626329,0.0,0.0
MDK,PTPRB,0.21427051130507968,0.0,0.1568837699385277,0.0
CSF2,CSF2,0.0,0.0,0.0,0.0
IFNG,IFNG,0.00045091235995397877,0.0,0.0,0.0
IL13,IL13,0.0,0.0,0.0,0.0
IL1A,IL1B,0.002135151186719576,0.0,0.0,0.0
IL1B,IL1B,0.0039064225404534,0.0,0.0,0.0
IL1RN,IL1B,0.016447407051276446,0.0,0.0,0.0
IL2,IL2,0.00045444038412998126,0.1115879588668646,0.1115879588668646,0.2227214773495992
IL22,IL22,0.0,0.0,0.0,0.0
IL6,IL6,0.0011143409642937535,0.12281607207821621,0.12281607207821621,0.24451780319213867
CLU,TYROBP,1.9246651924659959,2.597685152606145,1.328387692953189,2.001407653093338
ICOS,CD40LG,0.0022939779357581884,0.1660494069253988,0.0,0.0
CCL26,CXCR6,0.00247573941314736,0.11952813351091197,0.0,0.0
VEGFA,MMP9,0.22914475778615906,0.6107081986019001,0.0,0.0
OSM,CXCL10,0.0011717593206942661,0.12235919205309118,0.0,0.0
THBS1,VCAM1,0.03282005380303168,0.14524932629498674,0.0,0.0
IFNG,TYMS,0.005022950822262247,0.11875018638551288,0.0,0.0
CSF1,VEGFA,0.25897329559077864,0.0,0.28496638601511565,0.0
VEGFA,CSF1,0.25897329559077864,0.28496638601511565,0.0,0.0
CSF2,FLT1,0.0,0.0,0.0,0.0
IFNG,CD74,0.7111305417221726,2.123216859123906,0.0,0.0
CCL1,CCR7,0.0,0.0,0.0,0.0
IL6,IL17A,0.0007435384700494011,0.0,0.12244526958397187,0.0
IL10,PTGS2,0.0,0.0,0.0,0.0
CXCL1,CXCR6,0.00606586888353591,0.12311826298130053,0.0,0.0
VWF,THBS1,0.26855897695970343,0.0,0.606697802013485,0.0
XCL2,CCR7,0.004050869484812626,0.11485888286614004,0.0,0.0
XCL1,CCR4,0.0,0.0,0.0,0.0
CSF2,PLAU,0.0,0.0,0.0,0.0
STC1,TNF,0.031100635948637788,0.0,0.0,0.0
CSF2,CD1A,0.0,0.0,0.0,0.0
CSF2,MMP9,0.0,0.0,0.0,0.0
IFNG,PTGS2,0.0033245152758478802,0.0,0.0,0.0
CXCL8,CCR6,0.01936911097797586,0.0,0.0,0.0
CTSG,THBD,0.05006959622056739,0.0,0.0,0.0
CCL2,TNF,0.01841087022505286,0.0,0.0,0.0
IL13,CXCL12,0.0,0.0,0.0,0.0
IL10,VEGFA,0.0,0.0,0.0,0.0
PPBP,CCR4,0.0,0.0,0.0,0.0
CXCL2,CXCR6,0.02126367362207895,0.13831606771984356,0.0,0.0
CXCL13,CCR6,0.0,0.0,0.0,0.0
IL2,CXCL12,0.1160365837114055,0.34739249679894263,0.22717010219414013,0.45852601528167725
IL6,VEGFA,0.22585194093641303,0.0,0.3475536720503355,0.0
CCL8,CCR4,0.0,0.0,0.0,0.0
CD40LG,C3,0.3119932181495328,0.8194337962071978,0.4757486471391734,0.9831892251968384
CXCL14,CCR7,0.06511390387078143,0.17592191725210887,0.31399877021534717,0.4248067835966746
CXCL11,CCR6,0.00336307828418996,0.0,0.0,0.0
CXCL11,CXCR6,0.0021580787472564988,0.11921047284502112,0.0,0.0
CXCL12,CCR6,0.11848669916404524,0.0,0.34984261225158236,0.0
CXCL9,CCR4,0.0,0.0,0.0,0.0
IL2,IDO1,0.01069721156716452,0.0598988357529145,0.12183073004989914,0.1710323542356491
CCL1,CXCR6,0.0,0.0,0.0,0.0
CCL11,PIK3C2G,0.0,0.0,0.0,0.0
IL1B,PLAUR,0.006338430366364603,0.12032561187193161,0.0,0.0
CCL7,CCR7,0.0,0.0,0.0,0.0
XCL1,CCR7,0.0031124079519420835,0.1139204213332695,0.0,0.0
CSF3,MMP9,0.0,0.0,0.0,0.0
IL1B,CSF1,0.03563173640673916,0.06162482683107621,0.0,0.0
CSF2,CDH11,0.0,0.0,0.0,0.0
ADIPOQ,TNF,0.0029300180151203723,0.0,0.0,0.0
TNF,CDK6,0.029618975087434763,0.0,0.0,0.0
CCL4,CCR7,0.013870089585314993,0.12467810296664242,0.3932232871634113,0.5040313005447388
CXCL1,CCR7,0.0073311557304459336,0.11813916911177336,0.0,0.0
CCL13,CCR6,0.004389386785209231,0.0,0.0,0.0
CXCL8,CCR7,0.01942939828795242,0.13023741166927985,0.0,0.0
IFNG,PIGR,0.0007108106472696336,0.0,0.0,0.0
CALCA,CDH11,0.0,0.0,0.0,0.0
CCL15,CCR6,0.00279717609641411,0.0,0.0,0.0
CSF3,TNF,0.0,0.0,0.0,0.0
CXCL2,CCR7,0.022528960468988973,0.1333369738503164,0.0,0.0
CXCL12,MMP13,0.0,0.0,0.0,0.0
CXCL12,CXCR6,0.11728169962711178,0.2343340937248764,0.3486376127146489,0.4656900068124135
PPBP,CXCR6,0.0016232122718919618,0.11867560636965659,0.0,0.0
IL22,MMP1,0.0,0.0,0.0,0.0
CD40LG,PTGS2,0.004922919304152032,0.0,0.16867834829379263,0.0
CCL5,MMP9,0.033670649340167474,0.41523409015590845,0.500915362580484,0.882478803396225
RELN,ITGB6,0.029318795818095697,0.0,0.0,0.0
IFNG,CTSL,0.18204319866050267,0.13737959824184628,0.0,0.0
CCL17,CCR6,0.004243045137818683,0.0,0.11622297198071344,0.0
IFNG,CTSK,0.03955062091455771,0.2873113668181504,0.0,0.0
CCL13,CXCR6,0.00318438724827577,0.12023678134604039,0.0,0.0
IFNG,CD40LG,0.0020493163882581303,0.16580474537789874,0.0,0.0
TNF,PTGS2,0.0045909076758117034,0.0,0.0,0.0
IL1A,ITGA6,0.0317469168345905,0.0,0.0,0.0
IL6,NOTCH3,0.12929527506245414,0.14745502290295376,0.2509970061763766,0.2691567540168762
IL1B,PTGS2,0.005052270366097591,0.0,0.0,0.0
IFNG,TPO,1.5243314959089103,0.38923802139540564,0.0,0.0
IGF1,HMOX1,0.02065958264830464,0.2732300958874279,0.0,0.0
SAA1,MMP9,0.004448365061712391,0.3860118058774534,0.0,0.0
CXCL11,CCR7,0.0034233655941665227,0.11423137897549394,0.0,0.0
CCL4,CXCR6,0.01260480273840497,0.12965719683616958,0.3919580003165013,0.5090103944142659
CCL2,CXCR6,0.01839135775288332,0.13544375185064794,0.0,0.0
COMP,ITGA6,0.04054658499275912,0.0,0.0,0.0
CXCL3,CXCR6,0.004433350754278693,0.12148574485204332,0.0,0.0
CCL20,CXCR6,0.0017231547973214896,0.11877554889508611,0.0,0.0
CCL18,CCR6,0.004278326543526426,0.0,0.15514899721239273,0.0
IFNG,KLRD1,0.002008548599897184,0.0,0.0,0.0
FLT4,FLT1,0.10440548110855224,0.0,0.1952772411992091,0.0
CCL3,CXCR6,0.00635696119001663,0.12340935528778126,0.0,0.0
CXCL2,CCR6,0.022468673159012412,0.0,0.0,0.0
CSF2,CEACAM5,0.0,0.0,0.0,0.0
FGF7,SFTPA1,0.0,0.0,0.0,0.0
VEGFA,PDGFRB,0.32021839303167543,0.3388404067902749,0.0,0.0
CCL1,CCR4,0.0,0.0,0.0,0.0
IL1B,MMP9,0.005803198602119591,0.38736663941786054,0.0,0.0
CCL3L1,CCR6,0.004112357706068263,0.0,0.0,0.0
CCL14,CCR6,0.18078639648611422,0.0,0.0,0.0
CCL2,VEGFA,0.2422137920993782,0.0,0.0,0.0
XCL1,CXCR6,0.0018471211050320598,0.11889951520279668,0.0,0.0
XCL2,CCR4,0.0,0.0,0.0,0.0
IL17A,TNF,0.001678216567843337,0.0,0.0,0.0
CCL18,CXCR6,0.003073327006592965,0.12012572110435758,0.15394399767545924,0.2709963917732239
TPSAB1,MMP2,0.0,0.0,0.0,0.0
CCL13,CCR7,0.004449674095185794,0.11525768747651322,0.0,0.0
IFNG,LOX,0.024630351641461164,0.1137710925159857,0.0,0.0
IL17A,MMP9,0.004036355319795415,0.38559979613553635,0.0,0.0
CXCL10,CXCR6,0.0025438049714436913,0.1195961990692083,0.1237312377038406,0.24078363180160522
CCL20,CCR4,0.0,0.0,0.0,0.0
CCL7,CXCR6,0.0,0.0,0.0,0.0
CD40LG,VEGFA,0.2271186306625473,0.0,0.3908740596521879,0.0
CSF3,BIRC3,0.0,0.0,0.0,0.0
XCL2,CXCR6,0.0027855826379026023,0.11983797673566722,0.0,0.0
IL20,PTGS2,0.0,0.0,0.0,0.0
IL6,MMP9,0.004407157814039768,0.3859705986297807,0.12610888892796224,0.5076723297437031
CCL8,CXCR6,0.0024858186808920284,0.11953821277865664,0.0,0.0
CCL21,CCR4,0.0,0.0,0.0,0.0
IL12B,CXCL9,0.0,0.0,0.0,0.0
NPPA,TNF,0.0016624478710402667,0.0,0.0,0.0
IL1B,MMP3,0.0,0.0,0.0,0.0
CCL7,CCR4,0.0,0.0,0.0,0.0
CCL14,CCR7,0.18084668379609078,0.2916546971774182,0.0,0.0
PPBP,CCR6,0.002828211808825423,0.0,0.0,0.0
TNF,CXCL10,0.002563317443613236,0.12375075017601014,0.0,0.0
IL6,HMOX1,0.0062452483386301084,0.2588157615777534,0.12794697945255257,0.38051749269167584
CCL22,CCR6,0.003149664379649739,0.0,0.0,0.0
CCL2,F3,0.13358250112064834,0.1391779232411814,0.0,0.0
MDK,VEGFA,0.3962271481568268,0.0,0.3388404067902749,0.0
IL2,FCER2,0.0,0.12248612178813433,0.0,0.23361964027086896
LEP,FLT1,0.0,0.0,0.0,0.0
CXCL14,CCR6,0.06505361656080487,0.0,0.31393848290537063,0.0
SPARC,MMP14,0.8048003308757784,0.8291084506921854,0.7691237334382292,0.7934318532546362
IL10,CD14,0.0,0.0,0.0,0.0
IL1A,CSF1,0.033860465053005336,0.059853555477342384,0.0,0.0
IL2,HSP90AA1,0.7305111697392451,0.4382438235824408,0.8416446882219797,0.5493773420651754
CCL5,CCR6,0.03249799765297931,0.0,0.49974271089329586,0.0
CCL2,CCR6,0.01959635728981678,0.0,0.0,0.0
CSF2,MMP14,0.0,0.0,0.0,0.0
PI3,TNF,0.0,0.0,0.0,0.0
OSM,PTGS2,0.003199349552892734,0.0,0.0,0.0
FGF7,PDGFRA,0.06823023342233997,0.0,0.0,0.0
CCL13,CCR4,0.0,0.0,0.0,0.0
COL6A3,ITGA6,0.09704178499694113,0.0,0.0,0.0
CCL3,CCR7,0.007622248036926654,0.11843026141825408,0.0,0.0
COMP,ITGB6,0.026859067127253243,0.0,0.0,0.0
IGFBP2,CD24,1.4881778914195347,0.8841570268195231,0.0,0.0
IL6,PTGS2,0.0036562295780177678,0.0,0.12535796069194022,0.0
IFNG,CXCL9,0.004139436489433076,0.0,0.0,0.0
CSF3,CXCL12,0.0,0.0,0.0,0.0
IGF1,FLT4,0.04262447490670043,0.1334962349973573,0.0,0.0
IL1B,PTGDS,0.06691005785225349,0.6975952653511899,0.0,0.0
FGFR4,MMP9,0.004903395485136221,0.3864668363008772,0.0,0.0
CXCL9,CCR7,0.006651603264137379,0.1174596166454648,0.0,0.0
IGF1,PDGFRB,0.10989512736923066,0.1285171411278301,0.0,0.0
S100B,BIRC3,0.01546101315507611,0.18055096710559446,0.0,0.0
VEGFA,PDGFRA,0.2689111598907902,0.0,0.0,0.0
IL17A,CXCL12,0.11599573150724304,0.34735164459478013,0.0,0.0
COL6A3,ITGB6,0.08335426713143526,0.0,0.0,0.0
OLR1,MMP3,0.0,0.0,0.0,0.0
CD160,KLRD1,0.0,0.0,0.0,0.0
CCL22,CXCR6,0.0019446648427162776,0.1189970589404809,0.0,0.0
CXCL1,CCR4,0.0,0.0,0.0,0.0
LAMA3,ITGB6,0.020667349237419287,0.0,0.13142309538860047,0.0
IL2,TNFRSF9,0.0002622513457251563,0.12248612178813433,0.11139576982845976,0.23361964027086896
TNF,INSR,0.10942182266412323,0.17470910047679902,0.0,0.0
IL6,TSHR,0.656614642402869,0.09464439369407111,0.7783163735167915,0.2163461248079936
CXCL6,CXCR6,0.0,0.0,0.0,0.0
LEP,F3,0.0,0.0,0.0,0.0
CCL1,CCR6,0.0,0.0,0.0,0.0
CCL2,CCR7,0.01965664459979334,0.13046465798112075,0.0,0.0
CCL26,CCR4,0.0,0.0,0.0,0.0
CXCL9,CCR6,0.006591315954160817,0.0,0.0,0.0
CCL8,CCR7,0.0037511055278020523,0.11455911890912947,0.0,0.0
