gene	lineage	n	median_effect	pct_essential
KCNN4	Lymphoid	96	-0.003916923488757201	0.0
KCNN4	Myeloid	45	0.0191803660594716	0.0
KCNN4	Ovary/Fallopian Tube	59	0.0234086899018854	0.0
KCNN4	Pancreas	48	-0.020609122793639953	0.0
KCNN4	Peripheral Nervous System	47	-0.006455317279425	0.0
KCNN4	Pleura	21	0.0411808957080976	0.047619047619047616
KCNN4	Prostate	10	-0.04197863219936595	0.0
KCNN4	Skin	75	0.0109265091219858	0.0
KCNN4	Soft Tissue	49	0.0311074236077417	0.0
KCNN4	Testis	5	0.0451191293601145	0.0
KCNN4	Thyroid	11	0.0252521233919581	0.0
KCNN4	Uterus	34	-0.04383352521985445	0.0
PAX8	Biliary Tract	34	-0.08786368984688014	0.0
PAX8	Bladder/Urinary Tract	34	-0.0817771747214899	0.029411764705882353
PAX8	Bowel	63	-0.1159109783000757	0.0
PAX8	Breast	53	-0.1333774237653339	0.03773584905660377
PAX8	CNS/Brain	91	-0.0670187647555903	0.0
PAX8	Cervix	18	-0.08279657544798591	0.05555555555555555
PAX8	Esophagus/Stomach	69	-0.0716482222922259	0.0
PAX8	Eye	15	-0.0903765595303203	0.0
PAX8	Head and Neck	77	-0.1058125857693613	0.0
PAX8	Kidney	35	-1.038745848211894	0.6857142857142857
PAX8	Liver	25	-0.0781264211575059	0.04
PAX8	Lung	126	-0.09312662432274575	0.007936507936507936
PAX8	Lymphoid	96	-0.1173041153369784	0.0
PAX8	Myeloid	45	-0.1126120046669513	0.0
PAX8	Ovary/Fallopian Tube	59	-0.708470458697492	0.559322033898305
PAX8	Pancreas	48	-0.08881457937623	0.0
PAX8	Peripheral Nervous System	47	-0.0703628589925404	0.0
PAX8	Pleura	21	-0.0776005177271023	0.047619047619047616
PAX8	Prostate	10	-0.142801582590334	0.0
PAX8	Skin	75	-0.1407834915970378	0.0
PAX8	Soft Tissue	49	-0.0979371870495484	0.04081632653061224
PAX8	Testis	5	-0.2296334331742651	0.0
PAX8	Thyroid	11	-0.172091205912938	0.09090909090909091
PAX8	Uterus	34	-0.5426550700312689	0.5
JAK1	Biliary Tract	34	0.03368737448895985	0.029411764705882353
JAK1	Bladder/Urinary Tract	34	-0.03865252663186575	0.0
JAK1	Bowel	63	-0.0025300405172093	0.0
JAK1	Breast	53	-0.0261813727922317	0.0
JAK1	CNS/Brain	91	-0.035718519426333	0.02197802197802198
JAK1	Cervix	18	-0.1615913134847153	0.1111111111111111
JAK1	Esophagus/Stomach	69	-0.1522669986628085	0.028985507246376812
JAK1	Eye	15	-0.0199433290817744	0.0
JAK1	Head and Neck	77	-0.0621951457695055	0.025974025974025976
JAK1	Kidney	35	-0.0153996397890865	0.0
JAK1	Liver	25	-0.0909295878979285	0.0
JAK1	Lung	126	-0.0953062506847342	0.023809523809523808
JAK1	Lymphoid	96	-0.07623111341567045	0.11458333333333333
JAK1	Myeloid	45	-0.0567276099156409	0.13333333333333333
JAK1	Ovary/Fallopian Tube	59	-0.0234954184473924	0.01694915254237288
JAK1	Pancreas	48	-0.038371836553219796	0.020833333333333332
JAK1	Peripheral Nervous System	47	-0.1367902844469908	0.0
JAK1	Pleura	21	-0.0889692921101211	0.047619047619047616
JAK1	Prostate	10	-0.10729921390256364	0.0
JAK1	Skin	75	0.0151652830916591	0.0
JAK1	Soft Tissue	49	-0.0530314875910036	0.02040816326530612
JAK1	Testis	5	-0.0165181700904557	0.0
JAK1	Thyroid	11	-0.0974066629524763	0.09090909090909091
JAK1	Uterus	34	-0.06691617631094296	0.0
JAK2	Biliary Tract	34	0.12915802532677145	0.0
JAK2	Bladder/Urinary Tract	34	0.16510870593280444	0.0
JAK2	Bowel	63	0.1486707798703878	0.0
JAK2	Breast	53	0.141475766691284	0.0
JAK2	CNS/Brain	91	0.1116907401089391	0.0
JAK2	Cervix	18	0.14697434319648625	0.0
JAK2	Esophagus/Stomach	69	0.1472045221257707	0.0
JAK2	Eye	15	0.084252980900818	0.0
JAK2	Head and Neck	77	0.102409207129253	0.0
JAK2	Kidney	35	0.1123371692542151	0.0
JAK2	Liver	25	0.1797824181753019	0.0
JAK2	Lung	126	0.16151483648470216	0.0
JAK2	Lymphoid	96	0.11064203838830095	0.0
JAK2	Myeloid	45	0.083559180397853	0.17777777777777778
JAK2	Ovary/Fallopian Tube	59	0.1437190293186361	0.0
JAK2	Pancreas	48	0.13346297526555356	0.0
JAK2	Peripheral Nervous System	47	0.1574731640598485	0.0
JAK2	Pleura	21	0.1167841052834377	0.0
JAK2	Prostate	10	0.13958871545113316	0.0
JAK2	Skin	75	0.1416954825947443	0.0
JAK2	Soft Tissue	49	0.1576810094217085	0.0
JAK2	Testis	5	0.1225685006510133	0.0
JAK2	Thyroid	11	0.0795498580028989	0.0
JAK2	Uterus	34	0.13600759674198692	0.0
STAT3	Biliary Tract	34	-0.08343539001307655	0.029411764705882353
STAT3	Bladder/Urinary Tract	34	-0.0602863620512059	0.0
STAT3	Bowel	63	-0.065596020825255	0.0
STAT3	Breast	53	-0.0439598345638126	0.018867924528301886
STAT3	CNS/Brain	91	-0.0624431275028469	0.01098901098901099
STAT3	Cervix	18	-0.21180224991673305	0.05555555555555555
STAT3	Esophagus/Stomach	69	-0.115189860472787	0.014492753623188406
STAT3	Eye	15	-0.076250258716431	0.0
STAT3	Head and Neck	77	-0.0674494265348266	0.0
STAT3	Kidney	35	-0.0428444790863503	0.05714285714285714
STAT3	Liver	25	-0.0113875836410204	0.0
STAT3	Lung	126	-0.11656311056043445	0.05555555555555555
STAT3	Lymphoid	96	-0.10864592758090355	0.14583333333333334
STAT3	Myeloid	45	-0.1183621625868784	0.06666666666666667
STAT3	Ovary/Fallopian Tube	59	-0.0895267680735553	0.0
STAT3	Pancreas	48	-0.0905100107180272	0.020833333333333332
STAT3	Peripheral Nervous System	47	-0.0693905758605174	0.0
STAT3	Pleura	21	-0.0800831359034688	0.047619047619047616
STAT3	Prostate	10	-0.1328358974962926	0.0
STAT3	Skin	75	-0.0742933851731302	0.0
STAT3	Soft Tissue	49	-0.1256236120684045	0.0
STAT3	Testis	5	-0.0614283374871501	0.0
STAT3	Thyroid	11	-0.1006250698793496	0.0
STAT3	Uterus	34	-0.08208400606839611	0.0
FOXE1	Biliary Tract	34	-0.0073523627164997	0.0
FOXE1	Bladder/Urinary Tract	34	-0.0162824004149792	0.029411764705882353
FOXE1	Bowel	63	-0.0349155148997381	0.015873015873015872
FOXE1	Breast	53	0.0111761898747435	0.0
FOXE1	CNS/Brain	91	-0.018313009859006	0.0
FOXE1	Cervix	18	0.03637242112829595	0.0
FOXE1	Esophagus/Stomach	69	-0.038769579557363	0.0
FOXE1	Eye	15	-0.0155740134439929	0.0
FOXE1	Head and Neck	77	-0.0058685053288879	0.025974025974025976
FOXE1	Kidney	35	-0.0074554867933364	0.02857142857142857
FOXE1	Liver	25	-0.0656261403904053	0.04
FOXE1	Lung	126	-0.02181750622996515	0.0
FOXE1	Lymphoid	96	0.00241189707317925	0.0
FOXE1	Myeloid	45	-0.0427723174423742	0.0
FOXE1	Ovary/Fallopian Tube	59	-0.0340234573279326	0.01694915254237288
FOXE1	Pancreas	48	0.0131653120554286	0.0
FOXE1	Peripheral Nervous System	47	-0.032316106353138	0.0
FOXE1	Pleura	21	-0.0538302906467894	0.0
FOXE1	Prostate	10	-0.0511902571441009	0.0
FOXE1	Skin	75	-0.0258416958347283	0.0
FOXE1	Soft Tissue	49	-0.0219151428869309	0.04081632653061224
FOXE1	Testis	5	-0.0364108159270487	0.0
FOXE1	Thyroid	11	0.0093503464018936	0.0
FOXE1	Uterus	34	-0.0127087057951414	0.0
NKX2-1	Biliary Tract	34	0.0488633446326484	0.0
NKX2-1	Bladder/Urinary Tract	34	-0.0009714837867415499	0.0
NKX2-1	Bowel	63	0.0041456441929305	0.0
NKX2-1	Breast	53	-0.0002722650377901	0.0
NKX2-1	CNS/Brain	91	-0.0242685149862209	0.0
NKX2-1	Cervix	18	0.03311602872579265	0.0
NKX2-1	Esophagus/Stomach	69	0.0021508456956443	0.028985507246376812
NKX2-1	Eye	15	0.0073574816568865	0.0
NKX2-1	Head and Neck	77	0.0169385203222459	0.0
NKX2-1	Kidney	35	-0.0235175562105713	0.0
NKX2-1	Liver	25	-0.040479607573101	0.0
NKX2-1	Lung	126	-0.05951192685046415	0.1349206349206349
NKX2-1	Lymphoid	96	-0.0108401013814391	0.0
NKX2-1	Myeloid	45	-0.005825138894711	0.0
NKX2-1	Ovary/Fallopian Tube	59	-0.0082532437528608	0.0
NKX2-1	Pancreas	48	0.01156661344062775	0.0
NKX2-1	Peripheral Nervous System	47	-0.0137958617446844	0.0
NKX2-1	Pleura	21	0.0139442667942262	0.0
NKX2-1	Prostate	10	-0.053893233847061746	0.0
NKX2-1	Skin	75	-0.027121186424667	0.0
NKX2-1	Soft Tissue	49	-0.0166886416023127	0.0
NKX2-1	Testis	5	-0.0714776872699034	0.0
NKX2-1	Thyroid	11	0.0173197258270695	0.09090909090909091
NKX2-1	Uterus	34	0.0251754609786604	0.0
HHEX	Biliary Tract	34	-0.0458122038728229	0.0
HHEX	Bladder/Urinary Tract	34	-0.0887680838989426	0.0
HHEX	Bowel	63	0.0027922843422961	0.0
HHEX	Breast	53	-0.0830403140311986	0.0
HHEX	CNS/Brain	91	-0.0477751567919042	0.0
HHEX	Cervix	18	-0.03372313250594805	0.0
HHEX	Esophagus/Stomach	69	-0.0529738030310531	0.0
HHEX	Eye	15	-0.139594327836324	0.0
HHEX	Head and Neck	77	-0.0453692210084026	0.012987012987012988
HHEX	Kidney	35	-0.0553281114363052	0.0
HHEX	Liver	25	-0.1151647628116011	0.08
HHEX	Lung	126	-0.0483211677484596	0.0
HHEX	Lymphoid	96	-0.026687140603432247	0.03125
HHEX	Myeloid	45	-0.1842663871403934	0.2222222222222222
HHEX	Ovary/Fallopian Tube	59	-0.0659453487250746	0.0
HHEX	Pancreas	48	-0.0016843420040742	0.0
HHEX	Peripheral Nervous System	47	-0.0235946469743303	0.0
HHEX	Pleura	21	-0.0473068089224328	0.0
HHEX	Prostate	10	-0.08944909100767215	0.0
HHEX	Skin	75	-0.0701627585036097	0.013333333333333334
HHEX	Soft Tissue	49	-0.0617870751930732	0.0
HHEX	Testis	5	-0.1213944444474866	0.0
HHEX	Thyroid	11	-0.1125990672791995	0.0
HHEX	Uterus	34	-0.01361544887988495	0.029411764705882353
FYN	Biliary Tract	34	0.061073271655988456	0.0
FYN	Bladder/Urinary Tract	34	0.03786556847084985	0.0
FYN	Bowel	63	0.0222086910392922	0.0
FYN	Breast	53	0.0025883561355918	0.0
FYN	CNS/Brain	91	0.0288849722668848	0.0
FYN	Cervix	18	-0.03224492614016315	0.0
FYN	Esophagus/Stomach	69	0.0490920472150776	0.0
FYN	Eye	15	0.0107120547662603	0.0
FYN	Head and Neck	77	0.0603334154688265	0.0
FYN	Kidney	35	0.0288813458396196	0.0
FYN	Liver	25	0.017735618282457	0.0
FYN	Lung	126	0.0249689848477812	0.0
FYN	Lymphoid	96	0.00821594357039825	0.0
FYN	Myeloid	45	0.0230655756640154	0.0
FYN	Ovary/Fallopian Tube	59	0.019536591962691	0.0
FYN	Pancreas	48	-0.0166608416780546	0.0
FYN	Peripheral Nervous System	47	-0.0451041822828716	0.0
FYN	Pleura	21	0.0543170560568851	0.0
FYN	Prostate	10	0.0051055903489140506	0.0
FYN	Skin	75	0.0310294914748067	0.0
FYN	Soft Tissue	49	0.0358746392329275	0.0
FYN	Testis	5	-0.0383067109433012	0.0
FYN	Thyroid	11	0.0312736464587477	0.0
FYN	Uterus	34	0.03044778546163595	0.0
SRC	Biliary Tract	34	-0.16872225922153516	0.08823529411764706
SRC	Bladder/Urinary Tract	34	-0.1362203624835012	0.08823529411764706
SRC	Bowel	63	-0.1081965711286077	0.047619047619047616
SRC	Breast	53	-0.0544311531510625	0.018867924528301886
SRC	CNS/Brain	91	-0.0705660962399779	0.0
SRC	Cervix	18	-0.07525999832250505	0.0
SRC	Esophagus/Stomach	69	-0.0355618555196848	0.043478260869565216
SRC	Eye	15	-0.0728093491929958	0.06666666666666667
SRC	Head and Neck	77	-0.1347688460649326	0.05194805194805195
SRC	Kidney	35	-0.1536876703165647	0.08571428571428572
SRC	Liver	25	-0.1333840083425184	0.08
SRC	Lung	126	-0.07454035033973225	0.031746031746031744
SRC	Lymphoid	96	-0.05413175908474405	0.0
SRC	Myeloid	45	-0.0759698290895191	0.0
SRC	Ovary/Fallopian Tube	59	-0.0505382607707509	0.0
SRC	Pancreas	48	-0.14883994595542238	0.14583333333333334
SRC	Peripheral Nervous System	47	-0.117687890399781	0.0425531914893617
SRC	Pleura	21	-0.0956056331613259	0.047619047619047616
SRC	Prostate	10	-0.08697903390837125	0.1
SRC	Skin	75	-0.0773748268161426	0.04
SRC	Soft Tissue	49	-0.0997576862922928	0.02040816326530612
SRC	Testis	5	-0.2068518695972093	0.0
SRC	Thyroid	11	-0.0828835531940256	0.09090909090909091
SRC	Uterus	34	-0.0667755535377631	0.0
DNMT1	Biliary Tract	34	-0.5945331255896857	0.7058823529411765
DNMT1	Bladder/Urinary Tract	34	-0.5323773563647101	0.6470588235294118
DNMT1	Bowel	63	-0.6140938201060192	0.6984126984126984
DNMT1	Breast	53	-0.5106921832828704	0.5283018867924528
DNMT1	CNS/Brain	91	-0.6329145695811473	0.6813186813186813
DNMT1	Cervix	18	-0.640511802923076	0.8888888888888888
DNMT1	Esophagus/Stomach	69	-0.5477549420170124	0.6666666666666666
DNMT1	Eye	15	-0.6072937755800167	0.8666666666666667
DNMT1	Head and Neck	77	-0.5275972498044965	0.5584415584415584
DNMT1	Kidney	35	-0.6026541769206012	0.7142857142857143
DNMT1	Liver	25	-0.555169038868499	0.72
DNMT1	Lung	126	-0.6033421839562975	0.6587301587301587
DNMT1	Lymphoid	96	-0.6317535198112304	0.7604166666666666
DNMT1	Myeloid	45	-0.5945799986334628	0.7111111111111111
DNMT1	Ovary/Fallopian Tube	59	-0.5942319277813221	0.7796610169491526
DNMT1	Pancreas	48	-0.5906330490936118	0.7708333333333334
DNMT1	Peripheral Nervous System	47	-0.5748246670271041	0.6808510638297872
DNMT1	Pleura	21	-0.5835693602099346	0.6666666666666666
DNMT1	Prostate	10	-0.5206669512121253	0.6
DNMT1	Skin	75	-0.5917532246430479	0.7866666666666666
DNMT1	Soft Tissue	49	-0.615323971920645	0.6938775510204082
DNMT1	Testis	5	-0.4036256306242212	0.4
DNMT1	Thyroid	11	-0.5689359927374233	1.0
DNMT1	Uterus	34	-0.5846707461293525	0.8529411764705882
EZH2	Biliary Tract	34	0.0743338320119285	0.029411764705882353
EZH2	Bladder/Urinary Tract	34	0.06265625600930555	0.0
EZH2	Bowel	63	-0.0602005845021954	0.06349206349206349
EZH2	Breast	53	-0.0626018824945595	0.07547169811320754
EZH2	CNS/Brain	91	0.03696735217231	0.08791208791208792
EZH2	Cervix	18	0.00503920058774635	0.0
EZH2	Esophagus/Stomach	69	-0.0693222349733932	0.08695652173913043
EZH2	Eye	15	0.0653296409529287	0.0
EZH2	Head and Neck	77	0.0750939801234282	0.012987012987012988
EZH2	Kidney	35	-0.0178453845733911	0.05714285714285714
EZH2	Liver	25	0.021338153070604	0.0
EZH2	Lung	126	-0.0064780821102901	0.023809523809523808
EZH2	Lymphoid	96	-0.3240674577324631	0.2708333333333333
EZH2	Myeloid	45	-0.0630460771320694	0.17777777777777778
EZH2	Ovary/Fallopian Tube	59	-0.0187679627488249	0.06779661016949153
EZH2	Pancreas	48	0.1364224314388714	0.0
EZH2	Peripheral Nervous System	47	-0.1408831558004551	0.10638297872340426
EZH2	Pleura	21	-0.0512507465602133	0.047619047619047616
EZH2	Prostate	10	-0.0379921193490465	0.2
EZH2	Skin	75	0.0305316181034104	0.0
EZH2	Soft Tissue	49	-0.0082611476936108	0.08163265306122448
EZH2	Testis	5	0.0008003836343031	0.0
EZH2	Thyroid	11	0.1522171139648269	0.09090909090909091
EZH2	Uterus	34	0.02606640671396865	0.058823529411764705
MYC	Biliary Tract	34	-2.2431897079340084	1.0
MYC	Bladder/Urinary Tract	34	-2.2909362542721015	0.9705882352941176
MYC	Bowel	63	-2.117496572328789	0.9841269841269841
MYC	Breast	53	-1.995054196280928	1.0
MYC	CNS/Brain	91	-1.704167309567036	0.967032967032967
MYC	Cervix	18	-1.7086192485929907	1.0
MYC	Esophagus/Stomach	69	-2.151613816491139	1.0
MYC	Eye	15	-2.1081633498328087	0.8666666666666667
MYC	Head and Neck	77	-2.277416776051324	0.987012987012987
MYC	Kidney	35	-1.6182125094639122	1.0
MYC	Liver	25	-1.8842347700795772	1.0
MYC	Lung	126	-2.2325899799596014	0.9126984126984127
MYC	Lymphoid	96	-2.3812639445039214	1.0
MYC	Myeloid	45	-2.3955594937798947	1.0
MYC	Ovary/Fallopian Tube	59	-1.8395337463540569	1.0
MYC	Pancreas	48	-2.5691115074721376	1.0
MYC	Peripheral Nervous System	47	-0.224552516233325	0.3829787234042553
MYC	Pleura	21	-1.987293734972856	1.0
MYC	Prostate	10	-2.311509711717022	1.0
MYC	Skin	75	-2.030549039126381	1.0
MYC	Soft Tissue	49	-1.9434854261976529	0.8979591836734694
MYC	Testis	5	-0.9435069939958436	0.8
MYC	Thyroid	11	-1.962631328541318	1.0
MYC	Uterus	34	-1.2829720117647987	0.8823529411764706
SLC5A5	Biliary Tract	34	-0.16978724601744433	0.0
SLC5A5	Bladder/Urinary Tract	34	-0.126367464521431	0.0
SLC5A5	Bowel	63	-0.1833001232058972	0.0
SLC5A5	Breast	53	-0.1578524093716075	0.018867924528301886
SLC5A5	CNS/Brain	91	-0.1602588069238163	0.01098901098901099
SLC5A5	Cervix	18	-0.1544673044639583	0.0
SLC5A5	Esophagus/Stomach	69	-0.1857012133422385	0.014492753623188406
SLC5A5	Eye	15	-0.1482033965017086	0.0
SLC5A5	Head and Neck	77	-0.1802693580569451	0.0
SLC5A5	Kidney	35	-0.1530801097569504	0.05714285714285714
SLC5A5	Liver	25	-0.1389569766427534	0.0
SLC5A5	Lung	126	-0.1781670414553789	0.015873015873015872
SLC5A5	Lymphoid	96	-0.14496698767816746	0.0
SLC5A5	Myeloid	45	-0.1619144177445457	0.0
SLC5A5	Ovary/Fallopian Tube	59	-0.158832372036139	0.0
SLC5A5	Pancreas	48	-0.17617976089113468	0.0
SLC5A5	Peripheral Nervous System	47	-0.1606663944239093	0.02127659574468085
SLC5A5	Pleura	21	-0.1664568689795329	0.047619047619047616
SLC5A5	Prostate	10	-0.13669169438093431	0.0
SLC5A5	Skin	75	-0.1508283381473793	0.0
SLC5A5	Soft Tissue	49	-0.1527441373525616	0.0
SLC5A5	Testis	5	-0.4026050049695955	0.0
SLC5A5	Thyroid	11	-0.1601467907136284	0.0
SLC5A5	Uterus	34	-0.1690489280527969	0.029411764705882353
TPO	Biliary Tract	34	-0.04109211966574525	0.0
TPO	Bladder/Urinary Tract	34	0.0281880763635369	0.0
TPO	Bowel	63	-0.0184426284263958	0.0
TPO	Breast	53	0.0211633115479965	0.0
TPO	CNS/Brain	91	-0.0044973575677816	0.0
TPO	Cervix	18	0.0286689229652088	0.0
TPO	Esophagus/Stomach	69	0.0111690907819539	0.0
TPO	Eye	15	-0.1392053199250892	0.0
TPO	Head and Neck	77	0.0495415112460844	0.0
TPO	Kidney	35	0.0069351446218358	0.0
TPO	Liver	25	-0.0092024014865787	0.0
TPO	Lung	126	-0.0111083093499556	0.0
TPO	Lymphoid	96	-0.01003817748982345	0.0
TPO	Myeloid	45	-0.0067861070418196	0.0
TPO	Ovary/Fallopian Tube	59	0.0070259656228057	0.0
TPO	Pancreas	48	-0.0191294234255015	0.0
TPO	Peripheral Nervous System	47	-0.0483083303379127	0.0
TPO	Pleura	21	-0.0468032291189142	0.0
TPO	Prostate	10	-0.00800705146248995	0.0
TPO	Skin	75	-0.0286518611704124	0.0
TPO	Soft Tissue	49	-0.0130649959185096	0.0
TPO	Testis	5	-0.0719172595756017	0.0
TPO	Thyroid	11	-0.0567780791062033	0.0
TPO	Uterus	34	-0.0072874901496502	0.0
TG	Biliary Tract	34	0.0197414073624176	0.0
TG	Bladder/Urinary Tract	34	0.04104823840139075	0.0
TG	Bowel	63	0.0234858449695874	0.0
TG	Breast	53	0.0250473963136376	0.0
TG	CNS/Brain	91	0.0305650672163658	0.0
TG	Cervix	18	0.0291363869826737	0.0
TG	Esophagus/Stomach	69	0.0226631041106891	0.0
TG	Eye	15	-0.0338021774936875	0.0
TG	Head and Neck	77	0.0175664769229739	0.0
TG	Kidney	35	0.0077944543798394	0.0
TG	Liver	25	0.0152797370093158	0.0
TG	Lung	126	0.01960833426882945	0.0
TG	Lymphoid	96	-0.0005136915916694499	0.0
TG	Myeloid	45	-0.0084952681958696	0.0
TG	Ovary/Fallopian Tube	59	0.0169855166352458	0.0
TG	Pancreas	48	0.0101197923628243	0.0
TG	Peripheral Nervous System	47	-0.013457903909805	0.0
TG	Pleura	21	0.0296435502441631	0.0
TG	Prostate	10	-0.0660042871218601	0.0
TG	Skin	75	0.0090615545981272	0.0
TG	Soft Tissue	49	0.0368739476642214	0.0
TG	Testis	5	-0.0556030080987341	0.0
TG	Thyroid	11	0.0090338100933904	0.0
TG	Uterus	34	-0.00288109572632025	0.0
TSHR	Biliary Tract	34	0.1062364334294951	0.0
TSHR	Bladder/Urinary Tract	34	0.07999546072106595	0.0
TSHR	Bowel	63	0.0863265868202272	0.0
TSHR	Breast	53	0.0979512903749297	0.0
TSHR	CNS/Brain	91	0.0852793330339201	0.0
TSHR	Cervix	18	0.08530768914923426	0.0
TSHR	Esophagus/Stomach	69	0.1061870734866203	0.0
TSHR	Eye	15	0.0719199168179482	0.0
TSHR	Head and Neck	77	0.0944250557615028	0.0
TSHR	Kidney	35	0.1166350807790062	0.0
TSHR	Liver	25	0.1226315270178314	0.0
TSHR	Lung	126	0.11513196598757694	0.0
TSHR	Lymphoid	96	0.10185953989799926	0.0
TSHR	Myeloid	45	0.1352137521286353	0.0
TSHR	Ovary/Fallopian Tube	59	0.1219093591583025	0.0
TSHR	Pancreas	48	0.0837208111405946	0.0
TSHR	Peripheral Nervous System	47	0.1530680226177004	0.0
TSHR	Pleura	21	0.1001559226440455	0.0
TSHR	Prostate	10	0.10993178194383675	0.0
TSHR	Skin	75	0.095223058549419	0.0
TSHR	Soft Tissue	49	0.0997838393505724	0.0
TSHR	Testis	5	0.0474095435773351	0.0
TSHR	Thyroid	11	0.1100587666811199	0.0
TSHR	Uterus	34	0.0988564877663522	0.0
PAX8	Biliary Tract	34	-0.08786368984688014	0.0
PAX8	Bladder/Urinary Tract	34	-0.0817771747214899	0.029411764705882353
PAX8	Bowel	63	-0.1159109783000757	0.0
