cohort	score	n	n_R	n_NR	logOR	se	OR	lo	hi	p	cohens_d	auc	fdr
riaz_GSE91061	checkpoint_exhaustion	49	10	39	0.6138123078669475	0.3726201814161776	1.847461081024314	0.8900094060567041	3.8349172746631304	0.09949910889138776	0.6079251165643281	0.6538461538461539	0.2674302163964926
GSE176307	cytolytic_GZMA_PRF1	61	11	50	0.057550917746288115	0.32993275921840926	1.0592392033546696	0.5548168108165554	2.0222669321647664	0.861525760953761	0.057162285845333075	0.5127272727272727	0.861525760953761
IMvigor210	cytolytic_GZMA_PRF1	298	68	230	0.2523970362293518	0.1367363035317161	1.2871069639456687	0.9845150257605507	1.6827009169897205	0.06491151308220251	0.25718652488682797	0.5793478260869566	0.25964605232881005
MGH_GSE115821	cytolytic_GZMA_PRF1	13	2	11	-0.17983836423572122	0.815388203163207	0.8354052318620457	0.16897588907445893	4.1301862960753475	0.8254385427038798	-0.15675197760666662	0.4090909090909091	0.861525760953761
riaz_GSE91061	cytolytic_GZMA_PRF1	49	10	39	0.42348398837919454	0.37172388716844657	1.5272732996463174	0.7370534759491815	3.1647143768078183	0.2546016447192312	0.4069056504545123	0.6230769230769231	0.5092032894384624
GSE176307	myeloid_suppressive	61	11	50	0.07423654362551274	0.33250060614368965	1.0770615474095688	0.5613197090584237	2.066668171787912	0.8233274030833923	0.07318908026005222	0.5381818181818182	0.8233274030833923
IMvigor210	myeloid_suppressive	298	68	230	-0.20845429556279152	0.13844047490426536	0.8118381384598569	0.6189086299161544	1.0649086653505762	0.1321359070938614	-0.20872886771304655	0.43849104859335036	0.49295790479444146
MGH_GSE115821	myeloid_suppressive	13	2	11	4.480907836164882	3.8663708243298194	88.31481167353925	0.04517646653902853	172645.32971374848	0.24647895239722073	1.834256260052605	0.9090909090909091	0.49295790479444146
riaz_GSE91061	myeloid_suppressive	49	10	39	0.2332473677901211	0.3552613137831652	1.2626937904703583	0.629351844639977	2.5333930806296143	0.5114693079146235	0.23001406340663705	0.5538461538461539	0.681959077219498
GSE176307	DM1_inflam_composite	61	11	50	0.18796511472195387	0.3325335099391983	1.206791415361206	0.6288889645833771	2.315743481290525	0.5719026110102166	0.1861712635714674	0.5618181818181818	0.5719026110102166
IMvigor210	DM1_inflam_composite	298	68	230	0.11543678645745846	0.13861707074028826	1.1223635637288938	0.855343041662247	1.4727424060622052	0.40497181836122886	0.11483121694110167	0.5410485933503836	0.5399624244816384
MGH_GSE115821	DM1_inflam_composite	13	2	11	1.1082259529194893	0.8521767433503062	3.0289800718940794	0.5700447205948995	16.09473773628973	0.19344167494295417	1.1217059771084241	0.8181818181818182	0.3906654932013962
riaz_GSE91061	DM1_inflam_composite	49	10	39	0.49345416743719	0.38105636578786967	1.6379642625162012	0.7761446981395155	3.4567354923784768	0.1953327466006981	0.46648648456848063	0.6333333333333333	0.3906654932013962
GSE176307	lineage_portable_DM1	61	11	50	0.38712477713529997	0.3221360807037115	1.4727402441175221	0.7832824335704176	2.7690699212499927	0.22946311912710282	0.4049584905865089	0.6	0.3059508255028038
IMvigor210	lineage_portable_DM1	298	68	230	0.07309011844129562	0.1373545794090407	1.0758274844422588	0.8219096069388897	1.4081898623766949	0.5946378459113708	0.07327559863794579	0.5228900255754476	0.5946378459113708
MGH_GSE115821	lineage_portable_DM1	13	2	11	4.289025460415582	3.2735845101079124	72.89539442561906	0.11917048317377767	44589.38477842655	0.1901307649509565	2.0771556802815776	0.9545454545454546	0.3059508255028038
riaz_GSE91061	lineage_portable_DM1	49	10	39	0.518971822974672	0.37106293878236524	1.6802991162849477	0.8119540435472755	3.477296704937938	0.16193038143749527	0.5069218133615779	0.6256410256410256	0.3059508255028038
GSE176307	TLS_CXCL13_like	61	11	50	-0.10057804979050775	0.33527562960364365	0.9043145280987895	0.46873472738187116	1.7446643441553658	0.7641877099012606	-0.0984050487352943	0.49272727272727274	0.9081647573730958
IMvigor210	TLS_CXCL13_like	298	68	230	0.03330039068062476	0.13703421732469304	1.0338610548269074	0.7903442449949245	1.3524090134858509	0.8079993154237107	0.033438667738723477	0.52653452685422	0.9081647573730958
MGH_GSE115821	TLS_CXCL13_like	13	2	11	0.08807539768831917	0.7635245318621287	1.0920704585122216	0.24452623266442222	4.877259479933974	0.9081647573730958	0.08167147348756557	0.45454545454545453	0.9081647573730958
riaz_GSE91061	TLS_CXCL13_like	49	10	39	0.5738545804435602	0.33121334218738074	1.7750961321943384	0.9274433447036529	3.397475755824343	0.0831698267311337	0.6709344002560625	0.6025641025641025	0.3326793069245348
