sample_id	condition	infercnv_clone_raw	infercnv_t00_territory	infercnv_aneuploidy_territory	n_spots	mean_t00_signature	mean_aneuploidy	mean_bin_sd
GSM7980869_LPTC-2	LPTC	0	T2_high	A2_high	1116	0.01847668062125377	0.13232150764090067	0.07963713912066935
GSM7980869_LPTC-2	LPTC	1	T0_low	A1_mid	1323	-0.013699209372385605	0.1208933938474951	0.07976988448693073
GSM7980869_LPTC-2	LPTC	2	T1_mid	A0_low	1735	0.011390593812318064	0.07119968055360619	0.08655787548013644
GSM7980870_LPTC-3	LPTC	0	T2_high	A0_low	1044	0.0022247904072516585	0.08622590527980128	0.09289456211594956
GSM7980870_LPTC-3	LPTC	1	T1_mid	A1_mid	1407	-0.002525675258017267	0.1462418972377474	0.08098043835572319
GSM7980870_LPTC-3	LPTC	2	T0_low	A2_high	2182	-0.02280243938276096	0.1691204316699892	0.07661706212130567
GSM7980871_LPTC-4	LPTC	0	T0_low	A2_high	3034	-0.01774619004076082	0.1159313576722222	0.06789497069222547
GSM7980871_LPTC-4	LPTC	1	T1_mid	A1_mid	744	0.0009111173503366114	0.09538581607190615	0.08053745921368206
GSM7980871_LPTC-4	LPTC	2	T2_high	A0_low	959	0.01454869873380828	0.07219131524364024	0.08453033209275652
GSM7980872_ATC-1	ATC	0	T2_high	A2_high	1857	0.07608214005032742	0.1652335148005216	0.12727856069536733
GSM7980872_ATC-1	ATC	1	T0_low	A0_low	1256	0.013905492908166329	0.09961393048662856	0.111399744495474
GSM7980872_ATC-1	ATC	2	T1_mid	A1_mid	1609	0.039547000884055473	0.10618634371690969	0.12290212941792424
GSM7980873_ATC-2	ATC	0	T1_mid	A0_low	451	-0.003986967520655813	0.09215485076357521	0.11210813652868604
GSM7980873_ATC-2	ATC	1	T2_high	A2_high	1009	0.0046401552722447	0.17142007312407437	0.12168297030707155
GSM7980873_ATC-2	ATC	2	T0_low	A1_mid	1224	-0.01653321591237257	0.14443785297508946	0.09050521616609299
GSM7980874_ATC-3	ATC	0	T0_low	A1_mid	681	-0.027275553605574085	0.12700704169717403	0.1067116715819128
GSM7980874_ATC-3	ATC	1	T2_high	A0_low	62	-0.021152738021308317	0.08713093904568141	0.10261586930560554
GSM7980874_ATC-3	ATC	2	T1_mid	A2_high	879	-0.026911445009971148	0.15212557432354423	0.11053262328791463
GSM7980875_ATC-4	ATC	0	T0_low	A1_mid	495	-0.02009043850770612	0.09018974989194423	0.07913148137415958
GSM7980875_ATC-4	ATC	1	T2_high	A2_high	705	-0.0015851751668544895	0.09271728680239108	0.08221056060692089
GSM7980875_ATC-4	ATC	2	T1_mid	A0_low	1394	-0.010317394287095584	0.06275829841381243	0.08108166244524252
