lineage	axis	n	spearman_r	p	fdr
thymoma	DM1_like	122	-0.06148614934191612	0.5010858057255603	0.5561027213318516
rectum adenocarcinoma	DM1_like	171	-0.05125638994888042	0.5055479284835014	0.5561027213318516
sarcoma	DM1_like	265	0.02076116534905016	0.7365648053521827	0.7840851153749041
pheochromocytoma & paraganglioma	DM1_like	187	0.014035139231957837	0.8487997120598917	0.8753247030617634
head & neck squamous cell carcinoma	DM1_like	566	-0.006118731025701225	0.884514458584318	0.884514458584318
breast invasive carcinoma	DM1_portable	1218	0.360434401177421	1.1332451006217509e-38	3.626384321989603e-37
lung adenocarcinoma	DM1_portable	576	0.4711270188129505	3.6643626286777506e-33	5.862980205884401e-32
kidney clear cell carcinoma	DM1_portable	606	0.3207560863919251	5.744300147491659e-16	6.12725349065777e-15
thyroid carcinoma	DM1_portable	572	0.29608316331342893	4.884045204394309e-13	3.907236163515447e-12
lung squamous cell carcinoma	DM1_portable	560	-0.26212546832474526	2.983361126858497e-10	1.909351121189438e-09
stomach adenocarcinoma	DM1_portable	450	0.282897528712076	9.980662480959161e-10	5.193351747701163e-09
uterine corpus endometrioid carcinoma	DM1_portable	567	0.25212865993237266	1.1360456948096293e-09	5.193351747701163e-09
brain lower grade glioma	DM1_portable	558	0.24587767816882589	3.96384675083702e-09	1.585538700334808e-08
uveal melanoma	DM1_portable	80	0.5761837787154244	2.239795527159448e-08	7.963717429900259e-08
skin cutaneous melanoma	DM1_portable	474	0.23536078132548707	2.176057988304742e-07	6.963385562575174e-07
head & neck squamous cell carcinoma	DM1_portable	566	0.2032165288364669	1.0883931618054387e-06	3.1662346525249124e-06
prostate adenocarcinoma	DM1_portable	550	0.20473539056026932	1.2858511921506506e-06	3.428936512401735e-06
rectum adenocarcinoma	DM1_portable	171	0.29736482108143136	7.823193649485442e-05	0.00019257092060271858
mesothelioma	DM1_portable	87	0.3815338630895968	0.0002661611814770855	0.0006083684148047668
testicular germ cell tumor	DM1_portable	156	-0.24412131940383427	0.00213232071009051	0.004316048351299144
colon adenocarcinoma	DM1_portable	495	0.13756900993743099	0.002158024175649572	0.004316048351299144
sarcoma	DM1_portable	265	-0.14692928719741036	0.016686974164857628	0.03141077489855554
pheochromocytoma & paraganglioma	DM1_portable	187	0.17151387915245964	0.01891965799119654	0.03363494753990496
pancreatic adenocarcinoma	DM1_portable	183	0.1654323936932633	0.02521864255501736	0.04247350325055556
bladder urothelial carcinoma	DM1_portable	427	-0.10298885391404655	0.033371807405431664	0.05339489184869066
diffuse large B-cell lymphoma	DM1_portable	48	0.27225358228397745	0.06120077626161022	0.09325832573197748
glioblastoma multiforme	DM1_portable	186	0.08556375623015558	0.24556129527555695	0.34625419352973497
cholangiocarcinoma	DM1_portable	45	-0.17549407114624505	0.24887020159949702	0.34625419352973497
liver hepatocellular carcinoma	DM1_portable	430	0.04751742783132689	0.3255929101549844	0.4341238802066459
ovarian serous cystadenocarcinoma	DM1_portable	315	0.05363123987376277	0.342743235426909	0.4387113413464435
esophageal carcinoma	DM1_portable	196	0.04960753532182104	0.4898870501313556	0.602937907853976
thymoma	DM1_portable	122	-0.05841299843698884	0.5227600013200013	0.6195674089718535
cervical & endocervical cancer	DM1_portable	310	-0.02646363679391112	0.642547861597294	0.7343404132540503
adrenocortical cancer	DM1_portable	79	0.03680623174294061	0.7474256378461427	0.8247455314164334
kidney papillary cell carcinoma	DM1_portable	323	0.0059384038385249865	0.9153337328504226	0.9763559817071175
uterine carcinosarcoma	DM1_portable	57	0.007972517500648172	0.953064749151897	0.9838087733180872
acute myeloid leukemia	DM1_portable	173	0.0014392924521742358	0.9850056758706007	0.9850056758706007
