method_name	method_role	method_family	bma_v2_weight	bma_v2_utility_norm	bma_v2_use_class	stress_min_floor	stress_delta_floor	redundancy_penalty_proxy	public_or_clean_comparator_penalty	fallback_role_cap	uses_public_pretraining	clean_comparator_allowed	overall_mean_AUPRC	source_heldout_median_AUPRC	source_heldout_min_AUPRC	source_heldout_median_delta_AUPRC	source_heldout_loss_rate_vs_anchor	study_heldout_median_AUPRC	hla_stress_median_AUPRC	hla_stress_min_AUPRC	hla_stress_median_delta_AUPRC	korean_hla_median_AUPRC	korean_hla_median_delta_AUPRC	low_prevalence_AUPRC	low_prevalence_median_delta_AUPRC	mean_top10_precision	mean_ECE	mean_AUPRC	median_AUPRC	reviewer_safe_score	n_split_rows	stress_flags	recommended_use	stress_safe_score	mean_AUPRC_leaderboard	mean_top10_precision_leaderboard	mean_ECE_leaderboard	reviewer_safe_score_leaderboard	n_split_rows_leaderboard	source_stress_prior	hla_stress_prior	korean_hla_prior	low_prevalence_prior	calibration_prior	role_prior	stress_guarded_base_utility	stress_guarded_base_weight	bma_v2_weight_raw
W7A_full	internal_candidate	classical_biophysical	0.020110322182016152	0.36236376820820904	secondary_diversity_expert	0.2650857914015808	0.0398393589840957	0.16891891891891891	1.0	1.0	False	True	0.6615400509129399	0.8141675548526927	0.5079622653786052	0.1385197181224684	0.0	0.8141675548526927	0.8797123015873016	0.2650857914015808	0.0398393589840957	0.7315595499689379	0.1842638721310227	0.9478458049886622	0.1385197181224684	0.8107794361525705	0.2532183018668348	0.7105353164970405	0.6657139834439223	0.8682430978334227	32	calibration_risk	candidate internal support with stress caveats	0.793383873073152	0.7105353164970405	0.8177083333333334	0.2583388533028453	0.8682430978334227	32	0.6385197181224684	0.5398393589840957	0.6842638721310227	0.6385197181224684	0.6201725471997478	1.0	0.7061585394434127	0.7061585394434127	0.0663377582081607
Wave8_SelfSim_full	internal_candidate	tcr_aware	0.020061303458872953	0.3614805098958779	secondary_diversity_expert	0.133215769245181	-0.198941798941799	0.2717391304347826	1.0	1.0	False	True	0.4356410317253513	0.4253298145754519	0.4097690689802341	-0.0893707689386529	1.0	0.4253298145754519	0.5642955309100965	0.133215769245181	-0.198941798941799	0.4888982654875322	-0.058397412350383	0.7573696145124716	-0.0519564723537221	0.7436152570480928	0.1934822693298944	0.4793055304135335	0.4791697976909055	0.6331729539313498	32	source_shift_collapse; hla_shift_collapse; korean_hla_collapse; low_prevalence_collapse; calibration_risk	high-value internal candidate but abstain or downweight under source shift	0.1513781167210034	0.4793055304135335	0.7552083333333334	0.171742431488504	0.6331729539313498	32	0.4106292310613471	0.301058201058201	0.441602587649617	0.4480435276462779	0.7097765960051584	1.0	0.4908000423589248	0.4908000423589248	0.06617606053996251
kNN	internal_candidate	classical_biophysical	0.018551155489693095	0.33426946356299775	bounded_fallback_only	0.272156862745098	-0.1108180014430014	0.16891891891891891	1.0	1.0	False	True	0.6913090564353344	0.9077666860340192	0.4979108449005301	0.1728167702766632	0.3333333333333333	0.9077666860340192	0.6551877557928985	0.272156862745098	-0.1108180014430014	0.6954114251364784	0.1481157472985631	0.982142857142857	0.1728167702766632	0.7943615257048093	0.2168228723346896	0.61054647575326	0.6007936507936508	0.7665392168366923	32	hla_shift_collapse; calibration_risk	candidate/support method; require HLA-specific gating	0.6117151133356644	0.61054647575326	0.7958333333333333	0.2317392558323434	0.7665392168366923	32	0.6728167702766632	0.3891819985569986	0.6481157472985631	0.6728167702766632	0.6747656914979656	1.0	0.6407142607105066	0.6407142607105066	0.061194547567107946
sourceheld_prespecified_late_fusion_w0.5	internal_candidate	ensemble_or_fusion	0.018312873108376808	0.32997590223613793	bounded_fallback_only	0.0232558139534883	-0.7635657551737515	0.2717391304347826	1.0	1.0	False	True	0.6246588202890396	0.2039711837719042	0.0238576408517052	-0.2614808639542311	0.25	0.2039711837719042	0.7308053265324361	0.0232558139534883	-0.0726045727356665	0.5001924269323509	-0.0471032509055643	0.0457603316924423	-0.7635657551737515	0.7314491938507686	0.2574763490878467	0.600567101061887	0.6489207639004645	0.7431939452470955	70	source_shift_collapse; source_low_floor; hla_shift_collapse; low_prevalence_collapse; calibration_risk	high-value internal candidate but abstain or downweight under source shift	0.1516321594693511	0.600567101061887	0.7458163265306123	0.2653642112091404	0.7431939452470955	70	0.2385191360457689	0.4273954272643335	0.4528967490944356	0.05	0.6137854763682299	1.0	0.5174082039628785	0.5174082039628785	0.06040852739030738
MultiTask_A_only	internal_candidate	classical_biophysical	0.018043764131052506	0.3251268828022725	bounded_fallback_only	0.3220255183413078	-0.1504144004144004	0.16891891891891891	1.0	1.0	False	True	0.6863300275279725	0.9055555555555556	0.4591108805846967	0.0962294686893617	0.3333333333333333	0.9055555555555556	0.5802325464886029	0.3220255183413078	-0.1504144004144004	0.6959186212013222	0.1486229433634069	0.9055555555555556	0.0962294686893617	0.7941798941798941	0.2415369451502011	0.5977420282156533	0.5055555555555555	0.7513417184055982	30	hla_shift_collapse; calibration_risk	candidate/support method; require HLA-specific gating	0.4556198415303584	0.5977420282156533	0.7955555555555556	0.2551142092116616	0.7513417184055982	30	0.5962294686893617	0.3495855995855996	0.6486229433634069	0.5962294686893617	0.6376945822746983	1.0	0.610577645839885	0.610577645839885	0.059520819768927286
MultiTask_AC	internal_candidate	classical_biophysical	0.01728729225646104	0.3114961713427801	bounded_fallback_only	0.306060606060606	-0.1443738360405027	0.16891891891891891	1.0	1.0	False	True	0.6507418958076681	0.8932368768002426	0.4399722854131332	0.1073405798004728	0.3333333333333333	0.8932368768002426	0.5709533475050463	0.306060606060606	-0.1443738360405027	0.6730365035347255	0.1257408256968103	0.9166666666666666	0.1073405798004728	0.7703703703703705	0.2480477460158916	0.5871865189717569	0.5049603174603174	0.735888906477295	30	hla_shift_collapse; calibration_risk	candidate/support method; require HLA-specific gating	0.4508079042213735	0.5871865189717569	0.7755555555555556	0.2640872360557301	0.735888906477295	30	0.6073405798004728	0.3556261639594973	0.6257408256968103	0.6073405798004728	0.6279283809761627	1.0	0.6044416397838699	0.6044416397838699	0.05702545207398309
MultiTask_AD	internal_candidate	classical_biophysical	0.01724243636745377	0.3106879222844165	bounded_fallback_only	0.3333333333333333	-0.1619183285849953	0.16891891891891891	1.0	1.0	False	True	0.6436117926728063	0.8741395109939035	0.4290623557490777	0.0874993099592029	0.3333333333333333	0.8741395109939035	0.5589363635058658	0.3333333333333333	-0.1619183285849953	0.6590557224060438	0.1117600445681286	0.8968253968253967	0.0874993099592029	0.7671957671957673	0.2485668014971409	0.5797043746351314	0.4961640211640212	0.7278205336991197	30	hla_shift_collapse; calibration_risk	candidate/support method; require HLA-specific gating	0.4048347135761863	0.5797043746351314	0.7688888888888888	0.2566161871378952	0.7278205336991197	30	0.5874993099592029	0.3380816714150046	0.6117600445681286	0.5874993099592029	0.6271497977542887	1.0	0.5928311895927261	0.5928311895927261	0.05687748631330336
source_balanced_rf_train_prior_calibrated	internal_candidate	classical_biophysical	0.01668987228690994	0.30073138351839795	bounded_fallback_only	0.0134206896933711	-0.7681645308211812	0.16891891891891891	1.0	1.0	False	True	0.8947907914753821	0.1771008002791749	0.0134206896933711	-0.3044377035425872	0.25	0.1771008002791749	0.9791666666666666	0.4143608881671403	0.0742293069810816	0.7706906182938167	0.2233949404559014	0.0411615560450126	-0.7681645308211812	0.780268091488564	0.1109985963102029	0.8018477297085784	0.945436283259158	0.9677323781140372	70	source_shift_collapse; source_low_floor; low_prevalence_collapse	high-value internal candidate but abstain or downweight under source shift	0.6265253852423287	0.8018477297085784	0.7886734693877551	0.1185004547209218	0.9677323781140372	70	0.1955622964574128	0.5742293069810815	0.7233949404559014	0.05	0.8335021055346956	1.0	0.6750542744440651	0.6750542744440651	0.0550547476203146
MultiTask_AB	internal_candidate	classical_biophysical	0.016273246406776732	0.29322428728733224	bounded_fallback_only	0.2776315789473684	-0.1619183285849953	0.16891891891891891	1.0	1.0	False	True	0.6628772997661977	0.9011588072360736	0.434705957167148	0.1073405798004728	0.3333333333333333	0.9011588072360736	0.5754309930830017	0.2776315789473684	-0.1619183285849953	0.6707291174195854	0.1234334395816701	0.9166666666666666	0.1073405798004728	0.7544973544973546	0.2722607955152128	0.5835678346621742	0.5166666666666667	0.7259235231017716	30	hla_shift_collapse; calibration_risk	candidate/support method; require HLA-specific gating	0.3990849788020362	0.5835678346621742	0.7555555555555556	0.2875542267151386	0.7259235231017716	30	0.6073405798004728	0.3380816714150046	0.6234334395816701	0.6073405798004728	0.5916088067271807	1.0	0.59685843377387	0.59685843377387	0.05368042717684331
MultiTask_full	internal_candidate	classical_biophysical	0.01613695836489572	0.29076854103072153	bounded_fallback_only	0.2479745744451627	-0.1596736596736597	0.16891891891891891	1.0	1.0	False	True	0.6338191447945472	0.9004029891455054	0.4109084220316377	0.1073405798004728	0.3333333333333333	0.9004029891455054	0.5694400456679556	0.2479745744451627	-0.1596736596736597	0.6681875063592964	0.1208918285213811	0.9166666666666666	0.1073405798004728	0.7640211640211642	0.2588456207393387	0.5772751480756398	0.5160714285714285	0.7243526552304771	30	hla_shift_collapse; calibration_risk	candidate/support method; require HLA-specific gating	0.4131739546179515	0.5772751480756398	0.7722222222222223	0.273669372896072	0.7243526552304771	30	0.6073405798004728	0.3403263403263403	0.6208918285213811	0.6073405798004728	0.6117315688909919	1.0	0.5956657890015267	0.5956657890015267	0.053230854908078204
pu_weighted_rf_train_prior_calibrated	internal_candidate	classical_biophysical	0.01609998620835628	0.2901023473297377	bounded_fallback_only	0.013621057371614	-0.7759109371718592	0.16891891891891891	1.0	1.0	False	True	0.8856725912712797	0.1710025358356896	0.013621057371614	-0.3114075840528075	0.25	0.1710025358356896	0.9532467532467532	0.25	0.0629524327859143	0.7545246574823737	0.2072289796444585	0.0334151496943346	-0.7759109371718592	0.7676696662917136	0.1212410949750191	0.7856412585510668	0.9282869672048596	0.9483819148985622	70	source_shift_collapse; source_low_floor; low_prevalence_collapse	high-value internal candidate but abstain or downweight under source shift	0.5786856686566499	0.7856412585510668	0.7786734693877552	0.1299403753005572	0.9483819148985622	70	0.1885924159471925	0.5629524327859143	0.7072289796444585	0.05	0.8181383575374713	1.0	0.6610183518752657	0.6610183518752657	0.05310889515234934
source_balanced_plus_pu_rf_train_prior_calibrated	internal_candidate	classical_biophysical	0.016091052272217642	0.2899413685679442	bounded_fallback_only	0.0157838179519595	-0.7714900312167059	0.16891891891891891	1.0	1.0	False	True	0.8875987835191747	0.1633034711016576	0.0157838179519595	-0.3255866448324813	0.25	0.1633034711016576	0.9484126984126984	0.25	0.069347550444229	0.7507980409301027	0.2035023630921875	0.0378360556494879	-0.7714900312167059	0.7676696662917134	0.1188128106353643	0.7835661250612553	0.935428178544354	0.9468437167489182	70	source_shift_collapse; source_low_floor; low_prevalence_collapse	high-value internal candidate but abstain or downweight under source shift	0.5717918117253017	0.7835661250612553	0.7801020408163266	0.1274281647560251	0.9468437167489182	70	0.1744133551675187	0.569347550444229	0.7035023630921875	0.05	0.8217807840469535	1.0	0.65840940066795	0.65840940066795	0.05307942484898731
Stack_LR_OOF_E3b	internal_candidate	ensemble_or_fusion	0.015733505450231045	0.2834988057609796	bounded_fallback_only	0.0769230769230769	-0.1153734240905293	0.2717391304347826	1.0	1.0	False	True	0.3650150053825667	0.6087076646323166	0.3118597737090779	-0.0533056705578326	0.5	0.6087076646323166	0.5	0.0769230769230769	-0.1153734240905293	0.7154669338852357	0.1681712560473205	0.9055555555555554	0.0962294686893616	0.4783783783783784	0.3013826772597441	0.5346310665904996	0.4381758676413836	0.6228424842451526	17	source_shift_collapse; hla_shift_collapse; calibration_risk	high-value internal candidate but abstain or downweight under source shift	0.1527807123370465	0.5346310665904996	0.4823529411764705	0.2825917058064106	0.6228424842451526	17	0.4466943294421674	0.3846265759094707	0.6681712560473205	0.5962294686893616	0.5479259841103838	1.0	0.5381592711396428	0.5381592711396428	0.05189998801996156
TENT	internal_candidate	classical_biophysical	0.014709363457127827	0.26504500136927184	bounded_fallback_only	0.2635416666666667	-0.266346773521229	0.16891891891891891	1.0	1.0	False	True	0.6028986598472791	0.8105334801287751	0.4245858092897968	0.0962294686893617	0.3333333333333333	0.8105334801287751	0.5123637338076993	0.2635416666666667	-0.266346773521229	0.5846847809901131	0.0373891031521979	0.9055555555555556	0.0962294686893617	0.7338624338624339	0.2604256633876001	0.5351319324833842	0.5029761904761905	0.6753963021215434	30	hla_shift_collapse; calibration_risk	candidate/support method; require HLA-specific gating	0.2448533339020759	0.5351319324833842	0.7355555555555555	0.2684674147295188	0.6753963021215434	30	0.5962294686893617	0.233653226478771	0.5373891031521979	0.5962294686893617	0.6093615049185999	1.0	0.5493404713545099	0.5493404713545099	0.048521659055641916
v0_C_counterfactual_RF	internal_candidate	internal_baseline	0.01463907436372526	0.26377847662050025	bounded_fallback_only	0.0866063798364697	-0.2354231937771891	0.2777777777777778	1.0	1.0	False	True	0.4046932210489894	0.5290918491394909	0.3971417618313775	-0.1329214860506584	1.0	0.5290918491394909	0.441164664724562	0.0866063798364697	-0.2354231937771891	0.3946397263365964	-0.1526559515013188	0.6610419364476042	-0.1482841504185895	0.5113821138211383	0.1730431729261662	0.4387272197550305	0.4101779419157234	0.5422940569537762	17	source_shift_collapse; hla_shift_collapse; korean_hla_collapse; low_prevalence_collapse; calibration_risk	high-value internal candidate but abstain or downweight under source shift	0.0009062041997624	0.4387272197550305	0.5032679738562091	0.1708675757249617	0.5422940569537762	17	0.3670785139493416	0.2645768062228109	0.3473440484986811	0.3517158495814105	0.7404352406107507	1.0	0.4346455969635499	0.4346455969635499	0.048289796987963055
ESMFold_3D_CV_score	internal_candidate	structure_proxy	0.013605727143053886	0.24515880512240704	bounded_fallback_only	0.1042780748663101	-0.340437197977305	0.28409090909090906	1.0	1.0	False	True	0.2575827308803493	0.3615131512255173	0.2541374135621458	-0.3005001839646319	1.0	0.3615131512255173	0.7083333333333333	0.1042780748663101	-0.1042359702887106	0.3030561662140609	-0.2442395116238543	0.4688888888888888	-0.340437197977305	0.4351851851851852	0.2292905696468019	0.5028430277971025	0.3548782308377897	0.5870620874133771	17	source_shift_collapse; hla_shift_collapse; korean_hla_collapse; low_prevalence_collapse; calibration_risk	high-value internal candidate but abstain or downweight under source shift	-0.0469646364867674	0.5028430277971025	0.4326797385620915	0.2231688809614381	0.5870620874133771	17	0.1994998160353681	0.3957640297112894	0.2557604883761457	0.159562802022695	0.6560641455297972	1.0	0.4324016498970711	0.4324016498970711	0.04488110281342249
