lineage	outcome	n	events	covariates	HR	HR_lower95	HR_upper95	p	concordance	fdr
pheochromocytoma & paraganglioma	DSS	187	6	DM1_like+age	0.11029366567381843	0.00012155911082764518	100.0722414382906	0.5257841818709188	0.6568627450980392	0.5864515874714095
bladder urothelial carcinoma	DSS	407	127	DM1_like+age+stage_int	0.6380220526544371	0.12784023082563428	3.1842256310425556	0.5837716901136074	0.675453422609374	0.6270140375294302
sarcoma	DSS	259	82	DM1_like+age	0.6341532283490302	0.07925416253475721	5.074185432836195	0.6677367929607227	0.5752837526787841	0.6915845355664628
prostate adenocarcinoma	DSS	548	5	DM1_like+age	3.22132102369663	0.00015111258817681513	68670.05100573091	0.8180702852916582	0.7414589104339797	0.8180702852916582
brain lower grade glioma	OS	529	136	DM1_like+age	35.94598766219502	7.014123586506612	184.21603398839096	1.7363558383082505e-05	0.7690142667658763	0.0005556338682586402
lung adenocarcinoma	OS	544	203	DM1_like+age+stage_int	11.220020625642265	2.8643825959749787	43.94973737682126	0.0005192524343684091	0.6899020725736132	0.008308038949894545
uterine corpus endometrioid carcinoma	OS	551	91	DM1_like+age	0.14745873563016346	0.03670161702279254	0.5924556048890944	0.006981869608726785	0.6257179539158051	0.07447327582641904
acute myeloid leukemia	OS	149	92	DM1_like+age	0.18691529330571832	0.04288138863310961	0.8147433650174956	0.025567175812700238	0.6680650902618867	0.2045374065016019
glioblastoma multiforme	OS	168	135	DM1_like+age	6.416002506364569	0.9419294450129779	43.70294227409915	0.05758421046717969	0.6082417582417582	0.25886607033656456
cervical & endocervical cancer	OS	296	73	DM1_like+age	7.618246284316131	0.9311844758816594	62.32672252567955	0.058294210542203094	0.5951026038972237	0.25886607033656456
adrenocortical cancer	OS	77	27	DM1_like+age+stage_int	0.01852569898437781	0.00029375244312878024	1.1683358926458984	0.05924334274868227	0.7796976241900648	0.25886607033656456
kidney papillary cell carcinoma	OS	288	46	DM1_like+age+stage_int	8.770058431612851	0.8758701060799619	87.81430529481031	0.06471651758414114	0.8217021276595745	0.25886607033656456
kidney clear cell carcinoma	OS	601	201	DM1_like+age+stage_int	2.935811743484077	0.8867225487217965	9.720053477385033	0.07787602855151891	0.7583950748893982	0.2665022352541331
stomach adenocarcinoma	OS	403	155	DM1_like+age+stage_int	0.25545624662926364	0.0545263530657891	1.1968138390472192	0.08328194851691659	0.6436882139354907	0.2665022352541331
uveal melanoma	OS	79	22	DM1_like+age+stage_int	69.36753562453315	0.4315331911617243	11150.602310953069	0.10190111749135802	0.7678207739307535	0.29643961452031425
sarcoma	OS	265	99	DM1_like+age	0.2672501213707604	0.04739158503266062	1.5070740369511628	0.13486187881736852	0.5978538579458355	0.3200842202665915
ovarian serous cystadenocarcinoma	OS	308	185	DM1_like+age	0.2822401943156	0.05223884252161829	1.5249098839497006	0.1416327358380952	0.6104145487405399	0.3200842202665915
skin cutaneous melanoma	OS	410	191	DM1_like+age+stage_int	0.2816111529441391	0.048209737231437864	1.6449963434111423	0.1593578655664973	0.6407502647103313	0.3200842202665915
breast invasive carcinoma	OS	1176	186	DM1_like+age+stage_int	2.8206816800517562	0.6517806228497052	12.206937213618634	0.16534814964724004	0.7355393463637085	0.3200842202665915
prostate adenocarcinoma	OS	550	10	DM1_like+age	296.4509340556264	0.08765063251670628	1002652.8477783975	0.16980961349719104	0.6164891153311718	0.3200842202665915
liver hepatocellular carcinoma	OS	386	143	DM1_like+age+stage_int	2.542773868964705	0.6703979333952831	9.644568735383318	0.17004474201662673	0.6236428682532276	0.3200842202665915
uterine carcinosarcoma	OS	56	35	DM1_like+age	0.21746599291355306	0.022122963619611812	2.1376637817165713	0.19072427711452095	0.6312997347480106	0.3390653815369261
esophageal carcinoma	OS	171	68	DM1_like+age+stage_int	0.2543978092196917	0.027407243566956323	2.361355499967407	0.2285399774506955	0.655729596042869	0.3849094357064345
kidney chromophobe	OS	89	12	DM1_like+age+stage_int	34.659779706608724	0.08297583474847844	14477.71309504873	0.24951616253286835	0.8956975228161669	0.39922586005258937
pancreatic adenocarcinoma	OS	179	95	DM1_like+age+stage_int	4.738278362437799	0.2980698191844058	75.32222450893755	0.2703326561295948	0.5709079550187421	0.4119354760070016
thyroid carcinoma	OS	569	20	DM1_like+age+stage_int	0.6045677922245988	0.21901789275061614	1.6688235413327774	0.33134222540053093	0.9214610143830432	0.4819523278553177
pheochromocytoma & paraganglioma	OS	187	8	DM1_like+age	0.07281495667208944	0.00020630357597392943	25.70007761682366	0.3814122460258075	0.6957403651115619	0.5183908626355657
mesothelioma	OS	85	73	DM1_like+age+stage_int	5.065480223022283	0.12651430253808438	202.81572419138752	0.3887931469766742	0.5599029420685472	0.5183908626355657
bladder urothelial carcinoma	OS	423	188	DM1_like+age+stage_int	0.5985215011875384	0.16177238914744146	2.2143951095220022	0.44190501376408764	0.6556002468662878	0.5656384176180321
head & neck squamous cell carcinoma	OS	489	221	DM1_like+age+stage_int	1.6180995344663107	0.35653968302467137	7.343491420726139	0.5328887744947808	0.6000183477822119	0.6348151000724798
cholangiocarcinoma	OS	45	23	DM1_like+age+stage_int	0.3984839970869551	0.02168098112274564	7.323907300846706	0.5356252406861548	0.6007005253940455	0.6348151000724798
colon adenocarcinoma	OS	461	103	DM1_like+age+stage_int	1.6482678841761291	0.24317360085655684	11.17221198533401	0.6087877349639829	0.7412790697674418	0.695757411387409
thymoma	OS	121	9	DM1_like+age	3.2020641746837155	0.018414123708122142	556.8125391853642	0.6583531110076319	0.7266553480475382	0.7264586052498008
diffuse large B-cell lymphoma	OS	47	9	DM1_like+age	2.7593193185197826	0.013289599784569752	572.9174109815358	0.7092747432750444	0.48760330578512395	0.7565597261600473
lung squamous cell carcinoma	OS	537	242	DM1_like+age+stage_int	0.794806416065823	0.20524927912439497	3.077804909787453	0.7395362957722726	0.5773751365020978	0.7633923053133137
rectum adenocarcinoma	OS	154	23	DM1_like+age+stage_int	1.7596481282946412	0.04074144419629719	76.00028905436419	0.768654500979064	0.7190615835777127	0.768654500979064
brain lower grade glioma	PFI	529	210	DM1_like+age	19.193552288848828	4.844412316335593	76.04481728826774	2.5971708298065252e-05	0.6485849462365592	0.0008310946655380881
lung adenocarcinoma	PFI	544	222	DM1_like+age+stage_int	9.267731251521697	2.4620912967628765	34.8853199161867	0.0009939786462039935	0.6317225856369135	0.015903658339263896
glioblastoma multiforme	PFI	168	135	DM1_like+age	14.767547369086216	2.3123000649455347	94.31321592050469	0.004426866646130522	0.5872810423677626	0.0439403517581334
prostate adenocarcinoma	PFI	550	95	DM1_like+age	35.04465877416744	2.846470589526928	431.45645457097123	0.005492543969766675	0.585387407290516	0.0439403517581334
head & neck squamous cell carcinoma	PFI	489	193	DM1_like+age+stage_int	9.166018290685477	1.709825614366191	49.13711117629049	0.009707621914923137	0.5978415734569216	0.053780205788515494
kidney papillary cell carcinoma	PFI	286	57	DM1_like+age+stage_int	15.08673931265673	1.8359251659161613	123.9754796729313	0.01155957659856284	0.8224350205198359	0.053780205788515494
uterine carcinosarcoma	PFI	56	37	DM1_like+age	0.05052239058295537	0.00495169589281275	0.5154823732050262	0.011764420016237764	0.6393700787401575	0.053780205788515494
uveal melanoma	PFI	78	29	DM1_like+age+stage_int	245.7879032364022	2.5749372388898353	23461.423628093187	0.017951531172425643	0.6726530612244898	0.07180612468970257
thymoma	PFI	121	23	DM1_like+age	48.3542060276419	1.7379610523729245	1345.3289055996258	0.022272682003013987	0.6429384965831435	0.07919175823293861
stomach adenocarcinoma	PFI	405	134	DM1_like+age+stage_int	0.15529110523681314	0.03051349443890316	0.7903168027495779	0.024869704179815082	0.606449807189949	0.07958305337540826
pheochromocytoma & paraganglioma	PFI	186	22	DM1_like+age	0.025665139073546547	0.0006149777111271805	1.0710946945657083	0.05436869973102421	0.661751563896336	0.15175007476187277
cholangiocarcinoma	PFI	45	24	DM1_like+age+stage_int	0.06546472809489193	0.003955788096800989	1.0833822539695401	0.056906278035702286	0.595679012345679	0.15175007476187277
uterine corpus endometrioid carcinoma	PFI	551	126	DM1_like+age	0.3605721602738029	0.10926199177822778	1.1899131678690857	0.09402765827204404	0.5506573859242073	0.23145269728503148
adrenocortical cancer	PFI	77	40	DM1_like+age+stage_int	0.08561599234127584	0.003348176112245959	2.1892809394856974	0.13723356032759776	0.7017958412098299	0.29765485063278785
bladder urothelial carcinoma	PFI	424	181	DM1_like+age+stage_int	0.3747971312805996	0.10135932348370699	1.38589016568118	0.14133150331860417	0.6527868424487665	0.29765485063278785
testicular germ cell tumor	PFI	82	14	DM1_like+age+stage_int	0.00152763914626682	2.2962303463208852e-07	10.163097813535733	0.14882742531639392	0.608	0.29765485063278785
lung squamous cell carcinoma	PFI	538	161	DM1_like+age+stage_int	2.736354772260257	0.5245863456769169	14.273412759170405	0.23230363243632743	0.6123264259773553	0.4372774257624987
pancreatic adenocarcinoma	PFI	179	107	DM1_like+age+stage_int	4.897800800160591	0.3261537933154925	73.5495130508858	0.25038484441618775	0.5410238773705414	0.44512861229544487
thyroid carcinoma	PFI	569	65	DM1_like+age+stage_int	1.3684766598800795	0.7741985442161993	2.4189252002953507	0.28042211361703134	0.6471437801679906	0.45825098044922824
kidney chromophobe	PFI	89	15	DM1_like+age+stage_int	10.610695641537065	0.13799428581478443	815.8806093496326	0.28640686278076766	0.8817097415506958	0.45825098044922824
diffuse large B-cell lymphoma	PFI	47	12	DM1_like+age	31.084805522209326	0.0344170571985153	28075.181697848897	0.32231900777114597	0.5440251572327044	0.4799917520369357
breast invasive carcinoma	PFI	1176	162	DM1_like+age+stage_int	2.2465306174016564	0.4408195955334634	11.448900788576555	0.3299943295253933	0.6819136281355056	0.4799917520369357
cervical & endocervical cancer	PFI	296	73	DM1_like+age	2.4413675982174916	0.35491326335623713	16.793612313225204	0.36432810568549434	0.5669517717242867	0.5068912774754704
rectum adenocarcinoma	PFI	153	35	DM1_like+age+stage_int	4.098489957829947	0.15631297077635617	107.46145921867233	0.3973322856507655	0.6835740678535438	0.5297763808676873
liver hepatocellular carcinoma	PFI	387	187	DM1_like+age+stage_int	1.6135745292816028	0.5073423059955556	5.131885771751812	0.4176614053554869	0.6519209250279746	0.5346065988550233
kidney clear cell carcinoma	PFI	599	192	DM1_like+age+stage_int	1.5387385281206347	0.5055747339692803	4.683217136532627	0.44791281774841607	0.803754903792266	0.5493818979078937
colon adenocarcinoma	PFI	460	126	DM1_like+age+stage_int	0.5315766649771287	0.09812665657873754	2.8796838759248597	0.4635409763597853	0.7142352429611915	0.5493818979078937
esophageal carcinoma	PFI	171	74	DM1_like+age+stage_int	0.5261678711013124	0.06680217641407245	4.144365400061515	0.541992838522583	0.6366998577524894	0.619420386882952
sarcoma	PFI	265	142	DM1_like+age	1.6108439353147186	0.29932977146002715	8.668760782743338	0.578739449719514	0.5209784270426363	0.6386090479663602
skin cutaneous melanoma	PFI	408	274	DM1_like+age+stage_int	0.817185194604971	0.17936873355257454	3.723010298703083	0.7941382522245423	0.6383112242229854	0.8378640557548656
ovarian serous cystadenocarcinoma	PFI	308	215	DM1_like+age	1.2101483644668496	0.2519939912095809	5.811484063537908	0.811680804012526	0.5236985960988942	0.8378640557548656
mesothelioma	PFI	83	59	DM1_like+age+stage_int	1.499384951950634	0.02763439724974848	81.35351076479394	0.8424317524423768	0.5627292736610419	0.8424317524423768
