run_accession	sample_accession	sample_title	sample_alias	library_strategy	read_count	base_count	fastq_bytes
SRR10039158	SAMN12661373	Human sample from Homo sapiens	100070008	RNA-Seq	85095303	12934486056	4664638123;4858512316
SRR10039162	SAMN12661396	Human sample from Homo sapiens	140050008	RNA-Seq	68592354	10426037808	3821128363;3958616460
SRR10039163	SAMN12661393	Human sample from Homo sapiens	120090002	RNA-Seq	72974731	11092159112	3836052677;3966812849
SRR10039164	SAMN12661392	Human sample from Homo sapiens	120080002	RNA-Seq	80930527	12301440104	4222855620;4393729549
SRR10039168	SAMN12661386	Human sample from Homo sapiens	120040002	RNA-Seq	77161760	11728587520	4297411399;4441396966
SRR10039173	SAMN12661380	Human sample from Homo sapiens	120020003	RNA-Seq	79703660	12114956320	4071224234;4156755930
SRR10039175	SAMN12661378	Human sample from Homo sapiens	120020001	RNA-Seq	68425067	10400610184	3912825967;3946224795
SRR10039178	SAMN12661442	Human sample from Homo sapiens	200010002	RNA-Seq	74826656	11373651712	4007702407;4001863200
SRR10039181	SAMN12661434	Human sample from Homo sapiens	180040010	RNA-Seq	43915570	6675166640	2362220892;2333352936
SRR10039184	SAMN12661441	Human sample from Homo sapiens	180040024	RNA-Seq	77460211	11773952072	4196697625;4315295724
SRR10039187	SAMN12661432	Human sample from Homo sapiens	160070003	RNA-Seq	20509540	3117450080	1284726978;1296039016
SRR10039191	SAMN12661430	Human sample from Homo sapiens	160040010	RNA-Seq	72779687	11062512424	4256290982;4336428703
SRR10039194	SAMN12661426	Human sample from Homo sapiens	160030002	RNA-Seq	37870838	5756367376	2018319595;2051174846
SRR10039196	SAMN12661365	Human sample from Homo sapiens	100040006	RNA-Seq	72885184	11078547968	4067577536;4173066442
SRR10039198	SAMN12661418	Human sample from Homo sapiens	160010013	RNA-Seq	76674366	11654503632	4308433268;4389089312
SRR10039203	SAMN12661420	Human sample from Homo sapiens	160010017	RNA-Seq	45312300	6887469600	2656002214;2683401876
SRR10039210	SAMN12661409	Human sample from Homo sapiens	140130006	RNA-Seq	80189918	12188867536	4361867036;4387595896
SRR10039212	SAMN12661381	Human sample from Homo sapiens	120030003	RNA-Seq	62179456	9451277312	3692797840;3863946603
SRR10039217	SAMN12661439	Human sample from Homo sapiens	180040018	RNA-Seq	73973700	11244002400	4482515312;4566739245
SRR10039219	SAMN12661484	Human sample from Homo sapiens	540070003	RNA-Seq	49912458	7586693616	2908641669;3046076012
SRR10039220	SAMN12661449	Human sample from Homo sapiens	200040005	RNA-Seq	54679465	8311278680	3348837413;3470981824
SRR10039223	SAMN12661469	Human sample from Homo sapiens	300010004	RNA-Seq	94666640	14389329280	5479812236;5687721047
SRR10039225	SAMN12661457	Human sample from Homo sapiens	220030016	RNA-Seq	85699986	13026397872	4891375279;4862416054
SRR10039226	SAMN12661456	Human sample from Homo sapiens	220020016	RNA-Seq	48683365	7399871480	2627579339;2670497509
SRR10039227	SAMN12661370	Human sample from Homo sapiens	100070003	RNA-Seq	65095378	9894497456	3624675722;3775706007
SRR10039232	SAMN12661453	Human sample from Homo sapiens	220020010	RNA-Seq	77155030	11727564560	4306308617;4267756048
SRR10039234	SAMN12661451	Human sample from Homo sapiens	220020003	RNA-Seq	79443596	12075426592	3954043287;3991136097
SRR10039238	SAMN12661445	Human sample from Homo sapiens	200020005	RNA-Seq	35319332	5368538464	1894142597;1898608734
SRR10039243	SAMN12661477	Human sample from Homo sapiens	340020003	RNA-Seq	75429757	11465323064	4327767066;4384006382
SRR10039247	SAMN12661474	Human sample from Homo sapiens	340010008	RNA-Seq	95568277	14526378104	5772850208;5995936724
SRR10039248	SAMN12661468	Human sample from Homo sapiens	300010003	RNA-Seq	101641441	15449499032	6121053517;6317893569
SRR10039252	SAMN12661478	Human sample from Homo sapiens	340020004	RNA-Seq	77450766	11772516432	4536928488;4574039222
SRR10039254	SAMN12661372	Human sample from Homo sapiens	100070005	RNA-Seq	79120845	12026368440	4217542615;4387902835
SRR10039255	SAMN12661363	Human sample from Homo sapiens	100040003	RNA-Seq	72056591	10952601832	3588357996;3777279198
