gene	mean_DM1	mean_DM2	log2FC_DM2vDM1	t	p	q_BH
CTSH	8.12573699558861	5.914487926900031	-2.2112490686885797	13.1209497474982	2.4562372555764686e-25	1.6240766694756513e-22
PHF19	4.571789306812586	3.5398439026022275	-1.0319454042103584	13.041234267503171	2.7934529018079376e-25	1.8236650627575008e-22
SUSD3	2.9819549725536403	1.3893970714187276	-1.5925579011349127	12.905505220973247	2.8798439407371764e-25	1.8565633924947394e-22
CCDC88C	4.720714643129111	2.861088880814195	-1.859625762314916	12.957260436879903	3.6943673965132982e-25	2.352263013676257e-22
KCTD12	7.03434692402809	4.977640162797739	-2.056706761230351	12.898852779288507	4.174865081251458e-25	2.6237235475055736e-22
PRSS23	8.471127270841594	5.747645151740193	-2.7234821191014005	12.859467636131725	4.222458107631028e-25	2.6237235475055736e-22
PRICKLE1	4.995817102927121	2.8591258033320237	-2.136691299595097	12.958383569661978	4.719048236036328e-25	2.8973832586349716e-22
VDAC3	6.01286848490329	6.840110512508756	0.8272420276054655	-13.357059802447987	4.824584749718575e-25	2.9273309868468917e-22
AMIGO2	5.029559473870781	2.823848351055403	-2.205711122815378	12.87119401406505	6.379993104908776e-25	3.826067027820526e-22
BATF3	1.6801266993659494	0.5598510317664998	-1.1202756675994496	13.816530149252957	7.352862301540711e-25	4.358810578616789e-22
AC106795.2	1.104967701273012	2.7711762029929847	1.6662085017199728	-13.71242246492568	8.642587937607532e-25	5.065145798797396e-22
S100A11	8.439377807076683	6.882407704067257	-1.5569701030094265	13.36266016579146	9.375216504755263e-25	5.432779955238741e-22
PKP2	2.7197657174315317	0.5752879049633439	-2.144477812468188	12.69613101435885	9.687708195180574e-25	5.551487360647144e-22
MRO	1.6023110250328512	3.9643454107756537	2.3620343857428026	-12.911481756391764	1.1562664731797191e-24	6.553108471183608e-22
MILR1	2.886119426647962	1.1107241871660078	-1.7753952394819543	12.69521510510498	1.3285006908985206e-24	7.447401590478294e-22
ITGB2-AS1	1.747867731895624	0.3572908512194979	-1.390576880676126	13.10250416965201	1.5138228972456909e-24	8.395043236833254e-22
FXYD5	6.984554011758303	4.993796144223778	-1.9907578675345246	12.99392359276451	1.61612260868266e-24	8.8670114276808e-22
SYTL5	4.140503491619822	1.003858747128295	-3.136644744491527	12.737817306630248	1.771680812920377e-24	9.618175394269003e-22
FKBP4	6.230761655601128	7.2865702821029945	1.0558086265018662	-12.64118689810943	2.0305046977371353e-24	1.0908463466780732e-21
GALE	6.045512247739026	3.7992137689383774	-2.246298478800649	12.936960657674446	2.156475650144564e-24	1.1465780946449047e-21
STK17B	4.911159963575728	2.9830913882442927	-1.9280685753314355	12.553835341773924	2.283105727901032e-24	1.2015193348037534e-21
CYP2S1	3.406084242807149	0.8623324365712173	-2.5437518062359317	12.57670659895795	2.3929699039389352e-24	1.2364505049310639e-21
CDH11	4.4506807343431145	1.846483885517572	-2.6041968488255423	12.598303115798974	2.397429916103199e-24	1.2364505049310639e-21
NRP2	7.36986038457056	5.156162055335267	-2.213698329235293	12.690587655062673	2.60861944809382e-24	1.3320489051088188e-21
SFN	4.0552989730120785	0.8578909959091825	-3.197407977102896	12.671613485022391	2.7468494588922904e-24	1.3888824901265782e-21
SYN1	1.6090237188946224	0.24477191852717575	-1.3642518003674466	12.80097326669839	2.8466136639119546e-24	1.4223010988060493e-21
GNB4	4.712190893901385	3.231312924123807	-1.4808779697775774	12.596183469229072	2.8680985433712553e-24	1.4223010988060493e-21
MTMR11	3.675976951889092	1.8623925768902907	-1.8135843749988012	12.990932417686457	3.5439259380365916e-24	1.7407089174123732e-21
PLK3	5.146580008627013	3.5839506606835356	-1.5626293479434774	12.720290826124344	3.649082239271746e-24	1.7697043946826187e-21
RUNX1	5.6780332712019055	3.4371943530825244	-2.240838918119381	13.22573397337545	3.671585881084271e-24	1.7697043946826187e-21
ITGB4	6.749397277221526	4.557249778767469	-2.192147498454057	12.459320779851836	4.224853614465255e-24	2.0175240769669543e-21
ACP5	5.0775116378537195	2.63873062892696	-2.4387810089267594	12.916815003624556	4.6979117788550946e-24	2.2228449732355285e-21
TNC	6.793045467165758	3.6478817200826428	-3.145163747083115	12.560517351614875	4.745754962943892e-24	2.2250687859897118e-21
MTARC2	4.463629260073247	5.827526096957816	1.3638968368845692	-12.46964329390218	5.196498305259936e-24	2.4144522846439275e-21
MEDAG	3.92474659326558	1.8627623962481827	-2.0619841970173973	12.439395572418194	5.8880758280207936e-24	2.711353774592361e-21
DRAM1	4.865599690186173	3.262590275105991	-1.6030094150801815	12.41879232994649	6.064361809239468e-24	2.7678176632718257e-21
OSCAR	2.3976177292163108	0.8443142351884397	-1.5533034940278712	12.433031772335353	6.1653230541192424e-24	2.7892137823960158e-21
APOC1	5.058168818169609	1.9518124223781899	-3.106356395791419	12.53704778597431	6.498779547004128e-24	2.9145048378886166e-21
P2RY6	2.784060144739967	1.1438884730512493	-1.6401716716887176	12.34259608441136	7.560151201169753e-24	3.361269293526973e-21
YBX3	7.154174150851178	6.184149145998904	-0.9700250048522738	12.445292475296629	7.703746769011168e-24	3.395837913375914e-21
CYP1B1	5.26858767051783	2.32924266286611	-2.93934500765172	12.402691847268892	8.580534278648666e-24	3.750275210907003e-21
CD58	3.9470776950100355	3.03086621029154	-0.9162114847184957	12.318703827843034	1.0118002381353161e-23	4.3850912169404025e-21
TMPRSS4	4.443092528578005	0.8217740453994374	-3.621318483178568	12.61706276552095	1.048052227214666e-23	4.504353797197432e-21
RAMP1	2.6884273566513097	0.7238773701031974	-1.9645499865481124	12.716079583743532	1.2642019215844317e-23	5.388425611883923e-21
SLC34A2	9.329380971147323	4.333226247764984	-4.996154723382339	12.68683380948093	1.315233171676518e-23	5.559986524265962e-21
SFXN3	5.654353695800933	4.640868934455081	-1.0134847613458522	12.610790081016354	1.4459813395383552e-23	6.063011512630174e-21
TMEM116	3.254124335392552	4.537836078964714	1.2837117435721623	-13.711320435325845	1.6001961989732156e-23	6.6555257069229536e-21
GBP2	6.535018190841644	4.08760286205986	-2.4474153287817835	12.71420705104687	1.680229463047081e-23	6.932492346175212e-21
NOD1	5.268852560943724	3.0613825744584275	-2.2074699864852967	12.655431594784476	1.8131947592126946e-23	7.42172273901869e-21
ACACB	4.733145012914227	5.991675939322142	1.2585309264079143	-12.491353250901238	1.8847908769999398e-23	7.654031865385425e-21
FAM20A	6.527445059533903	3.298195600408062	-3.229249459125841	12.584293070869496	2.0111391214177317e-23	8.103319456874852e-21
SLC5A8	3.1631773215236167	6.072222590956162	2.9090452694325455	-12.233963741113039	2.0544981862796193e-23	8.213851896060858e-21
MAP4K1	3.0224366668075175	1.20240845998635	-1.8200282068211675	12.343373569915274	2.230861611840885e-23	8.850342828390908e-21
BID	5.095985562572376	3.819936801099598	-1.276048761472778	12.758043588515791	2.4103698967565894e-23	9.489497485139263e-21
FAM234B	3.384752932126197	5.045012199771895	1.660259267645698	-12.596627125477363	2.676965360032194e-23	1.0459228142295483e-20
PLXNC1	5.5574208111280665	3.3032474998307872	-2.2541733112972793	12.237235136295645	2.8576064297053475e-23	1.1081067218467938e-20
NFKBIE	4.235754992394259	3.2244719434418223	-1.011283048952437	12.084995254932045	3.427714267783648e-23	1.3192607137811481e-20
PDE5A	7.3254588276713095	4.7911087453699555	-2.534350082301354	12.083787204008955	3.5296260084408184e-23	1.3484217167357538e-20
SDK1	4.33695888520698	1.7435909537426952	-2.5933679314642846	12.153043270689519	3.769060654450298e-23	1.4293053984751447e-20
EPHB3	4.009148077899766	1.8225853600140882	-2.1865627178856784	12.184105228029267	4.3548870210066643e-23	1.639408344681735e-20
THEMIS2	5.5169922323945855	3.7771741401655525	-1.739818092229033	12.714743638896884	4.649348676858214e-23	1.737576149712214e-20
LRRC52-AS1	2.2418576159321466	0.2169168313726873	-2.024940784559459	13.03109502330022	4.7070110001807444e-23	1.7464703980095087e-20
PRPSAP1	5.45506324348652	6.38381144395364	0.9287482004671199	-12.538654547859801	4.741679113497572e-23	1.7467668471394557e-20
ESPN	2.4483162511696817	0.394204190366992	-2.0541120608026895	12.532148693363604	4.816956645579748e-23	1.7619129222633327e-20
BTBD11	4.394868792970432	6.189690185329906	1.7948213923594736	-12.030890413684855	5.008819513652723e-23	1.819189138007926e-20
EBI3	2.212693714331165	0.7910475111423347	-1.4216462031888304	12.017910116245474	5.591187545584134e-23	2.0165028424892036e-20
PRR15	6.159854531740877	1.8518482751995424	-4.308006256541335	12.04863382073494	7.7739389049646e-23	2.7842578130878074e-20
LGALS1	7.795802489306677	5.7002692502784775	-2.0955332390281995	12.134000673272215	7.874721800664917e-23	2.800902773430982e-20
HLA-DQB2	4.884222774310206	2.074259054038646	-2.8099637202715595	11.93745717888976	7.974252810001317e-23	2.8168774960479993e-20
PSTPIP2	2.609617875667667	1.4038654144826386	-1.2057524611850283	11.930116259817064	8.486911833242918e-23	2.9775781693038793e-20
AL137026.1	1.1682634049744665	0.05052502227623348	-1.117738382698233	13.541080807224441	8.966030429094299e-23	3.124419279392631e-20
NGEF	4.43752124400859	1.400639760003745	-3.0368814840048444	12.276685539688009	9.762768660645164e-23	3.379228395329622e-20
RSPO4	3.28511966820357	1.0003506249226428	-2.284769043280927	11.873814622111022	1.3464511372020574e-22	4.6294580633372604e-20
S100A10	7.113714796752519	4.759003563986616	-2.3547112327659026	12.1686976297669	1.4569257115305527e-22	4.968317976374496e-20
DPP4-DT	1.2661303451038164	0.15005192396693479	-1.1160784211368817	12.114078069061136	1.4737189178898733e-22	4.968317976374496e-20
FAM178B	1.9875952277892086	0.3097853835631075	-1.6778098442261011	12.092554868513746	1.473906717309687e-22	4.968317976374496e-20
CFH	6.72452178010989	4.1792391378719005	-2.5452826422379893	11.824592484360302	1.6957661624392783e-22	5.67905480919762e-20
TMSB10	9.84407567819479	8.177349426976846	-1.666726251217943	12.468442568583319	1.8070266857731312e-22	6.01261898658474e-20
B3GNT3	4.260961061924473	0.8536275356006662	-3.4073335263238063	11.79573301204554	1.8762109758422553e-22	6.202801594108236e-20
ENTPD2	1.8851794374828819	0.49235770216069796	-1.392821735322184	12.258803252460105	2.046691161396924e-22	6.723315283941717e-20
ANKRD46	4.288473070429502	5.082734374192897	0.7942613037633954	-11.78331626318665	2.4210257144758726e-22	7.902656974580927e-20
TMSB4XP8	1.665935496280411	0.6078811747266564	-1.0580543215537546	11.985259933489056	2.452418980292703e-22	7.954783427019866e-20
TMEM99	3.5335163586236584	4.50418822557411	0.9706718669504513	-12.378088985435944	2.544212310440291e-22	8.200950356165473e-20
ANXA1	10.029172990811496	7.590910550491365	-2.4382624403201305	12.54359736170575	2.5833316388600584e-22	8.275325834942151e-20
ACOT7	4.236249891792947	3.1447452803358447	-1.0915046114571023	11.799910809159979	2.8015539915390777e-22	8.918971948125703e-20
CDC25B	6.269271221391531	4.737270038025828	-1.5320011833657023	11.843526093091365	2.979507965520964e-22	9.42730943642811e-20
BCAT2	4.861193738772895	5.705356781148548	0.8441630423756523	-12.415461717335564	3.0295347189354295e-22	9.527147780144868e-20
KCTD17	3.7469476826065327	2.2450680006302792	-1.5018796819762534	12.571489230908739	3.269392062368928e-22	1.0219128862097884e-19
MATN2	6.511372613161162	8.547672187418	2.036299574256838	-11.693872225689898	3.442477086048969e-22	1.0692447728398704e-19
NABP1	3.288413031039985	1.679615582821972	-1.608797448218013	11.760925534158275	3.4732758412117766e-22	1.0692447728398704e-19
WWOX	4.17220246265885	5.142482687388458	0.9702802247296081	-11.82774924468112	3.483017059702529e-22	1.0692447728398704e-19
DYNLL2	7.682362010798694	8.332527430033874	0.6501654192351802	-11.987459481764251	3.5916532276312218e-22	1.0960705536204297e-19
TMCO4	5.366691178237144	6.054120977274797	0.6874297990376537	-11.995985701338842	3.801501694365901e-22	1.1532861669719233e-19
COLEC12	3.12479694136699	1.1920014888961012	-1.9327954524708888	12.143890618400267	3.9799758994420423e-22	1.2003700411568649e-19
SRGAP2	4.7735150946416605	3.65943146413835	-1.1140836305033104	11.969993401827294	4.0195382827459996e-22	1.205253880199664e-19
SCN1B	4.638671232134625	2.792433510224764	-1.8462377219098607	11.674004013237113	4.1227934928866987e-22	1.2290690844054255e-19
DPP4	6.893401670862758	2.6874444733251077	-4.20595719753765	12.575460699990858	4.348241904194514e-22	1.2888288963616545e-19
ARHGAP45	5.545773171689424	4.209692666226394	-1.3360805054630305	11.67468802897148	4.576249748013437e-22	1.3432610250642726e-19
CLDN1	8.689594112891967	4.2207234322685006	-4.468870680623467	13.193618226684823	4.58397526682654e-22	1.3432610250642726e-19
UPP1	5.411210947189736	3.963966680980035	-1.447244266209701	11.636041141505014	4.643331630170479e-22	1.352967149685945e-19
TNFRSF18	1.9152697239567864	0.4252455081218536	-1.4900242158349328	12.109452258540989	4.670383557490017e-22	1.3532042786179222e-19
SIRPA	5.230878878323143	3.470457113296106	-1.7604217650270368	12.06407158808613	5.000452238965488e-22	1.4407448255441681e-19
SH3BGRL3	6.9247827039745795	5.854268511200292	-1.0705141927742874	11.70427186429903	5.62837012307389e-22	1.6126531151522936e-19
AC012668.3	0.3700364719050564	0.02159370521596541	-0.34844276668909097	12.642093043108366	5.909019877755293e-22	1.6837115534549803e-19
IGSF6	3.4878012962269986	1.7526220418238834	-1.7351792544031153	11.590657171012976	6.003916695288022e-22	1.7013516463889253e-19
DUSP4	5.732002702198337	3.3800934905225213	-2.351909211675816	12.302551219431637	6.623912942841359e-22	1.8667851700224057e-19
NINJ2	1.3541742179968794	0.44805667973999247	-0.9061175382568869	11.963672460590868	6.662096846026437e-22	1.8673422974835189e-19
GPR153	2.9804792334475554	1.2868893770888283	-1.693589856358727	11.77994194935635	6.901053787998631e-22	1.9238645841202237e-19
AC004847.1	2.6096451320997014	0.31962243450996375	-2.2900226975897375	12.403877191249766	7.055452964589997e-22	1.9563329634180888e-19
SLC39A14	6.639490119077281	8.089277088391526	1.4497869693142453	-11.659545221313223	7.333352120104928e-22	2.0225149852528962e-19
DUSP15	1.9311419992059513	3.7846667847766824	1.853524785570731	-12.166717265141395	7.524278770407247e-22	2.0641337941754435e-19
GAS7	4.308633168999382	2.071532972252334	-2.237100196747048	11.81023852117687	7.717226660765743e-22	2.1058637449858859e-19
ACSF2	5.979776016022846	7.269166608427861	1.2893905924050149	-12.306255790410658	8.075762427202932e-22	2.192101954845074e-19
NFE2L3	4.747326085310744	1.938161920769607	-2.809164164541137	12.263061706997851	8.338347703186425e-22	2.251528504943124e-19
LIPH	5.6614841202066755	1.798238851693238	-3.8632452685134373	12.478236406567925	8.715208420462317e-22	2.3410320785256437e-19
LAT2	3.696293126389921	2.0432305163915423	-1.6530626099983787	11.530411202166052	8.765962942950022e-22	2.3424651441435463e-19
GALNTL6	1.6627899642039563	0.328865200593955	-1.3339247636100013	11.768005143236701	8.942747972935277e-22	2.3694171416369387e-19
HAS2	2.9038173278401116	0.3772534336100266	-2.526563894230085	12.408021687776493	8.958706763470024e-22	2.3694171416369387e-19
TMEM100	3.620339071567571	0.7983453092426559	-2.821993762324915	11.857039618152767	9.248932658376425e-22	2.4336961883831926e-19
TREM1	3.820186059152	1.0955931005860762	-2.724592958565924	11.513767528378477	9.477545980611062e-22	2.477197848688261e-19
SLIT2	4.864341477759783	2.658311930607722	-2.2060295471520615	11.732437014683223	9.510318649712561e-22	2.477197848688261e-19
IRF5	3.948554024777181	2.6877600973720437	-1.2607939274051372	12.053409327663433	1.1219361275368433e-21	2.9076750674163395e-19
CNKSR2	1.63421709036629	0.43740864534607743	-1.1968084450202126	11.57861919643973	1.1546227528166635e-21	2.97742569268833e-19
KCNAB2	4.434782196534483	3.0441309667990173	-1.3906512297354658	11.574391732057448	1.2403709928213592e-21	3.182631521580536e-19
CCNA1	1.590120499561341	0.29480591563113073	-1.2953145839302103	11.979297706409241	1.2976485750829618e-21	3.313115228283598e-19
LDHD	3.3074792794661128	5.184968294279128	1.877489014813015	-12.062924526564691	1.3297890558609907e-21	3.378450284087425e-19
SH3BP1	2.5492037433396817	1.2437791792884336	-1.305424564051248	11.453433723419346	1.3429891519149552e-21	3.3952609078853867e-19
TRAF5	3.4001287991466382	1.9651919771136954	-1.4349368220329428	11.573457638311599	1.4211817814297935e-21	3.57541605831513e-19
SERPINB8	3.952022673392979	2.6242572786853837	-1.3277653947075954	11.649318831973789	1.6571098598141265e-21	4.148727374274454e-19
TRIM58	3.9118520076739154	5.867063371036869	1.9552113633629533	-11.459334224314748	1.810440511649834e-21	4.510708161730847e-19
MUC21	2.9414298142906676	0.25866433955073836	-2.6827654747399294	12.351027903404775	1.831069508576461e-21	4.5401720593905e-19
PLP2	5.435951339698036	3.6475419165789784	-1.7884094231190577	11.990873787243071	1.847367095106291e-21	4.558665577177601e-19
DGKA	4.497338863375043	3.1862197871472735	-1.3111190762277691	11.411742553251589	1.9950734151991455e-21	4.899710300737178e-19
LPAR5	5.518330045738332	2.510722181626699	-3.007607864111633	12.66164879646688	2.099238621579568e-21	5.111325402416453e-19
DUSP6	8.738222084974721	6.322809349952181	-2.4154127350225396	11.614719003092482	2.1010605834573392e-21	5.111325402416453e-19
FLRT1	1.323799243779629	3.6113667634097593	2.28756751963013	-11.713061946786388	2.1673577362344456e-21	5.247854830448606e-19
WDR31	2.9386140981831828	3.9609291202017824	1.0223150220185997	-11.745758972701767	2.238435458445731e-21	5.394629454854212e-19
NAPSB	3.696628292001228	1.6282746568736923	-2.0683536351275356	11.361619877356164	2.287120785109634e-21	5.486324063778803e-19
JAML	3.7082302914428618	1.6620049104173185	-2.0462253810255433	11.404159325807445	2.306260005673492e-21	5.506622848731698e-19
CLIP3	4.22365654729824	2.3979492285149666	-1.825707318783273	11.719194938816496	2.3928107586847713e-21	5.686950325733106e-19
COL7A1	3.284512863032749	0.900954959908288	-2.383557903124461	11.364223332458273	2.6182251308188277e-21	6.194144169580285e-19
PRKN	1.9668416713060737	2.73050243457462	0.7636607632685461	-11.661066422816837	2.751967528924131e-21	6.480820700307448e-19
