panel	category	n
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
ThyroSeq112_surrogate	proxy/derived	1
