	sample	stage	pc1	pc2	cohort
173	TCGA-DJ-A3VK-01A	pre	3.573973500682297	-10.181772094306282	TCGA-THCA
174	TCGA-EM-A4FR-01A	pre	-12.341889979541156	-8.617094021485112	TCGA-THCA
175	TCGA-EM-A22M-01A	pre	-2.6682337486954464	-4.106116670732595	TCGA-THCA
176	TCGA-EL-A3T8-11A	pre	2.7161845928059707	-8.388424266874205	TCGA-THCA
177	TCGA-EL-A3ZR-01A	pre	-2.512755943464941	-11.709975024248887	TCGA-THCA
178	TCGA-DJ-A4UW-01A	pre	9.332301117359453	-7.531758160953368	TCGA-THCA
179	TCGA-DJ-A13V-01A	pre	3.850361719269266	-13.297801877375866	TCGA-THCA
180	TCGA-E8-A417-01A	pre	0.4763536806238629	-9.914657725525778	TCGA-THCA
181	TCGA-EM-A2P1-06A	pre	3.653509192706484	-4.44958512833488	TCGA-THCA
182	TCGA-DJ-A1QQ-01A	pre	6.195674589070721	-13.708690511531852	TCGA-THCA
183	TCGA-ET-A39R-01A	pre	9.229151965063746	-6.150137987481324	TCGA-THCA
184	TCGA-ET-A3DR-01A	pre	6.567566156696289	-14.73806997878874	TCGA-THCA
185	TCGA-ET-A2N3-01B	pre	-3.9475825215292653	-10.091354842352192	TCGA-THCA
186	TCGA-CE-A485-01A	pre	10.84204398490126	-4.7122966549913725	TCGA-THCA
187	TCGA-ET-A3DT-01A	pre	3.4338840164898126	-6.167918806288403	TCGA-THCA
188	TCGA-CE-A13K-01A	pre	6.739488673674853	-13.050410364971095	TCGA-THCA
189	TCGA-DJ-A3V8-01A	pre	6.120576109608856	-9.850904902167219	TCGA-THCA
190	TCGA-BJ-A290-01A	pre	4.190460298526979	-9.789437113518634	TCGA-THCA
191	TCGA-ET-A3BO-01A	pre	6.242961963533536	-10.831134172569506	TCGA-THCA
192	TCGA-EL-A3N3-01A	pre	2.922687095150271	-7.000765074073963	TCGA-THCA
193	TCGA-EL-A3N3-11A	pre	6.6553837203877	-3.3180743251467195	TCGA-THCA
194	TCGA-DJ-A1QH-01A	pre	5.922464451912047	-11.984622002776227	TCGA-THCA
195	TCGA-J8-A3O2-06A	pre	2.4889358132049173	-11.912846096754784	TCGA-THCA
196	TCGA-DJ-A2Q9-01A	pre	12.23747500993978	5.395564338777627	TCGA-THCA
197	TCGA-BJ-A190-01A	pre	-6.4148717877601635	-11.206564767780275	TCGA-THCA
198	TCGA-DE-A3KN-01A	pre	6.030505667238906	-12.462288100276798	TCGA-THCA
199	TCGA-EM-A3AL-01A	pre	3.8692282501889714	-10.30956539792777	TCGA-THCA
200	TCGA-ET-A25R-01A	pre	-0.30856147066687106	-12.946949027549053	TCGA-THCA
201	TCGA-EM-A1YC-01A	pre	-9.763912233034292	-9.901344354587854	TCGA-THCA
202	TCGA-ET-A3DO-01A	pre	3.3515185601527695	-5.353250820316237	TCGA-THCA
203	TCGA-EM-A3SZ-01A	pre	2.860384015659025	-9.457224999363053	TCGA-THCA
204	TCGA-BJ-A18Z-01A	pre	4.616897147842426	-7.904360530911149	TCGA-THCA
205	TCGA-EM-A4FK-01A	pre	-1.6051972993734855	-12.430245155568496	TCGA-THCA
206	TCGA-EM-A3FK-01A	pre	9.000132121111571	-13.614127797521308	TCGA-THCA
207	TCGA-EM-A3SX-01A	pre	3.58846247257358	-14.190605956976102	TCGA-THCA
208	TCGA-EL-A3ZH-11A	pre	0.37142434549848363	-8.319993149280904	TCGA-THCA
209	TCGA-BJ-A0Z5-01A	pre	-1.7147158332466903	-13.80356735987246	TCGA-THCA
210	TCGA-EM-A4FM-01A	pre	0.8640916772682564	-6.596517547560327	TCGA-THCA
211	TCGA-EL-A3GY-01A	pre	8.12699386870924	-11.11678585559854	TCGA-THCA
212	TCGA-DO-A1JZ-01A	pre	4.160867322191453	-13.042651523234683	TCGA-THCA
213	TCGA-EM-A3AO-01A	pre	-1.4587769663434607	-10.006090705716897	TCGA-THCA
214	TCGA-ET-A39J-01A	pre	9.008598684209218	-14.207753702519154	TCGA-THCA
215	TCGA-E8-A437-01A	pre	-3.6616025473418206	-8.505247590495115	TCGA-THCA
216	TCGA-EM-A2OZ-01A	pre	7.233536042300048	-12.365182884617818	TCGA-THCA
217	TCGA-EM-A1CW-01A	pre	-1.8205244264995522	-10.335087810019308	TCGA-THCA
218	TCGA-BJ-A2N9-11A	pre	2.9686152189744472	-3.317450223756582	TCGA-THCA
219	TCGA-DJ-A3VM-01A	pre	-3.375352583383584	-10.397668657896528	TCGA-THCA
220	TCGA-EM-A2CL-01A	pre	-4.444514038865479	-12.365747910741652	TCGA-THCA
221	TCGA-ET-A40T-01A	pre	8.665951906695506	-7.0109021979875505	TCGA-THCA
222	TCGA-ET-A25K-01A	pre	6.116006974217669	-14.360861360284275	TCGA-THCA
223	TCGA-FE-A236-01A	pre	1.967173852922478	-14.22234848756346	TCGA-THCA
224	TCGA-EL-A3ZQ-01A	pre	-11.597834247913154	-8.349835060036941	TCGA-THCA
225	TCGA-EL-A3ZQ-11A	pre	2.295857921720122	-6.0061910072591145	TCGA-THCA
226	TCGA-EL-A3CP-01A	pre	5.282391010110463	-13.866225025750548	TCGA-THCA
227	TCGA-DJ-A1QM-01A	pre	2.7183185079767753	-9.33710271190159	TCGA-THCA
