sample_id	dataset	condition	gene_dropped	n_genes_used	DM1_drop_epi25_mean	NONOVERLAP_epi25_mean	n_spots_post_qc	n_spots_epi25
GSM7908364_GD1	GSE248205	GD	TPO	7	-0.05764594414521554	0.013774446591199987	2266	567
GSM7908364_GD1	GSE248205	GD	DIO1	7	-0.0644234569484936	0.013774446591199987	2266	567
GSM7908364_GD1	GSE248205	GD	TSHR	7	-0.05281821417739524	0.013774446591199987	2266	567
GSM7908364_GD1	GSE248205	GD	PAX8	7	-0.04619389000657853	0.013774446591199987	2266	567
GSM7908364_GD1	GSE248205	GD	TG	7	-0.03388485774705859	0.013774446591199987	2266	567
GSM7908364_GD1	GSE248205	GD	FOXE1	7	-0.059132279892417074	0.013774446591199987	2266	567
GSM7908364_GD1	GSE248205	GD	NKX2-1	7	-0.05461438238814303	0.013774446591199987	2266	567
GSM7908364_GD1	GSE248205	GD	SLC5A5	7	-0.06957621945164119	0.013774446591199987	2266	567
GSM7908364_GD1	GSE248205	GD	(none, full RAI_8)	8	-0.05478615559461784	0.013774446591199987	2266	567
GSM7908365_GD2	GSE248205	GD	TPO	7	-0.055207533313235135	0.04350463429141714	2005	502
GSM7908365_GD2	GSE248205	GD	DIO1	7	-0.061922786421026825	0.04350463429141714	2005	502
GSM7908365_GD2	GSE248205	GD	TSHR	7	-0.05629435452248364	0.04350463429141714	2005	502
GSM7908365_GD2	GSE248205	GD	PAX8	7	-0.05118311980708444	0.04350463429141714	2005	502
GSM7908365_GD2	GSE248205	GD	TG	7	-0.04850630175870909	0.04350463429141714	2005	502
GSM7908365_GD2	GSE248205	GD	FOXE1	7	-0.056565351557220894	0.04350463429141714	2005	502
GSM7908365_GD2	GSE248205	GD	NKX2-1	7	-0.05103368970334283	0.04350463429141714	2005	502
GSM7908365_GD2	GSE248205	GD	SLC5A5	7	-0.05502867871294969	0.04350463429141714	2005	502
GSM7908365_GD2	GSE248205	GD	(none, full RAI_8)	8	-0.05446772697450656	0.04350463429141714	2005	502
GSM7908366_GD3	GSE248205	GD	TPO	7	-0.07925624983604175	0.040643357049159605	1969	493
GSM7908366_GD3	GSE248205	GD	DIO1	7	-0.0925348174582154	0.040643357049159605	1969	493
GSM7908366_GD3	GSE248205	GD	TSHR	7	-0.08856777250990543	0.040643357049159605	1969	493
GSM7908366_GD3	GSE248205	GD	PAX8	7	-0.0867233727346143	0.040643357049159605	1969	493
GSM7908366_GD3	GSE248205	GD	TG	7	-0.07293891079131211	0.040643357049159605	1969	493
GSM7908366_GD3	GSE248205	GD	FOXE1	7	-0.08798683443216015	0.040643357049159605	1969	493
GSM7908366_GD3	GSE248205	GD	NKX2-1	7	-0.09250865842156421	0.040643357049159605	1969	493
GSM7908366_GD3	GSE248205	GD	SLC5A5	7	-0.09046214621742601	0.040643357049159605	1969	493
GSM7908366_GD3	GSE248205	GD	(none, full RAI_8)	8	-0.0863723453001549	0.040643357049159605	1969	493
GSM7908361_HT1	GSE248205	HT	TPO	7	-0.50330656443442	0.4012794939987963	1927	482
GSM7908361_HT1	GSE248205	HT	DIO1	7	-0.5301656702665053	0.4012794939987963	1927	482
GSM7908361_HT1	GSE248205	HT	TSHR	7	-0.5319892248383312	0.4012794939987963	1927	482
GSM7908361_HT1	GSE248205	HT	PAX8	7	-0.5191083868180252	0.4012794939987963	1927	482
GSM7908361_HT1	GSE248205	HT	TG	7	-0.4971381728450759	0.4012794939987963	1927	482
GSM7908361_HT1	GSE248205	HT	FOXE1	7	-0.5712302076081373	0.4012794939987963	1927	482
GSM7908361_HT1	GSE248205	HT	NKX2-1	7	-0.5836444059621658	0.4012794939987963	1927	482
GSM7908361_HT1	GSE248205	HT	SLC5A5	7	-0.6033343667609098	0.4012794939987963	1927	482
GSM7908361_HT1	GSE248205	HT	(none, full RAI_8)	8	-0.5424896249416963	0.4012794939987963	1927	482
GSM7908362_HT2	GSE248205	HT	TPO	7	-0.12070733224301151	0.1071479674769101	2595	649
GSM7908362_HT2	GSE248205	HT	DIO1	7	-0.14291672854891607	0.1071479674769101	2595	649
GSM7908362_HT2	GSE248205	HT	TSHR	7	-0.13442138871200238	0.1071479674769101	2595	649
GSM7908362_HT2	GSE248205	HT	PAX8	7	-0.12524694816722978	0.1071479674769101	2595	649
GSM7908362_HT2	GSE248205	HT	TG	7	-0.1162381539823972	0.1071479674769101	2595	649
GSM7908362_HT2	GSE248205	HT	FOXE1	7	-0.13991807797162606	0.1071479674769101	2595	649
GSM7908362_HT2	GSE248205	HT	NKX2-1	7	-0.13606580302409943	0.1071479674769101	2595	649
GSM7908362_HT2	GSE248205	HT	SLC5A5	7	-0.15373085041080412	0.1071479674769101	2595	649
GSM7908362_HT2	GSE248205	HT	(none, full RAI_8)	8	-0.13365566038251084	0.1071479674769101	2595	649
GSM7908363_HT3	GSE248205	HT	TPO	7	-0.4143744125578062	0.3485261735134457	1980	495
GSM7908363_HT3	GSE248205	HT	DIO1	7	-0.4465209910981172	0.3485261735134457	1980	495
GSM7908363_HT3	GSE248205	HT	TSHR	7	-0.4246868478649347	0.3485261735134457	1980	495
GSM7908363_HT3	GSE248205	HT	PAX8	7	-0.41089617487565605	0.3485261735134457	1980	495
GSM7908363_HT3	GSE248205	HT	TG	7	-0.3957064667579293	0.3485261735134457	1980	495
GSM7908363_HT3	GSE248205	HT	FOXE1	7	-0.434468843000001	0.3485261735134457	1980	495
GSM7908363_HT3	GSE248205	HT	NKX2-1	7	-0.4481166850935589	0.3485261735134457	1980	495
GSM7908363_HT3	GSE248205	HT	SLC5A5	7	-0.4858465850243894	0.3485261735134457	1980	495
GSM7908363_HT3	GSE248205	HT	(none, full RAI_8)	8	-0.4325771257840491	0.3485261735134457	1980	495
