sample_id	dataset	condition	celltype	fraction_top1	n_spots
GSM7908361_HT1	GSE248205	HT	Macrophage	0.1717695900363259	1927
GSM7908361_HT1	GSE248205	HT	Endothelial	0.15879605604566685	1927
GSM7908362_HT2	GSE248205	HT	Epithelial	0.2073217726396917	2595
GSM7908362_HT2	GSE248205	HT	Stromal	0.11984585741811175	2595
GSM7908362_HT2	GSE248205	HT	Immune_T	0.14913294797687862	2595
GSM7908362_HT2	GSE248205	HT	Immune_B	0.16955684007707128	2595
GSM7908362_HT2	GSE248205	HT	Macrophage	0.1838150289017341	2595
GSM7908362_HT2	GSE248205	HT	Endothelial	0.17032755298651253	2595
GSM7908363_HT3	GSE248205	HT	Epithelial	0.23636363636363636	1980
GSM7908363_HT3	GSE248205	HT	Stromal	0.0898989898989899	1980
GSM7908363_HT3	GSE248205	HT	Immune_T	0.18535353535353535	1980
GSM7908363_HT3	GSE248205	HT	Immune_B	0.17626262626262626	1980
GSM7908363_HT3	GSE248205	HT	Macrophage	0.15555555555555556	1980
GSM7908363_HT3	GSE248205	HT	Endothelial	0.15656565656565657	1980
GSM7908364_GD1	GSE248205	GD	Epithelial	0.21800529567519858	2266
GSM7908364_GD1	GSE248205	GD	Stromal	0.147396293027361	2266
GSM7908364_GD1	GSE248205	GD	Immune_T	0.14210061782877317	2266
GSM7908364_GD1	GSE248205	GD	Immune_B	0.11385701676963812	2266
GSM7908364_GD1	GSE248205	GD	Macrophage	0.15798764342453664	2266
GSM7908364_GD1	GSE248205	GD	Endothelial	0.22065313327449249	2266
GSM7908365_GD2	GSE248205	GD	Epithelial	0.17955112219451372	2005
GSM7908365_GD2	GSE248205	GD	Stromal	0.1451371571072319	2005
GSM7908365_GD2	GSE248205	GD	Immune_T	0.14912718204488778	2005
GSM7908365_GD2	GSE248205	GD	Immune_B	0.17057356608478802	2005
GSM7908365_GD2	GSE248205	GD	Macrophage	0.1546134663341646	2005
GSM7908365_GD2	GSE248205	GD	Endothelial	0.20099750623441395	2005
GSM7908366_GD3	GSE248205	GD	Epithelial	0.26256983240223464	1969
GSM7908366_GD3	GSE248205	GD	Stromal	0.18131030980192991	1969
GSM7908366_GD3	GSE248205	GD	Immune_T	0.09344845099035043	1969
GSM7908366_GD3	GSE248205	GD	Immune_B	0.16201117318435754	1969
GSM7908366_GD3	GSE248205	GD	Macrophage	0.06602336211274759	1969
GSM7908366_GD3	GSE248205	GD	Endothelial	0.2346368715083799	1969
