contract_split	feature_group	model	n	n_pos	prevalence	AUPRC	AUROC	Brier	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10	ECE
exact_peptide_hla_holdout	B_retrieval_only_clean_flags	elastic_net_lr	89	21	0.23595505617977527	0.23189267384023937	0.49404761904761907	0.2876337544979871	0.0	0.0	0.0	0.1	0.047619047619047616	0.42380952380952386	0.2678720221123143
exact_peptide_hla_holdout	B_retrieval_only_clean_flags	xgboost_depth2	89	21	0.23595505617977527	0.22688675651139859	0.47514005602240894	0.18057279751297328	0.0	0.0	0.0	0.1	0.047619047619047616	0.42380952380952386	0.0010455617409073914
exact_peptide_hla_holdout	B_retrieval_only_clean_flags	calibrated_linear_svm	89	21	0.23595505617977527	0.2260881142033223	0.4723389355742297	0.18057749269593532	0.6	0.14285714285714285	2.5428571428571427	0.4	0.19047619047619047	1.6952380952380954	0.0067527523005457835
exact_peptide_hla_holdout	D_structure_geometry	calibrated_linear_svm	89	21	0.23595505617977527	0.2023015350457779	0.411764705882353	0.19346403977962595	0.0	0.0	0.0	0.0	0.0	0.0	0.07794721085443101
exact_peptide_hla_holdout	D_structure_geometry	xgboost_depth2	89	21	0.23595505617977527	0.20049626408983334	0.41526610644257705	0.2082452678686248	0.0	0.0	0.0	0.0	0.0	0.0	0.14140115301595646
exact_peptide_hla_holdout	A_structure_baseline_features	calibrated_linear_svm	89	21	0.23595505617977527	0.19875537471913562	0.3893557422969187	0.18752063357105478	0.0	0.0	0.0	0.0	0.0	0.0	0.05617041428555726
exact_peptide_hla_holdout	D_structure_geometry	elastic_net_lr	89	21	0.23595505617977527	0.1950050197661536	0.38515406162464993	0.2984652204183128	0.0	0.0	0.0	0.1	0.047619047619047616	0.42380952380952386	0.29239637835583027
exact_peptide_hla_holdout	E_quantum_fixed	calibrated_linear_svm	89	21	0.23595505617977527	0.1918681309095943	0.3711484593837535	0.18831056117533096	0.0	0.0	0.0	0.1	0.047619047619047616	0.42380952380952386	0.023794191158774115
exact_peptide_hla_holdout	D_structure_geometry	rf_secondary	89	21	0.23595505617977527	0.19155026741391867	0.38095238095238093	0.24155732758144466	0.0	0.0	0.0	0.0	0.0	0.0	0.20708065601199854
hla_stratified_group_5fold	C_counterfactual	rf_secondary	89	21	0.23595505617977527	0.5054898858953569	0.7170868347338936	0.17952311779249258	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.15111682555558884
hla_stratified_group_5fold	C_counterfactual	elastic_net_lr	89	21	0.23595505617977527	0.492459149337728	0.6799719887955182	0.1998148838323021	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.1682220248325189
hla_stratified_group_5fold	F_CROSS_all	elastic_net_lr	89	21	0.23595505617977527	0.4275889322870294	0.6505602240896359	0.20765974102164764	0.4	0.09523809523809523	1.6952380952380954	0.5	0.23809523809523808	2.119047619047619	0.16839809967553745
hla_stratified_group_5fold	C_counterfactual	xgboost_depth2	89	21	0.23595505617977527	0.42465277606714935	0.7121848739495799	0.16339255537680017	0.6	0.14285714285714285	2.5428571428571427	0.4	0.19047619047619047	1.6952380952380954	0.07174613092387659
hla_stratified_group_5fold	F_CROSS_all	calibrated_linear_svm	89	21	0.23595505617977527	0.39219012470525255	0.5595238095238095	0.17740825461985157	0.6	0.14285714285714285	2.5428571428571427	0.5	0.23809523809523808	2.119047619047619	0.018288012005788654
hla_stratified_group_5fold	A_structure_baseline_features	rf_secondary	89	21	0.23595505617977527	0.3720240447453195	0.5441176470588235	0.2028258683070675	0.6	0.14285714285714285	2.5428571428571427	0.3	0.14285714285714285	1.2714285714285714	0.18694521831737407
hla_stratified_group_5fold	F_CROSS_all	rf_secondary	89	21	0.23595505617977527	0.3419912360013456	0.6393557422969187	0.1886810959694656	0.2	0.047619047619047616	0.8476190476190477	0.4	0.19047619047619047	1.6952380952380954	0.12403294606543286
hla_stratified_group_5fold	A_structure_baseline_features	xgboost_depth2	89	21	0.23595505617977527	0.33511822011853104	0.45833333333333337	0.19032231901964908	0.6	0.14285714285714285	2.5428571428571427	0.4	0.19047619047619047	1.6952380952380954	0.1470523708070932
hla_stratified_group_5fold	C_counterfactual	calibrated_linear_svm	89	21	0.23595505617977527	0.3343059031272199	0.5791316526610644	0.17846774532436813	0.4	0.09523809523809523	1.6952380952380954	0.3	0.14285714285714285	1.2714285714285714	0.025784781773167866
hla_stratified_group_5fold	F_CROSS_all	xgboost_depth2	89	21	0.23595505617977527	0.3151692862479454	0.6309523809523809	0.17915876917903806	0.0	0.0	0.0	0.2	0.09523809523809523	0.8476190476190477	0.06883721288000602
hla_stratified_group_5fold	A_structure_baseline_features	elastic_net_lr	89	21	0.23595505617977527	0.28449610354348664	0.5490196078431372	0.2680574272766572	0.2	0.047619047619047616	0.8476190476190477	0.2	0.09523809523809523	0.8476190476190477	0.24973089656584752
hla_stratified_group_5fold	A_structure_baseline_features	calibrated_linear_svm	89	21	0.23595505617977527	0.24673488591282375	0.40336134453781514	0.1867854372507821	0.2	0.047619047619047616	0.8476190476190477	0.2	0.09523809523809523	0.8476190476190477	0.0728141166607112
hla_stratified_group_5fold	B_retrieval_only_clean_flags	rf_secondary	89	21	0.23595505617977527	0.2257945899683494	0.45378151260504207	0.24613338436171434	0.0	0.0	0.0	0.2	0.09523809523809523	0.8476190476190477	0.25568542464091626
hla_stratified_group_5fold	D_structure_geometry	calibrated_linear_svm	89	21	0.23595505617977527	0.22205738366365624	0.43907563025210083	0.1890966697003503	0.2	0.047619047619047616	0.8476190476190477	0.2	0.09523809523809523	0.8476190476190477	0.0626554868781432
