feature_index	feature
124	wt_kmer_hash_16
125	wt_kmer_hash_17
126	wt_kmer_hash_18
127	wt_kmer_hash_19
128	wt_kmer_hash_20
129	wt_kmer_hash_21
130	wt_kmer_hash_22
131	wt_kmer_hash_23
132	wt_kmer_hash_24
133	wt_kmer_hash_25
134	wt_kmer_hash_26
135	wt_kmer_hash_27
136	wt_kmer_hash_28
137	wt_kmer_hash_29
138	wt_kmer_hash_30
139	wt_kmer_hash_31
140	delta_aa_frac_A
141	delta_aa_frac_C
142	delta_aa_frac_D
143	delta_aa_frac_E
144	delta_aa_frac_F
145	delta_aa_frac_G
146	delta_aa_frac_H
147	delta_aa_frac_I
148	delta_aa_frac_K
149	delta_aa_frac_L
150	delta_aa_frac_M
151	delta_aa_frac_N
152	delta_aa_frac_P
153	delta_aa_frac_Q
154	delta_aa_frac_R
155	delta_aa_frac_S
156	delta_aa_frac_T
157	delta_aa_frac_V
158	delta_aa_frac_W
159	delta_aa_frac_Y
160	delta_len
161	delta_aromatic_frac
162	delta_kd_mean
163	delta_kd_std
164	delta_kd_min
165	delta_kd_max
166	delta_charge_mean
167	delta_charge_std
168	delta_charge_min
169	delta_charge_max
170	delta_helix_mean
171	delta_helix_std
172	delta_helix_min
173	delta_helix_max
174	delta_sheet_mean
175	delta_sheet_std
176	delta_sheet_min
177	delta_sheet_max
178	delta_kmer_hash_00
179	delta_kmer_hash_01
180	delta_kmer_hash_02
181	delta_kmer_hash_03
182	delta_kmer_hash_04
183	delta_kmer_hash_05
184	delta_kmer_hash_06
185	delta_kmer_hash_07
186	delta_kmer_hash_08
187	delta_kmer_hash_09
188	delta_kmer_hash_10
189	delta_kmer_hash_11
190	delta_kmer_hash_12
191	delta_kmer_hash_13
192	delta_kmer_hash_14
193	delta_kmer_hash_15
194	delta_kmer_hash_16
195	delta_kmer_hash_17
196	delta_kmer_hash_18
197	delta_kmer_hash_19
198	delta_kmer_hash_20
199	delta_kmer_hash_21
200	delta_kmer_hash_22
201	delta_kmer_hash_23
202	delta_kmer_hash_24
203	delta_kmer_hash_25
204	delta_kmer_hash_26
205	delta_kmer_hash_27
206	delta_kmer_hash_28
207	delta_kmer_hash_29
208	delta_kmer_hash_30
209	delta_kmer_hash_31
210	abs_delta_aa_frac_A
211	abs_delta_aa_frac_C
212	abs_delta_aa_frac_D
213	abs_delta_aa_frac_E
214	abs_delta_aa_frac_F
215	abs_delta_aa_frac_G
216	abs_delta_aa_frac_H
217	abs_delta_aa_frac_I
218	abs_delta_aa_frac_K
219	abs_delta_aa_frac_L
220	abs_delta_aa_frac_M
221	abs_delta_aa_frac_N
222	abs_delta_aa_frac_P
223	abs_delta_aa_frac_Q
224	abs_delta_aa_frac_R
225	abs_delta_aa_frac_S
226	abs_delta_aa_frac_T
227	abs_delta_aa_frac_V
228	abs_delta_aa_frac_W
229	abs_delta_aa_frac_Y
230	abs_delta_len
231	abs_delta_aromatic_frac
232	abs_delta_kd_mean
233	abs_delta_kd_std
234	abs_delta_kd_min
235	abs_delta_kd_max
236	abs_delta_charge_mean
237	abs_delta_charge_std
238	abs_delta_charge_min
239	abs_delta_charge_max
240	abs_delta_helix_mean
241	abs_delta_helix_std
242	abs_delta_helix_min
243	abs_delta_helix_max
244	abs_delta_sheet_mean
245	abs_delta_sheet_std
246	abs_delta_sheet_min
247	abs_delta_sheet_max
248	abs_delta_kmer_hash_00
249	abs_delta_kmer_hash_01
250	abs_delta_kmer_hash_02
251	abs_delta_kmer_hash_03
252	abs_delta_kmer_hash_04
253	abs_delta_kmer_hash_05
254	abs_delta_kmer_hash_06
255	abs_delta_kmer_hash_07
256	abs_delta_kmer_hash_08
257	abs_delta_kmer_hash_09
258	abs_delta_kmer_hash_10
259	abs_delta_kmer_hash_11
260	abs_delta_kmer_hash_12
261	abs_delta_kmer_hash_13
262	abs_delta_kmer_hash_14
263	abs_delta_kmer_hash_15
264	abs_delta_kmer_hash_16
265	abs_delta_kmer_hash_17
266	abs_delta_kmer_hash_18
267	abs_delta_kmer_hash_19
268	abs_delta_kmer_hash_20
269	abs_delta_kmer_hash_21
270	abs_delta_kmer_hash_22
271	abs_delta_kmer_hash_23
272	abs_delta_kmer_hash_24
273	abs_delta_kmer_hash_25
274	abs_delta_kmer_hash_26
275	abs_delta_kmer_hash_27
276	abs_delta_kmer_hash_28
277	abs_delta_kmer_hash_29
278	abs_delta_kmer_hash_30
279	abs_delta_kmer_hash_31
280	hla_aa_frac_A
281	hla_aa_frac_C
282	hla_aa_frac_D
283	hla_aa_frac_E
284	hla_aa_frac_F
285	hla_aa_frac_G
286	hla_aa_frac_H
287	hla_aa_frac_I
288	hla_aa_frac_K
289	hla_aa_frac_L
290	hla_aa_frac_M
291	hla_aa_frac_N
292	hla_aa_frac_P
293	hla_aa_frac_Q
294	hla_aa_frac_R
295	hla_aa_frac_S
296	hla_aa_frac_T
297	hla_aa_frac_V
298	hla_aa_frac_W
299	hla_aa_frac_Y
300	hla_len
301	hla_aromatic_frac
302	hla_kd_mean
303	hla_kd_std
304	hla_kd_min
305	hla_kd_max
306	hla_charge_mean
307	hla_charge_std
308	hla_charge_min
309	hla_charge_max
310	hla_helix_mean
311	hla_helix_std
312	hla_helix_min
313	hla_helix_max
314	hla_sheet_mean
315	hla_sheet_std
316	hla_sheet_min
317	hla_sheet_max
318	hla_kmer_hash_00
319	hla_kmer_hash_01
320	hla_kmer_hash_02
321	hla_kmer_hash_03
322	hla_kmer_hash_04
323	hla_kmer_hash_05
324	hla_kmer_hash_06
325	hla_kmer_hash_07
326	hla_kmer_hash_08
327	hla_kmer_hash_09
328	hla_kmer_hash_10
329	hla_kmer_hash_11
330	hla_kmer_hash_12
331	hla_kmer_hash_13
332	hla_kmer_hash_14
333	hla_kmer_hash_15
334	hla_kmer_hash_16
335	hla_kmer_hash_17
336	hla_kmer_hash_18
337	hla_kmer_hash_19
338	hla_kmer_hash_20
339	hla_kmer_hash_21
340	hla_kmer_hash_22
341	hla_kmer_hash_23
342	hla_kmer_hash_24
343	hla_kmer_hash_25
344	hla_kmer_hash_26
345	hla_kmer_hash_27
346	hla_kmer_hash_28
347	hla_kmer_hash_29
348	hla_kmer_hash_30
349	hla_kmer_hash_31
350	anchor_mutation_flag
351	wt_missing_flag
352	hla_pseudo_missing_flag
