direction	pathway	pathway_ko	N_universe	N_pathway_total	N_sig_total	N_overlap	expected	fold_enrichment	p_value	overlap_genes	q_value	neg_log10_q	significant
BRAF_up	MAPK_signaling	MAPK 신호 (MAPK signaling)	51711	21	10622	7	4.314	1.623	0.12128249313887353	DUSP4;DUSP5;DUSP6;ETV1;ETV4;FOSL1;MAPK1	0.14927076078630588	0.8260252537134738	False
BRAF_up	Thyroid_differentiation	갑상선 분화 (Thyroid differentiation)	51711	13	10622	0	2.67	0.0	1.0		1.0	-0.0	False
BRAF_up	BRS_up_RASlike	BRS-up · RAS-like (BRS-up in RAS-like)	51711	12	10622	0	2.465	0.0	1.0		1.0	-0.0	False
BRAF_up	TDS_core	TDS core (Thyroid Differentiation Score)	51711	16	10622	0	3.287	0.0	1.0		1.0	-0.0	False
Novel_validated	Inflammation	염증 (Inflammation)	51711	12	2773	6	0.643	9.324	1.650463390267499e-05	CCL2;CCL5;CXCL8;NFKB1;NFKB2;PTGS2	0.00023403179573593702	3.6307251350061307	True
Novel_validated	Apoptosis	세포사멸 (Apoptosis)	51711	13	2773	6	0.697	8.607	2.9253974466992127e-05	BCL2;BCL2L1;CASP3;CASP7;CASP8;MCL1	0.00023403179573593702	3.6307251350061307	True
Novel_validated	Proteases	단백분해효소 (Proteases)	51711	23	2773	7	1.233	5.675	0.00014481149776118823	CTSD;CTSH;CTSK;CTSS;MMP11;MMP2;MMP7	0.000700586016841311	3.1545385351160458	True
Novel_validated	Cell_cycle	세포주기 (Cell cycle)	51711	17	2773	6	0.912	6.582	0.00017514650421032775	CCND1;CCND3;MCM2;MCM3;MCM4;MCM5	0.000700586016841311	3.1545385351160458	True
Novel_validated	BRS_up_BRAFlike	BRS-up · BRAF-like (BRS-up in BRAF-like)	51711	12	2773	5	0.643	7.77	0.00025462896838050465	CXCL14;LCN2;S100A4;TACSTD2;TMPRSS4	0.0008148126988176149	3.0889422111600413	True
Novel_validated	NOTCH	NOTCH 신호	51711	14	2773	5	0.751	6.66	0.0005880580874369488	HES1;HEY1;HEY2;NOTCH2;NOTCH4	0.0015681548998318633	2.804611040618673	True
Novel_validated	PI3K_AKT	PI3K / AKT	51711	13	2773	3	0.697	4.303	0.029393842602334578	AKT2;AKT3;PIK3R1	0.06718592594819332	1.1727216930650877	False
Novel_validated	Wnt	Wnt 신호	51711	15	2773	3	0.804	3.73	0.043190549107105645	DVL1;TCF7L1;WNT5A	0.08638109821421129	1.0635812788097054	False
Novel_validated	Dedifferentiation_aggressive	탈분화 · 공격성 (Dedifferentiation)	51711	11	2773	2	0.59	3.391	0.11467552230580959	LCN2;S100A4	0.20386759521032816	0.6906517999195204	False
Novel_validated	BRS_up_RASlike	BRS-up · RAS-like (BRS-up in RAS-like)	51711	12	2773	2	0.643	3.108	0.13290430548591933	ALDH1A1;TFF3	0.21264688877747093	0.6723409670372416	False
Novel_validated	EMT	상피-중간엽 전환 (EMT)	51711	14	2773	2	0.751	2.664	0.17101999964835501	MMP2;S100A4	0.24875636312488003	0.6042258012970979	False
Novel_validated	Kinase_signaling	키나제 신호 (Kinase signaling)	51711	14	2773	1	0.751	1.332	0.5377865167218909	KIT	0.7170486889625213	0.14445135391402444	False
Novel_validated	TDS_core	TDS core (Thyroid Differentiation Score)	51711	16	2773	1	0.858	1.166	0.5860428712527201	TFF3	0.7212835338495017	0.14189398218665053	False
Novel_validated	MAPK_signaling	MAPK 신호 (MAPK signaling)	51711	21	2773	1	1.126	0.888	0.6857835469190248	MAPK1	0.7837526250503141	0.10582099156096313	False
Novel_validated	Thyroid_differentiation	갑상선 분화 (Thyroid differentiation)	51711	13	2773	0	0.697	0.0	1.0		1.0	-0.0	False
Novel_validated	Immune_exhaustion	면역 탈진 (Immune exhaustion)	51711	9	2773	0	0.483	0.0	1.0		1.0	-0.0	False
RAS_up	TDS_core	TDS core (Thyroid Differentiation Score)	51711	16	9824	13	3.04	4.277	1.307076809991322e-07	DIO1;DIO2;DUOX1;DUOX2;FOXE1;GLIS3;PAX8;SLC26A4;TFF3;TG;THRA;TPO;TSHR	2.0913228959861153e-06	5.679578907823802	True
RAS_up	BRS_up_RASlike	BRS-up · RAS-like (BRS-up in RAS-like)	51711	12	9824	10	2.28	4.386	2.758093356350069e-06	ALDH1A1;DIO1;DIO2;FOXE1;PAX8;SLC26A4;TFF3;TG;TPO;TSHR	2.206474685080055e-05	4.656301050855859	True
RAS_up	Thyroid_differentiation	갑상선 분화 (Thyroid differentiation)	51711	13	9824	10	2.47	4.049	9.896476713029862e-06	DIO1;DIO2;DUOX1;DUOX2;FOXE1;PAX8;SLC26A4;TG;TPO;TSHR	5.2781209136159266e-05	4.277520664984728	True
RAS_up	NOTCH	NOTCH 신호	51711	14	9824	6	2.66	2.256	0.03485416893496079	DLL3;DLL4;HES1;HEY1;NOTCH1;NOTCH4	0.13941667573984315	0.8556852768215338	False
RAS_up	Wnt	Wnt 신호	51711	15	9824	4	2.85	1.404	0.31451887841160364	APC;AXIN2;TCF7L1;WNT3A	1.0	-0.0	False
RAS_up	Kinase_signaling	키나제 신호 (Kinase signaling)	51711	14	9824	3	2.66	1.128	0.5136955198241955	ERBB4;FGFR1;KIT	1.0	-0.0	False
RAS_up	MAPK_signaling	MAPK 신호 (MAPK signaling)	51711	21	9824	4	3.99	1.003	0.5851380463924755	DUSP1;FOS;JUN;SPRY4	1.0	-0.0	False
RAS_up	Apoptosis	세포사멸 (Apoptosis)	51711	13	9824	2	2.47	0.81	0.7383406640581327	BAK1;BCL2	1.0	-0.0	False
RAS_up	EMT	상피-중간엽 전환 (EMT)	51711	14	9824	2	2.66	0.752	0.7757815214304554	CDH2;ZEB1	1.0	-0.0	False
RAS_up	PI3K_AKT	PI3K / AKT	51711	13	9824	1	2.47	0.405	0.9353901850226392	AKT2	1.0	-0.0	False
RAS_up	Cell_cycle	세포주기 (Cell cycle)	51711	17	9824	1	3.23	0.31	0.9721920164641107	CDK6	1.0	-0.0	False
RAS_up	Inflammation	염증 (Inflammation)	51711	12	9824	0	2.28	0.0	1.0		1.0	-0.0	False
RAS_up	Immune_exhaustion	면역 탈진 (Immune exhaustion)	51711	9	9824	0	1.71	0.0	1.0		1.0	-0.0	False
RAS_up	Proteases	단백분해효소 (Proteases)	51711	23	9824	0	4.37	0.0	1.0		1.0	-0.0	False
RAS_up	BRS_up_BRAFlike	BRS-up · BRAF-like (BRS-up in BRAF-like)	51711	12	9824	0	2.28	0.0	1.0		1.0	-0.0	False
RAS_up	Dedifferentiation_aggressive	탈분화 · 공격성 (Dedifferentiation)	51711	11	9824	0	2.09	0.0	1.0		1.0	-0.0	False
