gene_symbol	log2FC_BRAF_vs_RAS	pvalue	FDR
AC015909.1	0.17872983925035318	5.645028068383959e-47	3.04031803383046e-44
PODNL1	1.3655440998826855	6.070785612272147e-47	3.235916487597104e-44
AC011944.1	0.4630408384395419	7.258328384266143e-47	3.8294348038785376e-44
CST2	1.623824019200011	7.969154095654329e-47	4.161991347087994e-44
DGAT2L6	0.16515311351665085	1.5005864283407682e-46	7.758632069093109e-44
LINC02458	0.26445463349612053	2.013303032991628e-46	1.0306516833445458e-43
LINC00242	0.5479606234935079	2.2663217806652377e-46	1.1488029543874065e-43
SLC4A4	-3.061995655827862	2.3821962535345365e-46	1.1958162630364047e-43
PDE8B	-2.214646558735864	2.409821245775123e-46	1.1980519008803551e-43
NEURL1	0.6423754711856946	2.87886294038672e-46	1.4176069473309996e-43
OR5A1	0.5486912639441912	3.182541520048721e-46	1.5523596863452743e-43
VAC14-AS1	0.3714735349440077	4.582345709700949e-46	2.2142579679848397e-43
CFTR	0.8348687353563992	1.0117744816767987e-45	4.843776648205296e-43
LOX	2.578834743749211	2.4212006716445544e-45	1.1484932066670646e-42
GAP43	2.675089340679236	3.6792112459590676e-45	1.7293630751006148e-42
CLRN3	0.31176951776100065	5.032382001513675e-45	2.3440926036600273e-42
CARD11	2.1053939049617316	6.582390772470337e-45	3.038713683033985e-42
ADTRP	1.9549637701503273	9.908296140030748e-45	4.5336154303022107e-42
TMEM163	3.2790250061776227	1.0633583754334455e-44	4.822796617843058e-42
CPNE4	2.162758779175274	1.5754665088284595e-44	7.083297423692754e-42
LGI3	-2.825604835582476	1.755250189060157e-44	7.823573773721238e-42
LINC00460	0.22539409329950497	2.3654348520644054e-44	1.0453200306934874e-41
LY6E-DT	0.5214648070767176	2.8691311772591505e-44	1.2571657490593824e-41
SYNGR3	0.8285848587100355	6.416304812271416e-44	2.7878035631401786e-41
EPHX3	1.1171435460776502	7.787313822036179e-44	3.3552939487879883e-41
KCNAB1	-3.554667261263238	8.255397603141201e-44	3.5275791543207657e-41
NR2F1-AS1	2.792965478556993	1.3133306943257976e-43	5.565938542575496e-41
AC000403.1	0.5751476360963585	1.6913809537568215e-43	7.109850474231113e-41
KCNQ3	2.8682374842699514	2.7712795989851237e-43	1.1555341966607003e-40
CD55	2.340874412259441	3.236346071560414e-43	1.3386562982716773e-40
ARSJ	1.873606125714055	3.4345100939903766e-43	1.409348491267289e-40
HRH1	1.7235127226593385	4.610309730036614e-43	1.8769405848961663e-40
PLEKHA6	2.937176929744309	7.672264322203026e-43	3.0991152696498847e-40
AC012625.1	0.09971018305754542	1.5076936433989072e-42	6.042929623123806e-40
CBLN1	2.710536416509716	1.866133536807467e-42	7.422043722084098e-40
HSD11B1	0.8925703308629294	2.462405508509205e-42	9.718794993279384e-40
CXCL17	3.1968100890661804	2.8754359127011135e-42	1.1262995335628664e-39
IL36RN	1.0292799999502515	3.0757507421548735e-42	1.1957038824990645e-39
CACNG4	2.17312953651109	3.346889176136476e-42	1.291399686290749e-39
TM4SF1	2.145597796939173	4.0604606894327256e-42	1.5551263665661457e-39
CCL20	1.251250536017886	5.5948797481615664e-42	2.127041636021659e-39
CD109	2.3963213402504366	6.255685150129898e-42	2.3609047080461043e-39
LDLR	2.735285215083802	8.492125266619285e-42	3.1817162665600256e-39
MMP15	-1.3999034564075767	9.101818811946244e-42	3.3856146752004936e-39
IL23A	0.7433904699801976	9.29972303596661e-42	3.434520570368697e-39
TGFBR1	1.7863543855967468	9.667326189419869e-42	3.544960519842304e-39
LINC00595	1.0209685831291342	1.158499562379673e-41	4.2182437586815925e-39
CCL13	1.9577040782148616	1.2630396167829717e-41	4.56672729693334e-39
PELI1	1.8723149182737724	4.615428866603516e-41	1.6571953758254737e-38
MUC21	3.0260714854880044	6.031608689931664e-41	2.1507468669257015e-38
HGD	-3.294920802710843	8.380254995479303e-41	2.9677582485360405e-38
AP000851.1	0.5633165799024975	9.139911667439596e-41	3.214761856144877e-38
GCNT4	1.8581818646799342	1.6433615347182446e-40	5.741105729126494e-38
ADCY8	2.60686597642245	1.940974520339353e-40	6.735311852323887e-38
CTSC	2.2916855414414385	2.194837401525988e-40	7.565458200566647e-38
TNFSF18	1.0369050540446652	2.487425004013792e-40	8.51720678195557e-38
CSF2	1.0431707435660935	2.784991789192522e-40	9.473369438711196e-38
AC110620.2	0.5129105214048583	3.130086894101454e-40	1.0577647893635398e-37
OR4D6	0.2190755525946226	7.2122938438391125e-40	2.42145740845362e-37
AC025580.2	0.22713359487435103	7.770512811082858e-40	2.5920425444143746e-37
TMPRSS4	4.744343177363021	9.294633895415639e-40	3.0805753264651935e-37
GNA14	-2.352103330817047	1.6669425072879955e-39	5.489655757759142e-37
KCNIP3	-1.9260492143188959	1.7887102811330522e-39	5.853384580740717e-37
KLK5	1.088622429470353	2.978055201305375e-39	9.684111077251138e-37
MYO1G	3.1166759371176993	4.540995003872326e-39	1.4674225355013421e-36
C2CD4A	2.403874449581338	5.202608270372048e-39	1.6707804845423378e-36
TNFSF9	1.1995986361506779	6.043597118337257e-39	1.9288774407809228e-36
PRSS2	2.483786786510977	6.656787849787872e-39	2.1115494416284178e-36
GABRB2	4.397052546126787	9.00098338128718e-39	2.837724663085807e-36
MME	1.2955999256083246	1.182801819353977e-38	3.706399107144123e-36
TUBB3	0.33166489829676277	1.2782352748469198e-38	3.981317870523201e-36
LINC02347	0.2419967026580092	1.5033347718180867e-38	4.65439646958577e-36
CCL23	0.4114535489773535	1.574692926355327e-38	4.8463049443021325e-36
B3GNT3	4.518715410888712	1.704548570482254e-38	5.21491001705411e-36
S100A10	2.7324301469754664	1.9721644374997923e-38	5.9981641221464266e-36
TRIM46	0.8926162793178338	2.1905956697488618e-38	6.623541433257026e-36
DRAM1	1.6041588754163474	2.5106198966271444e-38	7.547040182279643e-36
PDE5A	2.669645502570443	3.0487972177247313e-38	9.11185036677685e-36
PHACTR3	1.1817645000748633	3.3216478938664373e-38	9.870257626693694e-36
CYP1B1	3.999425133279256	5.241524960115953e-38	1.5486160373590584e-35
RUNX2	2.7156000159044478	6.920386208399989e-38	2.033020730222233e-35
FAP	1.6255684542063324	7.601766045787789e-38	2.2205746419853776e-35
TMEM236	0.5364862920410122	8.277583629847232e-38	2.404405528076524e-35
ABTB2	2.24792035669224	9.576634164037047e-38	2.7662027531696727e-35
AC022509.1	0.7119650761706083	1.0065446961393457e-37	2.891243720510485e-35
EVA1A	3.2173865509441093	1.209649717632534e-37	3.4554546409100843e-35
QSOX1	1.5375576111224092	1.2253019954546182e-37	3.4809348556585485e-35
STK17B	2.1490946323680595	1.3598278792834313e-37	3.841996757949209e-35
SLC7A4	0.6911619667955079	1.3770964175829831e-37	3.8696409334081825e-35
ESPN	2.5069565631080555	1.6756763949623862e-37	4.6831985040613624e-35
KCNQ1	-1.1199169222177119	2.0976500917019037e-37	5.831016147384689e-35
DUSP5	2.476456686622943	2.8664658254399646e-37	7.925548076927697e-35
ABCA4	1.0048894818124074	3.6606623895580633e-37	1.0067600435622877e-34
MUC16	1.9076562327953448	4.034724411623216e-37	1.1037639734315702e-34
GNLY	2.159150208227101	4.8075093966791195e-37	1.308249820241564e-34
TACSTD2	5.78583307528771	5.400585253230505e-37	1.4619469106441362e-34
TNFRSF21	2.035759593655417	6.155163495158929e-37	1.6575342362171734e-34
LLGL1	1.4028867843268182	7.304865885608697e-37	1.9569470764223423e-34
EBI3	1.7266123194596639	7.479447111813276e-37	1.9933883168515137e-34
BEAN1	1.8767596935701598	8.631562782216372e-37	2.2886478055985397e-34
ZNF474	0.47745029814175455	1.0329128289181222e-36	2.7247818829787033e-34
ALOX5	3.51254510367801	1.5335222039708087e-36	4.024834113406431e-34
CXXC4	-2.224851348712628	1.8117601562815597e-36	4.731073086887968e-34
TNFRSF18	1.3008341270581543	2.5325866915149443e-36	6.5801438340748074e-34
KLHL13	0.9534201401302013	3.246965650431464e-36	8.394055599495422e-34
GPR153	1.7570608224213398	3.65072384061343e-36	9.39089678880979e-34
TRIM58	-1.8957863178294287	4.4650320380448123e-36	1.1428713687874703e-33
GRHL3	1.9288781184618584	4.4910013351336875e-36	1.1438558277426215e-33
GABRB3	-3.3038175725817394	4.7543734644152314e-36	1.2050006157064956e-33
CA12	-3.409432927402567	5.4978792794353784e-36	1.3866456110435454e-33
ITGA3	1.554107142458312	5.8500577776505273e-36	1.4683077055128295e-33
ATP6V1FNB	0.5874516471486331	7.472826557776121e-36	1.86654601132008e-33
CDH11	2.954525701254995	7.771590137237409e-36	1.9318379637294376e-33
AL031985.3	0.9877748519567928	8.700402103261881e-36	2.1523712456796763e-33
CHRDL2	0.3771119274344415	1.0059097340545369e-35	2.4766455661693226e-33
IFNAR2	0.47953092052669555	1.4701876617338381e-35	3.602586865511202e-33
AL035409.1	0.14072471744739198	1.6324423914163992e-35	3.981311387065731e-33
CDH6	1.775283105531166	2.134325862485065e-35	5.180900675771259e-33
CTHRC1	2.3400339084524573	3.1028974267372407e-35	7.496832175328145e-33
SULT2B1	1.866055424550642	3.970442426749147e-35	9.54826768523897e-33
AC234775.2	0.8373174228600504	4.1760552564103777e-35	9.996238934140842e-33
MET	2.314107171415272	6.372781437117125e-35	1.518425306104626e-32
CHIAP2	0.2299717502758383	7.396446416399873e-35	1.754247089511647e-32
SLC26A7	-2.6386463564915728	8.368875176629516e-35	1.9758188225226144e-32
ARMCX3	1.686134120156547	8.535477281336549e-35	2.0059923516101132e-32
LDHD	-1.7842222895248794	9.087861460616009e-35	2.1261483663334396e-32
NECTIN4-AS1	0.08058786163070054	9.609952679892338e-35	2.2381666367619526e-32
PROS1	2.451173098771254	9.86968230259351e-35	2.2883500169206044e-32
C10ORF55	0.7476080622130137	1.1292136558450599e-34	2.606467092045222e-32
CCL19	1.7688913345947808	1.374271376289597e-34	3.1580145439856586e-32
AL590428.1	0.32821460382879636	1.4537608741246194e-34	3.3258961166256336e-32
PTPRE	2.5945022579473243	1.588643708200765e-34	3.618468470872791e-32
SLC27A6	4.621537797812567	1.9918986382721936e-34	4.517066982159013e-32
AC079298.3	0.11820791446249324	2.2401602168533173e-34	5.057870910575717e-32
AL136985.3	0.4084153931417393	2.50173589091826e-34	5.623902282784248e-32
ADCY7	1.5657317369554689	2.5398319335641388e-34	5.684825553809535e-32
SELL	1.6731832131129927	2.8647527877389135e-34	6.384447333502274e-32
XKR4	0.798773701523473	3.133345155666353e-34	6.953067722256355e-32
MDFIC	1.497611212801587	3.537195414153761e-34	7.815690243307952e-32
RASGEF1B	1.8088286514860394	3.5725620901656853e-34	7.860244694039429e-32
PERP	1.499338692407588	4.000080669202366e-34	8.763566564425386e-32
AL022314.1	0.1711967378568605	4.228965711775097e-34	9.225925871798296e-32
DUSP2	2.018068233474395	7.425058334698357e-34	1.613047126627075e-31
WASF3	-1.6619138357591274	8.407168003956013e-34	1.8187624036675388e-31
STAT1	1.7644614764139703	9.43203223722272e-34	2.031974144972348e-31
KCP	2.3970588464855505	1.2169694858528884e-33	2.610879265416504e-31
AL596218.1	0.12528437341451568	1.3431086610337457e-33	2.8695905045491233e-31
TGM2	1.817383023100926	1.455989658051717e-33	3.0979625218068304e-31
MAB21L4	0.7130527461839338	1.580496393717925e-33	3.3490977680652295e-31
AC254633.1	2.701820832625452	1.7306977342874047e-33	3.65240798586106e-31
AC055720.1	0.15895607346367563	2.153104398422216e-33	4.525370317724481e-31
ZNF385B	0.40744189993303614	2.3563283677419402e-33	4.932453519260295e-31
CAPN8	0.8387574085346927	2.436922642123158e-33	5.080590656787733e-31
AC133963.1	0.07196937499001088	3.0119401693359528e-33	6.25419094439141e-31
TGM1	1.801965829079386	3.539805527112901e-33	7.320884198953818e-31
BIRC3	2.2227261581797877	4.7426579580984914e-33	9.769497492650375e-31
BATF3	0.933480409952647	4.806936099683156e-33	9.862612067381663e-31
AHR	1.6199291262564133	5.713826628793796e-33	1.1676983874116777e-30
SPX	-2.5629059366475064	6.483780601781662e-33	1.3198322528918074e-30
DAPP1	1.1907479131319842	7.539959981646408e-33	1.528808199572729e-30
RSPO4	2.842699657634542	9.970560835053098e-33	2.0137417086546304e-30
DTX4	3.038130388348039	1.1010843546164723e-32	2.215193208991832e-30
CD70	1.1160822588226245	1.1924661712841024e-32	2.3897391829485747e-30
KATNAL2	-1.6522216699960381	1.275006284029492e-32	2.5452866760409596e-30
ITGB8	3.224143529329503	1.7780161101749196e-32	3.5357901907878475e-30
TPO	-4.966142730300948	1.944151558880495e-32	3.851356789285713e-30
CDKN2B-AS1	0.4338354229532037	1.977193949985191e-32	3.9018639690852795e-30
COL8A2	3.2524787626187304	2.259328566244309e-32	4.441685330383869e-30
S100A2	2.2763604498707517	2.4325265048445522e-32	4.7640663032758615e-30
GPR55	0.7104055481499784	2.5817483384747174e-32	5.037234569528181e-30
FAM43A	1.6847699119939863	2.603446133153789e-32	5.0604728897963726e-30
TREML2	0.37126741317912915	2.860058754133966e-32	5.5384448623124564e-30
AC010735.2	-1.6609176965516073	2.9424014826066554e-32	5.676639039428899e-30
LINC02257	0.20157015869629855	3.008929428937959e-32	5.780844931082443e-30
FLT3	0.465409958295793	3.0187763642895317e-32	5.780844931082443e-30
BID	1.6469869831501205	3.0460739209392875e-32	5.811594317647414e-30
VAV3	-2.2749132957125555	3.18442380330291e-32	6.0532150119843256e-30
TMEM131L	1.122604640372053	3.3800237576821223e-32	6.40149261418302e-30
RAB3C	0.5741691343713972	3.615436849630501e-32	6.822355725302752e-30
ADAM23	0.5830419501006713	3.8213532877273206e-32	7.18470001413285e-30
SDC4	2.278104354598991	4.451596334554091e-32	8.314439942063932e-30
TTC39C	1.0568981941482898	4.4543939810299185e-32	8.314439942063932e-30
LEMD1	1.7833200354095928	4.555292760701712e-32	8.472189097097889e-30
C6ORF15	0.1245836241761692	4.6093080608453143e-32	8.541923440069754e-30
SFN	3.2965875849297346	5.320115957030304e-32	9.823974122939101e-30
INF2	1.5055296686960693	5.37007892938687e-32	9.88094523007184e-30
MT1F	-3.2748127835099723	5.833804243030218e-32	1.0670787633690768e-29
AMOT	1.5931757371503066	5.840617554414528e-32	1.0670787633690768e-29
SDK1-AS1	0.25393645696976935	6.21044951499479e-32	1.1306516962087697e-29
KLRK1-AS1	0.32591537224654765	6.650094320525592e-32	1.206443778064755e-29
PLCD3	2.4897894624431167	6.995724354996961e-32	1.264709552625045e-29
FUT2	0.7830352473616999	9.856765245984631e-32	1.7757288859874194e-29
KRT19P1	0.14014999085786234	1.0002361992103969e-31	1.7957018209713318e-29
AC008966.3	0.15084599717853397	1.120643175432963e-31	2.0049043163524538e-29
C2CD4B	1.550690781461658	1.1981991760005757e-31	2.13626517917013e-29
LINC00574	0.27203316632360625	1.2074339747584807e-31	2.1453321728835908e-29
MPPED2	-2.7942173178902774	1.4442671863916778e-31	2.557342144013538e-29
AHNAK2	2.9353381155978524	1.5628440156428528e-31	2.7578596240545416e-29
HLF	-2.4624781765213624	1.5794900148608326e-31	2.777753460148452e-29
AL121899.1	0.3217690181733872	1.6189652156173757e-31	2.837524661297654e-29
NAGPA-AS1	-1.344933254371588	1.6532159765443316e-31	2.8877661774070314e-29
SEL1L3	2.2047046650211355	1.8834836310982813e-31	3.278910359000187e-29
AC002378.1	0.04652674218549759	1.890611306834084e-31	3.28027406068958e-29
SLC35F2	1.636250288848784	1.934308564437497e-31	3.344865886811918e-29
BCL2L1	1.0363331035183307	2.030237199051742e-31	3.4990461379923755e-29
DUSP13	0.7808735763040682	2.2211428873623813e-31	3.815347901933042e-29
AC105290.1	0.053876845849135095	2.3207826167631293e-31	3.9620647971137066e-29
WTIP	1.6713131246283863	2.321881544030352e-31	3.9620647971137066e-29
SIGLEC15	1.8055747188851146	2.7954683011450613e-31	4.7545030606054033e-29
CTXN1	2.3555237700694414	3.0266891366413146e-31	5.130883118718116e-29
FAM167A	-3.34481521669138	3.1062624625913037e-31	5.248568443327476e-29
SFTPB	6.484224014183285	3.399762920014389e-31	5.725776612912833e-29
MAPRE3	-0.9642362300305649	3.7546052128812866e-31	6.302860646974482e-29
LRRN4	0.3859599872149223	3.924997454310907e-31	6.567575028404243e-29
RET	1.254594692764248	4.053642701301433e-31	6.760952975099654e-29
COL10A1	2.1976508394142193	4.294936192088264e-31	7.140365944557286e-29
TINCR	1.6441483394657093	4.3250303155523e-31	7.167351520362696e-29
PTGER2	0.7920498336430744	4.729479736987756e-31	7.812556559783225e-29
FHL1	-2.4688022827559184	4.937331701495715e-31	8.129929881978803e-29
CXCL5	0.7245349783039593	5.033281929524537e-31	8.244193028768272e-29
GPA33	0.3571887378812728	5.038614028103771e-31	8.244193028768272e-29
MPIG6B	0.5784280434214628	5.454634390346003e-31	8.896732382285481e-29
AL391832.3	0.1270166068067839	5.522978247653717e-31	8.979876330713452e-29
FRMD5	2.2827791771271135	5.7093459321674635e-31	9.25379379551055e-29
OSMR	1.7913741733190442	6.945167534184898e-31	1.1221654443359249e-28
PPL	2.0016665714813247	7.367510833368629e-31	1.1827589032614407e-28
AL359762.1	0.6829545553932183	7.378465053003079e-31	1.1827589032614407e-28
RGN	-1.0876095725261656	7.38881180863077e-31	1.1827589032614407e-28
RIPK2	0.7071116281172971	7.65385238202443e-31	1.2214036529635529e-28
AL590004.3	0.901091643643589	7.69081878718662e-31	1.2235264448390678e-28
TBC1D2	1.7306162502443767	8.837959454681227e-31	1.401711213634473e-28
B4GALNT3	1.5916239742424771	9.064067747558853e-31	1.4331760208556053e-28
SLAMF1	1.0152184628248637	9.162805867158976e-31	1.4443710809621575e-28
SORBS2	-2.161440144983697	9.44623486886275e-31	1.4845231843759259e-28
CD47	0.960928831074713	1.119871549897288e-30	1.7546011701784658e-28
ANKRD46	-0.8875722938658068	1.2241384907046577e-30	1.9121708919454268e-28
LINC01586	-1.6529184581493848	1.2786452554595667e-30	1.9912974183217302e-28
DSC2	2.2552449669971053	1.3446975643311855e-30	2.087875161146535e-28
MEX3A	1.4720574969867928	1.3889316525173067e-30	2.1500994659208032e-28
AF131216.3	-1.9681545314565394	1.5063809295684151e-30	2.3249528233553833e-28
ITGB4	1.90769671393344	1.6873436181907125e-30	2.5965004296110893e-28
ELMO1	-2.209183331905841	1.7434180018248142e-30	2.6748274292685515e-28
FUT3	0.9783884438697918	1.9130609056653985e-30	2.926417191317271e-28
AC016717.2	1.0786099397420579	2.092366837212331e-30	3.1912606180302757e-28
MISP	2.387817901899652	2.1510958923178112e-30	3.2711841769529443e-28
CYP2S1	2.971758995695264	2.1619332622720404e-30	3.2780233839446796e-28
BAG3	1.1490846318332908	2.6456434843877977e-30	3.9997178572159854e-28
PLRG1	0.7815468403546308	2.84294762370542e-30	4.285474167232216e-28
MICAL2	1.7944633564905175	3.1475836431423865e-30	4.7175617678235325e-28
STMN2	1.259231784332098	3.147839257889368e-30	4.7175617678235325e-28
DHRS9	1.4228131223082754	3.214273017133458e-30	4.803201505140702e-28
TFPI2	0.8036226132908126	3.374085884073631e-30	5.02748520317415e-28
INHBA	1.6937095638068365	3.4976686800076775e-30	5.196651190549337e-28
LY6E	2.586088695655536	3.522620217146902e-30	5.2187265245662865e-28
CD177	1.466173484785049	3.5677723344399094e-30	5.27051716513946e-28
SLC25A42	-1.130544238414969	3.61997151486713e-30	5.332393367654988e-28
AC008875.3	1.1787727257198455	3.63768068798948e-30	5.343256883290002e-28
CD1B	0.6066521576448908	4.4085815774116966e-30	6.457260676444599e-28
ROR1	1.7184236998366897	4.5231248009045296e-30	6.606317647061238e-28
NLRP10	0.09111755050143931	4.558880574728841e-30	6.639784823543099e-28
INMT	2.3708426585677636	4.6978217610738076e-30	6.822926301532589e-28
CLEC16A	0.5952489517692703	4.971708626544615e-30	7.200482432125009e-28
ARNTL	2.453340820147905	5.101652522361968e-30	7.368040279782212e-28
TIGIT	1.3471666037804226	5.1916225722034124e-30	7.477093411509896e-28
CCNI2	0.6096250517555832	5.210165600460662e-30	7.482955616839392e-28
ARHGEF38	2.187888566834866	5.425677754121448e-30	7.770893146789345e-28
SFRP2	3.7832537858249435	5.529555828254171e-30	7.897794324421372e-28
FNDC11	0.6845818686633006	6.61027738396129e-30	9.415365891469272e-28
RDH5	1.4241495040306182	6.650889512240343e-30	9.447186575298755e-28
IL1RAP	2.2488845975009815	6.719130936862087e-30	9.517971122178558e-28
PDCD1LG2	0.9790138384769884	7.843312057630766e-30	1.1080071219337189e-27
ANXA2P2	1.5127819476969038	7.998081880348646e-30	1.1267924401677014e-27
