gene	is_known	is_novel_validated	known_category	panel_memberships	log2FC_tcga	cohens_d_tcga	fdr_tcga	log2FC_27155	pval_27155	log2FC_126698	pval_126698	replicated_27155	replicated_126698	replication_rate	median_expr_tcga	n_cohorts_present	coverage_fraction	novelty_score	known_replicated
MT-CO2	False	False			-0.18279307838909986	-0.18903644735863845	0.2850100411570846					0	0	0	12.008868122790997	1	0.3333333333333333	0.0	False
ACTG1	False	False			0.18937564219295844	0.5797252405152242	7.03428863064914e-05					0	0	0	11.929650454128861	1	0.3333333333333333	0.0	False
MT-CYB	False	False			-0.2012263447642244	-0.19176196946861554	0.24111187379084695					0	0	0	12.0953129167643	1	0.3333333333333333	0.0	False
MT-ND5	False	False			-0.4268354364555602	-0.38082783572405565	0.0072916588442058705					0	0	0	11.648519093600015	1	0.3333333333333333	0.0	False
HLA-B	False	True			1.2664302298631327	1.3000101185766952	5.8274051465848945e-24	0.13819784782608924	0.002312636128614483			1	0	1	10.369227077032777	2	0.6666666666666666	30.205117323182353	False
NPC2	False	True			0.922309654663815	1.0564622129132357	2.7987859827783164e-13	0.06104669565217247	0.18792436436827717	1.4679698218812467	0.0010269172353880288	0	1	1	10.28253585080411	3	1.0	13.26180217990165	False
SERPINA1	True	False	BRS_literature	HARDCODED_REF	4.190774103965181	2.384916309243966	1.678589703761039e-37	0.8467570000000006	2.483676878650452e-07	4.027171449280086	0.0019633948566135794	1	1	2	10.564096487832481	3	1.0	175.41085900882376	True
ACTB	False	False			0.1959209332015046	0.4636753915648049	0.00023783067391127384	0.010069130434783524	0.36447053907790916	-0.0012708149804971924	0.9970209504619563	0	0	0	11.664238016019697	3	1.0	0.0	False
RPL3	False	False			0.3030645868488797	0.6192143712437822	2.053754930058751e-05	0.03033360869565005	0.09905506049105377	0.8284081017208136	0.10046692548529795	0	0	0	11.38179072781028	3	1.0	0.0	False
EEF2	False	False			0.17222557021171525	0.44421910228670736	0.0035522569547018963	0.0006330434782597649	0.9811500441521543	0.028646225414288295	0.9402176050796847	0	0	0	11.493362875023275	3	1.0	0.0	False
RPS4X	False	True			0.43876758992903575	0.8561204484597366	2.954335129163836e-10	0.03605334782608516	0.006123244347411366	0.23878765339264874	0.5123572263273487	1	0	1	11.070755476806898	3	1.0	8.15843426510284	False
SLC34A2	False	True			4.9286021028135805	2.023775202427051	1.109504270514287e-37	1.2179929347826084	6.021249583021031e-14	3.3302176002321504	0.11481207798087129	1	0	1	10.527330435469372	3	1.0	74.7883515828425	False
MT-ATP6	False	False			-0.12274099797084226	-0.11992869866376216	0.4925145100790355					0	0	0	11.53309668632796	1	0.3333333333333333	0.0	False
SDC4	False	True			2.019274732852173	2.0935081985976574	9.95694356498454e-38	0.49811349999999965	2.622640735429029e-10	2.0299418662557738	0.0006336559156527438	1	1	2	9.87847435436069	3	1.0	154.92745297404736	False
CD74	False	True			1.2891358909009671	1.0939061835828972	1.1637626657450394e-17	0.2369898913043489	0.0027369793940496025	1.4007703272033014	0.012626492601931796	1	1	2	10.732129067019716	3	1.0	37.04871124779812	False
TPT1	False	False			0.04940263947478307	0.10541531173865418	0.5686243792788113			-0.9015753143833276	0.04337408302516264	0	0	0	10.85880691737627	2	0.6666666666666666	0.0	False
ANXA1	False	True			1.874886170476703	1.8645722436783723	1.6949437186618104e-26	0.2941583695652161	0.0014402216981788756	2.2778123647371524	0.03921767220304458	1	1	2	10.259023494343579	3	1.0	96.10320351524302	False
GNAS	False	True			-1.1611446222800694	-1.6771325787944054	2.1706094376781744e-26	-0.1427763478260866	1.6175622175640154e-05	-1.534097394025519	0.00038917757504018625	1	1	2	11.503408256589887	3	1.0	86.08190987204257	False
TSC22D1	False	True			1.4182017358543568	1.2393338391332416	1.6926717696389158e-19	0.39077126086956593	9.3281055688306e-10	1.687535445413996	0.00414616347172444	1	1	2	9.062322910304768	3	1.0	46.52812999676244	False
SPARC	False	False			0.2712354635523617	0.41054035953267115	0.00047930494839895616	0.031054717391303832	0.4282740993833569	1.2729030262799395	0.025795136158912723	0	1	1	9.93419105719104	3	1.0	1.3627427787801096	False
MT-ND2	False	False			-0.11862343153980603	-0.10841211851657703	0.5370658473719037					0	0	0	11.616026476605487	1	0.3333333333333333	0.0	False
COL1A1	False	False			2.4972640077641373	1.3651155380125848	6.690589559261668e-32	0.05781863043478275	0.0678348768306419	1.1079743384596208	0.31420421746972793	0	0	0	8.120945824955683	3	1.0	0.0	False
COL3A1	False	True			1.5133085648979234	0.9412717378590311	8.63286606719907e-23	0.36074382608695776	0.00029442723547434515	3.2250086260063684	0.018431282776994334	1	1	2	7.6305040759645095	3	1.0	41.5361474479951	False
TXNIP	False	False			0.27613602375601864	0.3363905410807179	0.011313265564162461	0.1600520652173918	0.010701274479021238	1.1403173897852206	0.059027176333354366	1	0	1	9.423479872009404	3	1.0	0.6547545919878872	False
APP	False	False			0.05567769100002984	0.09843802854914771	0.5174213382845559	0.006959391304349083	0.7987347522147397	-0.1867730858683725	0.5750536468082019	0	0	0	10.244047185941891	3	1.0	0.0	False
MT-ND1	False	False			-0.24006178606448358	-0.21351797492212263	0.19573654471037913					0	0	0	11.355646256452065	1	0.3333333333333333	0.0	False
PDK4	False	True			-1.1901682257748138	-0.7122928199729454	2.21717467120728e-09	-0.03958221739130385	0.8140915286612315	-1.8647445224891106	0.0412088925313044	0	1	1	7.661872737120181	3	1.0	6.164324587706393	False
S100A6	False	True			1.7418214077283984	1.7239410592885334	8.565767123959898e-33	0.19290823913043642	0.001383626906054068	2.0259706201373273	0.003316154500671346	1	1	2	10.667554340803157	3	1.0	110.56404179358003	False
NEAT1	False	False			0.06498638413907898	0.06419657149092338	0.7056323056217988			0.17223505766176928	0.6754153302361389	0	0	0	9.814655692822361	2	0.6666666666666666	0.0	False
PSAP	False	False			0.41430165915514294	0.8541865915004144	3.0374748161034385e-10	0.0307644130434781	0.06682794422395248	0.9125217771042706	0.0534302238730089	0	0	0	10.914334115550266	3	1.0	0.0	False
TMSB4X	False	True			1.2508430430231154	1.408558535523379	2.6928826027012256e-21	0.29022339130434727	2.5151726987496495e-06	3.0615543361290856	4.1527888426047e-08	1	1	2	9.89329392628764	3	1.0	57.9474856521992	False
GSN	False	True			1.3213228558813572	1.7601450433923884	2.2944103948847467e-30	0.2274632608695657	0.010265898499390264	1.4851587680017468	0.004900740409173995	1	1	2	10.318532280926231	3	1.0	104.33903570008127	False
HSP90AB1	False	False			0.30097093585439794	0.830136213647405	4.2346750126487e-09	0.03235847826086946	0.26340304153463917	-0.5834627776399373	0.08209589992955564	0	0	0	10.221914084399174	3	1.0	0.0	False
COL1A2	False	True			1.183203198853188	0.762964500975023	4.055760334125603e-14	0.26052713043478093	0.007505090162807825	2.7340814820798762	0.013380321268813458	1	1	2	8.164136572321478	3	1.0	20.435130894709786	False
RPL4	False	False			0.09178940853902695	0.23447051311351616	0.14382566263998497	-0.015427434782608884	0.39064485278362415	0.8543294378893753	0.01675515281254317	0	1	1	10.597403210666698	3	1.0	0.1974625352621426	False
VIM	True	False	Aggressiveness_EMT	TierA67;HARDCODED_REF	0.06441036624413954	0.1056263084402098	0.5617630599136787	-0.07692230434782488	0.006962402664192383	-0.23987345863900877	0.5817769368853488	0	0	0	10.16197510581911	3	1.0	0.0	False
RPS6	False	False			0.06403519616519304	0.142017344716537	0.4118845913078037	-0.035524173913042745	0.009156953018794049	0.17159131993942012	0.6098348880114008	0	0	0	10.675961697398144	3	1.0	0.0	False
TMBIM6	False	False			-0.07520213151722999	-0.2286609629692786	0.163223294339142	-0.10660632608695586	0.0003608254341525962	0.03876748400291241	0.8976142284608689	1	0	1	10.228250541013692	3	1.0	0.18000599416678023	False
AHNAK	False	True			1.1368625136185475	1.7427615996577506	1.1723142602418932e-31	0.2774691521739143	0.0007170514144315313	1.0398796368902907	0.010181529680156424	1	1	2	9.27254366116724	3	1.0	107.81056454820892	False
MT-ND6	False	False			-0.5411006898999524	-0.4771519171869931	0.00037422182927250315					0	0	0	10.569756647399409	1	0.3333333333333333	0.0	False
TIMP1	True	False	BRS_literature	HARDCODED_REF	2.5321510845218462	1.8288691859918924	4.954031885611652e-28	0.8074321521739112	7.017417063186322e-08	3.6280383875510975	0.0029328753570132407	1	1	2	9.188925271210628	3	1.0	99.87469695495946	True
CD24	False	False			-0.7399805377155584	-1.1704709546710883	1.9824786802109837e-18	0.024772086956522443	0.5193451877998222			0	0	0	10.281955003751495	2	0.6666666666666666	0.0	False
HLA-A	False	True			0.8714735640548241	1.0342226243968242	4.531760296053458e-15	0.15326056521739329	5.423033253357318e-05			1	0	1	10.03776150110253	2	0.6666666666666666	14.83461325916946	False
MSN	False	True			0.7291827119677272	1.3200638613638886	5.710811191460304e-22	0.16721302173912989	0.0011105963793633582	0.39671286880438217	0.03786629312469425	1	1	2	9.774598334061306	3	1.0	56.08503105540097	False
RPL13A	False	False			0.17741561173872178	0.3907855552801213	0.007547820421846605	0.00393386956521713	0.7624284153780595	0.848583085730251	0.04243435565407001	0	1	1	10.546079292999142	3	1.0	0.8293166805252137	False
HSP90B1	False	True			-0.715794140909999	-1.1138910832614541	8.688615498332778e-13	-0.1101705434782616	0.004141081706895556	-0.14547619603660245	0.7265275850105227	1	0	1	10.362527974900425	3	1.0	13.434695405277397	False
ZCCHC12	False	True			2.0776718847396465	0.7647533865671018	6.035197413628605e-07			2.9750710517162524	0.026720219670934842	0	1	1	7.869293290479121	2	0.6666666666666666	4.756237252312761	False
SFTPB	False	True			5.641482039922563	2.152063814140296	2.2392810586360196e-50	0.3451366739130428	5.5374471059232615e-06	2.2926532374721496	0.20651383889887776	1	0	1	8.127527765398156	3	1.0	106.84973464382773	False
RPL5	False	False			0.08848096588010534	0.21938294196774652	0.15596578408048806	-0.00763980434782674	0.6139831816275145	0.41308135293128956	0.1290986923297696	0	0	0	10.156082055944026	3	1.0	0.0	False
RPL15	False	False			0.10114092139684239	0.29178685360720324	0.053622813954243155	-0.004032608695651696	0.76156691967764	0.38649319873131915	0.12462537938856881	0	0	0	10.056372791870068	3	1.0	0.0	False
TACSTD2	False	True			4.866411226656625	2.5241924916921716	6.2348196336405e-52	0.9131299565217388	4.26190712642571e-05	4.0037639931743705	0.00025014974525639866	1	1	2	8.155442234313426	3	1.0	258.5034421233516	False
ATP1B1	False	False			0.2515936617695953	0.3957533796602183	0.006640717463707187	0.11721830434782632	0.003932441927471052	0.27318711913916083	0.5239487006422325	1	0	1	9.082538334839109	3	1.0	0.8618657726895856	False
RPL7A	False	False			0.22545065539926945	0.5081846341554621	0.00039700901387571376	-0.005642195652176163	0.6952502495019144			0	0	0	10.254878692072712	2	0.6666666666666666	0.0	False
MYH9	False	True			0.5256754089437354	1.137141469333941	1.7428125352649061e-15	-0.014532543478260607	0.7894952783655703	0.7810994701878196	0.027660516836749815	0	1	1	9.80298680807358	3	1.0	16.782785893008004	False
CD63	False	False			0.18124679302068358	0.3801088337753443	0.004111002781355531	-0.05246734782608797	0.026689586212241267	0.21911872922439368	0.5127080951177201	0	0	0	10.027663172594682	3	1.0	0.0	False
RPLP0	False	False			0.3634178988454515	0.8285174198506926	3.596415898326271e-08	-0.003976195652174219	0.801970941848683	0.41734340065312736	0.4720326453487088	0	0	0	10.035846560640028	3	1.0	0.0	False
CTNNB1	True	False		TierA67	0.4264613816049341	0.7670963687921954	4.4329766021287485e-08	0.12273056521739178	0.001931181271657424	1.0100715647877792	0.012826832909163652	1	1	2	9.140511724296218	3	1.0	11.281386454673626	True
FLNA	False	True			1.2508151345158343	1.8295107028784119	1.7521438037607223e-28	0.3514815000000002	2.013820974148225e-09	1.265306396712508	0.0023577628864916763	1	1	2	9.631131442627964	3	1.0	101.56137244253308	False
IGKC	False	True			2.808867870814714	0.7354510194071925	1.2960867432058092e-09	0.8050845652173915	0.0006313132322055495	0.06999199924704855	0.3632174676491229	1	0	1	6.948390478567786	3	0.6666666666666666	6.536222334139322	False
HLA-C	False	True			1.0444266707600907	1.2047842910685247	4.0420153201777803e-20	0.13497754347826163	0.00015568162315660598			1	0	1	9.792148511450083	2	0.6666666666666666	23.36486613387961	False
LTBP2	False	True			1.0922580352959637	1.4500325796175597	2.667004866729272e-20	0.4837458043478242	1.9181901852840876e-09	1.1311309589969252	0.10987516293223067	1	0	1	8.503889342771	3	1.0	28.382903190786266	False
ITM2B	False	False			-0.0012252136205699315	-0.003245845363013391	0.9881917807967673	0.027106978260869496	0.1719212964735825	-0.1278657047434022	0.6259981264735197	0	0	0	9.773972781159967	3	1.0	0.0	False
HSP90AA1	False	False			0.4024497692725113	0.9512341721208563	6.590836508566562e-11	-0.0003399999999995629	0.9850227444100569	0.17223588594721573	0.6874619138288067	0	0	0	9.4438025297437	3	1.0	0.0	False
HSPA5	False	True			-0.7871224119544991	-1.0066647715301171	6.184426066944034e-11	-0.10424193478261135	0.04361204642283581	0.27603258275094333	0.6479406153821428	1	0	1	10.090080273036094	3	1.0	10.276739255083928	False
RPS24	False	False			0.13049428265672525	0.2702061889763189	0.07699392862593016	-0.010967869565216226	0.18854781111876115	0.07171361144249566	0.8623553199659822	0	0	0	9.894735093299108	3	1.0	0.0	False
RACK1	False	False			0.19734805358069707	0.5027127865848816	0.0007778080179040774					0	0	0	10.011378037114953	1	0.3333333333333333	0.0	False
GPX3	False	True			-0.8094136950103916	-0.835029020477275	2.910285905924205e-12	-0.15711710869565376	0.0018643650583528876	-2.4443890081892308	0.0038101375831577126	1	1	2	11.274047070828335	3	1.0	19.265897018519976	False
HSPA8	False	False			0.26500375126610365	0.35713382585574394	0.019264477924856534	0.09747899999999898	0.12965078749321363	0.5528216223211295	0.22713538780666565	0	0	0	9.607881512090476	3	1.0	0.0	False
PLS3	False	True			0.7871662279719676	1.3770839112765023	2.2388622636583925e-22	0.17441200000000023	0.0012907439184837615	0.3529180204317779	0.3785676228408745	1	0	1	8.93542029105562	3	1.0	29.81382897966499	False
EIF4G2	False	False			-0.030404034647920852	-0.06996551953012653	0.7050159967474647	-0.02509763043478319	0.2904379433709598	0.3244307200956751	0.01845130440825854	0	0	0	9.751895766433755	3	1.0	0.0	False
RPS18	False	False			0.10777730179246348	0.25683409350289094	0.10342046407888193	-0.01792908695652251	0.05601779526162857			0	0	0	9.94978126754761	2	0.6666666666666666	0.0	False
CANX	False	True			-0.4717906676026793	-0.9258796708553151	1.226498732853553e-11	-0.0864666521739128	0.0005500048073723156	-0.35127938104417744	0.307575925927013	1	0	1	9.796924334491052	3	1.0	10.102581310475424	False
PKM	False	True			0.7137557411344382	1.5590272812549355	1.0577348911817137e-24	0.07035810869565173	0.16588614685251923	0.7751432672581418	0.009194262013019925	0	1	1	9.645415663865073	3	1.0	37.378650606290705	False
DDX5	False	False			0.023031833341470076	0.05134034663471862	0.7989078802166809	0.03195997826087016	0.17043534401749802			0	0	0	9.406785503348448	2	0.6666666666666666	0.0	False
PEBP1	False	True			-0.4437309238186806	-0.9879322026465702	1.6054564303869247e-16	-0.14073013043478078	2.0813553677566887e-05	-0.3872510298368077	0.37667099683104677	1	0	1	10.024081299894629	3	1.0	15.6037978396891	False
ITGA3	False	True			1.5192643166250441	2.144454872708791	5.0076829000185764e-42	0.3229197391304339	7.783985738389625e-08	1.3299848264952177	0.013406579121682612	1	1	2	9.562130506714208	3	1.0	177.1335301303764	False
C3	False	True			2.714867624735432	1.490342423680827	1.8438181792880017e-24	0.4282211521739132	0.0022806444007167637	3.116123113576415	0.0011407242612947953	1	1	2	8.187499822437466	3	1.0	70.74441444431986	False
PTMA	False	False			0.09436940952490502	0.2007591351902679	0.23623472982694485	0.01948426086956445	0.31109691235886633	0.6157887038892262	0.07008808813370469	0	0	0	9.641307327184368	3	1.0	0.0	False
RPL19	False	False			-0.08685914199288547	-0.2113620426737525	0.17260030978949784	-0.08360500000000037	2.4413631352376593e-07	0.478800104873919	0.2147915291956575	1	0	1	9.950347370566787	3	1.0	0.16126045205652115	False
ECE1	False	True			0.9370384751510343	1.5299643424821305	2.2443351896122348e-21	0.0832167826086958	0.07915248748624747	1.2378045250594827	0.010707861735439908	0	1	1	9.105301321689522	3	1.0	31.592099501045833	False
RPL8	False	False			0.13947693745680212	0.30157929415815776	0.035894464921864246	-0.0036083478260877655	0.869818688958289	0.417766055972165	0.17687305661334451	0	0	0	10.294555450469662	3	1.0	0.0	False
RPS11	False	False			0.10106705545295824	0.22811039020612853	0.12798288209514266	-0.003999586956522805	0.7552036440743803	0.16535622717192489	0.5936323284412309	0	0	0	9.971343673136234	3	1.0	0.0	False
HLA-E	False	True			0.4128049894829253	0.750299205498793	1.1804240842851466e-09	0.12303508695652088	0.00595913326375023			1	0	1	9.45371051971789	2	0.6666666666666666	6.698642748907892	False
FOS	False	False			-0.6321647604450948	-0.38234836399848143	0.0013073406611075113	0.03218471739130324	0.8273410671780587	-0.42385466958258267	0.6541782243460768	0	0	0	9.005627543940506	3	1.0	0.0	False
RPL10	False	False			0.14584630381374097	0.33327858337253674	0.027739031741176166	0.020206869565218	0.19476500280800382	-0.007870439920697692	0.9825601732049393	0	0	0	9.955170505530006	3	1.0	0.0	False
CALR	False	True			-0.8018993147439435	-1.2430030512178134	9.931347030497086e-16	-0.11428080434782606	0.02493794271330296	0.042260104739279214	0.9139442718925693	1	0	1	10.082158565083024	3	1.0	18.648764637395566	False
RRBP1	False	False			-0.28761040005814387	-0.5047358274397162	0.00020702875386743267	0.07891800000000071	0.17737603792275997	0.3752186267936821	0.12927089238609446	0	0	0	9.480700948021354	3	1.0	0.0	False
NTRK2	False	False			-0.12278404528747622	-0.14852300898871926	0.37150661054637757	0.10864202173913018	0.4484298968260405	1.2210531392511	0.023190663589146322	0	0	0	9.028507831457876	3	1.0	0.0	False
SAT1	False	False			0.42076071140963833	0.7242782376372996	8.848892183175952e-07	0.07291706521739005	0.07095060566607174	0.16958174666782533	0.5442330997792941	0	0	0	9.69684184693585	3	1.0	0.0	False
FTL	False	False			-0.023083132285307784	-0.03684299118478107	0.8470524563657095	0.02504167391304435	0.3059655060082407	0.16345876466214193	0.752865694810697	0	0	0	10.564331347901321	3	1.0	0.0	False
ARMCX3	False	True			1.321281122764148	1.1905992333576954	2.0266306155026126e-31	0.35031513043478224	4.400508408274364e-09	0.8168546811226634	0.2015998940942455	1	0	1	7.711286823331127	3	1.0	36.54333063161153	False
RGS5	False	False			-0.7075211504916474	-0.6051255688466931	2.281972549902857e-08	-0.12174684782608569	0.09253223520198127	1.9732120575993441	0.06341063988972762	0	0	0	8.422450516351839	3	1.0	0.0	False
RPS3	False	True			0.27128367706757217	0.5941772954079472	2.7060921136034726e-05	0.023081239130434028	0.15644593888803493	0.6200440607954638	0.01303662584995682	0	1	1	9.875902721540264	3	1.0	2.7139983347723087	False
TIMP3	False	False			-0.501020441674628	-0.4774273650974311	3.89493470394556e-05	0.1588638913043483	0.06431266975793412	0.9889816088064567	0.22638601672634479	0	0	0	9.186021372087167	3	1.0	0.0	False
MET	True	False	Aggressiveness_EMT	TierA67;HARDCODED_REF	2.0366410439486478	1.9229708959622898	1.4651698522450788e-36	0.7282108043478268	6.184357365204924e-08	1.4251445590657896	0.021714626119146527	1	1	2	8.776141504316163	3	1.0	137.81590901762104	True
IGHG1	False	True			2.721339200739573	0.6777953245483569	1.1629051644667112e-08	1.2045710217391306	4.542443604748669e-05	5.144549621985453	0.03143832094900015	1	1	2	7.106974678040007	3	1.0	10.755873953639943	False
CD44	False	False			0.24856100831649464	0.32158448751463314	0.06570100098288893	-0.009945043478260196	0.87212533792528	1.327951783454873	0.2860488655380694	0	0	0	8.87131531841347	3	1.0	0.0	False
KCNJ16	False	False			-0.3309437846895875	-0.3840363255584511	0.0022201769456992	-0.0009606086956530646	0.9916968832634472	-0.0008379760793131297	0.9987063221965615	0	0	0	8.836004539666503	3	1.0	0.0	False
MT-ND3	False	False			-0.197951948716371	-0.1839910542074264	0.2632249208657964					0	0	0	10.384813074711126	1	0.3333333333333333	0.0	False
PABPC1	False	False			0.5042935033660285	1.2109375707073076	7.779042651930644e-15	-0.017099260869565924	0.5220669822901833	0.03159308137231065	0.8307576047295164	0	0	0	9.470478014846243	3	1.0	0.0	False
GLUL	False	False			-0.1331658424473776	-0.2308597426589896	0.13162734278189903	0.08173500000000278	0.011687741569341355	-0.1811270006574297	0.6161716341407202	0	0	0	9.419207435274316	3	1.0	0.0	False
CCNI	False	False			0.14081466000208387	0.27740450424561264	0.07593394355603257	0.0341515652173916	0.16607563060806024	-0.3111489651571713	0.4408921294366634	0	0	0	9.334423006489967	3	1.0	0.0	False
CCN2	False	False			0.05961207984988803	0.04188057721227866	0.8036736007283248					0	0	0	7.9914867451925895	1	0.3333333333333333	0.0	False
CSDE1	False	False			0.11595463064260514	0.3151789416188366	0.035807151888212034	-0.051275739130434594	0.01750850214439727	0.03540573092275512	0.8604717080849377	0	0	0	9.327172084522799	3	1.0	0.0	False
MACF1	False	True			0.6171616658402606	1.0989669942308475	1.3031274804397099e-15	0.16910971739130432	6.508815116219616e-07	1.0738701246750928	0.017655315718655126	1	1	2	8.665945086096464	3	1.0	32.71627620390574	False
MCL1	False	True			0.4256775565891999	0.8039902503850608	2.3229272346954194e-09	0.10869873913043548	0.0013576939341933486	0.6191434035902361	0.15993553560039175	1	0	1	8.648087874809246	3	1.0	6.941623195099094	False
UBC	False	False			0.054265207121474646	0.15674647288623964	0.37360816473481684	-0.008192543478260816	0.5331470267101336	-0.10762906078381462	0.8022273099077397	0	0	0	9.143342616272896	3	1.0	0.0	False
SNX1	False	True			0.5386452745116639	0.873845802198055	1.5734019619188205e-10	0.1333729782608697	0.0032538303003397362	0.8983336443412506	0.0683472283133119	1	0	1	8.80853010591737	3	1.0	8.566450487468604	False
RPLP1	False	True			0.2975377607813847	0.5671473070538222	3.0106002346668296e-05	0.04131004347826028	0.0010860574538845912	0.47881665621174374	0.11328527678798687	1	0	1	9.75102126229605	3	1.0	2.564269723611973	False
A2M	False	False			-0.15110902089968015	-0.2040959687811205	0.10901337685747926	0.006801239130435288	0.8599765779628327	1.3773820385825895	0.010172484639186232	0	0	0	8.61329738704225	3	1.0	0.0	False
NCL	False	True			0.2162287871603077	0.707910498894848	2.8155836725092322e-06	0.06979543478260997	0.01614159044128461	-0.045727255908044384	0.7953511300006133	1	0	1	9.170612927738775	3	1.0	3.9292087760826284	False
CDH1	True	False	Aggressiveness_EMT	TierA67;HARDCODED_REF	0.3214648778052922	0.584147256382216	3.6874467097928946e-05	-0.09325967391304424	0.005167915372928636	-0.11242860229212148	0.7368148510824324	0	0	0	9.441251535501982	3	1.0	0.0	False
PDIA3	False	False			-0.5219340732483211	-0.945842750767658	2.33118733715464e-09	-0.019249630434781118	0.7007609326206734	0.41706337996722187	0.3107473603329264	0	0	0	9.554109744366658	3	1.0	0.0	False
TMSB10	False	True			1.2906601157603745	1.5797330818877584	9.509229215199881e-25	0.16805921739130536	1.6109411501211434e-06	2.269342448832396	1.180579496694156e-06	1	1	2	9.557186168069325	3	1.0	75.89623706530914	False
EIF4A2	False	False			0.16266139515255418	0.3938683458654481	0.00439696498602125	0.08000071739130554	0.0013108314618786988	0.17158199667393959	0.5767064686933064	1	0	1	9.116122139314825	3	1.0	0.9282874264912077	False
DDX17	False	False			0.21763674173615755	0.3997500219242605	0.005910767500823147	0.019022934782607415	0.3697701506442624	0.3363586254537605	0.37880335553310984	0	0	0	9.094184732865578	3	1.0	0.0	False
YWHAZ	False	False			0.25516093304937115	0.8564230630297852	2.4612907428408644e-09	0.020728391304347227	0.2736272405833251	0.03679987109969307	0.8560324428390863	0	0	0	9.193287549856088	3	1.0	0.0	False
EGR1	False	False			-0.24975583513863775	-0.18304381704391046	0.25775261904312163	-0.008171369565217024	0.9051716957845702	-1.1873158322519117	0.144282832606936	0	0	0	9.046031000487417	3	1.0	0.0	False
MFGE8	False	True			1.5498151980319612	1.6265590124457716	1.5995642985250806e-26	0.47013808695652237	2.5648840663553343e-09	1.4002679052383273	0.04439762616726701	1	1	2	7.871358233128539	3	1.0	83.91742703220855	False
CCND2	False	False			0.2955674035166034	0.38841587972429	0.022524217120764804	0.1918384130434787	0.010977236380389395	2.421993430266758	0.041674381345553915	1	1	2	8.347998630852288	3	1.0	1.2797140280593433	False
DUOX2	True	False	Thyroid_lineage_TDS	TDS16;TierA67;HARDCODED_REF	-1.4984501775815122	-1.061924418434462	7.420136089007572e-17	-0.47045526086956446	1.8230390522391864e-06	0.08153180621141409	0.9384834981992989	1	0	1	8.539411879996004	3	1.0	17.128403493974712	True
ADGRG1	False	False			0.015105665853839767	0.02659774609619165	0.8965888127936177					0	0	0	9.348172989358495	1	0.3333333333333333	0.0	False
HNRNPA2B1	False	False			0.03364112308612377	0.11410169099810617	0.5240601714998638	0.0822122391304343	0.0029814703349589737	-0.48639060952143165	0.006196888677234274	1	0	1	9.25995119541922	3	1.0	0.032019084781905224	False
RPS20	False	False			0.15331112981792927	0.29304146701352174	0.04911906323437892	0.003819195652171814	0.7264565035736283	0.5512644195826804	0.05798732728320367	0	0	0	9.647412863219728	3	1.0	0.0	False
