gene	n_cohorts	cohorts	log2fc_tcga	log2fc_27155	log2fc_126698	fe_log2fc	fe_se	fe_z	fe_p	meta_log2fc	meta_se	meta_z	meta_p	fisher_p	Q	Q_df	I2	tau2	direction_concordance	is_known	is_novel_validated	cohort_effs_json	meta_q
NUP210P1	2	TCGA,GSE126698	0.0005401456187413		-0.183499283873545	0.0005119137535981418	0.0016752663261119616	0.3055715653201338	0.759930873102765	-0.041782415572893215	0.07744559916832974	-0.5395066475252932	0.589537311371161	0.334892355525519	1.851041283080636	1.0	45.97635346437395	0.007786213068508869	False	False	False	[('TCGA', 0.0005401456187413, 0.0016753948348105), ('GSE126698', -0.183499283873545, 0.1352600403777055)]	0.7595581116791409
RN7SL480P	2	TCGA,GSE126698	-0.000282271315359		0.2661727398315825	-0.00027828248953310576	0.0007130644313850253	-0.390262755067704	0.6963422612397614	0.06921052964360276	0.11699340010882521	0.5915763588307061	0.5541343086720989	0.32533887765003644	2.0902821712832296	1.0	52.159568993209305	0.01851619658564807	False	False	False	[('TCGA', -0.000282271315359, 0.0007130697687246044), ('GSE126698', 0.2661727398315825, 0.18429696504687812)]	0.7417657446761233
ECE2	3	TCGA,GSE27155,GSE126698	4.2867639698262495e-06	-0.0608206739130432	-0.5133706302593866	-0.00019137940276400903	0.0014077589857502003	-0.13594614184758494	0.8918638581303554	-0.028207812168579476	0.031103119312006433	-0.9069126438932666	0.36445299431518097	0.07964993351666474	7.288224586812713	2.0	72.5584746164547	0.0016771198078764044	False	False	False	[('TCGA', 4.2867639698262495e-06, 0.0014099703057005534), ('GSE27155', -0.0608206739130432, 0.025190325268836727), ('GSE126698', -0.5133706302593866, 0.42239518225309336)]	0.6107964456871408
MIR4711	2	TCGA,GSE126698	0.0003602089437778		-0.2230314595239513	0.0003568592094253444	0.0006456050884240406	0.5527515439763004	0.580433553072583	-0.0491217843868503	0.09276528114164119	-0.5295276830115717	0.5964394458772184	0.3197820556279798	1.7952996130386183	1.0	44.29899094628228	0.011053448237086061	False	False	False	[('TCGA', 0.0003602089437778, 0.0006456099288683575), ('GSE126698', -0.2230314595239513, 0.16672289661162618)]	0.762224282754516
DCAF8L1	2	TCGA,GSE126698	0.0003634302872726		0.2857103434941612	0.00036581763184104275	0.0006065491903256402	0.603112884619704	0.5464335955357833	0.0659849926890733	0.12007797807719887	0.5495178528626719	0.5826501162111837	0.24560979318594314	1.8516231266886323	1.0	45.99332955036269	0.018724542366161726	True	False	False	[('TCGA', 0.0003634302872726, 0.000606551727677429), ('GSE126698', 0.2857103434941612, 0.20969837443181927)]	0.7577049968700322
NICN1	2	TCGA,GSE126698	-0.0002307056570476		0.0270928687994356	-0.0002306546509646499	0.0003348010747772116	-0.6889304376281814	0.490867044010995	-0.0002306546509646499	0.0003348010747772116	-0.6889304376281814	0.490867044010995	0.84027718139016	0.012433259212625452	1.0	0.0	0.0	False	False	False	[('TCGA', -0.0002307056570476, 0.00033480138727137905), ('GSE126698', 0.0270928687994356, 0.24504430492578275)]	0.7006229229049316
CFC1B	2	TCGA,GSE126698	-0.000683667299777		-0.1443547087177309	-0.0006846292732710967	0.0004339481830619131	-1.5776751695107754	0.11464025352458404	-0.0006846292732710967	0.0004339481830619131	-1.5776751695107754	0.11464025352458404	0.3633517752484481	0.7339283926293403	1.0	0.0	0.0	True	False	False	[('TCGA', -0.000683667299777, 0.0004339496358555384), ('GSE126698', -0.1443547087177309, 0.1677030423452745)]	0.3086806272925424
AC005224.2	2	TCGA,GSE126698	0.0112199718846997		-0.1081454416815275	0.011033187653822265	0.010047599463009016	1.098091906872061	0.27216435895850777	0.011033187653822265	0.010047599463009016	1.098091906872061	0.27216435895850777	0.4648017299380016	0.22050272793606066	1.0	0.0	0.0	False	False	False	[('TCGA', 0.0112199718846997, 0.010055469994791807), ('GSE126698', -0.1081454416815275, 0.2539986821717868)]	0.5168485212045044
MIR5002	2	TCGA,GSE126698	0.0001325012655506		0.0652523386168416	0.00013344128852089905	0.0005268887602743598	0.2532627351006955	0.8000651906174819	0.00013344128852089905	0.0005268887602743598	0.2532627351006955	0.8000651906174819	0.8571072624395693	0.22049951353486913	1.0	0.0	0.0	True	False	False	[('TCGA', 0.0001325012655506, 0.0005268925632084569), ('GSE126698', 0.0652523386168416, 0.13867761204120824)]	0.8841113831007086
CST12P	2	TCGA,GSE126698	0.0009232575510469		0.0063340058964887	0.0009234870852020111	0.0011998180919307049	0.769689248239263	0.44148424942246667	0.0009234870852020111	0.0011998180919307049	0.769689248239263	0.44148424942246667	0.42400044219761646	0.0008626912977325763	1.0	0.0	0.0	True	False	False	[('TCGA', 0.0009232575510469, 0.0011998435420142203), ('GSE126698', 0.0063340058964887, 0.18421305913703453)]	0.6697778692174476
RPS6P20	2	TCGA,GSE126698	-0.006529237566137		-0.1097154638345976	-0.006544333465276849	0.0017449773867513807	-3.750382964824785	0.00017656470074949848	-0.006544333465276849	0.0017449773867513807	-3.750382964824785	0.00017656470074949848	0.018052354452299475	0.5114904951155463	1.0	0.0	0.0	True	False	False	[('TCGA', -0.006529237566137, 0.001745105043776286), ('GSE126698', -0.1097154638345976, 0.14426838673856596)]	0.0018336904295586784
MIR3163	2	TCGA,GSE126698	0.0014404061955404		-0.0487068866951356	0.0014272743216173862	0.0008668541340207476	1.6464988348123	0.09966109978061795	0.0014272743216173862	0.0008668541340207476	1.6464988348123	0.09966109978061795	0.059844968222985497	0.8761297078480834	1.0	0.0	0.0	False	False	False	[('TCGA', 0.0014404061955404, 0.0008669676561545222), ('GSE126698', -0.0487068866951356, 0.053568121760531)]	0.28303525033050314
POTEH	2	TCGA,GSE126698	0.0013057111089209		0.147285619421823	0.0013077563875791855	0.0011822877490558282	1.1061236053774186	0.26867302286845796	0.0013077563875791855	0.0011822877490558282	1.1061236053774186	0.26867302286845796	0.34576863176383005	0.2135959971215826	1.0	0.0	0.0	True	False	False	[('TCGA', 0.0013057111089209, 0.0011822960314740694), ('GSE126698', 0.147285619421823, 0.3158591696617028)]	0.5126833752599743
LINC00375	2	TCGA,GSE126698	-0.0045915519080571		0.1982556424750234	-0.004553800922811558	0.00297454982208772	-1.5309210452610351	0.12578890725938038	-0.004553800922811558	0.00297454982208772	-1.5309210452610351	0.12578890725938038	0.21568950786059246	0.8653144750244482	1.0	0.0	0.0	False	False	False	[('TCGA', -0.0045915519080571, 0.002974826650818002), ('GSE126698', 0.1982556424750234, 0.218042726941014)]	0.3277019476144097
RN7SL493P	2	TCGA,GSE126698	-0.0006175576574608		0.4874587928441123	-0.000616135583738249	0.0006223244726196119	-0.9900552056786207	0.32214713628869396	0.10725094697039364	0.2025153124640736	0.529594259641083	0.5963932752027967	0.2506054634792431	1.7921520413408782	1.0	44.20116279577454	0.05264767878426285	False	False	False	[('TCGA', -0.0006175576574608, 0.0006223253792331083), ('GSE126698', 0.4874587928441123, 0.3645857636591937)]	0.7622038126586933
CEACAM7	3	TCGA,GSE27155,GSE126698	0.009429201557629	-0.0060844782608704	-0.2133199263933542	0.008714135079368726	0.004592471943280581	1.8974824859014559	0.057764288164125654	0.008714135079368726	0.004592471943280581	1.8974824859014559	0.057764288164125654	0.010971682394096025	1.184882825843704	2.0	0.0	0.0	False	False	False	[('TCGA', 0.009429201557629, 0.004691874123048321), ('GSE27155', -0.0060844782608704, 0.022513446808563), ('GSE126698', -0.2133199263933542, 0.25994573187094916)]	0.20123871875325516
PAX6	3	TCGA,GSE27155,GSE126698	-0.0170963697787369	-0.0334626086956522	0.1830793753423394	-0.01746583506536816	0.007869677104273696	-2.2193839510750943	0.02646061456222353	-0.01746583506536816	0.007869677104273696	-2.2193839510750943	0.02646061456222353	0.3517485267110078	0.7731013107542536	2.0	0.0	0.0	False	False	False	[('TCGA', -0.0170963697787369, 0.008012721012770377), ('GSE27155', -0.0334626086956522, 0.042419804943876004), ('GSE126698', 0.1830793753423394, 0.252911015754448)]	0.11840527790828224
CTBP2P5	2	TCGA,GSE126698	0.0007850870863717		-0.1238291854668445	0.0007807124926615316	0.0008069080226051384	0.9675359158544076	0.333276195707379	0.0007807124926615316	0.0008069080226051384	0.9675359158544076	0.333276195707379	0.30217826302324885	0.8372250185078696	1.0	0.0	0.0	False	False	False	[('TCGA', 0.0007850870863717, 0.0008069221862624334), ('GSE126698', -0.1238291854668445, 0.13618806979214665)]	0.5809614170868533
SLC22A14	3	TCGA,GSE27155,GSE126698	-0.0018564890472762	-0.0420765869565213	-0.0540952034772925	-0.004152398938776796	0.006106856760310482	-0.6799568258689076	0.4965317985558264	-0.008688477573426957	0.011432323866360195	-0.759992253105508	0.44725921555481907	0.4938963245597029	2.3397449800346717	2.0	14.520598737629822	0.00011783505011108015	True	False	False	[('TCGA', -0.0018564890472762, 0.0062886964017693815), ('GSE27155', -0.0420765869565213, 0.025647218908260175), ('GSE126698', -0.0540952034772925, 0.3536356797102022)]	0.6740486764916662
RPS19P1	2	TCGA,GSE126698	-0.0155604711638155		1.0839339595412938	-0.015008892640688939	0.012394338077638827	-1.210947494466618	0.2259155284051585	0.3950021081044274	0.5318361005666985	0.7427139821526453	0.45765486269773137	0.06441155512345408	3.9458064645633755	1.0	74.65663840888213	0.4512575726406599	False	False	False	[('TCGA', -0.0155604711638155, 0.012397448154318553), ('GSE126698', 1.0839339595412938, 0.5533707266829382)]	0.6802857564490937
POU4F1	3	TCGA,GSE27155,GSE126698	0.0116856369446339	0.0223042826086965	-0.0696092593669776	0.013339696761893586	0.0066743315312339626	1.9986565994613275	0.045645521891976494	0.013339696761893586	0.0066743315312339626	1.9986565994613275	0.045645521891976494	0.054264853119459056	0.47194220867031744	2.0	0.0	0.0	False	False	False	[('TCGA', 0.0116856369446339, 0.007295098187656693), ('GSE27155', 0.0223042826086965, 0.01657651233725502), ('GSE126698', -0.0696092593669776, 0.23178788183945823)]	0.17175163774715418
MIR3909	2	TCGA,GSE126698	0.0003223051452449		0.0130616680064723	0.00032607958550611793	0.0013910951020090745	0.23440495551683052	0.8146706118601199	0.00032607958550611793	0.0013910951020090745	0.23440495551683052	0.8146706118601199	0.9553335934081031	0.02484036245790187	1.0	0.0	0.0	True	False	False	[('TCGA', 0.0003223051452449, 0.001391301225833685), ('GSE126698', 0.0130616680064723, 0.0808173112201968)]	0.8923493168679412
MIR4663	2	TCGA,GSE126698	0.0006765751309003		0.0699919992470485	0.0006844711768942455	0.000821588477012395	0.8331070798159687	0.40478434105979455	0.0006844711768942455	0.000821588477012395	0.8331070798159687	0.40478434105979455	0.2200513537141605	0.8107396252226831	1.0	0.0	0.0	True	False	False	[('TCGA', 0.0006765751309003, 0.0008216352765147216), ('GSE126698', 0.0699919992470485, 0.07697761430322214)]	0.6418815471838563
MIR4428	2	TCGA,GSE126698	0.0003248536472397		0.1437758192859959	0.0003277368487295263	0.0004750994401826273	0.6898278991942084	0.4903024216574271	0.032907227311428845	0.060102927477290284	0.5475145503330556	0.584025276918408	0.2051941342857055	1.8323173903606438	1.0	45.42430229278258	0.0046737472409191525	True	False	False	[('TCGA', 0.0003248536472397, 0.0004751042147341846), ('GSE126698', 0.1437758192859959, 0.10597386157375305)]	0.7580515505136933
OR2L3	2	TCGA,GSE126698	-0.0634667215209078		0.2173376009206981	-0.06304213797006852	0.0133172299352029	-4.7338777115669	2.202704701141941e-06	-0.06304213797006852	0.0133172299352029	-4.7338777115669	2.202704701141941e-06	0.0018564860885648268	0.6712464394797188	1.0	0.0	0.0	False	False	False	[('TCGA', -0.0634667215209078, 0.013327309368588934), ('GSE126698', 0.2173376009206981, 0.34247920781515523)]	3.571518244738036e-05
SLC17A6	3	TCGA,GSE27155,GSE126698	0.0013488501645257	-0.0430424347826088	-0.0183183736628933	0.001311067427188588	0.0008439768839715459	1.5534399722170469	0.12031805964176441	-0.004300090588601697	0.01114653357576183	-0.3857782833895783	0.6996608800155016	0.05457797403111073	2.3422041405110945	2.0	14.610346493385576	0.0001418907623193687	False	False	False	[('TCGA', 0.0013488501645257, 0.0008443398866996035), ('GSE27155', -0.0430424347826088, 0.029045032055530294), ('GSE126698', -0.0183183736628933, 0.21559157378823546)]	0.8203547346830489
RPL21P41	2	TCGA,GSE126698	-0.0001110568451941		0.0617685547016079	-8.330856919637487e-05	0.0014385590761227635	-0.05791112132906629	0.9538194244513908	-8.330856919637487e-05	0.0014385590761227635	-0.05791112132906629	0.9538194244513908	0.7092653453861073	0.8293414847470458	1.0	0.0	0.0	False	False	False	[('TCGA', -0.0001110568451941, 0.0014388817265343942), ('GSE126698', 0.0617685547016079, 0.06793342140585243)]	0.9747977444522624
GAPDHP15	2	TCGA,GSE126698	-0.0045292035029337		0.1051352752347713	-0.0045094983961707505	0.0020681943107874047	-2.1804036364716093	0.02922755482795502	-0.0045094983961707505	0.0020681943107874047	-2.1804036364716093	0.02922755482795502	0.13152855287242002	0.5051077699743918	1.0	0.0	0.0	False	False	False	[('TCGA', -0.0045292035029337, 0.0020683801480027237), ('GSE126698', 0.1051352752347713, 0.15428898866912275)]	0.1271625010225554
PGGT1BP2	2	TCGA,GSE126698	-0.0005365825203154		0.1681579469944614	-0.0005180444301197394	0.0019013215920295392	-0.2724654431377703	0.7852641588441841	-0.0005180444301197394	0.0019013215920295392	-0.2724654431377703	0.7852641588441841	0.6311547850414299	0.8649820634808715	1.0	0.0	0.0	False	False	False	[('TCGA', -0.0005365825203154, 0.0019014260701549692), ('GSE126698', 0.1681579469944614, 0.18137339589592483)]	0.8750620440514586
MIR4518	2	TCGA,GSE126698	0.0001347526463698		0.2856409720841292	0.00013861544629938943	0.000621225350294846	0.22313230816095925	0.8234325338813588	0.0929350145040465	0.1337279451908588	0.6949558252122102	0.4870829858665101	0.27171119347009	2.857679852719528	1.0	65.00657695968482	0.026494665999666996	True	False	False	[('TCGA', 0.0001347526463698, 0.0006212295528190404), ('GSE126698', 0.2856409720841292, 0.1688907440097469)]	0.6985724382701246
AC061975.5	2	TCGA,GSE126698	2.8678608917166983e-05		-0.0891899405837111	1.4805680811793857e-05	0.0012231740028483791	0.01210431285926302	0.9903423914808122	1.4805680811793857e-05	0.0012231740028483791	0.01210431285926302	0.9903423914808122	0.7232114712673419	0.8271411239661093	1.0	0.0	0.0	False	False	False	[('TCGA', 2.8678608917166983e-05, 0.0012232691118309056), ('GSE126698', -0.0891899405837111, 0.09809162361181917)]	0.9946312913445893
RSL24D1P1	2	TCGA,GSE126698	0.0023516962180026		0.0699919992470485	0.0023880120559694957	0.0017836502943707427	1.338834223001077	0.1806246469163988	0.0023880120559694957	0.0017836502943707427	1.338834223001077	0.1806246469163988	0.1875483580283454	0.7717008183812912	1.0	0.0	0.0	True	False	False	[('TCGA', 0.0023516962180026, 0.0017841293050112565), ('GSE126698', 0.0699919992470485, 0.07697761430322214)]	0.407663377210065
RN7SL703P	2	TCGA,GSE126698	0.0002743614140714		0.4437378307740719	0.00027763949148826067	0.0006011463802213194	0.46185005952467734	0.6441888493502874	0.16688624180440842	0.21477142227894802	0.7770411912049189	0.43713446847019977	0.11238635628899397	4.022660427135398	1.0	75.14082985343816	0.07388592113554553	True	False	False	[('TCGA', 0.0002743614140714, 0.0006011486020675755), ('GSE126698', 0.4437378307740719, 0.22110550650747074)]	0.6662979434388392
LINC00370	2	TCGA,GSE126698	0.0004933355519982		-0.0890103172560817	0.0004929283335079817	0.0005017077755765975	0.9825008849852368	0.32585314718498026	0.0004929283335079817	0.0005017077755765975	0.9825008849852368	0.32585314718498026	0.40963047363934235	0.14479868232184945	1.0	0.0	0.0	False	False	False	[('TCGA', 0.0004933355519982, 0.0005017089169008544), ('GSE126698', -0.0890103172560817, 0.23521091272764258)]	0.5734416495782464
RBM48P1	2	TCGA,GSE126698	-0.0012088167371646		-0.1809840974088868	-0.0012139315338607476	0.0010617094060208334	-1.1433745683863021	0.2528831068059284	-0.0012139315338607476	0.0010617094060208334	-1.1433745683863021	0.2528831068059284	0.434222974164453	0.8157078941256916	1.0	0.0	0.0	True	False	False	[('TCGA', -0.0012088167371646, 0.001061724509720354), ('GSE126698', -0.1809840974088868, 0.1990473796324022)]	0.49534127654709476
GSTA6P	2	TCGA,GSE126698	-0.0003201196275061		-0.1430162299849694	-0.0003213682914006289	0.0003306949989651154	-0.9717966476854087	0.33115172394300796	-0.027878078102334856	0.05632914350874001	-0.4949139355901853	0.6206608733237208	0.2810846588042287	1.6292909101744815	1.0	38.62360651770226	0.0039323041235840624	True	False	False	[('TCGA', -0.0003201196275061, 0.0003306964458497372), ('GSE126698', -0.1430162299849694, 0.11179204937606747)]	0.773693700570009
MIR1303	2	TCGA,GSE126698	-0.0034258961732629		0.0548315617719603	-0.003423742876958591	0.0013773491707102473	-2.4857479495871733	0.012927949298154122	-0.003423742876958591	0.0013773491707102473	-2.4857479495871733	0.012927949298154122	0.10700164682748155	0.06612278985425935	1.0	0.0	0.0	False	False	False	[('TCGA', -0.0034258961732629, 0.0013773746260184868), ('GSE126698', 0.0548315617719603, 0.22655200993428143)]	0.06951557165682619
IL3	3	TCGA,GSE27155,GSE126698	0.0078735335136419	-0.0200146739130424	-0.2179120568178286	0.007063993991036805	0.0030832775853108143	2.2910665016639133	0.02195956771803997	-0.0035262327944561712	0.015624247738985122	-0.22568976461232296	0.8214427193724005	6.742461290658941e-05	3.9715817227877843	2.0	49.642229731177885	0.00036296209249454955	False	False	False	[('TCGA', 0.0078735335136419, 0.0031249825781942647), ('GSE27155', -0.0200146739130424, 0.019063530115290134), ('GSE126698', -0.2179120568178286, 0.16378415000960378)]	0.8964094741968374
AL033528.1	2	TCGA,GSE126698	0.0003928135252509		0.0699919992470485	0.0004253459710578153	0.0016642582767544558	0.25557689993124233	0.7982775573018241	0.0004253459710578153	0.0016642582767544558	0.25557689993124233	0.7982775573018241	0.6503628963361465	0.8171021905586866	1.0	0.0	0.0	True	False	False	[('TCGA', 0.0003928135252509, 0.0016646473716820027), ('GSE126698', 0.0699919992470485, 0.07697761430322214)]	0.8835264281919311
TLX3	2	TCGA,GSE27155	-0.0015548856594384	-0.0346621304347825	0.0	-0.0015724938437487975	0.000814523419490296	-1.9305692213648276	0.05353634719796991	-0.0015724938437487975	0.000814523419490296	-1.9305692213648276	0.05353634719796991	0.2044160680757601	0.8782121097439101	1.0	0.0	0.0	True	False	False	[('TCGA', -0.0015548856594384, 0.000814740109252862), ('GSE27155', -0.0346621304347825, 0.03531895195554446)]	0.19102330965822797
S100G	3	TCGA,GSE27155,GSE126698	-0.0097005694952118	-0.0414776086956514	-0.0539048412408927	-0.00994057338021665	0.003844806298436327	-2.5854549250659145	0.009725058769979148	-0.00994057338021665	0.003844806298436327	-2.5854549250659145	0.009725058769979148	0.4184502091737062	0.5215665108941823	2.0	0.0	0.0	True	False	False	[('TCGA', -0.0097005694952118, 0.003859213237442219), ('GSE27155', -0.0414776086956514, 0.045325547767612065), ('GSE126698', -0.0539048412408927, 0.23993024944978436)]	0.05551717154189993
ANKRD60	2	TCGA,GSE126698	-0.0007469641034947		-0.0487068866951356	-0.0007552662151999479	0.0007047928160480428	-1.071614519902349	0.2838932089004559	-0.0007552662151999479	0.0007047928160480428	-1.071614519902349	0.2838932089004559	0.44815845928068876	0.8014361416573609	1.0	0.0	0.0	True	False	False	[('TCGA', -0.0007469641034947, 0.0007048538256175438), ('GSE126698', -0.0487068866951356, 0.053568121760531)]	0.5287932012810937
SEMG1	2	TCGA,GSE27155	-0.0678387091673991	-0.0532244347826096	0.0	-0.06139347163960456	0.02527887057214284	-2.4286477303008858	0.015155249480000146	-0.06139347163960456	0.02527887057214284	-2.4286477303008858	0.015155249480000146	0.17352275925001406	0.08239378426134632	1.0	0.0	0.0	True	False	False	[('TCGA', -0.0678387091673991, 0.03381122198576792), ('GSE27155', -0.0532244347826096, 0.038065087396325165)]	0.07869646597276986
HSFY2	2	TCGA,GSE126698	-6.574666165283592e-05		-0.3182699973209146	-6.619051363134254e-05	0.0004134070138446499	-0.16010979836983513	0.8727945827689803	-6.619051363134254e-05	0.0004134070138446499	-0.16010979836983513	0.8727945827689803	0.6879991164876327	0.826395321755011	1.0	0.0	0.0	True	False	False	[('TCGA', -6.574666165283592e-05, 0.00041340730216844285), ('GSE126698', -0.3182699973209146, 0.3500352234772039)]	0.9274634884493981
SEMG2	3	TCGA,GSE27155,GSE126698	-0.0588181830118431	-0.0075247173913037	-0.0487068866951356	-0.03839405266779761	0.019756311313357176	-1.9433816393569137	0.05197006400906705	-0.03839405266779761	0.019756311313357176	-1.9433816393569137	0.05197006400906705	0.5147344330672983	1.4702101147319069	2.0	0.0	0.0	True	False	False	[('TCGA', -0.0588181830118431, 0.02814837194897499), ('GSE27155', -0.0075247173913037, 0.03241925454982238), ('GSE126698', -0.0487068866951356, 0.053568121760531)]	0.18679074051204278
RFPL4A	2	TCGA,GSE126698	0.0042843689505346		0.1456772306592111	0.004332604191243411	0.002741681800218889	1.5802724411335796	0.1140444882676453	0.004332604191243411	0.002741681800218889	1.5802724411335796	0.1140444882676453	0.06763765424386746	0.9070049439313335	1.0	0.0	0.0	True	False	False	[('TCGA', 0.0042843689505346, 0.00274214957322263), ('GSE126698', 0.1456772306592111, 0.14843918673542209)]	0.3075660486962059
RPL30P3	2	TCGA,GSE126698	-0.0016063513269359		-0.0487068866951356	-0.0016446184668393166	0.0015268856004222993	-1.0771065405191163	0.2814326714333715	-0.0016446184668393166	0.0015268856004222993	-1.0771065405191163	0.2814326714333715	0.43349944480216795	0.7724775382159775	1.0	0.0	0.0	True	False	False	[('TCGA', -0.0016063513269359, 0.001527506242758469), ('GSE126698', -0.0487068866951356, 0.053568121760531)]	0.5264990429612761
AC004009.3	2	TCGA,GSE126698	-0.0010394105162292		-0.0487068866951356	-0.0010459215471228837	0.0006260661427085416	-1.6706246764885373	0.09479583522676446	-0.0010459215471228837	0.0006260661427085416	-1.6706246764885373	0.09479583522676446	0.19014951589747106	0.7917209783000235	1.0	0.0	0.0	True	False	False	[('TCGA', -0.0010394105162292, 0.0006261089051324143), ('GSE126698', -0.0487068866951356, 0.053568121760531)]	0.27388834413786173
