threshold	prev	sens	spec	npv	ppv	unnecessary_surgery	missed_cancer	nb_model	nb_treat_all	nb_treat_none	tp	fp	tn	fn
0.8000000000000002	0.1	0.855	0.9723333333333334	0.9837005395683454	0.7744565217391305	0.0249	0.0145	-0.01410000000000007	-3.500000000000003	0.0	855	249	8751	145
0.8100000000000002	0.1	0.855	0.9724444444444444	0.9837023715859279	0.7751586582048957	0.0248	0.0145	-0.020226315789473787	-3.7368421052631624	0.0	855	248	8752	145
0.8200000000000002	0.1	0.855	0.9726666666666667	0.9837060343858861	0.776566757493188	0.0246	0.0145	-0.026566666666666794	-4.000000000000005	0.0	855	246	8754	145
0.8300000000000002	0.1	0.854	0.9727777777777777	0.9835973486125155	0.7770700636942676	0.0245	0.0146	-0.0342176470588237	-4.29411764705883	0.0	854	245	8755	146
0.8400000000000002	0.1	0.854	0.973	0.9836010333595417	0.7784867821330902	0.0243	0.0146	-0.04217500000000016	-4.625000000000007	0.0	854	243	8757	146
0.8500000000000002	0.1	0.854	0.9731111111111111	0.983602875112309	0.7791970802919708	0.0242	0.0146	-0.05173333333333355	-5.000000000000009	0.0	854	242	8758	146
0.8600000000000002	0.1	0.854	0.9731111111111111	0.983602875112309	0.7791970802919708	0.0242	0.0146	-0.06325714285714312	-5.428571428571439	0.0	854	242	8758	146
0.8700000000000002	0.1	0.854	0.9733333333333334	0.9836065573770492	0.7806215722120659	0.024	0.0146	-0.0752153846153849	-5.923076923076935	0.0	854	240	8760	146
0.8800000000000002	0.1	0.854	0.9733333333333334	0.9836065573770492	0.7806215722120659	0.024	0.0146	-0.09060000000000037	-6.500000000000014	0.0	854	240	8760	146
0.8900000000000002	0.1	0.854	0.9733333333333334	0.9836065573770492	0.7806215722120659	0.024	0.0146	-0.10878181818181862	-7.181818181818199	0.0	854	240	8760	146
0.9000000000000002	0.1	0.854	0.9733333333333334	0.9836065573770492	0.7806215722120659	0.024	0.0146	-0.1306000000000006	-8.000000000000023	0.0	854	240	8760	146
