stratum	panel	n	n_DM1	n_DM2	pooled_auc	boot_lo95	boot_hi95	fold1_auc	fold2_auc	fold3_auc	fold4_auc	fold5_auc	fold_mean	fold_std	n_folds_used	note
ALL_TCGA_THCA_master	rna_nonleak	176	107	69	0.967492889069484	0.9412129215765949	0.9887613436272518	0.9707792207792207	0.9825174825174826	0.9523809523809523	0.9115646258503401	1.0	0.9634484563055992	0.030225170704937434	5	stratified 5-fold (no image)
ALL_TCGA_THCA_master	rna_leak	176	107	69	0.924556413382094	0.8751151293512122	0.9639780577001219	0.9512987012987013	0.7727272727272727	0.9489795918367346	0.9761904761904762	0.9829931972789114	0.9264378478664191	0.07800892863837153	5	stratified 5-fold (no image)
ALL_TCGA_THCA_master	meth_8gene	174	106	68	0.931465038845727	0.8883081298557158	0.9682332130965594	0.9405594405594406	0.9183673469387755	0.9013605442176871	0.901360544217687	1.0	0.9323295751867182	0.03676988619626782	5	stratified 5-fold (no image)
BRAF_like_cPTC_master	rna_ht	110	85	25	0.9237647058823529	0.8334117647058824	0.9896588235294117	1.0	0.776470588235294	0.9882352941176471	1.0	0.9058823529411766	0.9341176470588236	0.08632440624867835	5	stratified 5-fold (no image)
BRAF_like_cPTC_master	rna_mapk	110	85	25	0.9830588235294118	0.9585882352941176	0.9971764705882353	0.9647058823529412	0.9764705882352942	1.0	1.0	0.9764705882352941	0.983529411764706	0.01411764705882352	5	stratified 5-fold (no image)
BRAF_like_cPTC_master	rna_nonleak	110	85	25	0.992	0.977870588235294	1.0	0.9764705882352942	0.9882352941176471	1.0	1.0	0.9764705882352941	0.9882352941176471	0.010522672835293114	5	stratified 5-fold (no image)
BRAF_like_cPTC_master	rna_leak	110	85	25	0.9651764705882353	0.9237647058823529	0.994364705882353	0.9882352941176471	1.0	0.9411764705882353	0.9764705882352941	0.9529411764705882	0.9717647058823531	0.021820278812931086	5	stratified 5-fold (no image)
BRAF_like_cPTC_master	meth_8gene	110	85	25	0.968	0.9143176470588236	0.9985882352941177	1.0	0.8823529411764707	0.9529411764705882	1.0	1.0	0.9670588235294117	0.04610804221709509	5	stratified 5-fold (no image)
RAS_like_FVPTC_master	rna_ht	57	18	39	0.8276353276353275	0.6950498575498575	0.9287749287749287	0.84375	0.96875	0.9166666666666666	0.6666666666666666	0.75	0.8291666666666666	0.10956828160253922	5	stratified 5-fold (no image)
RAS_like_FVPTC_master	rna_mapk	57	18	39	0.8176638176638177	0.6780626780626782	0.9373219373219372	0.78125	0.75	0.625	1.0	0.8214285714285714	0.7955357142857142	0.12152044843463629	5	stratified 5-fold (no image)
RAS_like_FVPTC_master	rna_nonleak	57	18	39	0.8703703703703703	0.7735042735042735	0.9558760683760683	0.96875	1.0	0.8333333333333333	0.9166666666666666	0.8214285714285714	0.9080357142857143	0.07113282025839995	5	stratified 5-fold (no image)
RAS_like_FVPTC_master	rna_leak	57	18	39	0.8190883190883191	0.6851495726495725	0.9288105413105413	1.0	0.78125	0.7916666666666667	0.75	0.8214285714285714	0.8288690476190477	0.08855854681029904	5	stratified 5-fold (no image)
RAS_like_FVPTC_master	meth_8gene	57	18	39	0.8433048433048433	0.7164886039886039	0.9430555555555555	0.90625	0.84375	0.6666666666666666	0.7916666666666666	0.9285714285714286	0.8273809523809523	0.09362945765161763	5	stratified 5-fold (no image)
