cluster_1,,Epithelial cell,Epithelial cell,Myeloid cell,Myeloid cell
cluster_2,,Epithelial cell,Myeloid cell,Epithelial cell,Myeloid cell
IL1B,MMP9,,,,
CCL3L1,CCR6,,,,
CCL14,CCR6,,,,
CCL2,VEGFA,0.0,,,
XCL1,CXCR6,0.0,,,
XCL2,CCR4,,,,
IL17A,TNF,,,,
CCL18,CXCR6,0.0,,,
TPSAB1,MMP2,,,,
CCL13,CCR7,,,,
IFNG,LOX,,,,
IL17A,MMP9,,,,
CXCL10,CXCR6,,,,
CCL20,CCR4,,,,
CCL7,CXCR6,,,0.002,
CD40LG,VEGFA,,,,
CSF3,BIRC3,,,,
XCL2,CXCR6,0.942,,0.038,
IL20,PTGS2,,,,
IL6,MMP9,,,,
CCL8,CXCR6,,,,
CCL21,CCR4,,,,
IL12B,CXCL9,,,,
NPPA,TNF,,,,
IL1B,MMP3,,,,
CCL7,CCR4,,,,
CCL14,CCR7,,,,
PPBP,CCR6,,,,
TNF,CXCL10,,,,
IL6,HMOX1,,,,
CCL22,CCR6,,,,
CCL2,F3,0.664,0.3,,
MDK,VEGFA,0.192,,0.218,
IL2,FCER2,,,,
LEP,FLT1,,,,
CXCL14,CCR6,,,,
SPARC,MMP14,0.854,0.114,0.27,0.146
IL10,CD14,,,,
IL1A,CSF1,,,,
IL2,HSP90AA1,,,,
CCL5,CCR6,,,,
CCL2,CCR6,,,,
CSF2,MMP14,,,,
PI3,TNF,,,,0.004
OSM,PTGS2,,,,
FGF7,PDGFRA,0.0,,,
CCL13,CCR4,,,,
COL6A3,ITGA6,0.692,0.124,,
CCL3,CCR7,,,,
COMP,ITGB6,,,,
IGFBP2,CD24,0.092,0.888,,
IL6,PTGS2,,,,
IFNG,CXCL9,,,,
CSF3,CXCL12,,,,
IGF1,FLT4,0.0,,,
IL1B,PTGDS,,,,
FGFR4,MMP9,,,,
CXCL9,CCR7,,,,
IGF1,PDGFRB,0.608,0.336,,
S100B,BIRC3,0.972,0.046,0.044,0.028
VEGFA,PDGFRA,0.0,,,
IL17A,CXCL12,,,,
COL6A3,ITGB6,0.974,0.0,,
OLR1,MMP3,,,,
CD160,KLRD1,,,,
CCL22,CXCR6,,,,
CXCL1,CCR4,,,,
LAMA3,ITGB6,,,,
IL2,TNFRSF9,,,,
TNF,INSR,,,0.006,
IL6,TSHR,,,,
CXCL6,CXCR6,,,,
LEP,F3,,,,
CCL1,CCR6,,,,
CCL2,CCR7,,,,
CCL26,CCR4,,,,
CXCL9,CCR6,,,,
CCL8,CCR7,,,,
CD40LG,F3,,,,
CXCL10,CCR7,,,,
FGF7,PDGFRB,0.624,0.336,,
CCL17,CXCR6,,,,
CXCL12,MMP9,0.982,0.004,0.502,0.018
CXCL3,CCR4,,,,
IGF1,FLT1,0.0,,,
IL13,MUC5AC,,,,
CXCL14,CCR4,,,,
OSM,F3,,,,
CCL4,CCR6,,,,
HLA-G,KLRC2,,,,
CSF2,TNF,,,,
IGF1,FGFR2,0.0,,,
CCL3,CCR6,,,,
IFNG,CCR6,,,,
CXCL6,CCR7,,,,
CCL4,CCR4,,,,
CCL23,CCR6,,,,
CCL14,CCR4,,,,
OSM,ADAMTS4,,,,
ADM,HMOX1,1.0,0.0,,
CCL8,CCR6,,,,
IL6,INSR,,,,
CCL3L1,CCR7,,,,
DKK1,LRP1,,,,
IGF1,KDR,0.0,,,
CXCL6,CCR4,,,,
CCL21,CXCL10,,,,
CCL26,CCR6,,,,
CCL7,CCR6,,,,
IL10,CSF1,,,,
THBS1,ITGB6,0.994,0.0,,
PRSS1,PRSS2,,,,
IL17F,CXCL10,,,,
VEGFA,CDH5,0.0,,,
THBS4,ITGB6,0.998,0.0,,
TNF,MUC5AC,,,,
CCL5,CXCR6,1.0,,0.0,
CCL18,CCR7,,,,
IL2,C3,,,,
CSF2,CD1C,,,,
IL1A,PLAU,,,,
CXCL5,CCR6,,,,
CCN1,IL17A,,,,
CCL21,CCR6,,,,
CXCL10,CCR6,,,,
CSF2,CPE,,,,
IL1B,LDLR,,,,
SPP1,ITGA6,0.998,0.124,0.012,0.002
CXCL2,CCR4,,,,
VWF,ITGB6,0.776,0.0,0.806,0.224
EDN1,MMP1,,,,
VEGFA,VCAM1,0.0,,,
S100B,TNF,,0.006,,0.01
IL13,PTGS2,,,,
CCL26,CCR7,,,,
CD40LG,VCAM1,,,,
TNF,F3,,,0.006,0.108
IL17A,PTGS2,,,,
CXCL1,CCR6,,,,
CXCL14,CXCR6,0.0,,,
IFNG,VCAM1,,,,
TNF,PIGR,,,,
CCL5,CXCL12,0.998,0.502,0.0,0.002
IL10,DCN,,,,
CXCL8,CXCR6,,,,
EDN1,MCAM,,,,
IL1B,VEGFA,,,,
CSF3,PLAUR,,,,
ADIPOQ,WIF1,,,,
IL1B,MMP1,,,,
CSF2,MMP1,,,,
CCL15,CCR7,,,,
CCL23,CCR4,,,,
VEGFD,PDGFRB,,,,
CSF2,FCER2,,,,
IL12B,TNF,,,,
IGFBP3,MMP14,0.71,0.114,,
THBS2,ITGB6,0.996,0.0,,
CCL23,CCR7,,,,
SPP1,PLAU,0.998,0.004,0.012,0.002
VEGFA,FLT4,0.0,,,
LAMA4,ITGB6,0.988,0.0,,
CCL11,CXCR6,,,,
CCL19,CCR6,,,,
IL1A,CXCL12,,,,
TNF,MMP13,,,,
PPBP,CCR7,,,,
CXCL12,GZMB,,,,
IGF1,PDGFRA,0.0,,,
IFNG,CSF1,,,,
VEGFD,PDGFRA,,,,
SST,F3,,,,
IL12B,GZMB,,,,
TNF,CHI3L1,,,0.006,0.01
CCL5,CCR7,,,,
IFNG,IDO1,,,,
IL2,GZMB,,,,
IGF1,VEGFA,0.0,,,
CCL11,CCR4,,,,
CXCL13,CCR7,,,,
FGF7,PLAU,0.992,0.004,,
CCL5,TNFRSF4,1.0,0.052,0.0,0.0
IL6,KDR,,,,
IFNG,CXCL12,,,,
DCN,VEGFA,0.306,,0.284,
IL1B,CXCL10,,,,
XCL1,CCR6,,,,
THBS4,ITGA6,0.788,0.124,,
TNF,CDH11,,,0.006,
IL6,CCR7,,,,
CXCL3,CCR7,,,,
IFNG,CXCL10,,,,
S100A8,MMP1,,,,
FGF7,SFTPA2,,,,
ADIPOQ,CXCL12,,,,
SAA1,F3,0.974,0.3,0.004,0.026
IL6,CXCL12,,,,
CCL21,CXCR6,0.602,,0.388,
CCL14,CXCR6,0.0,,,
CCL11,CCR7,,,,
CXCL12,CCR7,,,,
CCL17,CCR7,,,,
CCL3L1,CXCR6,,,,
CXCL6,CCR6,,,,
IL1A,C3,,,,
IL6,CSF1,,,,
IL6,GZMB,,,,
IL1A,MMP9,,,,
SAA1,PTGS2,,0.002,,0.002
FGFR4,PLAU,,,,
TNF,PLAU,,,0.006,0.002
CSF2,CSF1,,,,
CXCL5,CCR4,,,,
VWF,ITGA6,0.352,0.124,0.806,0.648
CXCL8,CCR4,,,,
IL2,PRF1,,,,
RELN,ITGA6,0.828,0.124,,
FGF7,VEGFA,0.0,,,
CCL2,PTGS2,,0.002,,
NR0B2,TNF,,,,
CXCL13,CCR4,,,,
IL13,VEGFA,,,,
S100A9,MMP1,,,,
IL2,CES1,,,,
CXCL3,CCR6,,,,
CXCL11,CCR4,,,,
TNF,MMP9,,,0.006,0.0
CXCL9,CXCR6,1.0,,0.0,
CXCL10,CCR4,,,,
IL10,F3,,,,
OSM,PLAT,,,,
CCL23,KDR,,,,
IFNG,HSP90AA1,,,,
CCL19,CCR4,,,,
XCL2,CCR6,,,,
IL2,TNFRSF4,,,,
CXCL5,CCR7,,,,
SAA1,HMOX1,1.0,0.0,0.008,0.0
IFNG,IL17A,,,,
CCL20,CCR7,,,,
CXCL5,CXCR6,,,,
CCL15,CCR4,,,,
CCL15,CXCR6,,,,
CCL19,CXCR6,0.0,,,
IL6,DCN,,,,
CXCL13,CXCR6,,,,
IL2,TNFRSF18,,,,
CCL18,CCR4,,,,
ADIPOQ,F3,,,,
CCL11,CCR6,,,,
IFNG,MMP13,,,,
CCL23,CXCR6,,,,
CSF2,HDC,,,,
TNF,VCAM1,,,0.006,
OSM,LDLR,,,,
CSF3,MPL,,,,
IL11,LIFR,,,,
IL6,LIFR,,,,
OSM,IL13RA2,,,,
LEP,MPL,,,,
IL11,IL13RA2,,,,
IL6,IL13RA2,,,,
IL13,LIFR,,,,
GAS1,PTCH1,0.0,,,
LEP,KDR,,,,
GDF15,TTN,,,,
S100A8,MDM2,,,,
VEGFA,MDM2,0.0,,,
SHH,MDM2,,,,
CSF3,ACE,,,,
NTS,GRIA1,,,,
IFNG,GRIA1,,,,
TNF,GRIA1,,,,
VCAM1,CDH5,0.0,,,
TNF,CDH5,,,0.006,
IL1B,CDH5,,,,
ANGPT2,CDH5,0.0,,,
CXCL8,CDH5,,,,
ADM,NOS1,,,,
IGF1,NOS1,,,,
